T,O,H,L,C,V
1713844800,11.88,12.25,11.72,12.05,2054225
1713931200,12.01,12.08,11.84,11.93,2328560
1714017600,11.79,11.795,11.545,11.74,2394617
1714104000,11.78,11.96,11.69,11.84,2627137
1714363200,11.95,12.1492,11.95,12.12,2680552
1714449600,11.96,12.095,11.8001,11.96,3211044
1714536000,11.95,12.21,11.69,11.93,4222350
1714622400,12.16,12.36,12.08,12.34,3578234
1714708800,12.58,12.7,12.09,12.24,3731217
1714968000,12.34,12.52,12.26,12.41,3823017
1715054400,12.45,12.86,12.25,12.42,5840450
1715140800,12.28,12.7,11.9518,12.67,3910070
1715227200,12.67,13.04,12.5441,13.02,3521360
1715313600,13.06,13.16,12.8,12.96,2105029
1715572800,13.04,13.255,12.9,12.99,2713721
1715659200,13.13,13.2,12.96,13.07,1914356
1715745600,13.2,13.205,12.87,13.05,2436978
1715832000,13.05,13.17,12.995,13.15,2268463
1715918400,13.105,13.11,12.905,12.95,6951697
1716177600,12.92,12.97,12.575,12.61,2066438
1716264000,12.57,12.62,12.29,12.41,3474771
1716350400,12.34,12.58,12.295,12.56,1815191
1716436800,12.59,12.6,12.125,12.22,1942853
1716523200,12.31,12.44,12.27,12.34,1277402
1716868800,12.39,12.4802,12.125,12.18,1822122
1716955200,12,12.14,11.84,11.89,1956020
1717041600,11.97,12.135,11.93,12.02,2068213
1717128000,12.07,12.4,11.98,12.31,1879742
1717387200,12.42,12.53,12.26,12.48,1389276
1717473600,12.33,12.55,12.22,12.24,2084581
1717560000,12.29,12.34,12,12.17,2887473
1717646400,12.06,12.225,12.01,12.2,1285303
1717732800,12.05,12.14,11.94,12.07,2319022
1717992000,11.92,12.04,11.76,11.93,1455447
1718078400,11.82,11.85,11.585,11.64,2292609
1718164800,11.8,12.17,11.8,11.98,2562722
1718251200,11.91,11.94,11.665,11.79,1856044
1718337600,11.6,11.635,11.375,11.5,1779633
1718596800,11.5,11.62,11.44,11.53,1519624
1718683200,11.51,11.565,11.225,11.24,1801617
1718856000,11.27,11.31,11.155,11.21,1809451
