T,O,H,L,C,V
1713844800,149.94,154.37,149.94,153.52,331727
1713931200,152.97,154.42,150.71,152.95,259204
1714017600,151.61,154,146.06,152,771367
1714104000,152.03,153.28,149.75,150,733143
1714363200,150.52,152.36,147.8,148.5,678201
1714449600,146.8,147.8,143.49,144.06,747430
1714536000,143.74,149.25,143.25,144.99,618728
1714622400,145.83,146.5,142.6344,145,783648
1714708800,150.86,159.4,149.76,155,1112498
1714968000,156.65,161.18,153.9138,158,723192
1715054400,159.53,164.74,158.61,160.65,794374
1715140800,158.88,160.435,154.81,156.9,623927
1715227200,156.88,157.145,154.47,154.99,407117
1715313600,156.08,156.5,151.03,151.3,550595
1715572800,156.68,157.29,152.96,153.15,500341
1715659200,156.16,161.3,154.25,160.71,1394153
1715745600,162.39,162.525,155.93,156,623069
1715832000,155.7,156.15,153.28,154,460593
1715918400,155.67,155.67,152.89,154,505319
1716177600,154.32,156.24,150.66,156.02,398760
1716264000,154.36,158.23,154.27,158.22,272562
1716350400,157.48,161.03,154.5901,156.31,432262
1716436800,156.36,156.36,151.06,152.17,340472
1716523200,153.03,153.06,150.235,150.82,259310
1716868800,151.52,155.29,151.25,155.18,381435
1716955200,152.83,153.83,150.375,152.86,378749
1717041600,153.42,155.33,152.185,153.9,264881
1717128000,155.91,158.4,153.14,157.03,431045
1717387200,158.52,159.03,147.18,149.44,467557
1717473600,147.98,149.59,145.315,146.1,476913
1717560000,146.61,149.41,145,149.35,235662
1717646400,149.17,149.385,145,146.08,195503
1717732800,144.76,146.38,143.01,145.4,328427
1717992000,143.76,147,143.3,146.16,291579
1718078400,144.76,144.805,143.03,143.61,283962
1718164800,147.71,151.055,146.35,146.42,305496
1718251200,145.92,146.3686,142.23,143.97,219404
1718337600,143,144.36,139.36,140.64,358275
1718596800,140,143.33,138.81,142.46,497610
1718683200,141.85,143.24,139.8,142.38,312451
1718856000,141.82,145.37,141.32,143.12,329864
1718942400,143.01,143.01,139.19,140.81,484289
1719201600,145,150.4,144.375,148.29,475972
1719288000,148.04,149.64,143.51,143.96,372672
1719374400,143.12,143.435,139.6,140.19,366604
1719460800,140.52,143.56,137.89,143.46,424955
1719547200,146.18,149.43,141.78,144.34,1473540
1719806400,144.45,145.47,139,140.07,417116
1719892800,140.66,143.04,140.62,142.43,384698
1719979200,143.32,145.5,141.69,145.08,217588
1720152000,144.53,145.2496,142.21,142.61,248602
1720411200,143.7,144.08,138.04,139.23,391284
1720497600,138.15,139.09,135,135.02,641434
1720584000,135.76,141.41,135.76,140.39,523084
1720670400,143.89,152.42,143.77,151.42,811232
1720756800,154.35,157.845,153.535,155.47,494676
1721016000,157.16,162.09,155.0101,161.1,569417
1721102400,161.76,169.58,161.76,168.35,764917
1721188800,167.39,171.68,164.655,165.88,667794
1721275200,164.47,167.7024,160.62,162.98,393466
1721361600,163.36,164.53,161.37,163.06,362468
1721620800,165.64,166.49,161.985,165.91,405201
1721707200,165.05,169.45,164.305,168.99,428360
1721793600,167.63,169.935,160.79,160.81,387232
1721880000,161.47,164.25,157.8576,159.57,672406
1721966400,162.83,166.128,160.62,161.27,367976
1722225600,161.5,163.4,156.365,158.26,346674
1722312000,158.66,161.08,158.66,158.99,381647
1722398400,160.12,166.9,158.39,161.08,383210
1722484800,159.78,162.28,151.635,153.85,558608
1722571200,132,132.51,120.3,126.01,2100275
1722830400,117.07,121.73,112.83,115.92,1814851
1722916800,116.43,125.54,116.26,122.13,1339035
1723003200,124.21,125.65,112.85,113.01,1164390
1723089600,115.27,120.04,113.5,119.27,812378
1723176000,119.21,119.21,110.63,111.82,1086504
1723435200,112.5,114.18,108.885,109.54,684981
1723521600,110.72,111.37,106.88,111.24,908945
1723608000,112.79,112.92,108.8001,110.52,697357
1723694400,114.78,116.52,113.08,114,656258
1723780800,113.75,116.5,113.75,115.39,439996
1724040000,116.44,119.03,115.906,119.01,612668
1724126400,118.6,118.75,113.54,116.48,614345
1724212800,117.67,119.56,116.52,118.97,706901
1724299200,118.97,119.99,116.065,116.74,503238
1724385600,118.19,123.78,117.86,123.6,493180
1724644800,125.82,130.695,125.41,126.59,761606
1724731200,125.99,126.98,124.68,126.04,530337
1724817600,125.21,125.54,119.75,120.73,520306
1724904000,122.96,127.37,121.97,124.05,532228
1724990400,124.99,125.23,120.77,122.4,524694
1725336000,121.32,121.44,112.945,114.05,861305
1725422400,113.23,115.5,110.52,112.88,784312
1725508800,114,115.65,112.05,113.08,906055
1725595200,113.07,115.25,111.1,112.06,822397
1725854400,112.26,112.86,108.79,110.09,819871
1725940800,110.22,110.22,104.33,106.83,1634351
1726027200,106.55,110.8,101.601,110.28,1096677
1726113600,111.19,114.49,108.77,111.62,721092
1726200000,113.58,115.34,111.98,114.98,949808
1726459200,119.2,119.2,114,117.29,760700
1726545600,119.13,122.77,118.155,119.77,815779
1726632000,120.56,125.97,119.27,121.6,728593
1726718400,125.63,126.72,122.63,124.31,918366
1726804800,123.54,124.34,121.79,122.43,1134738
1727064000,123.31,125.35,122.89,124.99,644835
1727150400,127.34,128.42,124.05,124.52,559298
1727236800,125.12,125.39,121.9601,122.79,474078
1727323200,125.29,126.48,122.03,124.23,642027
1727409600,126.71,128.715,125.11,125.7,479756
1727668800,124.64,126.645,122.59,124.14,723354
