T,O,H,L,C,V
1713844800,66.26,66.323,64.19,65.56,538932
1713931200,65.6,67.08,65.47,66.12,472623
1714017600,65.04,69.66,64.83,69.55,975531
1714104000,69.46,70.55,67.2801,70.13,1113320
1714363200,70.13,71.91,69.31,70.91,565107
1714449600,70.73,70.93,67.88,68.35,797314
1714536000,69.18,69.18,67.005,67.9,737642
1714622400,69.75,71.345,65.32,65.49,1101083
1714708800,65.68,66.6,64.1,66.23,621682
1714968000,65.92,67.07,64.74,64.76,651037
1715054400,64.53,67.44,64.08,66.08,494226
1715140800,65.43,66.16,64.07,64.82,593569
1715227200,64.67,66.67,64.1201,65.93,716134
1715313600,66,66.0605,63.4945,63.78,724492
1715572800,63.96,64.84,63.2,63.81,468839
1715659200,64.23,64.65,63.2,63.25,381447
1715745600,63.01,63.92,61.91,63.52,495077
1715832000,63.55,64.1,62.59,63.79,509683
1715918400,64.25,64.71,63.44,64.67,394914
1716177600,64.67,66.14,64.67,65.55,303492
1716264000,65.69,66.94,65.69,66.27,378718
1716350400,65.89,66.95,65.14,66.42,400094
1716436800,66.39,66.66,64.6201,65.23,529326
1716523200,65.83,66.4314,65.475,66.28,244913
1716868800,66.53,68.19,65.73,66.35,386593
1716955200,65.95,66.51,65.02,65.16,398135
1717041600,65.31,66.77,65.29,66.54,359388
1717128000,66.98,68.69,66.98,68.43,472689
1717387200,68.55,73.08,68.55,72.98,1058069
1717473600,72.08,72.28,65.075,65.23,1166904
1717560000,65.01,68.695,64.8049,68.55,774170
1717646400,68.84,70.86,68.57,68.87,559358
1717732800,68.05,68.05,65.32,67.59,705820
1717992000,66.75,67.52,65.19,67.33,585335
1718078400,66.73,67.28,64.73,65.19,730057
1718164800,66.25,67.02,64.64,64.74,400389
1718251200,64.23,65,63.31,64.71,578515
1718337600,64.21,65.24,64.0306,64.08,334202
1718596800,64.58,66.28,64.47,65.26,848784
1718683200,64.97,65.94,64.84,65.16,427660
1718856000,65.12,68.81,64.82,66.46,1177343
1718942400,63.49,64.14,61.44,61.5,2954101
1719201600,61.75,62.89,61,62.69,848593
1719288000,62.64,62.91,60.96,61.03,599123
1719374400,60.89,62.02,60.23,61.98,878467
1719460800,61.94,62.74,60.86,61.48,539219
1719547200,62.7,63.7,61.92,62.77,805540
1719806400,67.95,74.64,67.95,73.37,1675981
1719892800,72.91,74.45,70.88,72.82,1270725
1719979200,73.96,75.53,72.635,73.29,808537
1720152000,73.28,73.28,70.29,71.16,960745
1720411200,71.46,72.65,70.005,70.21,777211
1720497600,70.06,70.21,68.1,68.65,680114
1720584000,68.98,69.64,66.9,67.32,648813
1720670400,68.62,69,66.3801,68.75,658769
1720756800,69.54,72.195,68.86,70.83,667266
1721016000,71.32,73.68,71.27,72.93,795142
1721102400,72.69,73.49,69.09,72.14,967491
1721188800,72.14,73.19,70.48,70.8,733167
1721275200,70.41,71.07,69,69.7,498749
1721361600,69.16,69.16,67.47,68.39,663236
1721620800,67.97,68.88,66.71,68.42,695132
1721707200,67.95,69.06,66.01,68.48,696879
1721793600,68.93,69.72,68.24,68.33,748716
1721880000,66.92,68.41,64.13,67.69,817315
1721966400,68.36,69.62,67.165,69.47,467465
1722225600,69.23,70.24,67.79,68.11,502219
1722312000,68.16,68.46,66.51,66.74,512592
1722398400,67.67,69.97,67.05,69.11,877809
1722484800,68.92,68.92,64.13,64.87,1059907
1722571200,61.25,64.7115,61.12,62.06,1281373
1722830400,58.22,61,56.59,60.25,1168824
1722916800,60.5,62.2699,60.17,60.85,897448
1723003200,62.06,62.51,59.43,59.51,549094
1723089600,61.09,61.58,60,60.86,478590
1723176000,61.39,62.06,60.62,61.49,562268
1723435200,61.68,62.185,60.2,60.54,337050
1723521600,60.54,62.75,59.57,61.92,615325
1723608000,61.67,62.25,56.56,57.36,1350215
1723694400,59.28,59.57,57.56,58.24,822287
1723780800,58.01,59.39,56.99,59.06,579342
1724040000,59.08,60.25,58.905,59.25,381993
1724126400,59.34,59.69,58.02,58.24,441397
1724212800,60.1,61.53,58.905,59.83,1042399
1724299200,59.52,60.34,57.21,57.89,439364
1724385600,58.1,58.6,56.63,58.13,524991
1724644800,58.82,59.0492,57.72,57.94,465020
1724731200,57.91,61.03,57.895,60.36,615136
1724817600,59.47,60.64,58.75,60.36,578601
1724904000,61.03,63.43,61,61.48,859208
1724990400,61.5,61.76,60.48,61.31,600782
1725336000,60,60.54,56.13,56.43,846162
1725422400,56.41,56.4483,54.84,55.53,602573
1725508800,55.11,55.11,53.39,53.71,1060031
1725595200,53.28,53.28,51.465,52.6,1088169
1725854400,52.69,52.88,51.51,52.01,704986
1725940800,51.96,53.06,50.81,51.68,612889
1726027200,51.58,52.25,50.6,52.07,783817
1726113600,52.67,55.7867,52.31,53.67,1177199
1726200000,54.35,55.9,54.225,55.12,792131
1726459200,55.48,55.77,54.37,54.65,578276
1726545600,55,55.29,53.1,53.39,648354
1726632000,53.78,54.54,52.335,52.4,619426
1726718400,54.13,55.31,53.16,55.17,760796
1726804800,55.04,56.4873,54.45,55.09,1695680
1727064000,55.59,56.21,55.07,55.6,547749
1727150400,58.96,61.415,58.7221,59.81,1299206
1727236800,59.6,60.41,58.3,59.15,895623
