T,O,H,L,C,V
1713844800,17.64,18.46,17.64,18.25,121697
1713931200,18.66,18.73,18.1,18.41,57768
1714017600,18.66,19.23,18.54,18.99,119074
1714104000,18.99,18.99,17.46,18.16,185467
1714363200,19.3,19.41,18.6,18.91,267609
1714449600,18.6,18.89,18.3959,18.51,54130
1714536000,18.31,18.96,18.31,18.76,30266
1714622400,19.35,19.58,19.0107,19.56,120034
1714708800,19.54,19.54,19,19.15,155159
1714968000,19.87,19.98,19.59,19.82,205431
1715054400,19.58,19.62,19.06,19.45,104979
1715140800,19.2,19.51,19.19,19.47,76865
1715227200,20.71,21.2,20.49,20.82,272835
1715313600,21.6,21.92,21.55,21.75,316285
1715572800,21.82,21.87,21.42,21.78,121227
1715659200,21.79,21.79,21.3,21.4,83767
1715745600,21.5,21.56,21.32,21.55,147589
1715832000,20.56,21.05,20.49,20.96,119496
1715918400,20.5,20.5,20.06,20.17,48119
1716177600,20.04,20.27,20.01,20.09,73278
1716264000,20,20.09,19.68,19.9,62606
1716350400,19.96,20.17,19.6,19.68,44429
1716436800,18,19.055,18,18.72,172330
1716523200,18.11,18.86,18.11,18.73,92595
1716868800,18.47,19.23,18.455,19.15,198861
1716955200,18.66,18.79,18.5,18.66,43714
1717041600,18.6,18.89,18.48,18.85,47424
1717128000,18.69,18.96,18.31,18.53,62515
1717387200,18.6,18.6,17.17,17.73,157748
1717473600,18.3,18.9,18.13,18.88,141617
1717560000,18.98,19.0211,18.805,18.92,38128
1717646400,18.77,18.77,18.2,18.44,134147
1717732800,17.8,18.34,17.45,17.76,112188
1717992000,17.32,18.27,17.32,18.08,219575
1718078400,17.92,18.185,17.68,17.91,29956
1718164800,17.93,18.07,17.8,17.92,431645
1718251200,18.68,18.88,18.32,18.64,177598
1718337600,18.37,18.45,18.01,18.12,39217
1718596800,18.03,18.03,17.82,17.88,47801
1718683200,17.91,17.99,17.65,17.81,35495
1718856000,17.7,17.7,17.24,17.26,52792
1718942400,17.43,18.15,17.43,17.93,69058
1719201600,18.11,18.2899,18,18.01,38292
1719288000,18.01,18.31,17.77,17.82,22580
1719374400,17.83,18,17.67,17.82,14324
1719460800,17.61,17.64,17.41,17.44,52780
1719547200,17.53,17.66,17.05,17.12,36544
1719806400,17.34,17.8,17.3,17.56,86328
1719892800,17.34,17.34,17.17,17.22,65922
1719979200,17.39,17.67,17.28,17.52,63898
1720152000,18.4,18.555,18.16,18.46,168721
1720411200,17.4,17.47,16.64,16.7,170259
1720497600,16.8,17.43,16.65,16.85,291067
1720584000,17,17.19,16.29,16.65,485416
1720670400,17.37,18.12,17.36,17.78,373776
1720756800,18.72,19.6,18.72,19.4,661542
1721016000,19.06,19.4,18.68,18.7,152581
1721102400,18.7,18.81,18.35,18.65,458041
1721188800,18.72,19.37,18.72,19.13,158249
1721275200,19.3,19.35,19.03,19.19,66029
1721361600,19.07,19.14,18.8425,18.94,42011
1721620800,19.63,20.34,19.63,20.22,102711
1721707200,18.93,19.17,18.74,18.9,74992
1721793600,18.8,19.1,18.53,18.74,84131
1721880000,18.2,18.28,17.85,18.01,90168
1721966400,18.01,18.56,18.01,18.56,29933
1722225600,18.61,18.75,18.16,18.28,37945
1722312000,18.25,18.25,17.8,18,586374
1722398400,18.8,19.73,18.59,19.44,97267
1722484800,18.9,18.9,18.18,18.48,119101
1722571200,18.52,19.44,17.84,18.13,578139
1722830400,17.75,18.29,17.71,18.23,158515
1722916800,19.68,20.53,19.615,20.22,195641
1723003200,20.2,20.2,19.51,19.63,73046
1723089600,19.5,19.965,19.45,19.85,111695
1723176000,19.85,20.51,19.71,19.87,47896
1723435200,20.03,20.55,19.86,20.3,79597
1723521600,20.41,20.41,19.85,20.31,49146
1723608000,19.88,19.88,18.94,19.11,120136
1723694400,19.66,19.7,19.4,19.65,102777
1723780800,19,19,18.26,18.47,135717
1724040000,18.55,18.64,18.355,18.47,113010
1724126400,18.23,18.24,17.69,17.97,120257
1724212800,18.16,18.17,17.88,17.93,73225
1724299200,18.16,18.16,17.71,17.89,63222
1724385600,17.53,17.735,16.98,17.26,68956
1724644800,17.31,17.72,17.15,17.17,56504
