T,O,H,L,C,V
1713844800,12,12.56,11.91,12.33,3337778
1713931200,12.46,12.6,12.145,12.34,3109777
1714017600,12.04,12.36,11.955,12.27,2293283
1714104000,12.36,12.75,12.31,12.5,3601184
1714363200,12.56,12.815,12.42,12.55,3670292
1714449600,12.39,12.595,12.24,12.53,2748679
1714536000,12.42,13.16,12.185,12.51,4817881
1714622400,12.49,12.49,11.65,12.24,6123305
1714708800,12.21,12.37,11.2,11.26,12039588
1714968000,11.8,11.9,11.45,11.65,18675973
1715054400,13.635,13.635,12.07,12.35,25707767
1715140800,12.08,12.16,11.64,12.15,12703632
1715227200,12.27,13.01,12.22,12.92,10467561
1715313600,12.88,12.9698,12.17,12.29,7000486
1715572800,12.33,12.98,12.07,12.89,7092419
1715659200,13.25,13.86,13.12,13.74,8719079
1715745600,14,14.07,13.5,13.84,5397204
1715832000,13.83,14.11,13.6,14.04,3391833
1715918400,14.12,14.67,14.0034,14.57,5436821
1716177600,15.95,20.11,15.85,18.6,70740855
1716264000,18.18,18.6,17.35,17.56,21745834
1716350400,17.11,17.415,16.06,16.17,16267107
1716436800,16.73,16.74,15.66,15.83,11200598
1716523200,16.12,16.98,16.02,16.88,10022632
1716868800,17.3,19.15,17.24,19.1,21134206
1716955200,18.67,19.59,18.48,19.58,12412546
1717041600,19.73,21.44,19.5,20.37,19129122
1717128000,20.115,20.38,18.89,19.42,15992201
1717387200,19.98,21.17,19.7,20.49,12900963
1717473600,20.15,20.87,19.41,20.83,7911054
1717560000,21.03,21.75,20.5501,21.75,10205094
1717646400,21.5,21.73,20.83,21.57,6835282
1717732800,21.31,21.95,20.7,20.79,9721513
1717992000,20.68,22.1,20.6,21.62,8403869
1718078400,21.47,22.13,21.06,22.04,7589348
1718164800,22.75,24.35,22.67,23.68,14705256
1718251200,23.7,24.56,23.24,24.37,9570095
1718337600,24.15,24.435,23.52,23.75,7955537
1718596800,24.17,25.5,23.21,24.15,14548493
1718683200,23.59,25.74,23.5301,24.79,11898449
1718856000,24.5,24.55,21.92,22.39,15374537
1718942400,22.5,22.52,20.92,22.15,11832590
1719201600,22.02,22.88,21.8,22.15,9566944
1719288000,22.18,23.47,22.16,23.16,8502620
1719374400,22.82,23.06,20.96,21.56,11273510
1719460800,19.45,20.68,18.8,20.02,25638885
1719547200,20.2,20.45,19.4742,20.19,20714279
1719806400,20.4,21.48,20.19,21.42,8701568
1719892800,21.29,21.97,20.53,21.21,5375148
1719979200,21.27,21.2982,20.41,20.49,3818126
1720152000,20.49,20.78,20.02,20.78,4081301
1720411200,20.88,21.42,20.48,20.51,5418040
1720497600,20.4,20.759,19.92,20.69,5058447
1720584000,21.21,21.32,19.83,20.21,5331366
1720670400,20.93,21.36,20.62,21.05,6380325
1720756800,21.15,22.57,21.1,21.72,8662246
1721016000,22.06,23.43,21.9501,22.84,8121921
1721102400,23.35,23.955,22.8131,23.11,7128769
1721188800,22.72,23.33,21.81,21.99,6543933
1721275200,22.41,22.66,20.22,20.37,8874415
1721361600,20.73,21.115,19.0401,19.42,15012447
1721620800,20.01,20.6,19.8,20.34,7170814
1721707200,20.3,22.92,20.17,22.77,9439690
1721793600,22.25,22.76,21.92,22.51,5957741
1721880000,22.41,23.68,21.76,23.25,7763617
1721966400,23.72,24.24,21.36,21.77,11507156
1722225600,21.87,22.37,21.34,21.71,4537352
1722312000,21.73,22.287,21.1,21.2,5348602
1722398400,21.55,21.97,21.115,21.24,6471851
1722484800,20.92,22.2499,17.8,18.51,26801456
1722571200,17.86,17.98,17.25,17.58,11376940
1722830400,16.35,18.08,15.87,17.84,22811678
1722916800,17.525,17.78,16.01,16.88,21036004
1723003200,16.8,16.8399,15.81,16.04,12904594
1723089600,15.99,16.28,14.75,15.85,18217059
1723176000,16.05,16.44,15.8,15.96,8244545
1723435200,15.97,16.655,15.6903,15.97,8066541
1723521600,16.13,16.22,15.39,15.98,8290240
1723608000,16.1,16.2,15.41,15.43,6904207
1723694400,15.9,16.06,15.56,15.71,6925376
1723780800,15.66,15.7999,15.35,15.58,6810201
1724040000,15.6,16.7,15.6,16.56,7045871
1724126400,16.71,16.93,16.02,16.53,6515595
1724212800,16.71,16.8,16.08,16.57,5351704
1724299200,17.29,17.61,16.33,16.46,9802388
1724385600,16.74,17.38,16.54,16.73,7369501
1724644800,16.78,16.78,15.9255,16.05,5935853
1724731200,14.82,15.45,14.76,14.84,13887656
1724817600,14.45,15.05,14.4,14.64,7675022
1724904000,14.74,14.985,14.575,14.73,4899857
1724990400,14.81,14.94,14.37,14.73,5448531
1725336000,14.65,14.72,14.305,14.5,6558967
1725422400,14.33,14.83,14.1702,14.61,4018726
1725508800,14.49,14.67,14.16,14.43,3824195
1725595200,14.31,14.42,13.47,13.65,9235427
1725854400,13.96,14.19,13.7,13.97,6024971
1725940800,13.86,14.64,13.84,14.53,5752659
1726027200,14.55,15.5,14.53,15.27,6851287
1726113600,15.24,16.405,15.19,15.82,10276874
1726200000,16.25,16.91,16.0908,16.57,8820048
1726459200,16.45,16.68,16.1304,16.28,4883826
1726545600,16.5,16.69,15.89,16.1,5082757
1726632000,16.27,16.8,16.15,16.31,4715749
1726718400,17.12,17.19,16.63,16.92,6794616
1726804800,16.81,16.9,15.73,16.3,11135622
1727064000,16.46,16.53,16.195,16.44,3949053
1727150400,16.6,17.29,16.36,17.27,5986248
1727236800,17.37,17.52,17.04,17.26,4011223
1727323200,17.55,18.08,17.2501,17.71,5489554
1727409600,17.81,17.95,17.03,17.77,5526378
1727668800,17.87,18.645,17.605,18.42,7020985
1727755200,18.5,19.36,17.91,19.31,10062503
1727841600,19.16,19.24,18.3,18.95,6008539
1727928000,16.95,17.3872,16.05,17.13,25320934
1728014400,17.55,17.74,16.69,17.66,8065513
1728273600,18.75,19.99,18.61,19.44,25996671
1728360000,18.5,19.17,18.29,18.75,49075136
1728446400,18.32,19.2,18.15,18.73,8671435
1728532800,18.01,18.23,17.53,17.85,11351712
1728619200,17.8,18.73,17.36,18.69,8557074
1728878400,20,21.19,19.7,20.5,19101323
1728964800,20.41,22.945,20.08,22.8,17277363
1729051200,22.64,23.07,22.19,22.36,8478678
1729137600,21.8,22.28,21.245,21.56,7421278
1729224000,21.76,22.16,21.1,22.15,6348394
1729483200,22.2,23.31,21.86,23.05,8054515
1729569600,22.8,23.74,22.55,23.59,7418563
1729656000,23.15,23.1989,20.7702,21.38,11670632
1729742400,21.62,21.97,21.16,21.52,5932049
1729828800,21.5,22.2,21.27,21.73,3971015
1730088000,22.46,23.21,22.36,23.08,6136291
1730174400,23.16,23.5618,22.21,22.24,6379306
1730260800,21.54,21.8621,18.63,19.04,25749069
1730347200,19.11,19.19,18.325,18.83,10792990
1730433600,19,20.59,18.7,20.36,12244980
1730696400,20.15,21.35,20.03,20.76,18449725
1730782800,22.08,22.28,19.54,20.64,41777353
1730869200,21.6,24.68,21.36,23.42,36942830
1730955600,23.4,24.35,23.28,23.62,13278124
1731042000,23.6,23.61,21.41,23.41,17983781
1731301200,24.8,29.68,24.39,27.88,38534696
1731387600,26.46,28.37,26.16,26.69,15916196
1731474000,29.12,30.44,27.51,27.6,21430893
1731560400,24.08,25.45,20.21,20.85,62791616
1731646800,21.335,21.38,19.1501,19.32,32409622
1731906000,19.5,21.92,19.29,20.99,23682945
1731992400,20.585,23.64,20.02,23.53,22845338
1732078800,23.05,23.12,21.44,21.79,18420528
1732165200,21.9,24.58,21.36,24.15,24054422
1732251600,23.715,25.37,23.0304,25.33,17465082
1732510800,26.49,31.395,26.37,31.35,49446680
1732597200,29.9,31.678,29.37,30.68,19613585
1732683600,31.49,35.02,30.0301,30.34,24738795
1732856400,30.24,32.65,29.8,32.22,10258617
1733115600,33.56,33.99,30.715,30.85,15623273
1733202000,31.29,33.93,30.7711,32.21,13983261
1733288400,32,34.41,31.9,33.92,14816315
1733374800,33.1,34.88,31.54,31.6,14224395
1733461200,32.64,34.5,31,34.23,13460709
1733720400,34.3,34.86,32.6,32.63,10909174
1733806800,32.25,32.3,29.68,30.87,14460595
1733893200,30.51,30.51,28.72,30.19,13123945
1733979600,30.2,32.22,30.09,30.09,8481272
1734066000,29.72,30.6,28.4,30.02,7944350
1734325200,29.58,31.4,28.51,31.25,9336447
1734411600,32.2,33.14,30.16,31.12,14673214
1734498000,31.34,31.625,28.19,28.55,13605718
1734584400,26.04,27.81,24.62,26.36,31501260
1734670800,26.04,27.13,25.31,26.2,17296326
1734930000,26.93,27.7,26.2,27.6,11008700
1735016400,27.97,28.29,27.37,28.15,4484632
1735189200,28.05,30.23,27.75,28.49,9867761
1735275600,28.46,28.71,26.38,26.56,8871107
1735534800,25.54,26.1299,25.01,25.17,9286152
1735621200,25.6,25.7,24.11,24.18,8836955
1735794000,24.62,25.85,24.2,25.2,9574232
1735880400,25.11,26.755,25.06,26.63,7243069
1736139600,27.35,28.2,26.36,26.9,9048376
1736226000,27.68,28.81,26.26,27.67,10929196
1736312400,26.7,28.2998,25.47,25.73,11265210
1736485200,24.15,25.61,24.07,25.41,9237140
1736744400,24.77,26.38,24.21,25.9,11874800
1736830800,25.9,26.59,25.16,26.21,7157048
1736917200,27.24,27.95,25.94,27.86,10510585
1737003600,28.09,28.68,26.65,27.94,9732034
1737090000,27.69,28.09,25.56,27.85,18881043
1737435600,28.68,30,28.01,29.81,11636049
1737522000,29.73,30.19,28.75,29.72,7627166
1737608400,29.03,30.91,28.48,30.89,9509040
1737694800,31,32.07,30.6518,30.87,8964285
1737954000,29.29,31.87,29.1,30.51,10985036
1738040400,31,32.73,30.35,31.54,7679353
1738126800,31.9,32.3299,30.92,31.86,6040517
1738213200,32.18,34.35,32.09,33.96,11315839
1738299600,34,37.96,33.68,37.28,19710511
1738558800,35.01,39.74,35,38.93,19020383
1738645200,39.33,41.98,38.38,41.85,16473401
1738731600,42,44.43,41.4,42.2,17368952
1738818000,41.9,43.16,39.27,40.47,15790469
1738904400,41.48,46.01,41.48,42.55,21856479
1739163600,43.23,45.1776,41.3042,44.77,13148773
1739250000,44.18,45.14,42.7101,43.58,7245077
1739336400,43,46.495,42.8,46.34,9167901
1739422800,47.53,59.55,47.1426,59.18,42823838
1739509200,60.02,64.84,58.6237,60.47,38734288
1739854800,60.7,60.99,56.36,58.5,21100912
1739941200,59.26,72.98,58.695,68.74,59517449
1740027600,65.08,67.3799,59.6,66.41,30853028
1740114000,53.51,57.37,49.05,49.28,88977005
1740373200,48.14,52.72,43.81,51.31,63215359
1740459600,39.88,43.22,36.02,39.86,82827022
1740546000,40.24,44.62,39.92,41.89,45066583
1740632400,43.21,45.8,40.46,41.34,40655102
1740718800,40.43,45.31,40.14,45.09,30500112
1740978000,44.97,46.3489,39.663,40.68,25679013
1741064400,37.99,42.19,36.8149,40.49,24460304
1741150800,37.79,41.32,37.42,40.89,21294342
1741237200,37.4,38.69,34,34.39,31345377
1741323600,34.41,36.2684,32.68,35.95,23580215
1741579200,34.11,37.1499,33.3305,34.47,29199376
1741665600,34.77,37.69,34.3,34.71,23553728
1741752000,36.15,37.28,32.77,33.93,21357495
1741838400,33.48,33.64,31.01,31.54,19828529
1741924800,32,33.29,31.5101,33.14,17092941
1742184000,33.65,35.69,32.59,34.69,18134416
1742270400,34.31,34.39,31.26,31.49,15345652
1742356800,31.73,34.9401,31.0237,33.88,17741853
1742443200,33.27,34.25,32.36,32.87,15791147
1742529600,32.6,35.2,31.88,34.75,49693260
1742788800,35.85,38.18,34.92,37.41,26407432
1742875200,37.82,38.69,35.77,37.04,17549593
1742961600,37.78,37.945,33.25,33.36,17428613
1743048000,32.96,33.3,31.78,31.92,15241690
1743134400,31.59,31.8899,28.9,29.14,20932195
1743393600,27.77,30.17,27.22,29.55,19861575
1743480000,29.705,33.7,28.76,31.05,46231101
1743566400,29.16,31.25,28.95,31.22,25183719
1743652800,28.4,29.87,27.805,27.99,19702740
1743739200,26.3,27.0932,23.97,25.99,27692808
1743998400,24.5,30,23.9716,27.77,26512926
1744084800,29.8,29.9,25.12,26.1,26805681
1744171200,26.25,30.28,25.43,29.49,34893118
1744257600,28.49,28.87,26.02,26.81,19393457
1744344000,26.77,27.34,25.71,27.23,16252881
1744603200,28.72,29,27.2,28.31,13987442
1744689600,28.49,29.84,28.15,29.46,14703654
1744776000,28.65,28.7198,26.212,26.95,20733004
1744862400,25.16,27.4398,25.155,27.23,18498421
1745208000,26.61,26.9387,25.25,25.84,10878153
