T,O,H,L,C,V
1713844800,8.37,8.44,8.36,8.41,3075950
1713931200,8.41,8.42,8.31,8.35,5161288
1714017600,8.32,8.42,8.31,8.4,2270344
1714104000,8.38,8.485,8.38,8.45,2892681
1714363200,8.45,8.48,8.41,8.47,2491040
1714449600,8.56,8.635,8.48,8.53,6439016
1714536000,8.37,8.41,8.275,8.35,3539993
1714622400,8.28,8.44,8.275,8.32,9937614
1714708800,8.39,8.4,8.29,8.3,11740715
1714968000,8.29,8.36,8.14,8.24,6075874
1715054400,8.31,8.3399,8.26,8.33,5294535
1715140800,8.3,8.31,8.12,8.19,7064071
1715227200,8.26,8.32,8.235,8.26,4174839
1715313600,8.27,8.2873,8.215,8.24,3618743
1715572800,8.3,8.34,8.24,8.25,5766702
1715659200,8.3,8.33,8.255,8.32,9201479
1715745600,8.45,8.4599,8.4,8.41,8872461
1715832000,8.4,8.49,8.255,8.37,13372317
1715918400,8.4,8.52,8.39,8.51,11451940
1716177600,8.57,8.61,8.5,8.51,10676525
1716264000,8.53,8.62,8.495,8.52,14459865
1716350400,8.4,8.58,8.4,8.5,6195999
1716436800,8.55,8.55,8.43,8.46,3906186
1716523200,8.39,8.45,8.34,8.38,5100088
1716868800,8.38,8.43,8.37,8.39,3084588
1716955200,8.31,8.36,8.265,8.35,4006022
1717041600,8.4,8.42,8.38,8.38,2483287
1717128000,8.38,8.45,8.37,8.44,3581017
1717387200,8.41,8.5,8.4001,8.47,6153966
1717473600,8.43,8.44,8.31,8.38,4129271
1717560000,8.5,8.54,8.465,8.54,2725314
1717646400,8.57,8.62,8.55,8.58,3329895
1717732800,8.52,8.56,8.49,8.52,3657122
1717992000,8.31,8.38,8.28,8.38,4378056
1718078400,8.3,8.34,8.265,8.32,2458327
1718164800,8.39,8.415,8.3101,8.32,2575683
1718251200,8.36,8.51,8.35,8.48,6297471
1718337600,8.33,8.41,8.32,8.39,2536509
1718596800,8.32,8.39,8.3,8.37,2857845
1718683200,8.37,8.47,8.35,8.46,5267737
1718856000,8.44,8.53,8.4395,8.52,4061227
1718942400,8.54,8.59,8.52,8.57,4138125
1719201600,8.59,8.675,8.58,8.64,5238531
1719288000,8.61,8.63,8.55,8.57,2214971
1719374400,8.5,8.55,8.48,8.5,2669213
1719460800,8.51,8.51,8.395,8.43,2891967
1719547200,8.33,8.335,8.26,8.26,3453165
1719806400,8.34,8.415,8.31,8.32,3275515
1719892800,8.28,8.335,8.245,8.33,2500229
1719979200,8.39,8.47,8.3705,8.46,1761770
1720152000,8.44,8.49,8.405,8.47,2462828
1720411200,8.57,8.57,8.49,8.49,2580072
1720497600,8.59,8.65,8.58,8.61,3717486
1720584000,8.67,8.75,8.63,8.73,8889116
1720670400,8.75,8.82,8.745,8.8,3216358
1720756800,8.85,8.94,8.83,8.9,2482788
1721016000,8.86,8.87,8.78,8.78,3006033
1721102400,8.75,8.775,8.68,8.75,5471508
1721188800,8.82,8.94,8.81,8.92,3682737
1721275200,8.95,8.9952,8.87,8.91,3491557
1721361600,8.91,8.94,8.89,8.91,1704176
1721620800,8.98,8.99,8.89,8.92,2767712
1721707200,8.85,8.89,8.795,8.84,3980968
1721793600,8.88,8.98,8.88,8.97,5824756
1721880000,8.99,9.19,8.985,9.14,9808456
1721966400,9.15,9.28,9.135,9.23,6835187
1722225600,9.27,9.275,9.12,9.15,3682651
1722312000,9.09,9.12,9.01,9.1,4477915
1722398400,9.18,9.2,9.12,9.15,5155531
1722484800,9.4,9.49,9.25,9.33,4923938
1722571200,9.61,9.73,9.55,9.63,6995874
1722830400,9.6,9.615,9.41,9.51,8983101
1722916800,9.41,9.56,9.395,9.52,4897298
1723003200,9.57,9.66,9.565,9.61,5425251
1723089600,9.61,9.68,9.59,9.62,3975098
1723176000,9.73,9.83,9.705,9.81,4278131
1723435200,9.76,9.77,9.62,9.72,6133524
1723521600,9.69,9.825,9.68,9.78,2903318
1723608000,9.72,9.8,9.71,9.77,2642340
1723694400,9.85,9.865,9.78,9.8,4236847
1723780800,9.73,9.7577,9.66,9.68,2089614
1724040000,9.76,9.81,9.74,9.77,4365018
1724126400,9.79,9.87,9.775,9.85,4080287
1724212800,9.86,9.9,9.84,9.87,2523838
1724299200,9.89,9.91,9.855,9.88,2564997
1724385600,9.88,9.94,9.84,9.9,2997390
1724644800,9.87,9.93,9.83,9.87,1456103
1724731200,9.91,10,9.91,9.97,3188380
1724817600,10,10.035,9.97,9.99,1999460
1724904000,10.02,10.1,10.01,10.09,3711508
1724990400,10.2,10.23,10.105,10.18,3156359
1725336000,10.14,10.18,10.12,10.16,2196953
1725422400,10.18,10.3,10.18,10.29,2337132
1725508800,10.32,10.37,10.295,10.32,2767269
1725595200,10.38,10.405,10.33,10.33,4378421
1725854400,10.37,10.44,10.335,10.39,2907570
1725940800,10.43,10.5,10.42,10.5,3197958
1726027200,10.51,10.51,10.39,10.43,2954086
1726113600,10.37,10.395,10.275,10.38,2616800
1726200000,10.45,10.52,10.44,10.51,4554504
1726459200,10.64,10.65,10.5659,10.62,4575324
1726545600,10.6,10.665,10.585,10.65,3235926
