T,O,H,L,C,V
1713844800,111.58,113.87,110.985,113.49,168736
1713931200,112.6,113.87,109.96,113.34,148432
1714017600,112.14,113.63,110.7,113.38,180088
1714104000,113.68,114.86,112.1,114.53,160552
1714363200,114.99,115.2,113.89,114.22,127746
1714449600,113.82,114.89,111.54,111.72,143084
1714536000,111.95,114.41,110.9,112.54,193308
1714622400,113.91,115.595,112.4575,115.33,145115
1714708800,116.89,116.89,114.495,115.67,216404
1714968000,116.49,118.13,115.48,117.81,97824
1715054400,117.71,119.19,117.22,117.52,111588
1715140800,116.48,117.8,115.81,116.5,114160
1715227200,116.88,116.89,114.92,115.84,184647
1715313600,115.95,116.365,114.25,115,413962
1715572800,116.03,116.03,114.74,114.74,139896
1715659200,116.26,117.28,114.28,115.47,222826
1715745600,116.6,118.83,116.43,117.99,772309
1715832000,118.38,119.32,117.49,117.75,168510
1715918400,118.22,118.22,115.45,115.6,253473
1716177600,115.86,118.505,115.44,118.47,271928
1716264000,118.22,120.0339,116.3,119.39,147042
1716350400,119.34,120.3,118.18,119.21,308026
1716436800,122.72,126.87,119.24,124.22,444462
1716523200,126,129.02,124.45,126.95,486911
1716868800,128.8,130.97,124.88,130,440931
1716955200,128.09,128.26,123.7425,123.97,337090
1717041600,124.28,126.085,123.79,124,268684
1717128000,124.57,127.765,122.07,125.49,532488
1717387200,126.06,127.596,123.17,123.43,195327
1717473600,122.64,122.64,120.55,120.79,166709
1717560000,121.83,123.46,120.04,123.4,152765
1717646400,123,124.26,120.85,121,164404
1717732800,120.07,120.58,118.22,118.57,269958
1717992000,118.5,121.57,118.46,120.57,197710
1718078400,120.01,121.73,119.59,121.73,140971
1718164800,124.65,125.995,122.71,122.94,163308
1718251200,122.53,122.53,118.07,118.22,223466
1718337600,115.45,117.59,115.4101,116.22,240742
1718596800,116.24,117.28,114.85,115.52,186924
1718683200,115.75,117.96,115.08,116.49,293106
1718856000,115.52,119,115.52,117.86,247885
1718942400,117.76,119.195,116.1752,117.53,407009
1719201600,117.15,118.805,116.73,116.86,191730
1719288000,116.95,118.115,115.59,117.97,234189
1719374400,117.42,119.72,117.24,117.73,295104
1719460800,118.26,121.62,118.08,121.31,337868
1719547200,122.68,124.315,121.23,123.58,1464761
1719806400,123.79,123.79,120.86,123.12,244936
1719892800,123.56,127.28,123.56,127.26,224028
1719979200,127.61,128.03,125.73,126.14,130573
1720152000,125.91,128.87,124.88,127.02,252840
1720411200,127.57,128.52,125.69,126,233217
1720497600,126.21,126.93,125.035,126,258906
1720584000,126.77,129.35,125.97,129.12,230217
1720670400,131.65,135.24,131.25,134.76,471302
1720756800,136.16,138.305,136.07,137.39,256108
1721016000,138.46,140.5181,134.3353,137.24,394633
1721102400,137.45,142.235,137.45,141.58,495179
1721188800,139.48,142.53,139.48,142.13,381036
1721275200,142,145,138.25,141.01,429450
1721361600,141.12,141.61,139.38,139.89,261204
1721620800,140.8,143.66,139.46,143.09,338773
1721707200,142.77,144.78,141.14,141.88,301409
1721793600,141.15,142.0621,138.93,139.19,259671
1721880000,139.72,144.9,136.09,141.85,331394
1721966400,144.27,146.28,143.17,144.11,295252
1722225600,144.16,145.09,142.52,142.63,199037
1722312000,143.69,145.315,141.6696,143.4,222702
1722398400,145.34,146.69,143.57,144.37,359370
1722484800,144.45,145.02,136.72,140.17,340427
1722571200,134.48,136.1,130.5,133.07,437078
1722830400,126.09,129.24,123.98,126.2,422812
1722916800,130,134.43,124.69,133.27,510013
1723003200,135.41,138.27,131.59,131.64,274334
1723089600,134.1,137.27,133.105,136.75,303422
1723176000,136.65,137.39,134.53,137.08,293606
1723435200,136.94,137.59,135.635,136.01,226549
1723521600,136.99,139.635,136.9,139.15,265638
1723608000,139.96,140.355,138.625,139.82,269348
1723694400,143.11,143.11,139.91,142.03,164729
1723780800,141.42,143.19,141.42,143.09,187726
1724040000,143.63,145.42,142.12,145.15,173102
1724126400,145.69,147.09,142.16,142.8,140764
1724212800,144.18,145.34,142.305,145.13,149918
1724299200,144.99,147.25,143.965,147.25,179073
1724385600,148.4,151.65,147.53,151.45,229078
1724644800,152.48,153.93,151.72,152.91,208658
1724731200,152.17,154.5,151.23,153.6,230858
1724817600,152.67,153.57,149.94,149.94,201965
1724904000,150.72,151.1,149.11,150.08,178242
1724990400,150.69,152.97,149.18,152.84,232124
1725336000,151.25,152.62,147.76,148.54,228436
1725422400,148.14,150.36,145.94,149.15,259326
1725508800,149.59,151.25,146.55,148.28,191921
1725595200,149.21,150.55,144.6,145.74,228896
1725854400,154.6,161.1899,151.43,151.89,1234788
1725940800,151.83,152.185,146.475,148.57,547835
1726027200,148.34,149.01,144.685,147.67,408516
1726113600,147.6,150.47,147.1,150,383479
1726200000,151.72,154.33,149.395,152.87,378518
1726459200,153.64,156.01,152.17,153.23,515639
1726545600,154.58,157.56,153.43,157.37,506010
1726632000,157.63,162.64,156.69,158.62,986452
1726718400,163.3,163.3,158.375,161.25,708119
1726804800,161.18,164.45,159.77,163.25,5945406
1727064000,164.03,165.825,162.68,164.78,509955
1727150400,165.12,167.765,164.42,166.88,573482
1727236800,167.56,168.12,164.8,165.72,338471
1727323200,167,168.8575,166.08,167.2,274154
1727409600,167.64,169.015,166,166.67,250071
1727668800,166.28,168.76,165.32,168.39,289476
1727755200,168.71,169.62,165.96,168,337804
1727841600,167.21,169.51,166.64,168.43,175751
1727928000,168.04,171.15,167.275,170.83,249936
1728014400,173.8,175,171.71,173.6,245097
1728273600,172.52,173.6,170.765,172.02,349555
1728360000,172.35,175.06,171.965,173.01,292152
1728446400,172.77,177.62,172.77,175.14,449702
1728532800,174.75,174.75,171.42,172.58,401564
1728619200,172.64,175.49,172.64,174.74,340893
1728878400,175.33,177.37,174.28,177.16,211893
1728964800,177.13,179.175,175.68,176.13,236340
1729051200,177.5,179.49,176.67,178.275,206950
1729137600,179.27,181.27,178.37,181,295658
1729224000,181,181.955,179.83,180.92,232474
1729483200,180.33,181.325,178.73,179.13,217617
1729569600,178.2,178.43,175.79,177.78,249006
1729656000,176.6,177.98,174.0347,175.64,252118
1729742400,176.22,178.6,175.29,177.93,239006
1729828800,179.4,180.98,175.425,177.85,193608
1730088000,179.7,183.11,178.07,182.61,475713
1730174400,181.36,183.205,181.22,182.82,330056
1730260800,182.26,185.095,181.87,182.22,291462
1730347200,181.69,183.3375,178.09,179.64,255399
1730433600,180.21,181.375,179.03,179.9,340854
1730696400,179.555,181.335,177.91,178.65,341145
1730782800,178.95,181.82,178.95,180.24,450985
1730869200,189.1,196.6,186.25,192.63,1015084
1730955600,190.43,191.38,186.72,189.42,461216
1731042000,189.7,194.88,188.54,194.47,450922
1731301200,197.89,202.56,196.75,201.62,285175
1731387600,201.77,203.72,196.62,196.9,359560
1731474000,197.67,199.26,190.39,190.39,361481
1731560400,193.33,194.44,190.16,193.18,300295
1731646800,193.85,193.85,190.41,191.88,249700
1731906000,192.1,192.4699,188.3,191.33,227610
1731992400,188.6,194.91,188.6,194.41,265887
1732078800,194.74,196.2975,192.325,194.48,157887
1732165200,196,200.395,195.22,198.17,211850
1732251600,199.67,201.0299,197.78,199.55,264915
1732510800,201.53,203.63,200.33,201.57,265012
1732597200,200.35,201.475,198.365,199.36,204483
1732683600,199.5,200.79,191.8,192.02,406288
1732856400,192.99,194.61,191.75,192.4,184886
1733115600,192.58,193.685,187.75,191.92,241533
1733202000,192.59,196.95,191.615,191.96,254874
1733288400,192.08,193.125,189.49,190.7,235846
1733374800,190.4,190.4,185.19,185.47,416931
1733461200,185.41,185.965,180.88,181.48,433942
1733720400,182.34,183.57,175.685,176.8,481001
1733806800,177.08,177.9855,174.01,174.55,545844
1733893200,175.99,177.55,172.91,173.99,476083
1733979600,173.99,175.36,169.76,171.23,934718
1734066000,171.23,173.29,168.8,169.24,510141
1734325200,169.63,170.055,166.69,167.52,1111259
1734411600,166.43,167.32,162.2,163.41,708307
1734498000,163.76,164.75,151.68,152.51,802376
1734584400,153.56,156.63,150.685,151.4,773061
1734670800,148.97,153.94,148.645,150.68,1662623
1734930000,150.01,151.09,148.76,150.07,529868
1735016400,150.57,151.76,149.29,150.58,238105
1735189200,149.55,155.19,149.02,154,344516
1735275600,153.07,153.44,149.75,151.55,301598
1735534800,150.43,150.43,147.37,147.78,290581
1735621200,148.96,149.24,147.585,148.05,268403
1735794000,148.9,150.36,147.07,149.15,333011
1735880400,150.26,151.665,149.295,150.27,349201
1736139600,142.95,146.79,142.94,146.74,402721
1736226000,146.74,148.795,144.25,147.265,428978
1736312400,145.69,148.23,144.97,147.93,338492
1736485200,144.62,144.89,138.27,139.76,300891
1736744400,137.84,139.125,136.874,138.05,475426
1736830800,138.51,141.6525,136.22,141.14,564830
1736917200,146.85,147.4681,143.424,144.61,272192
1737003600,145.27,149.73,145,149.59,353412
1737090000,150.89,151.42,147.8675,150.26,457867
1737435600,153.94,157.6,153.26,157.13,428630
1737522000,157,160.67,156.81,160.14,552383
1737608400,158.8,159.98,156.91,159.86,356997
1737694800,158.42,161.93,157.82,160.99,302379
1737954000,158.38,159.99,156.675,158.63,448722
1738040400,158.33,160.69,157.295,159.6,386896
1738126800,159.34,161.06,157.3,157.38,327016
1738213200,160.38,160.83,157.525,159.46,212830
1738299600,159.97,161.25,158.765,159.18,294793
1738558800,153.95,159.1285,151.46,158,536242
1738645200,165.37,168.08,157.47,161.4,890514
1738731600,163.01,172.37,162.74,170.18,727105
1738818000,170.45,170.57,166.52,166.83,500632
1738904400,167.26,169.2,166.53,167.19,445072
1739163600,169.07,169.07,164.115,166.39,350579
1739250000,157.25,158.76,149.56,156.59,2030735
1739336400,154.81,154.88,150.89,153.87,656643
1739422800,154.67,154.6787,150.56,151.83,463246
1739509200,152.8,156.61,152.5,156.19,413127
1739854800,156.78,159.52,155.26,159.52,445034
1739941200,158.31,160.275,157.4109,159.96,517878
1740027600,159.72,159.93,152.58,157.26,844043
1740114000,158.77,159.425,151.4,151.46,641616
1740373200,153.07,155.275,151,153.14,775101
1740459600,153.63,155,149.06,153.98,449798
1740546000,154.93,157.69,152.95,153.78,500716
1740632400,154.5,156.24,150.62,151.65,430584
1740718800,150.11,156.42,148.36,156.32,621524
1740978000,156.68,160.18,151.66,152.59,479342
1741064400,149.97,150.115,143.03,146.94,454552
1741150800,147.54,153.3,145.08,153.03,466543
1741237200,150.31,151.59,146.115,147.59,509068
1741323600,146.69,149.84,139.39,145.94,718095
1741579200,142.05,143.835,135.82,137.87,587446
1741665600,139.35,142.69,136.98,140.05,614224
1741752000,142.77,145.66,140.21,141.47,763986
1741838400,141.78,141.78,138.005,139.01,744651
1741924800,140.64,143.58,139.33,142.56,585176
1742184000,142.51,145.88,140.125,145.15,498984
1742270400,142.55,145.46,141.77,144.74,312873
1742356800,145.95,151.99,144.615,150.57,397275
1742443200,148.6,151,147.66,149.2,469358
1742529600,148.74,151.37,145.34,150.64,1209451
1742788800,153.8,157.13,151.87,155.89,458511
1742875200,155.93,158.06,154.16,157.61,371258
1742961600,158.08,158.16,153.12,154.02,309185
1743048000,153.1,153.1,149.02,150.81,357387
1743134400,150.81,152.4,146.2295,147.08,382110
1743393600,144.28,149.7,141.71,148.67,399818
1743480000,148.73,153.94,147.875,151.92,413614
1743566400,149.19,156.4936,146.67,155.48,427267
1743652800,144.54,145.485,140.63,140.89,657404
1743739200,134.64,137.84,128.87,135.66,1098402
1743998400,127.77,141.25,126.59,134.12,1176736
1744084800,140.75,143.38,124.1,126.65,792481
1744171200,125.89,148.72,124.645,147.08,1251958
1744257600,142.03,144.99,134.06,138.07,558908
1744344000,137.51,138.9,131.51,137.21,550071
1744603200,138.67,141.23,135.92,140.87,574196
1744689600,141.69,143.91,140.21,141.35,337491
1744776000,139.23,140.005,133.04,135.05,923068
1744862400,135.74,139.76,134.22,137.73,816917
1745208000,136.48,139.215,128.73,131.4,403727
