T,O,H,L,C,V
1713844800,8.61,8.9,8.61,8.86,28170
1713931200,8.95,9.53,8.95,9.45,70526
1714017600,9.31,9.34,9.16,9.3175,36654
1714104000,9.4,9.52,9.4,9.52,48015
1714363200,9.5,9.59,9.5,9.59,53900
1714449600,9.5,9.59,9.5,9.57,27479
1714536000,9.51,9.51,9.32,9.37,32650
1714622400,9.5,9.5,9.38,9.475,760199
1714708800,9.55,9.65,9.5,9.6335,27510
1714968000,9.62,9.98,9.62,9.98,81236
1715054400,10.21,10.5,10.21,10.4,169397
1715140800,10.06,10.52,10.06,10.52,28720
1715227200,10.14,10.54,10.14,10.4,26962
1715313600,10.26,10.38,10.1,10.25,23638
1715572800,10.12,10.37,10.12,10.348,14988
1715659200,10.37,10.4,10.26,10.38,67686
1715745600,10.35,10.71,10.35,10.655,28994
1715832000,10.5,10.66,10.4,10.4,79378
1715918400,10.1901,10.54,10.1901,10.5395,42703
1716177600,10.43,10.43,10.1,10.315,33052
1716264000,10,10.27,10,10.12,28292
1716350400,10.25,10.46,10.14,10.35,39853
1716436800,10.5,10.64,10.4388,10.56,128001
1716523200,10.66,10.8425,10.57,10.815,53689
1716868800,11.19,11.47,11.17,11.45,63746
1716955200,11.13,11.13,11.01,11.11,39256
1717041600,10.99,10.99,10.83,10.99,29868
1717128000,10.65,10.65,10.48,10.6325,46838
1717387200,10.7,10.8797,10.7,10.8456,74010
1717473600,10.64,10.64,10.4,10.43,43777
1717560000,10.6,11.29,10.6,11.1213,30142
1717646400,11.03,11.03,10.9,10.9,44096
1717732800,10.7,10.9994,10.63,10.88,29743
1717992000,10.9,11.07,10.81,11,65886
1718078400,11.05,11.1,10.95,11.1,43541
1718164800,11.09,11.79,11.09,11.69,103784
1718251200,11.69,11.91,11.68,11.83,59285
1718337600,12,12.3,11.75,12.3,1323952
1718596800,12,12.5,12,12.5,1305768
1718683200,12.19,12.44,12.13,12.3521,61467
1718856000,13,13.41,12.5,13.34,1285268
1718942400,13.16,13.16,12.68,12.68,628159
