T,O,H,L,C,V
1713844800,17.1675,17.22,17.13,17.2152,575640
1713931200,17.95,17.95,17.535,17.657,445120
1714017600,17,17,16.795,16.9388,294270
1714104000,17.837,17.856,17.622,17.769,249850
1714363200,17.804,17.944,17.795,17.932,166360
1714449600,18.722,18.722,18.45,18.45,386290
1714536000,18.38,18.593,18.323,18.5679,113720
1714622400,18.658,18.705,18.567,18.636,137310
1714708800,18.8274,18.9,18.765,18.899,142320
1714968000,18.9485,19.091,18.9485,19.048,155620
1715054400,18.975,18.9883,18.895,18.901,184080
1715140800,18.311,18.388,18.311,18.388,112970
1715227200,18.3,18.38,18.282,18.38,110860
1715313600,18.036,18.588,18.036,18.505,115540
1715572800,18.505,18.58,18.331,18.435,1637750
1715659200,18.866,18.866,18.567,18.65,596610
1715745600,18.555,18.621,18.465,18.555,2352890
1715832000,18.61,18.61,18.272,18.272,251660
1715918400,18.31,18.595,18.31,18.449,793750
1716177600,18.6,18.6859,18.578,18.599,519610
1716264000,19.045,19.117,18.9,19.0615,201250
1716350400,19.1,19.1,18.821,18.839,200920
1716436800,19.201,19.281,18.978,19.01,152710
1716523200,19.8825,19.93,19.8566,19.89,243750
1716868800,20.2966,20.348,20.209,20.269,263520
1716955200,19.578,20.3,19.578,19.919,317420
1717041600,19.903,20.183,19.903,20.082,219770
1717128000,20.2,20.5675,20.2,20.553,287680
1717387200,20.9,21.189,20.9,20.967,905960
1717473600,21.2,21.248,21.0975,21.191,273490
1717560000,20.6,20.784,20.5796,20.742,329780
1717646400,20.9042,20.9388,20.799,20.85,353660
1717732800,20.929,20.944,20.855,20.902,443850
1717992000,22,22,21.794,21.925,144860
1718078400,21.438,21.664,21.438,21.606,269070
1718164800,21.9905,22.0091,21.73,21.773,864110
1718251200,21.8,21.824,21.256,21.38,1365030
1718337600,21.619,21.731,21.538,21.677,559010
1718596800,21.5,21.5,21.2202,21.4325,207310
1718683200,21.4,21.463,21.2156,21.3,177990
1718856000,21.556,21.576,21.4052,21.477,182450
1718942400,21.1,21.4,20.956,20.98,260950
1719201600,21.103,21.249,20.957,21.095,698210
1719288000,21.711,22.104,21.711,22.061,470230
1719374400,21.964,22.652,21.515,21.975,583570
1719460800,22.201,23.017,22.201,22.829,343020
1719547200,22.799,22.799,22.116,22.518,164800
1719806400,22.5,23.15,22.5,22.964,423410
1719892800,23.799,23.8,22.601,23.165,564540
1719979200,22.2,23.094,22.105,22.939,143850
1720152000,23.604,23.753,22.48,23.112,180940
1720411200,22.999,23.551,22.501,23.264,5819470
1720497600,24.167,24.2,23.5,23.812,181830
1720584000,24.34,24.34,23.625,24.105,530478
1720670400,23.63,23.9,23.335,23.4,670676
1720756800,23.6,23.95,23.365,23.365,428124
1721016000,23.3,24.065,23.2,23.215,1197778
1721102400,24,24.615,23.6,24.045,328430
1721188800,23.81,24.335,23.235,23.88,362858
1721275200,23.475,23.71,23.185,23.275,424042
