T,O,H,L,C,V
1713844800,325.43,328.18,320.47,327.98,1624723
1713931200,335,336.4,309,315.98,3488954
1714017600,314.73,315.705,308.1879,311.41,1837737
1714104000,309.25,310.99,305.83,305.9,1213131
1714363200,305.53,307.5,301.82,303.15,1742572
1714449600,303.63,306.12,301,302.09,1879224
1714536000,299.5,320.54,298.6063,314.21,2625787
1714622400,314.4,321.31,312.4333,320.98,1677933
1714708800,319.8,321.0399,316.6,320.54,1802675
1714968000,321.47,322.885,318.01,319.23,1420369
1715054400,318.31,324.98,318.31,324.63,1072329
1715140800,325.01,327.32,322.24,324.14,1500216
1715227200,325.39,335,324.715,334.68,1977618
1715313600,336,338.46,334.1949,335.59,1340172
1715572800,335.41,344.64,335.41,339.58,1852988
1715659200,341.21,344.85,338.4,344.5,2037823
1715745600,345.25,347.36,342.49,347.15,1687115
1715832000,348.37,356.41,348.105,355.19,2168368
1715918400,355.6,356.78,352.86,356.2,1435649
1716177600,356.2,356.59,353.55,355.22,1430417
1716264000,356.96,357.14,353.96,355.63,953622
1716350400,355.18,357.91,354.89,356.6,795375
1716436800,354.09,354.64,351.525,352.22,2132548
1716523200,353.31,353.31,347.7,349.3,1583481
1716868800,349.26,350.58,346.35,349.21,1604283
1716955200,345.96,348.02,328.09,345.31,2159169
1717041600,345.1,352.59,343.26,347.38,1350061
1717128000,350.15,358.33,348.965,358.12,1757939
1717387200,356.37,365.13,355.9501,364.2,1285149
1717473600,362.73,363.4,358.04,360.87,1526609
1717560000,361.69,362.74,357.51,361,1275361
1717646400,360.27,365.5,353.425,355.43,1562540
1717732800,355.65,355.9,350.51,351.8,875933
1717992000,349.19,351.95,343.63,349.34,1168607
1718078400,349.79,354.62,349,351.77,913029
1718164800,352.75,352.75,348.25,352.38,1042161
1718251200,353.53,365.49,349.11,358.1,1480748
1718337600,354.71,359.53,353.17,358.93,867077
1718596800,355.55,356.9,353.18,355.25,610018
1718683200,356.34,358.17,349.19,349.55,693495
1718856000,350.71,358.46,349.55,357.42,1473581
1718942400,358.41,360.54,354.73,355.48,1633238
1719201600,356.76,358.83,353.95,358.04,1441708
1719288000,357.4,358.72,355.69,355.8,616582
1719374400,357.45,361.8,357.3,361.09,642710
1719460800,360.11,363.43,358.77,362.98,664235
