T,O,H,L,C,V
1713844800,23.95,24.26,23.88,24.03,1639529
1713931200,23.97,24.03,23.66,23.99,1467130
1714017600,23.87,23.98,23.49,23.67,1688121
1714104000,23.76,24.12,23.69,23.99,1083334
1714363200,24.18,24.48,24.1,24.48,1721249
1714449600,24.27,24.465,23.86,23.86,1647368
1714536000,23.88,24.41,23.72,23.82,2164498
1714622400,24.06,24.35,23.82,24.32,3033333
1714708800,23.96,25.92,23.96,24.53,3363854
1714968000,24.8,25,24.43,24.78,2268352
1715054400,24.92,25.48,24.85,25.34,2166635
1715140800,25.18,25.35,24.865,25.14,2135121
1715227200,25.23,25.23,24.845,24.86,1382528
1715313600,24.96,25.11,24.73,24.83,1613850
1715572800,24.89,25.1,24.71,24.73,2098742
1715659200,24.92,25.315,24.92,25.22,1395611
1715745600,25.47,25.58,25.11,25.13,1427021
1715832000,25.17,25.2,24.88,24.91,1251228
1715918400,25.04,25.26,24.9925,25.18,889889
1716177600,25.18,25.28,25.01,25.16,893558
1716264000,25.02,25.22,24.92,25.09,1275228
1716350400,24.95,25.78,24.95,25.44,2393179
1716436800,25.56,25.56,24.83,25.06,1836791
1716523200,25.2,25.23,24.82,25,1229284
1716868800,25.11,25.42,24.74,24.83,993671
1716955200,24.48,24.63,24.09,24.1,2714986
1717041600,24.1,24.795,24.06,24.7,1600042
1717128000,24.77,24.87,24.59,24.8,1833501
1717387200,25.06,25.06,23.955,24,1864774
1717473600,23.78,23.87,23.48,23.5,1518273
1717560000,23.66,23.92,23.395,23.88,1589912
1717646400,23.78,23.95,23.545,23.7,1355474
1717732800,24.04,24.35,23.725,23.78,3325209
1717992000,23.57,24.58,23.57,24.45,2293126
1718078400,24.34,24.3799,23.99,24.11,1136710
1718164800,24.75,24.9,24.59,24.59,1493842
1718251200,24.55,24.66,23.995,24.14,1967469
1718337600,23.56,23.78,23.075,23.26,1779841
1718596800,23.29,23.395,22.98,23.26,1039314
1718683200,23.3,23.44,22.92,22.97,1225414
1718856000,22.9,23.435,22.81,23.25,1900254
1718942400,23.24,23.47,23.06,23.44,2843105
1719201600,23.5,23.67,23.195,23.36,2016711
1719288000,23.23,23.31,22.71,22.9,1397615
1719374400,22.68,22.94,22.56,22.89,1170126
1719460800,22.82,22.915,22.595,22.72,925091
1719547200,22.69,22.885,22.58,22.77,2889649
1719806400,22.81,22.92,22.32,22.38,1472482
1719892800,22.41,22.61,22.26,22.6,1319690
1719979200,22.71,22.835,22.49,22.49,494907
1720152000,22.35,22.47,21.49,21.74,3858642
1720411200,21.94,22.01,21.6,21.73,4320976
1720497600,21.69,21.97,21.411,21.46,2884546
1720584000,21.57,21.94,21.49,21.9,1438824
1720670400,22.13,22.77,22.13,22.59,2276310
1720756800,22.88,22.93,22.53,22.55,2564731
1721016000,22.55,22.88,22.5,22.78,2194587
1721102400,22.84,23.7,22.82,23.67,2825914
1721188800,23.59,24.02,23.38,23.72,2570630
1721275200,23.56,23.94,23.31,23.47,1622660
1721361600,23.41,23.54,22.77,23.04,1279562
1721620800,23.12,23.28,22.7,23.16,1332493
1721707200,23.2,23.59,22.96,23.51,1384216
1721793600,23.4,23.62,22.905,22.99,1571804
1721880000,22.88,23.42,22.68,23.07,2039654
1721966400,23.22,23.42,22.97,23.41,1359124
1722225600,23.6,23.75,23.38,23.74,1530023
1722312000,23.74,23.95,23.5319,23.87,1717882
1722398400,24.02,24.33,23.84,23.93,2173070
1722484800,24,24.21,22.895,23.1,1770104
1722571200,22.51,22.561,21.91,22.48,2689722
1722830400,21.77,21.91,21.19,21.48,3495678
1722916800,21.4,21.94,20.625,20.69,3834688
1723003200,21.15,21.25,20.235,20.29,2779962
1723089600,20.45,20.595,19.97,20.3,1830314
1723176000,20.26,20.41,20.04,20.28,1577412
1723435200,20.13,20.2,20.02,20.02,2008465
1723521600,20.1,20.55,19.91,20.39,1720001
1723608000,20.59,20.6,20.235,20.36,1219074
1723694400,20.72,21.08,20.63,20.84,1582151
1723780800,20.78,20.96,20.71,20.89,1461275
1724040000,20.9,21.07,20.88,20.94,924826
1724126400,20.86,20.91,20.71,20.75,972568
1724212800,20.88,21.18,20.86,21.16,1020944
1724299200,21.17,21.36,20.925,21,1218255
1724385600,21.19,21.97,21.07,21.92,1766929
1724644800,22.03,22.355,21.95,21.97,1463007
1724731200,21.9,22.06,21.76,21.83,1213261
1724817600,21.71,21.86,21.63,21.78,1347185
1724904000,21.98,22.19,21.905,21.95,1087754
1724990400,22.07,22.25,21.84,22.05,1250340
1725336000,21.74,21.98,21.305,21.32,1066108
1725422400,21.22,21.98,21.22,21.9,2912065
1725508800,22,22.26,21.75,21.91,2627624
1725595200,21.85,22.01,21.19,21.5,2754221
1725854400,21.45,21.61,21.27,21.5,3001050
1725940800,21.48,21.495,21.12,21.28,3114292
1726027200,21.25,21.405,20.76,21.28,2220982
1726113600,21.3,21.86,21.18,21.63,2620777
1726200000,21.63,22.24,21.585,22.06,3045503
1726459200,22.03,22.35,21.865,21.95,1378318
1726545600,22.09,22.47,22.04,22.13,778570
1726632000,22.18,22.71,22.06,22.22,2090372
1726718400,22.82,23.1,22.67,22.74,2818069
1726804800,22.53,22.58,22.11,22.52,3009133
1727064000,22.43,22.94,22.43,22.79,1184226
1727150400,23,24.025,22.99,23.7,2777826
1727236800,23.82,23.82,23.415,23.46,1811228
1727323200,23.92,24.915,23.855,24.78,3541517
1727409600,24.93,25.12,24.53,24.55,2114968
1727668800,24.45,24.45,23.9,24.2,1963966
1727755200,24.19,24.24,23.84,24.04,1480579
1727841600,23.98,24.21,23.71,23.72,944210
1727928000,23.58,23.77,23.4,23.71,1646861
1728014400,24.06,24.27,23.92,24.21,1261804
1728273600,24.01,24.24,24.01,24.18,1278950
1728360000,23.35,23.36,22.79,23.28,2923963
1728446400,23.29,23.76,23.16,23.51,1798288
1728532800,23.44,23.8718,23.44,23.76,980783
1728619200,23.74,24.13,23.66,23.94,995849
1728878400,23.88,23.88,23.54,23.66,1221519
1728964800,23.52,23.77,23.35,23.37,962156
1729051200,23.54,23.975,23.485,23.54,1632694
1729137600,23.66,23.675,23.36,23.5,1172206
1729224000,23.48,23.73,23.29,23.71,1489833
1729483200,23.68,23.685,23.04,23.04,1493227
1729569600,23.08,23.08,22.77,22.94,582694
1729656000,22.78,22.92,22.68,22.84,755680
1729742400,22.96,23,22.59,22.85,913699
1729828800,22.81,23.03,22.42,22.45,1335852
1730088000,22.49,22.78,22.43,22.63,911461
1730174400,22.44,22.66,22.135,22.23,1486636
1730260800,22.15,22.69,22.13,22.35,1743205
1730347200,22.41,22.445,21.985,22,1597558
1730433600,21.99,22.22,21.61,21.82,1866626
1730696400,22.03,22.05,21.63,21.74,4106424
1730782800,20.25,21.13,19.9,20.74,4224042
1730869200,21.52,21.64,20.85,20.88,3725843
1730955600,20.96,21.395,20.96,21.14,2521945
1731042000,20.85,20.91,20.25,20.29,3159220
1731301200,20.31,20.52,19.95,19.99,1830777
1731387600,19.65,19.775,19.48,19.49,1920948
1731474000,19.5,19.72,19.3758,19.67,2171986
1731560400,19.73,19.7899,19.14,19.29,3130675
1731646800,19.315,19.61,19.3,19.55,2366447
1731906000,19.5,19.66,19.3,19.47,1521865
1731992400,19.27,19.5,19.145,19.35,1587584
1732078800,19.3,19.43,19.11,19.42,1125457
1732165200,19.36,19.735,19.21,19.62,1400931
1732251600,19.57,19.82,19.49,19.73,2066544
1732510800,19.92,20.17,19.75,19.94,2496795
1732597200,19.87,19.87,19.2,19.43,1572106
1732683600,19.51,19.645,19.32,19.58,1743003
1732856400,19.51,19.75,19.46,19.58,715727
1733115600,19.63,19.91,19.475,19.76,1834648
1733202000,19.92,20.1,19.65,19.81,3453408
1733288400,19.82,20.43,19.65,20.25,3811351
1733374800,20.3,20.56,20,20.08,2963939
1733461200,20.26,20.26,19.725,19.88,2424012
1733720400,20.21,20.94,20.165,20.26,3879837
1733806800,20.15,20.2,19.615,19.7,1895095
1733893200,19.76,19.78,19.34,19.4,1842349
1733979600,19.3,19.5658,19.255,19.32,1058535
1734066000,18.87,19.07,18.65,19.05,1732272
1734325200,18.84,19.0519,18.66,18.81,1849900
1734411600,18.69,19,18.405,18.56,3922230
1734498000,18.5,18.86,18.24,18.3,2805238
1734584400,18.2,18.41,17.67,17.88,3098024
1734670800,17.78,18.39,17.75,18.26,3985995
1734930000,18.21,18.305,17.92,18.13,2417387
1735016400,18.09,18.14,17.8901,18.12,478489
1735189200,18.05,18.18,17.95,18.01,993258
1735275600,17.91,18.13,17.73,17.78,1915925
1735534800,17.71,17.71,17.41,17.57,2120260
1735621200,17.68,18.045,17.65,18.03,2370700
1735794000,18.02,18.145,17.36,17.44,1696404
1735880400,17.43,17.465,17,17,2458791
1736139600,17.14,17.35,16.92,17,2044914
1736226000,17.03,17.35,16.915,16.96,1853893
1736312400,16.78,16.835,16.48,16.51,2389636
1736485200,16.11,16.32,15.95,16.21,3822889
1736744400,16.15,16.755,16.08,16.7,3410704
1736830800,16.88,17.13,16.74,16.78,2901290
1736917200,17.19,17.67,17.1,17.39,5378838
1737003600,17.2,17.42,17.14,17.41,2412674
1737090000,17.49,17.92,17.49,17.87,4500918
1737435600,17.96,18.09,17.83,17.92,2001373
1737522000,17.85,17.85,17.45,17.48,1071476
1737608400,17.42,17.59,17.26,17.36,1666640
1737694800,17.44,17.55,17.175,17.2,1386211
1737954000,17.33,17.42,16.94,17.34,2289439
1738040400,17.39,17.71,17.325,17.54,2014581
1738126800,17.38,17.7,17.3,17.46,2171607
1738213200,17.43,17.49,16.76,17.28,3127698
1738299600,17.22,17.26,16.77,16.83,2462882
1738558800,16.38,16.435,15.67,16.16,3356235
1738645200,16.16,16.62,16,16.51,1750508
1738731600,16.45,16.495,16.14,16.32,2061795
1738818000,16.44,17.26,16.24,17.24,4983071
1738904400,17.28,17.32,16.93,17.02,3206317
1739163600,17.28,17.28,16.94,16.99,2524784
1739250000,16.97,16.97,16.62,16.87,2822952
1739336400,16.61,16.84,16.42,16.77,3214198
1739422800,16.8,17.17,16.71,16.98,3270169
1739509200,17.32,17.455,16.87,16.99,4397613
1739854800,16.64,18.35,16.5,17.8,6685674
1739941200,17.44,18.2,17.345,18.04,4039065
1740027600,18.21,18.53,17.66,17.78,3686252
1740114000,17.93,18.15,17.52,17.6,2334043
1740373200,17.61,17.715,17.48,17.55,2986266
1740459600,17.68,18.06,17.605,17.69,3563690
1740546000,17.83,17.83,17.12,17.2,2204316
1740632400,17.09,17.21,16.79,16.91,3001481
1740718800,16.85,17.13,16.7,16.93,3790085
1740978000,17.11,17.24,16.015,16.04,2443671
1741064400,15.81,16.42,15.46,16.04,4029946
1741150800,16.4,17.81,16.3,17.46,5806278
1741237200,17.64,18.08,17.33,17.81,4746516
1741323600,17.7,17.725,16.85,17.31,5263548
1741579200,17.23,17.78,17.2,17.26,3537499
1741665600,17.35,17.57,16.775,17.41,3650697
1741752000,17.43,17.525,16.365,16.52,4390144
1741838400,16.53,17.27,16.53,16.93,2712939
1741924800,17.13,17.48,17.0301,17.28,3119364
1742184000,17.29,17.88,17.29,17.66,3125318
1742270400,17.66,17.76,17.3,17.44,2093196
1742356800,17.08,17.17,16.69,16.81,4601822
1742443200,16.61,16.73,16.05,16.34,3296132
1742529600,16.15,16.32,15.79,16.27,4131993
1742788800,16.41,16.76,16.3,16.43,2851369
1742875200,16.52,16.53,16.07,16.12,1848176
1742961600,16.13,16.38,15.92,16.09,1686143
1743048000,15.95,16.27,15.61,16.2,4007379
1743134400,16.08,16.085,15.525,15.82,3458254
1743393600,15.59,15.975,15.22,15.79,4536828
1743480000,15.64,15.65,15.23,15.43,2718802
1743566400,15.27,15.655,15.27,15.52,2922388
1743652800,14.79,14.905,13.705,13.89,4883852
1743739200,13.36,13.62,12.46,13.43,6377535
1743998400,12.75,13.8,12.395,13.1,5171242
1744084800,13.64,13.85,11.99,12.25,4614538
1744171200,12.12,14.37,11.9,14.26,9064049
1744257600,13.9,13.9,12.83,13.44,4193863
1744344000,13.21,13.675,12.985,13.65,3458520
1744603200,13.96,14.04,13.35,13.72,2809951
1744689600,13.6,13.6,13.055,13.1,2989845
1744776000,13.1,13.315,12.65,12.85,3731863
1744862400,13,13.31,12.93,13.04,2705288
1745208000,12.84,12.97,12.51,12.77,6732311
