T,O,H,L,C,V
1713844800,113.12,116.06,112.42,114.69,1041485
1713931200,114.75,116.33,114.34,115.64,667339
1714017600,115.41,117.965,114.8403,117.34,941113
1714104000,117.49,117.67,115.515,116.15,717423
1714363200,115.71,117.74,115.37,116.73,767733
1714449600,116.86,117.15,115.05,115.12,913647
1714536000,115.35,117.93,114.91,116.9,1105194
1714622400,117.61,120.39,117.43,119.8,1677498
1714708800,119.43,120.37,116.7,120.12,1459563
1714968000,120.76,122.04,120.56,122.01,761305
1715054400,122.24,122.88,120.34,120.54,934640
1715140800,121.15,121.59,118.96,119.72,701956
1715227200,119.72,120.485,118.55,119.13,840540
1715313600,119.2,120.62,119.15,120.11,566982
1715572800,120.12,120.97,119.71,120.25,522098
1715659200,120,121.87,119.875,121.8,613095
1715745600,121.66,122.26,120.65,122.01,677828
1715832000,122.23,122.61,121.18,121.82,558343
1715918400,122.83,123.94,122.01,123.82,604541
1716177600,123.95,125.76,123.9,125.55,700878
1716264000,125.5,126.83,125.03,126.6,659459
1716350400,126.39,126.62,125,125.06,692520
1716436800,125.66,127,123.24,124.42,891787
1716523200,125.3,128.18,125.08,128,660518
1716868800,128,129.19,127.26,128.6,690973
1716955200,127.67,128.95,127.22,127.95,674099
1717041600,128.25,128.6099,126.64,127.54,552909
1717128000,127.51,127.72,122.14,125.72,1714009
1717387200,126.315,127.24,124.1634,126.59,993619
1717473600,126.57,127.41,124.33,124.7,1098409
1717560000,125.2,126.17,124.17,125.46,674739
1717646400,125.33,125.8,122.5675,122.61,724541
1717732800,123.5,125.51,123.06,123.74,871463
1717992000,123.18,125.86,122.7,125.46,672793
1718078400,124.66,124.77,121.632,123.35,646519
1718164800,123.19,123.35,119.61,121.71,1049102
1718251200,121.41,121.87,120.1,121.27,722149
1718337600,120,121.08,118.9,120.14,763713
1718596800,120,121.2499,119.32,121.06,462315
1718683200,120.9,121.035,119.55,119.74,576743
1718856000,120.13,120.77,119.7,120.25,938815
1718942400,120.36,120.67,118.16,120.18,1063813
1719201600,120.08,123.07,120.07,121.06,752590
1719288000,121.15,122.415,120.84,122.11,549299
1719374400,121.94,123.05,121.13,123,570436
1719460800,123.28,124.17,122.74,122.99,542242
1719547200,123.26,123.39,121.502,122.6,876799
1719806400,124.08,127.135,122.48,126.75,822955
1719892800,127,127.96,126.7,127.7,702081
1719979200,128,129,124.12,125.53,466346
1720152000,124.25,124.715,121.51,123.98,902571
1720411200,125.1,125.6347,123.1301,123.47,502351
1720497600,124.13,126.32,123.56,125.25,604253
1720584000,125.41,126.505,124.73,124.82,775820
1720670400,121.855,123.29,119.41,121.05,1247974
1720756800,121.77,122.5,121.2025,121.61,1031331
1721016000,122.16,125.18,122.14,124.66,1127231
1721102400,124.79,125.06,122.6,123.66,2390024
1721188800,121.36,123.83,116.62,123.37,2893819
1721275200,122.75,122.76,118.725,119.6,1499027
1721361600,119.4,121.17,118.67,120.65,1139587
1721620800,120.65,122.91,120.21,122.3,877387
1721707200,122.46,122.69,121.33,122.07,828529
1721793600,121.59,121.685,117.99,118.12,961484
1721880000,118.83,119.06,116.28,118.57,1173925
1721966400,118.64,119.24,117.52,118.8,839554
1722225600,118.85,119.79,117.51,119.63,898714
1722312000,120.25,121.775,118.94,118.96,734346
1722398400,119.94,121.28,119.14,119.27,672123
1722484800,120,121.6,116.52,119.01,963095
1722571200,116.18,117.155,111.2,112.53,1537422
1722830400,106.77,109.52,103.6901,108.65,1616321
1722916800,109.25,111.735,108.71,110.52,878238
1723003200,112.35,114.45,112.21,112.77,1600803
1723089600,114.22,115.91,113.6,115.48,1050797
1723176000,115,116.965,114.5,116.55,541304
1723435200,117.53,118.33,116.33,117.93,687827
1723521600,118.11,118.86,117.28,117.58,608129
1723608000,118.74,119.8,117.62,118.06,810485
1723694400,120.09,121.06,119.49,120.26,708226
1723780800,120.33,121.08,120.17,120.86,605930
1724040000,120.99,122.04,120.82,121.95,566645
1724126400,121.9,122.1,120.41,120.76,460690
1724212800,120.96,123.5,120.83,123.35,688340
1724299200,123.37,124.39,122.82,124.1,963674
1724385600,124.69,124.69,121.075,123.4,1070784
1724644800,123.8,125.2,123.45,124.3,569168
1724731200,124.5,127.24,124.3,127.12,825377
1724817600,126.59,126.76,125.52,126.32,745588
1724904000,126.76,128.34,126.35,127.07,548367
1724990400,127.13,128.98,126.685,128.89,703516
1725336000,128.12,128.95,126.79,127.4,760343
1725422400,127.13,127.38,125.405,125.52,803846
1725508800,126.01,126.265,124.505,126.06,631129
1725595200,125.91,126.375,121.39,122.54,788544
1725854400,123.65,125.21,123.46,124.22,576627
1725940800,123.45,123.835,120.4613,122.05,497512
1726027200,122.24,123.15,120.04,122.77,661395
1726113600,123.15,123.93,122.3996,123.6,723389
1726200000,124.99,130.105,124.27,128.07,1619151
1726459200,128,130.907,128,128.59,1152730
1726545600,129.35,133.1589,128.5,131.81,1297166
1726632000,131.83,133.42,129.26,130.18,1093441
1726718400,132.37,132.89,130.62,132.45,885079
1726804800,132.4,133.27,131.71,133.02,1268390
1727064000,133.7,135.59,133.7,135.19,799476
1727150400,135.5,136.56,134.83,136.11,710194
1727236800,136.11,137.11,135.39,136.2,726818
1727323200,137.22,138.75,136.3,136.72,886239
1727409600,136.19,137.99,135.5,137.53,898114
1727668800,137.88,139.42,137.395,139.36,1030338
1727755200,138.96,139.98,135.64,138.27,1198207
1727841600,138.79,142.8,138.76,142.62,1091167
1727928000,142.5,145.13,141.49,144.78,1171822
1728014400,146.63,147.85,145.39,147.85,665023
1728273600,148.76,149.355,147.74,148.57,1005337
1728360000,147.85,149.11,147.19,147.59,897641
1728446400,148,149.97,147.54,149.53,1173539
1728532800,149,149.6284,147.83,148.63,707345
1728619200,149.25,151.36,148.95,151.14,854444
1728878400,152.015,152.25,150.82,151.3,805521
1728964800,153,154.75,152.015,152.975,1713363
1729051200,148.225,150.99,140.56,146.78,2867462
1729137600,146.85,150.13,145.9,149.43,1231460
1729224000,149.53,150.3,148.74,148.81,778691
1729483200,148.98,150.02,148.02,149.64,728500
1729569600,148.54,149.26,146.69,148.66,628549
1729656000,147.98,148.53,146.46,147.44,634732
1729742400,147.68,149.14,147.208,148.2,688495
1729828800,148.35,148.74,145.5,147.17,791813
1730088000,148.64,151.1,147.98,150.99,654217
1730174400,151.25,153.93,151.1,152.84,696388
1730260800,153.1,154.645,152.95,154.24,652944
1730347200,154,154.31,151.33,152.58,769559
1730433600,152.745,154.58,152.05,153.78,739908
1730696400,153.98,155.13,153.38,153.93,529951
1730782800,154.03,156.99,153.58,154.91,691804
1730869200,164.98,173.09,164.1,171.69,2404248
1730955600,170,171.38,166.65,166.67,1164104
1731042000,167.3,171.4,165.27,169.74,853999
1731301200,172.41,179.68,172.18,179.49,2144531
1731387600,178.49,181.21,177.37,179.55,1053448
1731474000,179.21,180.28,178.3,178.65,790885
1731560400,179,179.76,176.5,177.9,837633
1731646800,177.78,180.35,177.3,180.21,1262695
1731906000,181,183.015,180.2,182.61,988399
1731992400,181.02,185.77,180.545,185.51,923712
1732078800,188.87,189,185.18,187.86,1244683
1732165200,190.99,192.25,188.53,191.71,1285796
1732251600,192.7,193.21,187.51,191.62,1588832
1732510800,191.91,193.42,188.66,190.98,1633816
1732597200,191.66,193.17,189.72,192.95,947432
1732683600,193.14,193.25,190.415,191.31,784654
1732856400,192.23,192.95,190.245,191.09,576680
1733115600,191.65,193.41,185.54,185.68,1538333
1733202000,187.39,189.737,185.61,186.89,1412927
1733288400,186.38,189.03,184.52,185.97,1328566
1733374800,186.61,187.85,185,186.9,1208854
1733461200,186.78,187.29,184.22,186.96,964798
1733720400,186.96,188.25,178.3,180.17,1619554
1733806800,179.56,180.18,175.71,176,1554491
1733893200,178,181.14,177.16,180.78,1112052
1733979600,181.18,182.53,179.17,180.31,719896
1734066000,181,181.245,177.55,179.49,797154
1734325200,179.49,181.71,179.21,180.2,769540
1734411600,178.28,179.03,174.32,178.9,1129381
1734498000,179.56,179.56,172.33,173.79,948211
1734584400,177.18,178.65,173.63,173.79,906691
1734670800,171.562,177.9899,171.09,175.92,2864423
1734930000,177.73,179.72,175.885,177.6,999338
1735016400,177.96,181.28,177.89,180.5,320803
1735189200,180.5,181.6601,179.8,181.11,420128
1735275600,179.28,181.11,178.01,179,491183
1735534800,177.46,179.78,176.62,178.95,650724
1735621200,179.61,179.61,176.2,176.67,745522
1735794000,177.58,183.29,173.59,182.5,1254086
1735880400,183,186.12,181.8,183.72,1073226
1736139600,186.08,190.12,185.015,190.07,1092897
1736226000,191.7,193.41,184.69,191.17,1760456
1736312400,190.87,191.82,188.7,190.89,939476
1736485200,189.39,189.51,181.55,185.21,1323247
1736744400,183.13,185.23,181.13,183.26,1326417
1736830800,184.415,185.5,180.57,182.64,900452
1736917200,185.77,187.3798,184.62,185.85,1206148
1737003600,186.09,190.2472,186.06,188.16,1037252
1737090000,189,191.31,187.47,190.09,1258332
1737435600,192.635,194.87,190.66,192.83,1982434
1737522000,207,211.1372,202.43,209.78,2947060
1737608400,210,212.84,203.99,208.55,2291776
1737694800,209,220.66,208.89,218.99,3138777
1737954000,212.7,214,201.21,203.87,2428812
1738040400,205.58,208.62,204,207.75,1860810
1738126800,207.51,212.1,206.7,211.25,1628271
1738213200,212.92,221.09,212.92,219.17,2620827
1738299600,220.2,220.25,215.5,217.44,1807713
1738558800,210.43,224.955,209.875,223.48,2273051
1738645200,223.52,224.3999,220.2164,221.48,1671551
1738731600,223.48,234.65,222.2,233.45,2821517
1738818000,234.98,235.295,226.35,228.23,1747737
1738904400,229.15,231.97,227.985,231.14,2005951
1739163600,231.84,232.61,224.72,226.19,1741340
1739250000,226.19,226.19,219,221.47,1434698
1739336400,222.69,230.47,221.24,230.2,1808149
1739422800,231.87,235.86,228.34,234.85,1921590
1739509200,234.24,236.53,228.42,234.12,1673424
1739854800,235.88,236.4999,231.9,235.53,1174415
1739941200,235.5,236.4999,230.0378,232.65,1394207
1740027600,232.195,232.195,220.8,226,2346248
1740114000,227.49,227.945,217.29,218.73,2102946
1740373200,219.33,222.09,210.73,214.61,2299106
1740459600,213.36,213.99,198.89,200.94,2838440
1740546000,203.67,209.87,202.593,206.66,1701073
1740632400,210.095,211.16,202.755,203.5,1319019
1740718800,202.51,206.96,201.41,204.4,7795038
1740978000,209.15,211.63,200.67,201.53,1788946
1741064400,196.29,199.9333,186,196.03,2981868
1741150800,195.71,197.77,193.26,196.69,2046444
1741237200,192.655,194.56,185.22,189.7,2985087
1741323600,188.01,192.44,182.3063,192.17,3299066
1741579200,184.25,185,165.4,167.16,4932441
1741665600,169.365,173.618,166.69,170.34,2756064
1741752000,176.92,177.45,170.35,171.14,2733120
1741838400,171.595,171.595,159.04,161.03,3464880
1741924800,165.22,169.42,163.5,168.11,2229523
1742184000,167.77,175.71,167.77,174.4,1868543
1742270400,171.51,173.58,169.22,172.69,1550388
1742356800,173.04,180.94,171.2175,178.15,1628819
1742443200,175.39,178,174.475,175.86,1829207
1742529600,173.13,173.89,170.4451,173.36,3574655
1742788800,178.24,181.89,177.1122,179.94,1801206
1742875200,181.35,183.73,178,179.4,2051145
1742961600,179.59,179.775,173.23,173.94,2052674
1743048000,172.51,173,166.38,169,3305084
1743134400,166.41,169.02,162.48,164.72,2373092
1743393600,159.29,166.64,157.21,165.59,1762423
1743480000,165.4,173.43,163.27,173.08,2213205
1743566400,170.39,177.58,168.94,174.31,1376704
1743652800,161.34,165.115,158.838,159.48,2138147
1743739200,151.47,152.3,141.445,146.08,2977358
1743998400,137.1,150.69,131.28,144.29,4721430
1744084800,153.57,155.14,144.1,147.02,3203101
1744171200,145.845,173.13,144.9,170.72,4720387
1744257600,163.77,171.21,160.1,164.31,3323554
1744344000,164.31,172.56,163.05,171.35,2479339
1744603200,176.94,177.19,170.915,172.99,1684038
1744689600,173.25,177.3,173.25,173.43,2501404
1744776000,159.4,163.2899,153.2,157.9,7121290
1744862400,159,161.7,156.52,159.52,2280807
1745208000,157.25,157.8,152.3901,153.51,1578543
