T,O,H,L,C,V
1713844800,224.54,238.44,221.37,237.99,269767
1713931200,238.8,241.9851,233.25,235.25,250893
1714017600,227.16,237.165,222.6318,235.22,236544
1714104000,237.98,242.6498,237.7902,239.66,201441
1714363200,241.77,243.41,239.22,243.39,196564
1714449600,240.41,241.6,235.425,235.73,207130
1714536000,236.23,249.49,233.84,240.55,238297
1714622400,242.05,247.05,233.44,244.69,276948
1714708800,252.33,257.45,243.44,243.7,223679
1714968000,247.51,251.44,246.15,249.06,240271
1715054400,248.27,249.788,236.21,236.93,651228
1715140800,234.42,238.86,230.28,232,577041
1715227200,232,243.55,230.59,236.78,388726
1715313600,236.75,237.04,231.48,233.65,259322
1715572800,233.72,234.705,228.23,228.23,290243
1715659200,231.46,232.455,227.7727,231.62,246266
1715745600,237.35,238.495,232.75,233.41,296126
1715832000,231.41,231.41,216.49,216.97,616696
1715918400,217.69,219.15,209.27,211.83,464293
1716177600,212.5,215.24,208.2,213.12,281624
1716264000,212.73,213.01,208.8,211.07,457701
1716350400,210.41,211.15,205.88,207.25,265190
1716436800,208.71,211.04,203.44,209.01,204792
1716523200,211.55,212.67,208.09,212.29,134552
1716868800,212.81,214.25,207.5,209.24,230178
1716955200,206.76,208.3125,203.52,205.61,341482
1717041600,207.47,210.99,204.75,209.59,558261
1717128000,210.46,213.09,208.8,211.84,254146
1717387200,213.59,213.7,209.795,211.81,347021
1717473600,210.21,211.88,207.215,209.81,397349
1717560000,211.38,221.04,210.03,219.82,364399
1717646400,218.67,220.1,213.07,213.62,365164
1717732800,208.89,212.22,205.43,210.17,512976
1717992000,207.53,210.65,207.53,210.25,394634
1718078400,208.81,209.15,205.17,206.87,173083
1718164800,215,224.735,215,220.48,347259
1718251200,219,221.92,217.39,221.9,193226
1718337600,217.19,218,210.58,214.67,195429
1718596800,211.93,214.34,210.04,214.18,287642
1718683200,213.34,214.69,209.28,210.83,309732
1718856000,206.68,210,195.99,198.93,480564
1718942400,198.32,199.9,193.95,197.93,795156
1719201600,198.06,203.27,195.93,198.93,280100
1719288000,197.64,198.37,191.65,196.45,373008
1719374400,196.51,198.605,193.51,197.63,259485
1719460800,198.51,202.35,196.21,202.16,297197
1719547200,204.44,206.36,202.36,205.68,625534
1719806400,206.66,206.81,197.95,201.1,329758
1719892800,198.95,201.56,195.34,198.8,284907
1719979200,199.59,203.35,198.755,199.76,167634
1720152000,199.28,201.38,196.56,199.6,182846
1720411200,201.41,206.8,200.57,206.78,329125
1720497600,204.92,208.33,202.35,204,372415
1720584000,205.43,211.419,204.22,210.33,282853
1720670400,219.48,232.89,218.86,226.86,677629
1720756800,229.45,236.38,229.45,230.79,481879
1721016000,233.1,238.55,232.57,234.31,300444
1721102400,240.56,251.85,238.39,251.22,489301
1721188800,246.84,250.785,241.31,241.31,502498
1721275200,242.76,255.65,241.58,243.65,491658
1721361600,242.75,246.1,238.86,240.54,249598
1721620800,244.01,247.37,238.07,247.17,229034
1721707200,244.37,253.86,242.16,249.89,224336
1721793600,247.83,250.6,240.44,241.2,225213
1721880000,245.47,253.19,241.14,247.73,336161
1721966400,256.88,266.3,256.385,265.53,426959
1722225600,266.81,272.408,262.82,266.37,348846
1722312000,267.2,271.19,263.38,269.59,241379
1722398400,272.35,281.04,267.1,270.35,529119
1722484800,252.985,263.66,229.485,235.89,798910
1722571200,224.1,232.51,222.51,231.74,412575
1722830400,211.42,231.38,209.26,223.01,313684
1722916800,221.25,228.6,213.92,224.1,418666
1723003200,227.57,230.47,206.33,207.73,416871
1723089600,210.79,215.6,207.3,214.76,234332
1723176000,216.19,216.845,212.79,213.07,199792
1723435200,212.73,214.52,208.65,209.99,280751
1723521600,212.37,217.18,210.601,213.3,266119
1723608000,216.18,216.94,207.78,208.1,302983
1723694400,214.82,217.64,209.45,211.28,364341
1723780800,210.16,212.445,206.12,206.82,244197
1724040000,208,212.375,207.71,211.02,203814
1724126400,211.26,214.46,207.27,207.62,269187
1724212800,211.83,220.75,211.83,220.38,461842
1724299200,219.31,221.7106,216,217.72,200159
1724385600,220.3,233.09,219.2,232.29,265179
1724644800,232.5,233.08,226.43,228.19,230451
1724731200,224.93,226.995,221.13,224.67,197245
1724817600,222.74,224.34,220,220.82,205996
1724904000,223.08,223.95,219.42,220.09,125434
1724990400,222.99,224.98,216.495,222.31,158805
1725336000,219.95,222.11,206.37,208.88,213591
1725422400,208.13,211.265,203.02,209.27,189664
1725508800,210.37,210.37,204.21,205.21,185263
1725595200,206.68,210.11,204.12,204.47,254282
1725854400,204.89,206.67,202.81,204.51,310950
1725940800,205.1,207.43,201.325,206.79,197777
1726027200,204.51,206.885,198.97,205.92,260471
1726113600,207.74,213.45,207.005,210.81,157527
1726200000,220.1,224.93,214.24,223.26,287474
1726459200,224.61,230.915,220.23,226.24,247243
1726545600,231.03,239.44,228.89,238.14,384429
1726632000,239.34,245.37,234.89,236.25,330237
1726718400,245.21,246.98,240.83,246.07,283226
1726804800,243.72,244.625,237.945,239.19,551766
1727064000,242.44,244.4051,239.02,243.44,181167
1727150400,243.78,243.78,239.26,241.29,281279
1727236800,238.8,241.98,235.88,238.46,194772
1727323200,244.81,245.36,241.15,245.06,245864
1727409600,247.9,255.84,246.99,250.4,263740
1727668800,248.38,249.36,241.685,246.27,206413
1727755200,247.24,247.91,241.07,246.78,136322
1727841600,243.11,247.45,237.31,245.65,131906
1727928000,244.12,245.46,236.91,241.54,242245
1728014400,244.97,244.97,229.56,238.77,266126
1728273600,234.61,238.15,231.05,237.11,228564
1728360000,238.09,245.99,236.09,241.08,218057
1728446400,241.22,242.515,237.68,239.96,172433
1728532800,235.45,237.76,231.77,233.92,214179
1728619200,233.51,238.92,231.82,238.67,150726
1728878400,241.17,249.65,237.68,249.62,299612
1728964800,251.07,256.865,250.79,251.44,288924
1729051200,254.82,259.59,253.775,254.29,261309
1729137600,254,255.92,250.175,254.08,186659
1729224000,255.99,257.82,253.015,254.42,150602
1729483200,252.22,254.25,240.59,242.96,242229
1729569600,238.6,238.6,234.01,234.75,164745
1729656000,232.11,234.88,226.61,227.08,494713
1729742400,229.61,234.54,227.25,230.62,198962
1729828800,233.14,236.58,230.26,230.44,204094
1730088000,234.7,238.42,232.47,234.71,138735
1730174400,222.82,222.82,205.8,215.44,748226
1730260800,215.44,224.17,214.5,217.31,269522
1730347200,215.54,219.398,214.18,216.9,191016
1730433600,220.07,221.82,216.85,216.85,223828
1730696400,221.29,227.67,218.97,221.07,377654
1730782800,219.44,235.1,219.44,232.55,387616
1730869200,232.29,232.875,215.3,227.69,702780
1730955600,220.41,228,215.02,217.27,554735
1731042000,215.3,215.73,209.9,210.26,577004
1731301200,214.02,214.99,210,210.74,336211
1731387600,209.57,212.6388,207.22,207.65,427958
1731474000,211.36,213.18,207.34,207.73,326612
1731560400,208.94,211.561,207.08,207.98,281887
1731646800,209.47,209.47,199.29,200.02,354601
1731906000,200.63,206.105,199.42,205.12,255382
1731992400,203.6,207.2,201.265,206.91,267341
1732078800,206.29,209.4,204.14,208.53,213873
1732165200,209.91,215.3699,209.64,211.24,248832
1732251600,214.06,217.435,211.01,217.09,349108
1732510800,221.91,238.87,221.91,235.76,477910
1732597200,233.59,233.59,222.24,225.41,334715
1732683600,228.71,229.7724,223.96,225.53,172378
1732856400,229.34,229.44,226.48,228.74,111703
1733115600,227.21,229.52,223.07,224.14,275277
1733202000,223.09,225.12,220,223.29,150673
1733288400,223.3,224.025,220.23,222.85,175853
1733374800,223.21,223.21,213,213.44,177546
1733461200,219.51,219.51,213.24,214.37,173199
1733720400,216.54,218.27,213.99,218.09,178398
1733806800,213.95,215.25,206.06,208.87,269205
1733893200,212.34,212.425,208.43,208.53,260398
1733979600,208.82,210.245,205.55,205.77,271463
1734066000,202.17,202.66,196.4,198.5,387535
1734325200,196.35,200.14,193.8119,195.2,268654
1734411600,194.39,195.655,190.65,192.1,263053
1734498000,194.11,194.4861,181.09,182.55,411316
1734584400,180,183.85,175.51,176.99,435676
1734670800,175.87,181.13,175.87,178.03,666905
1734930000,176.93,178.86,173.85,178.21,242850
1735016400,176.79,180.28,174.9,177.24,85492
1735189200,175.31,177.92,174.1525,176.61,163987
1735275600,175.84,177.69,172.95,174.32,196651
1735534800,175.04,177.02,170.03,174.48,254613
1735621200,176.91,177.43,174.6401,175.25,196877
1735794000,177.79,178.985,172.1974,173.24,254422
1735880400,174.16,176.635,172.925,175.58,215765
1736139600,177.06,180.43,174.97,175.21,177606
1736226000,175.19,176.155,170.52,173.83,250297
1736312400,172.49,177.23,169.02,176.15,241775
1736485200,169.99,174.28,169.37,172,241788
1736744400,171.02,175.64,170.65,174.99,165197
1736830800,180.11,188.24,179.115,187.44,458461
1736917200,199.65,199.65,193.9669,194.46,361471
1737003600,193.77,199.785,193.08,199.04,357739
1737090000,202.89,204.15,195.38,196,382189
1737435600,199.69,202.38,198.195,201.27,369238
1737522000,200.63,206.31,200.33,204.76,421190
1737608400,205,207.57,203.15,205.31,354078
1737694800,205.52,205.88,202.36,204.94,278385
1737954000,205.5,214.1,202.17,203.97,522062
1738040400,203.35,203.35,197.75,197.89,214430
1738126800,197.69,201.8199,195.625,197.29,166596
1738213200,200.05,206.835,198.129,206.22,252631
1738299600,203.79,203.79,197.57,198.84,486731
1738558800,190.91,194.61,185.69,187.62,352084
1738645200,188.55,193.45,186.26,192.79,238838
1738731600,195.48,195.48,191.27,191.82,249095
1738818000,192.94,194.215,188.54,191.32,431851
1738904400,191.75,191.75,179.235,181.99,346661
1739163600,184.74,185.855,182.725,184.77,307718
1739250000,184.05,188.3,182.77,183.57,291606
1739336400,176.02,179.515,175,178.13,348642
1739422800,180.79,180.79,176.74,178.3,270906
1739509200,180.43,184.03,177.86,178.07,275180
1739854800,177,177.875,170.29,173.98,400966
1739941200,170.31,172.31,167.24,170.91,416949
1740027600,169.96,173.1425,167.425,171.59,341868
1740114000,174.4,177.01,163.14,165.5,375533
1740373200,165.25,167.48,162.2,165.32,281189
1740459600,165.69,172.43,165.4,170.99,435384
1740546000,171.03,175.895,168.005,172,1167566
1740632400,171.96,175.85,165.66,170.06,820741
1740718800,170.61,173.59,169.1,171.4,1023300
1740978000,170.91,173.15,161.64,162.22,479823
1741064400,160.88,170.43,159.765,166.17,543693
1741150800,167.57,172.97,166.26,172.44,500622
1741237200,172.13,175.99,170.2,173.96,283234
1741323600,173.63,180.18,170.56,177.04,416181
