T,O,H,L,C,V
1713844800,95.91,99.5301,95.475,97.76,160499
1713931200,97.1,97.58,95.87,96.72,171083
1714017600,95.84,95.84,93.355,94.53,147160
1714104000,94.19,96.59,94.19,94.84,81315
1714363200,95.84,98.37,95.84,97.4,151725
1714449600,95.76,98.275,95.4424,97.92,161794
1714536000,97.83,100.73,97.08,98.29,243665
1714622400,99.5,100.24,97.41,99.04,340489
1714708800,100.97,101.65,98.675,99.99,165174
1714968000,100.71,102.04,99.5786,100.71,300539
1715054400,100.66,103.06,100.55,101.77,357174
1715140800,98.28,106.1,96.97,100.6,521388
1715227200,100.69,108,100.69,106.38,341403
1715313600,106.19,108.94,105.0782,107.1,291915
1715572800,108.39,109.23,107.21,108.37,224061
1715659200,109.6,111.98,104.84,105.25,228338
1715745600,105,106.22,103.58,104.48,181286
1715832000,104.48,106.315,104.02,106.27,112968
1715918400,106.27,106.27,103.89,103.99,121225
1716177600,103.99,104.4,102.92,103.24,112534
1716264000,102.46,102.94,101.72,102.74,137872
1716350400,102.45,107.16,102.45,105.6,273371
1716436800,105.33,105.67,101.3,104.29,226067
1716523200,104.69,104.69,101.09,101.68,218119
1716868800,103.08,106.485,102.235,104.9,245624
1716955200,103.04,104.34,100.91,101.14,133853
1717041600,101.59,104.57,101.44,103.53,161782
1717128000,103.77,106.97,102.69,106.34,366861
1717387200,107.58,111.6,107.405,110.57,295557
1717473600,110.28,110.28,106.815,107.66,246517
1717560000,107.98,109.48,105.2962,108.19,142840
1717646400,108.02,108.95,106.83,108.34,169833
1717732800,106.7,112.7,106.22,112.17,270299
1717992000,111.15,112.09,109.58,110.66,193897
1718078400,110.27,114.075,108.715,112.44,223618
1718164800,115.23,117.495,114.99,115.99,260000
1718251200,115.44,116.61,111.235,113.5,239576
1718337600,112.42,114.405,111.34,113.61,239922
1718596800,116.8,119.7,115.6,118.51,389462
1718683200,117.98,121.625,117.19,119.61,348815
1718856000,118.49,121.9,117.69,120.55,345967
1718942400,119.6,120.33,114.61,116.1,733502
1719201600,116.07,119.489,115.01,116.45,265484
1719288000,116.09,117.45,113.36,114.86,398300
1719374400,114.85,117.53,111.97,117.4,415551
1719460800,117.14,119.42,115.16,118.72,393523
1719547200,119.66,119.98,117.01,118.75,3130411
1719806400,118.5,120.31,114.82,114.88,292148
1719892800,115.26,118.275,115.26,117.53,206400
1719979200,117.48,118.46,117.17,117.98,252001
1720152000,118.04,118.7,116.46,118.35,127017
1720411200,118.88,122.07,118.5,121.97,240029
1720497600,121.86,121.86,118.52,120.25,188974
1720584000,120.54,123.11,119.75,123,155216
1720670400,126.4,130.6,124.5401,128.23,327897
1720756800,129.42,130.2763,125.7,125.98,247516
1721016000,126.04,127.22,124.28,125.77,232915
