T,O,H,L,C,V
1713844800,118.97,128.32,118.925,127.65,167893
1713931200,128.54,130.935,126.48,128.71,185594
1714017600,125.96,127.559,121.6841,127.55,106633
1714104000,128.21,133.34,128.21,131.11,126885
1714363200,132,137.5634,131.38,134.98,141791
1714449600,134.83,139.4599,134.83,135.12,211268
1714536000,134.55,136,128.77,132.54,144532
1714622400,134.67,137.28,133.21,136.86,183456
1714708800,150.17,171.5,148.9928,161.39,387484
1714968000,164.82,174.81,161.9901,168.83,206718
1715054400,170,172.62,167.69,170.96,175444
1715140800,171.82,175.99,169.12,174.84,148108
1715227200,176.45,181.49,174.02,178.2,198157
1715313600,178.96,183.8699,175.3888,182.31,143981
1715572800,183.1,184.38,162.61,162.95,328545
1715659200,163.02,166.87,156.36,165.4,222802
1715745600,167.77,178.01,167.43,174.64,188624
1715832000,175.02,175.94,161.31,162.2,176756
1715918400,163.69,164.19,158.18,159.95,170507
1716177600,159.82,162.475,157.4501,158.68,150900
1716264000,158.4,160.4499,153.53,159.17,132023
1716350400,159.63,161.4,156.89,159.95,93518
1716436800,162.44,164.27,157.3401,158.67,129465
1716523200,160.31,162.38,158.7913,160.5,256305
1716868800,161.25,162.5,155.3301,156.17,133936
1716955200,153.18,155.8963,150,151.89,117886
1717041600,150.23,157.33,150,154.65,102552
1717128000,154.5,159,148.19,152.45,168912
1717387200,153.51,155.45,143.9104,146.89,152146
1717473600,147.77,147.77,133.57,134.97,290210
1717560000,136,139.46,134.1501,137.73,164635
1717646400,136.21,136.69,130.44,131.16,111048
1717732800,129.24,130.9999,126.64,128.15,205609
1717992000,126.72,132.495,125.81,129.58,241648
1718078400,127.81,130.6674,124.55,125.06,227209
1718164800,129.35,140.31,129.15,135.27,257858
1718251200,135.16,138.35,132.94,137.31,133907
1718337600,134.58,137.58,132.61,133.45,123905
1718596800,129.6,135.34,127.5,134.42,106451
1718683200,134.34,136.95,133.2,136.31,134663
1718856000,136.5,139.78,133.43,133.93,138672
1718942400,133.44,133.9263,126.07,132.22,201059
1719201600,132.5,134.02,130.52,131.12,96330
1719288000,131.68,136.225,130.25,136,112263
1719374400,135.64,138.45,134.47,135.91,148757
1719460800,135.69,137.99,134.65,137.49,107346
1719547200,138.91,143.5294,135.49,139.33,295924
1719806400,140.56,141.28,134.7,135.82,138650
1719892800,135,137.35,132.76,135.63,98897
1719979200,135.7,145.05,135.7,144.15,80733
1720152000,144.72,147.75,139.12,139.63,128705
1720411200,141.3,145.22,140.97,141.61,110974
1720497600,141.7,144.04,140.26,140.46,88027
1720584000,141.7,145.07,141.14,144.77,91938
1720670400,148.14,154.0899,147.66,153.6,156880
1720756800,155.25,160.7,155.25,156.69,151604
1721016000,159.77,162.5099,154.685,155.92,193383
1721102400,158.79,161.47,158,158.84,186624
1721188800,155.75,159.8,145.32,146.44,164990
1721275200,149.06,153.8958,142.96,147.52,107987
1721361600,147.57,150.59,146.21,148.42,77561
1721620800,150.05,160.499,150.05,159.65,145542
1721707200,158.5,163.4299,158.5,159.38,257660
1721793600,156.99,158.51,139.72,140.54,276445
1721880000,140.93,142.495,133.82,134.29,317766
1721966400,137.95,144.89,137.95,144.18,154569
1722225600,144.1,146.27,139.54,139.92,126573
1722312000,142.32,144.01,138.13,139.28,113905
1722398400,144,156.8999,144,153.97,176077
1722484800,155.11,157.84,140.74,144.62,182519
1722571200,154.85,158.43,147.11,154.96,311991
1722830400,135,150.88,129.16,150.22,225790
1722916800,150.57,161.87,148.99,157.42,179751
