T,O,H,L,C,V
1713844800,120.82,125.7,120.82,124.46,1303036
1713931200,123.09,124.74,120.82,122.87,1254629
1714017600,121.97,122.035,116.91,121.05,962789
1714104000,119.65,123.73,118.97,122.28,829331
1714363200,123.66,126.16,123.35,124.73,908814
1714449600,122.57,125.35,122.105,123.05,1136953
1714536000,122.4,126.89,121.94,124.68,1401348
1714622400,125.95,126.3,122.19,123.99,1630807
1714708800,127.08,127.89,117.67,117.93,2987105
1714968000,118.04,119.395,115.91,118.98,1803175
1715054400,119,119.426,112.73,112.82,2950232
1715140800,111.31,112.17,108.54,110.62,2848813
1715227200,110.33,112.58,109.87,111.35,1755040
1715313600,111.35,112.24,109.53,110.53,1179720
1715572800,110.96,114.25,110.96,112.77,1685702
1715659200,114.77,119.68,114.25,115.58,1904890
1715745600,118.25,118.28,113.13,115.01,1243824
1715832000,114.4,115.1799,113.21,114.46,997037
1715918400,113.84,113.84,110.65,111.07,1036235
1716177600,111.3,111.53,108.27,108.53,2050717
1716264000,108,108.3,106.82,107.61,1713781
1716350400,106.93,109.69,106,107.39,1654946
1716436800,106.69,107.365,104.66,105.85,1689787
1716523200,106.69,107.25,104.34,106.48,1086821
1716868800,106.88,106.98,103.5,105.03,1490534
1716955200,103.97,104.1699,101.08,101.76,2345322
1717041600,101.37,102.615,100.085,101.05,1991836
1717128000,101.33,104.35,100.76,104.28,3255747
1717387200,104.16,107.6,102.9,103.37,1597476
1717473600,104.26,104.273,101.345,102.06,4034653
1717560000,102.56,106.82,102.56,106.79,2975237
1717646400,106.79,119,105.83,114.715,7209508
1717732800,115,119,111.12,113.7,2850090
1717992000,110.92,110.98,107.15,109.82,3751830
1718078400,109.1,114.03,108.67,112.59,2762624
1718164800,115.65,116.78,108.46,108.51,2147737
1718251200,108.5,111,108.08,109.22,1891097
1718337600,108.5,110.22,107.61,108.66,1605903
1718596800,107.45,109.635,107.05,109.07,2562588
1718683200,108.98,109.49,106.73,108.1,2613371
1718856000,108.02,109.57,106.09,108.25,2780422
1718942400,108.56,109.43,107,108.57,35653154
1719201600,109.4,110.65,108.57,110.24,3139750
1719288000,108.24,112.485,106.26,109.84,2952636
1719374400,109.24,109.24,105.61,105.68,3698635
1719460800,105.5,107.28,104.61,106.46,2173750
1719547200,106.79,107.34,103.52,104.38,3553616
1719806400,104.19,108.43,103.57,105.5,1770537
1719892800,106.19,107.56,105.48,105.51,3067611
1719979200,105.44,106.72,104.17,105.28,986665
1720152000,105.56,109.05,105,108.52,1367613
1720411200,109.33,110.225,107.7582,107.84,1949910
1720497600,107.81,107.94,104.62,106.68,1741633
1720584000,111.4,113.8299,108.0542,113.17,2345333
1720670400,116.7,119.48,114.5,118,2576913
1720756800,118.46,119.9399,115.42,116.09,1612071
1721016000,116.11,117.64,114.52,116.56,1408912
1721102400,117,126.29,116.985,125.23,2571682
1721188800,124.23,125.89,119.87,119.89,1948331
1721275200,119.93,121.51,115.77,115.79,1561239
1721361600,115.43,116.21,113.32,114.49,1372989
1721620800,116.21,118.15,114.36,117.61,1243350
