T,O,H,L,C,V
1713844800,31.76,32.24,30.835,31.39,2943122
1713931200,31.82,32.08,31.12,31.93,1962688
1714017600,31.15,31.86,31.09,31.84,1989589
1714104000,32,32.54,31.73,31.9,1065950
1714363200,32.3,32.51,31.72,31.79,1205732
1714449600,31.53,32.01,30.96,30.97,1964233
1714536000,31.02,31.64,29.93,30.85,3144114
1714622400,30.8,31.25,30.03,30.32,2083119
1714708800,30.7,30.72,29.33,29.84,2098607
1714968000,29.99,30.35,29.74,30.01,1925088
1715054400,29.92,30.41,29.57,29.94,1055283
1715140800,29.71,30.26,29.71,30.16,1470471
1715227200,30.08,30.33,29.71,29.89,967183
1715313600,29.95,30.13,29.29,29.5,1256792
1715572800,29.71,29.78,29.36,29.43,1103033
1715659200,29.55,29.98,29.42,29.64,837849
1715745600,30,30.49,29.82,30.37,1114396
1715832000,30.27,30.3,29.55,29.56,1115824
1715918400,29.57,29.83,29.25,29.52,1213707
1716177600,29.6,30.62,29.6,30.59,1084735
1716264000,30.42,30.52,30.1,30.16,738638
1716350400,30.29,31.15,30.29,30.57,1247202
1716436800,30.75,30.75,29.8,29.87,941443
1716523200,29.7,30.43,29.7,29.9,1102293
1716868800,29.95,30.08,29.66,29.7,807329
1716955200,29.43,29.68,29.12,29.28,559352
1717041600,29.04,29.04,27.99,28.79,1310065
1717128000,28.88,29.03,28.23,28.85,1756824
1717387200,28.91,28.91,27.68,28.27,1036609
1717473600,28.19,28.3,27.82,27.84,880254
1717560000,28.19,28.98,27.92,28.91,1672635
1717646400,28.91,29.73,28.66,28.76,630942
1717732800,28.58,28.9,28.41,28.61,661798
1717992000,28.5,28.8,28.17,28.6,1224759
1718078400,28.66,28.83,27.99,28.66,1704564
1718164800,29.33,30.16,29.225,29.86,1499000
1718251200,29.91,30.19,29.41,29.56,975589
1718337600,29.37,29.71,28.87,29.66,1286452
1718596800,29.6,30.08,29.49,29.91,1466930
1718683200,30,30.61,29.79,30.05,2899419
1718856000,30.11,30.26,29.725,30.03,1817103
1718942400,29.94,30.665,29.815,30.6,2522420
1719201600,30.44,30.67,30.1,30.23,1028689
1719288000,30.3,30.6,29.66,29.82,1220406
1719374400,29.61,29.94,29.39,29.8,1081933
1719460800,29.83,31.1893,29.72,31,1915188
1719547200,31.11,31.59,30.68,30.88,1973240
1719806400,30.89,31.16,30.38,30.45,1136031
1719892800,30.25,30.69,30.01,30.51,1104339
1719979200,30.56,30.83,30.315,30.44,1128878
1720152000,30.56,31.21,30.44,31.2,677720
1720411200,31.21,31.65,30.55,30.6,858934
1720497600,30.48,30.6,28.92,28.96,918222
1720584000,28.98,29.15,28.19,28.3,1133142
1720670400,28.71,28.79,28.04,28.07,1488355
1720756800,28.22,28.56,27.89,27.98,1486364
1721016000,28.25,28.4,27.09,27.21,3045791
1721102400,27.49,27.49,25.68,26.41,6878376
1721188800,26.21,26.22,25.22,25.32,2730690
1721275200,25.62,26.07,24.75,25.01,4382371
1721361600,25.1,25.1,24.4,24.55,1912769
1721620800,24.7,25.15,24.5801,24.94,1761315
1721707200,24.78,25.22,24.48,24.91,2318376
1721793600,24.66,24.92,23.84,23.99,1888901
1721880000,24.3,24.62,23.63,23.99,1833188
1721966400,24.22,24.42,23.7,24.27,1467071
1722225600,24.39,24.51,23.99,24.37,2039311
1722312000,24.25,24.72,23.91,24.07,1868292
1722398400,24.35,25.57,23.55,23.94,4179400
1722484800,24.04,25.26,23.78,24.54,2980364
1722571200,24.26,24.26,23.51,23.8,2467606
1722830400,22.27,23.5,22.075,23.15,2134926
1722916800,23.4,23.71,22.95,23.26,2063749
1723003200,23.58,23.79,23.09,23.11,1364547
1723089600,23.41,23.69,23.02,23.67,1113967
1723176000,23.65,23.9099,23.305,23.51,1666834
1723435200,23.54,23.745,23.36,23.63,1128542
1723521600,23.72,23.92,23.511,23.78,1227933
1723608000,23.85,23.9,23.52,23.58,2623742
1723694400,23.87,23.96,23.64,23.87,1837968
1723780800,23.79,24.02,23.57,24.01,1071190
1724040000,24.06,24.22,23.8,24.22,809844
1724126400,24.15,24.28,23.82,24.27,852721
1724212800,24.28,24.62,24.18,24.58,919369
1724299200,24.59,24.61,24.34,24.37,991160
1724385600,24.54,24.78,24.26,24.56,988818
1724644800,24.63,25.49,24.57,24.82,2869167
1724731200,24.69,25.94,24.69,25,3387439
1724817600,24.88,24.88,24.2,24.47,1224584
1724904000,24.73,25.43,24.25,25.11,4818457
1724990400,25.17,25.29,24.67,24.91,1111842
1725336000,24.9,25.04,24.275,24.41,1141206
1725422400,24.07,24.51,23.71,24.32,1657670
1725508800,24.07,24.62,24.07,24.41,1066821
1725595200,24.5,24.66,23.96,24.18,1648493
1725854400,24.47,24.99,24.37,24.72,1432458
1725940800,24.68,24.97,24.19,24.39,1145081
1726027200,24.56,25.62,24.33,25.5,2500278
1726113600,25.57,25.8,25.21,25.56,1741884
1726200000,25.6,25.78,25.435,25.55,1365163
1726459200,25.59,26.03,25.42,25.65,1604395
1726545600,25.72,25.8,25.41,25.48,1458433
1726632000,25.5,25.5,24.75,25.05,1258389
1726718400,25.53,26.13,25.435,25.51,1746972
1726804800,25.41,25.6,25.12,25.48,3142187
1727064000,25.49,25.525,25.1251,25.45,880702
1727150400,25.5,25.76,25.16,25.66,1110663
1727236800,25.54,25.7,24.98,25.09,1035739
1727323200,25.42,25.56,24.915,25.37,1556107
1727409600,25.46,25.46,25.0321,25.23,590675
1727668800,25.1,25.46,25,25.28,645594
1727755200,25.28,25.34,23.96,23.98,993268
1727841600,23.93,24.54,23.88,24.06,2040342
1727928000,23.9,24.28,23.815,23.96,1485533
1728014400,24.25,25.485,24.07,25.4,1495409
1728273600,25.31,25.35,24.77,25.13,2170337
1728360000,25.17,25.585,25.05,25.46,1299412
1728446400,25.43,26.07,25.41,25.79,918704
1728532800,25.53,26.21,25.425,25.94,826496
1728619200,25.95,26.53,25.895,26.4,1607013
1728878400,26.62,26.87,26.305,26.75,886825
1728964800,26.69,26.84,26.5,26.78,1333856
1729051200,26.76,27.01,26.3,26.87,2282291
1729137600,27,27.06,26.84,27,918133
1729224000,27.08,27.23,26.8,26.83,804251
1729483200,26.9,27.05,26.475,26.82,1480637
1729569600,26.8,26.92,26.54,26.85,686855
1729656000,26.89,26.98,26.25,26.56,1883657
1729742400,26.61,27.14,26.57,26.65,1010570
1729828800,26.72,27.23,26.65,26.72,1164015
1730088000,26.87,26.94,26.31,26.4,1199659
1730174400,26.5,26.89,26.26,26.78,968858
1730260800,26.77,27.01,26.58,26.68,1296725
1730347200,27.29,28.14,27,27.3,2405145
1730433600,27.35,27.46,26.19,26.21,1830575
1730696400,26.26,26.42,25.47,25.61,5610792
1730782800,25.54,26.03,25.22,25.56,2729909
1730869200,26.33,26.87,25.79,26.45,2260969
1730955600,26.7,27.31,26.46,27.1,1003581
1731042000,25.78,25.99,24.64,25,10081289
1731301200,25.19,25.28,24.33,24.49,3909677
1731387600,24.47,24.9,24.08,24.11,2427587
1731474000,24.1,25.59,24.06,25.47,3315500
1731560400,25.46,25.75,25.05,25.26,1547451
1731646800,24.86,25.09,24.5,24.79,2182535
1731906000,25.06,25.76,24.81,25.5,2653435
1731992400,25.26,25.79,25.07,25.74,1428155
1732078800,25.79,25.99,25.43,25.86,864479
1732165200,26,26.83,25.93,26.45,1603079
1732251600,26.56,26.81,26.25,26.36,1497500
1732510800,26.6,27.24,26.35,26.37,2364464
1732597200,26.3,26.769,26.3,26.6,3033966
1732683600,26.78,26.95,26.09,26.39,880630
1732856400,26.41,26.76,26.33,26.52,971736
1733115600,26.4,26.72,26.35,26.43,1980786
1733202000,26.38,27.13,26.1607,26.91,2273110
1733288400,27.17,27.64,26.875,27.39,3014726
1733374800,27.23,27.46,26.78,27.1,2416021
1733461200,27.14,27.35,26.725,27.13,2514338
1733720400,27,27.435,25.43,25.57,2695739
1733806800,25.59,26.85,25.57,26.37,2462462
1733893200,26.37,26.81,26.11,26.7,1898102
1733979600,27.4,27.88,27,27.07,2279058
1734066000,26.94,27.6,26.78,26.82,3001792
1734325200,26.73,27.31,26.5,27.22,3445000
1734411600,27.29,27.34,26.85,27.04,2104463
1734498000,26.98,27.16,25.835,26.07,2602727
1734584400,26.6,26.805,25.84,26.13,2113596
1734670800,26,27.04,25.915,26.86,2577953
1734930000,26.72,27.05,26.28,26.6,1351681
1735016400,26.62,26.93,26.5,26.93,374433
