T,O,H,L,C,V
1713844800,34.335,34.6,34.18,34.28,46834042
1713931200,34.86,35.18,34.34,34.5,53261096
1714017600,34.56,35.295,34.5,35.11,66549403
1714104000,31.78,32.24,30.64,31.88,119694494
1714363200,31.86,31.91,31.07,31.36,58533264
1714449600,31.04,31.175,30.42,30.47,72346359
1714536000,30.17,31.035,30.02,30.37,60654760
1714622400,30.59,30.67,30.19,30.51,50899442
1714708800,30.98,31.055,30.7,30.9,36794828
1714968000,31.115,31.2,30.73,30.97,36185572
1715054400,31.09,31.45,30.61,30.68,44683401
1715140800,30,30.15,29.73,30,63706997
1715227200,29.93,30.385,29.805,30.09,45003402
1715313600,30.33,30.455,29.84,29.85,42931290
1715572800,30.03,31.13,30,30.51,51459143
1715659200,30.62,31.11,30.61,31.05,47659415
1715745600,31.38,31.4,30.81,31.27,36992927
1715832000,31.63,32.26,31.52,32.03,47752828
1715918400,32.06,32.11,31.59,31.83,41449777
1716177600,31.85,32.42,31.76,32.1,31989000
1716264000,31.98,32.24,31.62,31.74,42975363
1716350400,31.91,32.066,31.095,31.42,36706435
1716436800,31.445,31.57,29.87,30.08,62014547
1716523200,30.29,31.02,30.1301,30.72,42434488
1716868800,30.94,31.3695,30.655,31.06,36799147
1716955200,30.465,30.67,30.105,30.13,35848611
1717041600,30.21,30.5,30.06,30.19,33382756
1717128000,30.22,30.96,29.94,30.85,95797529
1717387200,31.03,31.065,30.05,30.29,35544896
1717473600,30.75,30.75,29.94,30.03,51027179
1717560000,30.269,30.835,30.01,30.78,43888657
1717646400,30.552,30.59,30.16,30.42,34248118
1717732800,30.25,30.78,30.205,30.74,34061730
1717992000,30.55,30.95,30.285,30.91,37445807
1718078400,30.77,31.03,30.53,30.92,25326850
1718164800,31.455,31.48,30.3899,30.76,51323936
1718251200,30.38,30.58,30.14,30.46,33787162
1718337600,30.285,30.56,30.21,30.45,28125886
1718596800,30.34,31,30.18,30.98,36213415
1718683200,30.99,31.47,30.5,30.63,33294749
1718856000,30.555,31.11,30.45,30.62,43826322
1718942400,30.85,31.36,30.6701,31.09,92549024
1719201600,31.14,31.42,30.53,30.57,40611793
1719288000,30.7,30.83,30.2901,30.74,29498583
1719374400,30.64,30.68,30.2731,30.54,30742984
1719460800,30.42,30.6582,30.285,30.59,30184278
1719547200,30.75,31.31,30.72,30.97,41467675
1719806400,30.91,31.02,30.61,30.84,32401760
1719892800,30.855,31.31,30.585,31.07,32708480
1719979200,31.12,31.34,30.91,31.23,24065673
1720152000,31.4,32.34,31.3114,32.02,45309446
1720411200,33.03,34.09,32.82,33.99,82315937
1720497600,35.015,35.22,33.72,34.59,97788840
1720584000,34.44,34.97,34.13,34.87,52137495
1720670400,35.031,35.15,33.31,33.5,55213668
1720756800,33.77,35.475,33.77,34.49,62792646
1721016000,34.7,35.225,34.31,34.46,39847917
1721102400,34.36,34.45,33.835,34.34,28409906
1721188800,36.08,37.16,34.4,34.46,112304214
1721275200,34.96,36.3,34.53,34.87,84188608
1721361600,34.565,34.58,32.85,32.98,69628654
1721620800,33.28,33.41,32.76,33.37,48503749
1721707200,32.96,33.23,32.83,32.95,29454206
1721793600,32.535,32.8,31.66,31.7,62216669
1721880000,31.372,31.985,30.95,31.1,49774032
1721966400,31.43,31.56,31.02,31.35,38352543
1722225600,31.42,31.47,30.79,30.83,32342201
1722312000,30.845,30.91,30.005,30.13,48256628
1722398400,30.54,30.87,30.28,30.74,56110610
1722484800,30.43,30.71,28.89,29.05,107616516
1722571200,21.94,21.98,20.42,21.48,300616920
1722830400,20.2,20.385,19.2934,20.11,146694002
1722916800,20.32,20.63,19.75,19.83,106193872
1723003200,19.92,20.25,18.95,18.99,97913090
1723089600,19.1,20.55,18.84,20.49,96836821
1723176000,20.08,20.15,19.5,19.71,76394546
1723435200,19.87,19.97,19,19.36,54677578
1723521600,19.48,20.48,19.47,20.47,77511346
1723608000,20.485,20.5,19.785,19.92,56758181
1723694400,20.32,21.06,20.23,20.69,84814880
1723780800,20.53,20.895,20.4101,20.87,48582663
1724040000,20.885,21.86,20.835,21.52,65956303
1724126400,21.21,21.23,20.82,20.99,84161270
1724212800,21.072,21.44,21.07,21.41,57028870
1724299200,21.39,21.4,20.04,20.1,80244673
1724385600,20.32,20.93,20.26,20.54,73398430
1724644800,20.53,20.56,19.95,20.13,58534794
1724731200,20.13,20.26,19.84,20.07,43862017
1724817600,19.98,20.105,19.51,19.61,50144885
1724904000,19.76,20.6,19.75,20.13,64459661
1724990400,21.25,22.12,21,22.04,177785378
1725336000,21.54,21.69,19.99,20.1,115260083
1725422400,19.76,20.045,19.28,19.43,85871887
1725508800,19.28,19.9,19.24,19.4,65388789
1725595200,19.44,19.49,18.64,18.89,92686460
1725854400,19,19.54,18.95,19.07,61227726
1725940800,19.03,19.11,18.51,18.98,55621273
1726027200,19.01,19.69,18.52,19.64,71403141
1726113600,19.43,19.54,19.04,19.36,51553918
1726200000,19.49,19.8,19.49,19.66,44236271
1726459200,20.03,21.0699,19.76,20.91,149337028
1726545600,21.71,22.58,21.24,21.47,196249783
1726632000,21.36,21.74,20.715,20.77,118727940
1726718400,21.28,21.69,21.03,21.14,99829168
1726804800,20.89,23.14,20.35,21.84,260377912
1727064000,22.43,22.82,22.03,22.56,184439134
1727150400,22.53,23.105,22.285,22.81,113082534
1727236800,22.8,24.055,22.73,23.54,116976236
1727323200,24.28,24.42,23.25,23.92,95416939
1727409600,24.16,24.66,23.7034,23.91,85883278
1727668800,23.74,23.95,23.09,23.46,66460225
1727755200,23.46,23.72,22.255,22.69,86344357
1727841600,22.67,23.0668,22.35,22.39,59033896
1727928000,22.14,22.73,21.65,22.26,49565931
1728014400,22.7,22.91,22.3,22.59,49791930
1728273600,22.4,22.65,22.0209,22.38,54928674
1728360000,22.25,23.42,22.045,23.32,58650461
1728446400,23.25,23.48,23.06,23.46,44759018
1728532800,23.19,23.53,22.96,23.22,44874580
1728619200,23.05,23.82,22.98,23.56,43585252
1728878400,23.58,23.77,23.2701,23.44,35158646
1728964800,23.41,23.72,22.47,22.66,68900556
1729051200,22.38,22.54,21.74,22.31,62086767
1729137600,22.72,22.82,22.4,22.44,43807577
1729224000,22.61,22.82,22.5,22.77,39971695
1729483200,22.61,22.88,22.25,22.84,39726985
1729569600,22.73,22.82,22.17,22.4,50160378
1729656000,22.3,22.425,21.575,21.98,45799051
1729742400,22.09,22.365,21.97,22.34,40554417
1729828800,22.42,23.3399,22.41,22.68,67502984
1730088000,22.67,23.27,22.56,22.92,41905866
