T,O,H,L,C,V
1713844800,7.55,8.21,7.53,7.97,6747556
1713931200,8.16,8.37,8.01,8.2,5987292
1714017600,7.89,8.23,7.84,8.18,3453513
1714104000,8.22,8.97,8.155,8.97,6782534
1714363200,8.96,9.15,8.82,8.92,5907834
1714449600,8.73,8.799,8.52,8.55,3785158
1714536000,8.49,9.215,8.45,8.75,3707166
1714622400,9.09,9.14,8.6602,9,4342696
1714708800,9.25,9.31,8.91,8.94,3924288
1714968000,9.17,9.33,9.14,9.28,7959645
1715054400,9.16,9.189,8.62,8.63,6884411
1715140800,8.6,8.795,8.48,8.78,4531480
1715227200,9.05,9.47,8.63,9.2,6360680
1715313600,9.21,9.31,8.61,8.71,3888579
1715572800,8.79,9.235,8.67,8.77,4937571
1715659200,8.96,9.415,8.96,9.22,6765406
1715745600,9.46,9.56,8.88,9,4588643
1715832000,8.97,9.0196,8.7,8.71,3187027
1715918400,8.81,8.91,8.65,8.78,2834693
1716177600,8.81,9.005,8.7231,8.88,3894845
1716264000,8.84,8.8586,8.36,8.48,4746953
1716350400,8.49,8.855,8.46,8.6,3189599
1716436800,8.69,8.74,8.27,8.32,3948439
1716523200,8.44,8.5555,8.37,8.43,2592451
1716868800,8.42,8.48,8.18,8.28,3529860
1716955200,8.1,8.215,8.035,8.14,3103241
1717041600,8.25,8.47,8.1701,8.4,3285151
1717128000,8.51,8.62,8.09,8.15,3052929
1717387200,8.29,8.32,7.77,7.78,4488814
1717473600,7.78,7.91,7.67,7.71,3447983
1717560000,7.88,7.97,7.7,7.93,3083075
1717646400,7.86,7.87,7.7,7.83,2526360
1717732800,7.71,8.12,7.67,7.86,3649259
1717992000,7.8,8.305,7.74,8.22,3636863
1718078400,8.08,8.13,7.81,7.87,3125407
1718164800,8.16,8.37,7.93,7.95,4556301
1718251200,8,8.13,7.59,7.71,4324471
1718337600,7.59,7.765,7.556,7.7,2994123
1718596800,7.61,7.64,7.295,7.56,5442826
1718683200,7.33,7.41,7.1843,7.21,4767558
1718856000,7.1,7.115,6.77,6.8,7647993
1718942400,6.74,6.81,6.33,6.76,8544431
1719201600,6.84,7.09,6.66,6.76,4598547
1719288000,6.83,6.84,6.58,6.59,3581612
1719374400,6.63,6.765,6.53,6.73,4537374
1719460800,6.8,7.15,6.66,7.1,4772312
1719547200,7.18,7.19,6.84,7.03,13443640
1719806400,7.07,7.1199,6.79,6.84,3906082
1719892800,6.84,7.18,6.84,7.14,3466678
1719979200,7.14,7.315,7.065,7.17,2206106
1720152000,7.2,7.6092,7.0925,7.41,4367993
1720411200,7.52,7.8,7.495,7.67,5026532
1720497600,7.69,7.945,7.45,7.93,4151564
1720584000,7.93,8.46,7.76,8.45,6353785
1720670400,8.405,8.77,7.78,8.02,9838368
1720756800,8.17,8.45,8,8.45,5800924
1721016000,8.53,9.035,8.455,8.95,6298280
1721102400,9,9.05,8.6301,9.03,5359697
1721188800,8.68,8.91,8.36,8.56,4774445
1721275200,8.63,8.84,8.08,8.21,4660946
1721361600,8.07,8.071,7.37,7.43,6323758
1721620800,7.68,8.08,7.545,8.08,4471299
1721707200,7.97,8.375,7.91,8.3,3943224
1721793600,8.14,8.3603,7.62,7.62,4827458
1721880000,7.57,8.155,7.48,7.93,4338934
1721966400,8.12,8.27,7.82,8.21,4307768
1722225600,8.34,8.44,7.8,7.89,3420308
1722312000,7.94,8,7.61,7.8,3040949
1722398400,7.98,8.465,7.92,8.15,4221351
1722484800,8.03,8.1,7.38,7.52,4867140
1722571200,7.01,7.265,6.945,7.08,5137442
1722830400,6.27,6.93,6.22,6.57,7189399
1722916800,6.84,7.35,6.585,7.21,6742061
1723003200,7.34,7.37,6.78,6.8,6279093
1723089600,7.24,7.28,6.895,7.11,6603584
1723176000,7.2,7.52,6.94,7.12,4208093
1723435200,7.13,7.21,6.68,6.72,4990205
1723521600,6.85,7.32,6.775,7.28,4266428
1723608000,7.38,7.44,7.06,7.31,3273793
1723694400,7.43,7.66,7.39,7.42,3579554
1723780800,7.36,7.53,7.2401,7.28,2604206
1724040000,7.32,7.33,7.13,7.29,2608108
1724126400,7.27,7.365,7.0812,7.21,2536515
1724212800,7.3,7.79,7.25,7.77,4247336
1724299200,7.7,7.7529,7.3,7.31,3946823
1724385600,7.37,7.6799,7.345,7.38,4239944
1724644800,7.5,7.65,7.39,7.51,3604534
1724731200,7.41,7.47,7.1,7.28,3729073
1724817600,7.26,7.35,6.91,7.01,3713909
1724904000,7.23,7.54,7.18,7.32,3114642
1724990400,7.44,7.5395,7.33,7.42,2892183
1725336000,7.3,7.365,6.94,6.96,4483815
1725422400,6.89,7.14,6.78,7.01,3324553
1725508800,7.03,7.24,6.98,7.04,2062278
1725595200,7.06,7.1099,6.71,6.8,3789962
1725854400,6.95,7,6.55,6.62,4046600
1725940800,6.7,6.97,6.54,6.9,3811277
1726027200,6.87,7.31,6.8001,7.23,4276176
1726113600,7.21,7.43,7.0912,7.38,4553780
1726200000,7.4,7.83,7.4,7.76,4402180
1726459200,7.7,7.86,7.4,7.82,4029813
1726545600,7.92,8.25,7.87,8.12,4870499
1726632000,8.08,8.27,7.764,7.83,5114889
1726718400,8.13,8.1789,7.64,7.72,4509104
1726804800,7.79,8.25,7.74,8.22,6914783
1727064000,8.23,8.5188,7.98,8.01,5432449
1727150400,8.08,8.27,7.78,8.12,4222787
1727236800,8.08,8.09,7.5011,7.59,5402002
1727323200,7.79,8.09,7.585,8.06,4472724
1727409600,8.9,10,8.58,9.71,45245543
1727668800,9.76,10.11,8.58,8.74,20012668
1727755200,8.89,8.97,8.04,8.17,12275544
1727841600,8.09,9.3,7.99,9.2,13016516
1727928000,9.02,9.36,8.79,9.25,8820104
1728014400,9.4,9.5,9.14,9.31,7502220
