T,O,H,L,C,V
1713844800,41.28,42.25,40.9,41.84,631237
1713931200,41.97,42.72,41.59,42.45,731441
1714017600,42.54,42.725,41.58,41.84,1142810
1714104000,41.75,42.275,41.36,41.59,556093
1714363200,41.73,42.37,41.63,41.99,709859
1714449600,41.78,42.06,41.23,41.26,843391
1714536000,41.29,43.6,41.05,43.01,1066646
1714622400,43.15,43.62,42.62,43.09,666268
1714708800,43.54,43.76,41.93,41.97,1375102
1714968000,41.87,42.49,41.655,42.28,928265
1715054400,40.96,42.22,40.76,40.93,1211831
1715140800,40.57,40.82,40.06,40.16,1527136
1715227200,40.16,40.18,39.31,39.47,1300598
1715313600,39.62,39.78,38.8,39.08,895065
1715572800,39.23,39.34,38.5668,38.8,1045266
1715659200,38.89,39.4,38.26,38.27,983112
1715745600,38.78,39.78,38.595,39.21,1256373
1715832000,39,39.22,36.75,37.62,3313938
1715918400,37.55,37.655,36.5599,37.31,1363052
1716177600,37.3,38.8,37.06,38.72,1272842
1716264000,38.72,39.36,37.09,37.37,1980886
1716350400,37.35,38.07,36.84,38,1231261
1716436800,37.04,38.36,36.98,38,1319898
1716523200,38.11,38.39,37.19,37.28,676253
1716868800,37.59,37.8,37.25,37.64,575806
1716955200,37.25,37.47,36.26,36.45,1103662
1717041600,36.5,36.98,36.25,36.55,891459
1717128000,36.55,38.07,35.95,37.57,1396671
1717387200,38.17,39.48,37.925,38.77,1150116
1717473600,38.63,40.085,38.34,40.05,966923
1717560000,40.06,40.5099,39.58,39.87,870510
1717646400,39.84,40.35,39.46,39.87,536365
1717732800,39.59,39.635,38.77,38.95,665333
1717992000,38.95,39.83,38.09,39.79,897616
1718078400,39.64,40.235,39.255,39.69,857905
1718164800,40.31,41.798,39.965,41.5,1280318
1718251200,41.27,41.48,40.74,41.12,861497
1718337600,41.18,41.31,40.43,40.65,1392008
1718596800,40.35,40.96,40.13,40.76,795265
1718683200,40.86,41.31,40.41,40.64,950524
1718856000,40.41,41,40.15,40.81,835632
1718942400,41.01,42.13,40.8279,41.83,1710423
1719201600,43.75,44.81,41.74,44.68,4717222
1719288000,44.7,47.84,44.36,47,2670767
1719374400,46.77,47.85,46.53,47.7,2531312
1719460800,47.81,47.86,47,47.23,1982856
1719547200,47.23,47.72,47,47.66,2626198
1719806400,47.775,48.61,46.14,47.11,2448592
1719892800,47.03,47.43,44.81,45.14,1720305
1719979200,44.87,45.85,44.345,45.6,1069934
1720152000,45.54,46.34,45.35,46.09,624741
1720411200,46.37,47.35,45.425,47.24,1072157
1720497600,47.06,47.255,46.59,47.04,1027952
1720584000,47.27,48.14,46.82,47.85,886869
1720670400,48.5,49.48,47.2,47.31,1830163
1720756800,47.33,48.24,46.84,48,1597704
1721016000,47.87,48.1,46.76,47.57,888773
1721102400,49.36,50.71,48.62,49.84,1962970
1721188800,49.41,49.66,47.72,47.96,1222495
1721275200,48.06,48.82,46.58,47.33,1133696
1721361600,47.5,49.13,47.19,47.82,1090260
1721620800,49,51.72,49,50.61,1791670
1721707200,50.76,51.25,49.34,50.43,1385120
1721793600,50.68,51,50.08,50.74,1664818
1721880000,50.92,52.31,50.37,51.86,1751046
1721966400,52.18,52.34,51.04,51.45,766354
1722225600,51.54,51.54,49.86,50.24,976586
1722312000,50.33,50.7113,49.315,49.78,1133987
1722398400,49.79,50.9,49.38,49.46,1081902
1722484800,49.88,51.62,48.87,51.32,1502995
1722571200,49.44,49.99,48.46,49.13,1352517
1722830400,47.13,48.55,46.24,47,1280762
1722916800,46.85,47.58,46.36,47.03,2627408
1723003200,47.8,47.98,46.39,46.81,694207
1723089600,47.49,47.625,46.59,47.51,915034
1723176000,47.5,47.58,46.35,46.55,782704
1723435200,46.57,47.6,46.39,47.06,527999
1723521600,47.12,47.82,46.52,46.91,791116
1723608000,47.01,47.15,46.51,46.85,1633360
1723694400,47.37,47.58,46.51,46.665,515123
1723780800,46.5,46.99,46.22,46.46,543218
1724040000,46.51,47.66,46.22,47.64,877005
1724126400,47.59,47.84,47.24,47.33,624429
1724212800,47.41,48.5,47.41,48.18,720928
1724299200,48.16,48.39,47.35,47.54,630779
1724385600,48,48,46.78,46.92,773512
1724644800,47.16,47.19,46.6,46.8,711168
1724731200,46.81,48.41,46.39,48.35,923887
1724817600,48.04,49.49,47.8625,49.25,940075
1724904000,49.4,50.37,49.035,49.9,1279080
1724990400,50,50.43,47.325,47.68,2110450
1725336000,47.5,48.41,46.43,47.31,1518586
1725422400,46.9,47.775,46.61,47.65,1351946
1725508800,47.69,48.35,47.355,48.15,845333
1725595200,48.15,48.56,46.26,46.89,1334949
1725854400,46.51,49.08,46.5,48.33,1828778
1725940800,44.49,44.6,42.115,42.39,11521937
1726027200,42.45,42.68,41.86,42.53,2517199
1726113600,42.35,42.65,40.76,41.02,4597036
1726200000,41.02,42.86,41.02,42.19,2232448
1726459200,42.07,42.35,40.5,40.7,2048533
1726545600,40.91,41.89,40.66,41.51,1474751
1726632000,41.51,43,41.19,42.36,1485014
1726718400,42.88,43.5,42.38,42.74,1655515
1726804800,42.7,43.11,42.37,42.76,2566874
1727064000,42.72,42.83,41.54,41.83,1582246
1727150400,41.58,41.85,40.68,41,2565658
1727236800,41.12,41.41,40.73,40.99,996817
1727323200,41.16,41.36,40.69,41.1,1678524
1727409600,41.25,41.645,40.84,40.85,2338028
1727668800,40.76,40.88,39.48,40.06,1895421
1727755200,40,40.01,39,39.07,1688624
1727841600,38.9,39.92,38.46,39.38,1556261
1727928000,39.03,39.33,37.79,37.81,2300987
1728014400,37.79,38.02,37.12,37.91,1301337
1728273600,37.74,38.06,37.57,37.86,1579297
1728360000,37.83,38.06,37.33,37.8,1454832
1728446400,38.12,38.52,37.6101,38.06,1402786
1728532800,37.59,38.06,37,37.95,1238279
1728619200,38.08,38.98,37.63,38.44,1264921
1728878400,38.37,38.745,38.28,38.63,949495
1728964800,38.69,38.955,37.83,37.84,1060407
1729051200,37.83,39.35,37.65,39.16,2114638
1729137600,39.07,39.29,38.47,38.49,1891364
1729224000,38.56,39.72,38.56,39.68,1343149
1729483200,39.41,39.55,38.36,39,1643327
1729569600,38.9,39.075,38.53,38.68,881357
1729656000,38.83,38.8967,38.32,38.42,1054467
1729742400,38.5,38.95,38.4,38.77,859788
1729828800,38.99,39.72,38.87,39.19,1036060
1730088000,39.31,40.41,39.21,40.36,1000037
1730174400,40.31,40.58,39.34,39.71,1182675
1730260800,39.37,40.115,38.9502,39.26,748661
1730347200,39.13,39.13,38.26,38.39,910036
1730433600,38.6,39.02,38.19,38.76,739908
1730696400,38.64,38.89,38.2508,38.44,1190432
1730782800,38.01,39.2,37.5338,38.8,1273566
1730869200,39.95,39.96,37.18,39.04,1728516
1730955600,39.5,39.795,38.16,38.46,986009
1731042000,38.56,39.58,38.5,39.19,1019401
1731301200,39.44,40.065,38.81,38.88,825818
1731387600,38.5,38.77,37.6,37.77,937006
1731474000,37.82,38.42,37.51,37.78,914175
1731560400,37.5,37.78,36.78,37.23,1921178
1731646800,37.25,37.29,34.24,34.34,1801968
1731906000,34.33,34.79,33.63,33.73,1722242
1731992400,33.79,34.42,33.33,33.75,1526466
1732078800,33.85,35.6,33.53,35.4,2223243
1732165200,35.62,35.65,33.63,33.94,1954500
1732251600,33.92,34.76,33.92,34.01,2422690
1732510800,34.57,36.38,34.545,35.46,2076846
1732597200,35.49,36.005,35.03,35.37,1341157
1732683600,35.4,36.41,35,35.9,977187
1732856400,35.76,36.35,35.66,35.73,622388
1733115600,35.98,36.39,35.55,36.1,1458998
1733202000,35.75,36.07,35.2,35.81,1341877
1733288400,35.71,37.2,35.44,37.15,1373982
1733374800,37.1,37.69,35.85,36.75,1488104
1733461200,37,39.17,36.769,38.11,1817050
1733720400,38.82,40.1,38.52,38.58,1868345
1733806800,38.59,39.08,37.93,38.26,1042395
1733893200,38.46,38.6799,37.54,37.99,1078119
1733979600,38,38.1708,36.84,37.01,1464665
1734066000,37.2,37.37,36.52,36.61,1070411
1734325200,36.67,38.9,36.39,38.1,3063553
1734411600,38.01,38.32,37.245,37.68,1408760
1734498000,37.62,37.89,35.8,36.25,1653880
1734584400,36.71,36.91,35.43,35.59,1880779
1734670800,35.86,36.4,35.05,35.63,4063354
1734930000,36.05,36.75,35.55,36.08,1816095
1735016400,35.92,36.748,35.65,36.53,502728
1735189200,36.2,36.62,35.86,36.33,1005942
1735275600,36.51,36.96,35.88,35.91,1004579
1735534800,35.5,35.8,34.85,34.92,1184918
1735621200,35.22,35.71,34.88,34.96,1080458
1735794000,35.33,35.475,34.1575,34.69,1921115
1735880400,34.8,35.2663,34.7,34.81,756633
1736139600,34.9,35.15,33.92,34.1,1136870
1736226000,33.95,35.45,33.95,34.97,1490292
1736312400,34.76,34.76,34.02,34.1,759290
1736485200,33.66,33.77,33.15,33.46,1171888
1736744400,33.46,35.21,32.8,34.94,1890416
1736830800,35.3,35.37,32.61,32.69,2017106
1736917200,33.25,33.9,32.7,33.21,1720212
1737003600,33.2,33.47,32.26,32.28,2547728
1737090000,32.29,32.95,31.4,31.43,1374616
1737435600,31.62,32.95,31.47,32.68,1540629
1737522000,32.65,32.93,32.37,32.5,1052416
1737608400,32.58,34.98,32.52,34.46,2329433
1737694800,34.33,34.87,33.63,34.75,1643172
1737954000,34.84,35.31,33.72,34.05,2080896
1738040400,34.11,34.65,33.735,34.11,1284809
1738126800,34.05,34.39,32.66,32.88,1923439
1738213200,33.08,33.36,31.82,33.32,2135467
1738299600,32.5,33.77,31.81,31.9,2457738
1738558800,31.24,32.425,31.03,32.13,1662792
1738645200,31.95,32.3394,31.36,31.64,1700574
1738731600,31.92,33.29,31.7,33.17,1594395
1738818000,33.2,33.62,32.37,32.63,1237451
1738904400,32.56,32.73,31.36,31.4,1184386
1739163600,31.45,31.67,31.15,31.48,898281
1739250000,31.09,31.61,30.9,31.58,1101151
1739336400,31.17,31.56,30.37,30.84,1231240
1739422800,30.91,30.95,30.23,30.35,1490323
1739509200,30.49,31.6,30.37,31.04,1445761
1739854800,31.23,32.18,31.09,31.95,2535475
1739941200,34.5,34.74,31.02,31.81,3382392
1740027600,31.7,33.07,30.8629,32.69,3189908
1740114000,32.69,32.87,32,32.32,1569931
1740373200,32.32,32.67,31.56,31.89,1430686
1740459600,32.09,32.09,30.99,31.85,1944969
1740546000,32.07,32.85,31.42,31.76,1457777
1740632400,31.66,32.34,31.18,31.35,840854
1740718800,31.31,33.3,31.12,33.19,2008897
1740978000,33.255,33.54,32.25,32.6,1512233
1741064400,32.42,33.56,31.99,32.95,1482655
1741150800,33.02,33.95,32.98,33.75,1827432
1741237200,33.56,35,33.51,34.39,1703593
1741323600,33.93,34.9,33.69,33.81,1534431
1741579200,33.56,34.32,31.8,32.22,2259448
1741665600,32,33.06,31.46,33.03,1931391
1741752000,33.1,34.13,32.84,33.41,2084405
1741838400,33.34,33.84,32.68,32.9,1791672
1741924800,33.09,33.42,32.71,32.96,1205709
1742184000,32.96,34.74,32.32,34.3,1352313
1742270400,33.81,34.125,32.94,32.95,1014011
1742356800,32.88,33.48,32.88,33.34,1120354
1742443200,33.06,33.75,32.7,32.73,1215492
1742529600,32.71,33.62,32.301,32.91,1999130
1742788800,32.96,33.49,32.57,33.45,1443115
1742875200,33.48,33.76,31.81,32.27,1980320
1742961600,32.33,32.33,31.04,31.49,1431245
1743048000,31.6,31.79,31.12,31.72,1151299
1743134400,31.58,31.58,30.8,31.15,799701
1743393600,30.24,30.48,29.61,30.17,2042899
1743480000,30.17,30.17,27.195,27.26,3019927
1743566400,27.02,28.82,27,28.71,1947586
1743652800,28.05,28.905,27.75,28.52,1920680
1743739200,28.1,28.495,26.875,27.09,2292742
1743998400,26.64,27.61,25.52,27.57,2735185
1744084800,28,28.14,24.805,25.51,2478004
1744171200,25.03,27.9,23.95,27.77,3444737
1744257600,27.14,27.26,25.74,26.71,2145182
1744344000,26.62,27.97,26.303,27.9,2011392
1744603200,28.44,29.04,27.825,28.68,2798615
1744689600,28.62,28.97,28.16,28.38,1522806
1744776000,28.37,28.84,27.57,28.35,1627006
1744862400,28.31,28.76,28.04,28.4,842691
1745208000,28.04,29.06,27.9,28.51,950554
