T,O,H,L,C,V
1713844800,85,86.4919,85,85.37,169882
1713931200,85.59,88.19,85.59,88.05,250412
1714017600,87.26,88.75,87.26,88.24,186285
1714104000,88.24,89.825,87.815,88.4,251258
1714363200,89.07,89.61,88.29,88.58,260612
1714449600,81.3,87.525,80.33,83.98,593956
1714536000,82.78,85.48,82.29,83.55,322895
1714622400,84.33,86.76,83.68,86.7,356785
1714708800,87.86,88.91,86.37,86.76,253550
1714968000,87.15,88.41,87.15,88.37,167700
1715054400,88.52,89.955,88.52,89.49,249854
1715140800,88.52,89.35,88.31,89.17,212944
1715227200,88.86,90.01,88.72,89.86,163489
1715313600,90.19,90.56,87.041,88.26,179640
1715572800,89.01,90.95,88.6322,89.29,201396
1715659200,90.26,90.9617,89.55,89.76,172375
1715745600,90.6,90.6,89.49,90.17,164255
1715832000,90,90.08,88.56,88.6,192831
1715918400,88.35,88.97,87.8541,88.61,213431
1716177600,88.57,89.255,88.47,88.55,177397
1716264000,88.1,88.56,87.13,87.47,155388
1716350400,87.55,88.79,87.36,87.82,184088
1716436800,87.73,88.03,85.68,86.03,149481
1716523200,86.46,86.6,85.17,85.63,175932
1716868800,85.73,85.81,83.6,83.74,366359
1716955200,82.55,84.02,82.55,83.55,198004
1717041600,84.08,85.73,83.5078,85.1,151090
1717128000,85.31,86.89,84.96,86.73,217464
1717387200,87.26,87.91,86.58,87.1,168398
1717473600,85.92,87.04,83.865,84.26,162531
1717560000,85.11,87.25,84.85,86.83,124572
1717646400,86.85,87.42,86.1721,86.47,126360
1717732800,85.65,86.48,85.25,85.85,126360
1717992000,85,86.5399,85,86.22,106503
1718078400,85.63,86.01,84.705,85.24,150025
1718164800,87.14,88.005,86.68,87.63,211895
1718251200,86.51,87.09,85.27,86.84,268611
1718337600,85.71,86.24,84,84.86,208223
1718596800,84.7,86.31,84.34,86.25,250128
1718683200,86.17,86.21,82.6711,82.71,307029
1718856000,82.28,82.4,80.27,81.58,301519
1718942400,81.92,83.6,81.92,83.35,1002071
1719201600,83.06,83.75,81.61,81.61,241542
1719288000,81.74,81.86,80.5361,81.68,241245
1719374400,81.48,83.04,81.48,82.62,247883
1719460800,82.54,83.54,81.849,83.5,190535
1719547200,84.13,85.38,83.605,84.39,352370
1719806400,84.54,84.79,83.27,83.33,239161
1719892800,83.3,85.25,83.3,84.91,198250
1719979200,84.98,85.385,84.51,84.58,142152
1720152000,84.25,84.74,83.62,84.36,309371
1720411200,85.28,86.0955,85.18,85.46,162977
1720497600,85.42,85.44,84.2474,84.45,167256
1720584000,84.71,86.165,82.11,86.07,124096
1720670400,87.61,88.87,86.41,88.05,158091
1720756800,88.87,90.46,88.49,89.63,154911
1721016000,89.6,91.05,89.06,89.38,144029
1721102400,89.99,90.92,89.405,90.65,592163
1721188800,90,92.21,88.31,90.45,356160
1721275200,90.26,91.41,88.45,89.07,222490
1721361600,88.88,89,87.5,88.03,213353
1721620800,88.55,90.1,88,90.04,215620
1721707200,89.96,90.53,88.93,89.06,137020
1721793600,88.58,89.95,87.84,87.91,204175
1721880000,87.41,87.67,85.105,85.49,210158
1721966400,86.35,87.02,84.95,86.59,227821
1722225600,87.11,88.78,86.46,87.61,204823
1722312000,80,88.47,79.8,81.2,444021
1722398400,81,82.65,80.26,80.4,310287
1722484800,79.92,80.07,75.85,77.08,379087
1722571200,75.07,75.955,70.68,71.38,351783
1722830400,68.81,69.95,66.54,67.43,228316
1722916800,67.47,68.74,66.71,67.79,246673
1723003200,69.16,69.66,65.94,66.01,211366
1723089600,66.88,67.375,66.3,67.32,210342
1723176000,67.47,67.47,66.245,66.67,172672
1723435200,66.67,66.8823,65.03,65.7,189610
1723521600,66.6,67.57,65.98,67.3,240178
1723608000,67.34,67.51,65.59,66.02,144439
1723694400,67.72,68.825,67.34,67.98,218887
1723780800,68.05,68.165,66.74,67.5,164803
1724040000,67.32,68.4,67.06,68.19,220236
1724126400,68.15,70.3325,67.96,69.89,326442
1724212800,70.3,71.41,70.0358,71.23,207716
1724299200,71.2,71.5905,69.6,69.84,221235
1724385600,70.49,71.605,69.915,71.05,156496
1724644800,71.66,71.66,69.75,69.8,150398
1724731200,69.55,69.99,68.9,69.11,210494
1724817600,68.73,69.43,67.8,69.34,254819
1724904000,70.05,70.1799,68.95,69.2,212638
1724990400,69.49,69.51,67.98,68.37,420752
1725336000,68.01,68.23,64.91,65.43,259043
1725422400,65.2,66.29,65.12,65.77,320602
1725508800,65.77,66.11,64.93,65.54,170419
1725595200,65.55,65.8343,62.765,62.84,162596
1725854400,62.75,63.43,62.03,62.52,348650
1725940800,62.61,62.7,61.8569,62.31,337245
1726027200,62.35,63.37,61.89,63.15,435506
1726113600,63.15,64.94,62.89,64.78,259402
1726200000,65.37,67.69,65.25,67.665,256477
1726459200,67.56,68.83,66.75,68.77,324391
1726545600,69.61,70.14,68.18,68.81,298203
1726632000,68.95,70.7899,68.16,68.92,350821
1726718400,70.89,71.48,69.9801,70.87,273749
1726804800,70.24,70.85,69.5,70.25,891575
1727064000,70.39,71.22,69.66,70.43,237722
1727150400,71.13,71.9994,70.76,71.14,209467
1727236800,70.95,71.16,70.265,70.41,183978
1727323200,71.93,74.56,71.49,74.52,253151
1727409600,75.21,76.34,74.27,74.89,249646
1727668800,74.2,74.835,73.58,74.32,212979
1727755200,74.02,74.25,71.46,71.85,204646
1727841600,71.95,74.03,71.9342,73.16,189659
1727928000,72.37,73.07,71.69,72.38,312033
1728014400,74.04,74.865,73.52,74.4,151118
1728273600,73.97,74.229,72.46,73.28,247432
1728360000,73.09,74.52,72.7338,74.45,220247
1728446400,74.27,75.05,73.845,74.8,194230
1728532800,73.94,74.7,73.76,74.11,190987
1728619200,74.07,76,74.07,75.63,182945
1728878400,75.82,76.9,75.76,76.22,180412
1728964800,76.3,77.54,75.04,75.14,201034
1729051200,75.71,76,74.37,74.62,439942
1729137600,75.24,75.575,74.29,75.35,214340
1729224000,75.59,76.195,75.1,75.59,206635
1729483200,75.25,75.4627,73.77,74.76,187992
1729569600,74.15,75.155,74.005,74.63,172782
1729656000,74.55,75.3,73.675,74.76,294409
1729742400,75.19,76.265,74.94,75.92,280392
1729828800,76.33,77.65,76.195,76.82,299022
1730088000,77.06,79.45,76.99,79.27,643614
1730174400,81.65,88.5011,81.65,85.05,466273
1730260800,83.7,85.515,82.94,83.31,336250
1730347200,83.1,83.2,80.11,80.96,386307
1730433600,81.25,83.6,81.25,82.29,350595
1730696400,82.1,82.88,80.51,80.57,222386
1730782800,80.08,81.65,79.76,81.63,183853
1730869200,85.84,86.42,85.19,85.6,204001
1730955600,85.74,86.575,85.2101,85.75,175982
1731042000,85.35,85.59,83.82,83.86,200815
1731301200,84.6,84.6,81.74,81.93,134965
1731387600,81.31,81.405,78.27,78.33,201977
1731474000,78.24,78.88,76.34,76.39,224090
1731560400,76.82,76.82,74.81,75.06,504753
1731646800,75.09,75.23,73.35,73.45,173568
1731906000,73.41,74.24,72.78,72.99,163871
1731992400,72.45,73.31,71.67,72.74,150125
1732078800,72.35,73.57,71.37,73.52,254097
1732165200,73.99,75.6,73.195,74.81,192958
1732251600,75.37,78.05,75.15,77.79,218242
1732510800,78.82,81.47,78.39,78.92,405433
1732597200,78.27,78.28,76.84,77.12,409960
1732683600,77.3,78.53,75.39,77.3,180830
1732856400,77.63,78.68,77.035,78.04,117990
1733115600,77.98,80.33,77.315,79.71,219935
1733202000,79.26,79.68,77.4,77.81,219618
1733288400,77.13,77.915,75.24,75.36,179274
1733374800,75.65,76.19,73.75,75.19,242534
1733461200,75.74,77.31,75.74,76.67,176627
1733720400,77.12,82.19,75.07,81.31,306515
1733806800,81.05,81.15,78.265,78.53,229948
