T,O,H,L,C,V
1713844800,5.5636,5.7364,5.5455,5.6818,32033125
1713931200,5.6273,5.6727,5.5818,5.6455,20016117
1714017600,5.5636,5.6364,5.5364,5.5545,15557111
1714104000,5.6364,5.7545,5.6364,5.7273,21075147
1714363200,5.7182,5.7182,5.6364,5.6636,13523518
1714449600,5.6455,5.6727,5.4818,5.5,27214246
1714536000,5.4909,5.6364,5.4727,5.5455,12911571
1714622400,5.6545,5.7091,5.6,5.6818,22687481
1714708800,5.7909,5.8318,5.7455,5.7636,18378895
1714968000,5.8,5.8636,5.7636,5.8,15214277
1715054400,5.8273,5.9682,5.8001,5.9364,23323692
1715140800,5.8636,5.9636,5.8545,5.9455,13809183
1715227200,5.7545,5.7727,5.6727,5.7182,20840358
1715313600,5.8,5.8273,5.7636,5.7636,22357217
1715572800,5.8091,5.8864,5.7682,5.8364,23201030
1715659200,5.8545,5.9455,5.8364,5.9182,21277578
1715745600,5.9182,5.9364,5.8545,5.8909,23089724
1715832000,5.9545,5.9636,5.8682,5.8818,19000353
1715918400,5.8909,5.9455,5.8682,5.9364,12716873
1716177600,5.8909,5.9636,5.8773,5.9091,11169610
1716264000,5.9091,5.9364,5.8273,5.8636,15132071
1716350400,5.7636,5.8,5.7091,5.7091,14273961
1716436800,5.7,5.726,5.6545,5.6727,12037616
1716523200,5.6727,5.6999,5.5909,5.6091,13245475
1716868800,5.6455,5.6636,5.5636,5.5909,21781548
1716955200,5.4545,5.5182,5.4364,5.5,17861943
1717041600,5.5182,5.5636,5.4727,5.5182,11669315
1717128000,5.4364,5.4682,5.3727,5.4455,31098126
1717387200,5.4182,5.5273,5.3818,5.5091,21465497
1717473600,5.4091,5.4727,5.3909,5.4545,17020450
1717560000,5.4636,5.4636,5.3818,5.4364,15730830
1717646400,5.4818,5.5545,5.4727,5.5455,16228423
1717732800,5.4455,5.5,5.3636,5.4,16599719
1717992000,5.3,5.3182,5.2409,5.2909,34878169
1718078400,5.3455,5.4,5.3091,5.3455,12304849
1718164800,5.3455,5.3773,5.2364,5.3364,45940063
1718251200,5.3273,5.3545,5.2455,5.2909,21371260
1718337600,5.2545,5.3273,5.2364,5.2727,18506649
1718596800,5.2909,5.3909,5.2909,5.3909,24667065
1718683200,5.3364,5.4455,5.3364,5.3455,19454213
1718856000,5.4182,5.4545,5.3182,5.3545,26344313
1718942400,5.3273,5.4364,5.3273,5.4182,30836014
1719201600,5.4909,5.5727,5.4636,5.4818,24956204
1719288000,5.4455,5.4864,5.4091,5.4182,13997449
1719374400,5.2909,5.3455,5.2636,5.3455,15068253
1719460800,5.3727,5.4091,5.3182,5.3636,17397719
1719547200,5.3,5.3273,5.2364,5.3091,26412738
1719806400,5.3091,5.3454,5.2,5.2091,15923474
1719892800,5.1818,5.2636,5.1727,5.2636,24731039
1719979200,5.3545,5.4636,5.3545,5.4545,17724897
1720152000,5.4545,5.5091,5.3818,5.4818,22514296
1720411200,5.4545,5.4909,5.4,5.4364,23097831
1720497600,5.4545,5.5682,5.4409,5.5545,16015527
1720584000,5.6455,5.6591,5.5727,5.6364,15924375
1720670400,5.6455,5.6727,5.5909,5.6273,15304544
1720756800,5.6182,5.6364,5.5636,5.6273,12224980
1721016000,5.6091,5.6273,5.5636,5.6,16162504
1721102400,5.6545,5.6909,5.6091,5.6636,21555432
1721188800,5.6,5.7,5.5909,5.6727,13469868
1721275200,5.6091,5.6182,5.5182,5.5182,12906500
1721361600,5.6545,5.6818,5.5727,5.5818,15819544
1721620800,5.6273,5.6682,5.5909,5.6,12114528
1721707200,5.5636,5.6364,5.5545,5.5727,12341612
1721793600,5.5091,5.5636,5.5,5.5,14214377
1721880000,5.4818,5.5409,5.4545,5.4818,15260460
1721966400,5.4909,5.5182,5.4545,5.5091,10768571
1722225600,5.5455,5.5909,5.5,5.5545,16806372
1722312000,5.5545,5.5955,5.5,5.5727,16067231
1722398400,5.5182,5.5545,5.4545,5.4727,17082827
1722484800,5.4636,5.4727,5.2818,5.2909,13895806
1722571200,5.3,5.3091,5.2182,5.2364,21711956
1722830400,5.1091,5.2635,5.1091,5.2182,33367397
1722916800,5.3455,5.4818,5.3273,5.4091,32052000
1723003200,5.4455,5.5,5.3773,5.4727,26886112
1723089600,5.5,5.5455,5.4727,5.4909,20819012
1723176000,5.6091,5.7273,5.5727,5.7,22034922
1723435200,5.7455,5.7727,5.7091,5.7182,16090061
1723521600,5.7636,5.9545,5.7636,5.9545,30158161
1723608000,6.0091,6.1182,5.9909,6.1,33097648
1723694400,6.0909,6.1908,6.0827,6.1545,23160271
1723780800,6.2364,6.2455,6.1,6.1273,26552551
1724040000,6.1727,6.3,6.1545,6.2455,20352108
1724126400,6.1818,6.2182,6.1318,6.2091,20842001
1724212800,6.2273,6.2364,6.1227,6.1818,20452606
1724299200,5.9636,6.0227,5.9273,5.9818,31453105
1724385600,6.0636,6.1273,6.0364,6.0909,24053510
1724644800,6.0273,6.0909,6.0273,6.0727,13998136
1724731200,6.0455,6.0818,6.0136,6.0636,14820644
1724817600,5.9909,6.1545,5.9818,6.1273,21167413
1724904000,6.0273,6.0364,5.9773,5.9909,17320924
1724990400,5.8636,5.9727,5.8455,5.9273,21401386
1725336000,5.9455,5.9716,5.8773,5.9545,17666684
1725422400,6.0364,6.1273,6.0182,6.0273,18132326
1725508800,6.0545,6.1364,6.0364,6.1273,15906876
1725595200,6.1364,6.1455,5.9909,6.0091,17075918
1725854400,6.0091,6.1,6.0045,6.0909,15525235
1725940800,6.0364,6.0545,5.9764,6.0273,18784428
1726027200,6.0364,6.0682,5.9818,6.0182,17872636
1726113600,5.9727,6.0455,5.9,6.0182,18495192
1726200000,6.0727,6.1064,5.9909,6.0636,15490234
1726459200,6.1182,6.1455,6.0755,6.1182,12143301
1726545600,6.0727,6.1272,6.0636,6.1091,11580752
1726632000,6.1545,6.2,6.0727,6.1182,16516173
1726718400,6.1727,6.1818,6.0909,6.1091,15577377
1726804800,6.0727,6.0864,5.9045,5.9182,20228644
1727064000,5.8727,5.9273,5.8364,5.9,22818254
1727150400,6.0182,6.0682,5.9273,5.9545,20301249
1727236800,5.9909,6.0091,5.9545,6,23543703
1727323200,6.0909,6.1818,6.0909,6.1364,49451611
1727409600,6.1364,6.1818,6.1091,6.1636,27252380
1727668800,6.1364,6.1984,6.0455,6.0455,38746500
1727755200,6.0455,6.0545,5.9,5.9273,33190110
1727841600,6.0727,6.0818,5.9545,5.9727,24845679
1727928000,5.8273,5.8409,5.7364,5.8,26553300
1728014400,5.7909,5.8682,5.7773,5.8545,18830364
1728273600,5.8091,5.9091,5.8091,5.8545,19325491
1728360000,5.7909,5.8727,5.7909,5.8364,20978161
1728446400,5.7091,5.7455,5.6364,5.6636,18628036
1728532800,5.6727,5.7182,5.6318,5.7,37277737
1728619200,5.6455,5.65,5.5819,5.6273,19601885
1728878400,5.6273,5.7273,5.6182,5.7,15631392
1728964800,5.6364,5.6909,5.6091,5.6545,20490814
1729051200,5.6455,5.6784,5.5909,5.6364,30408295
1729137600,5.5636,5.6909,5.5636,5.6455,16446949
1729224000,5.6818,5.6909,5.6091,5.6182,13079969
1729483200,5.6091,5.6436,5.5818,5.6,11669403
1729569600,5.6,5.6455,5.5636,5.6364,16645956
1729656000,5.5909,5.6727,5.5818,5.6636,17516713
1729742400,5.6636,5.7545,5.6364,5.7273,20247379
1729828800,5.7,5.7091,5.6182,5.6273,14042338
1730088000,5.7091,5.7455,5.6818,5.7182,22167455
1730174400,5.7182,5.7273,5.5727,5.5818,23395715
1730260800,5.5545,5.6,5.5455,5.5818,11957292
1730347200,5.5545,5.5909,5.4909,5.5,15228881
1730433600,5.5091,5.5364,5.3909,5.4,26169738
1730696400,5.5727,5.6091,5.5,5.5273,31019069
1730782800,5.6636,5.8091,5.6273,5.7182,65411513
1730869200,5.6636,5.8363,5.5818,5.7818,37271481
1730955600,5.8091,5.8136,5.6591,5.6818,25234332
1731042000,5.5545,5.5818,5.4773,5.5545,21726863
1731301200,5.5091,5.5818,5.491,5.5273,21125864
1731387600,5.5182,5.5364,5.4591,5.4818,18345253
1731474000,5.4273,5.4364,5.3545,5.3909,24224768
1731560400,5.4182,5.4364,5.3545,5.3727,34826236
1731646800,5.3909,5.4818,5.3909,5.4182,15040703
1731906000,5.4091,5.4545,5.4,5.4182,20185272
1731992400,5.4273,5.4636,5.4091,5.4364,16159111
1732078800,5.4182,5.4273,5.3909,5.4182,7266479
1732165200,5.3455,5.3818,5.3136,5.3273,27434368
1732251600,5.3091,5.3545,5.3,5.3182,14876271
1732510800,5.3545,5.3727,5.3091,5.3182,19963351
1732597200,5.3818,5.5,5.3727,5.4455,23425009
1732683600,5.4182,5.4273,5.1818,5.2182,37698358
1732856400,4.8455,4.9545,4.8,4.8727,30820131
1733115600,4.8273,4.8727,4.7727,4.8273,34834487
1733202000,4.8364,4.8727,4.7909,4.8636,29522875
1733288400,4.8909,4.9455,4.8636,4.8909,45639818
1733374800,5.0364,5.0636,5,5.0273,41546707
1733461200,4.9909,5.0045,4.8727,4.8818,31820119
1733720400,4.9364,4.9818,4.8818,4.8818,18512211
1733806800,4.9273,5.0273,4.9273,5,28857172
1733893200,4.9636,5.1091,4.8909,5.0545,65328039
1733979600,5.0091,5.0182,4.8364,4.8909,43848592
1734066000,4.8727,4.8818,4.7818,4.7909,36394256
1734325200,4.7727,4.8182,4.7,4.7364,33040344
1734411600,4.6818,4.8182,4.6636,4.7545,47428566
1734498000,4.6818,4.6818,4.4579,4.5091,56800196
1734584400,4.6182,4.6545,4.5455,4.5636,97033372
1734670800,4.6727,4.7,4.5918,4.6091,51350448
1734930000,4.5455,4.5545,4.4909,4.5182,19510466
1735016400,4.5273,4.5545,4.5273,4.5364,7109191
1735189200,4.4909,4.5727,4.4909,4.5455,23696157
1735275600,4.4909,4.5682,4.4909,4.5273,17722422
1735534800,4.5364,4.5727,4.5091,4.5455,21507497
1735621200,4.5364,4.5364,4.4818,4.5091,7985876
1735794000,4.4273,4.5636,4.4208,4.5,28651051
1735880400,4.4909,4.509,4.4182,4.4273,25609400
1736139600,4.5364,4.6455,4.5273,4.6091,25116097
1736226000,4.7091,4.7818,4.6727,4.7,26354213
1736312400,4.6091,4.6364,4.5727,4.6364,29443661
1736485200,4.5909,4.6181,4.5545,4.5818,35371205
1736744400,4.5727,4.6545,4.5682,4.6273,18056329
1736830800,4.5818,4.6545,4.5653,4.6364,20396884
1736917200,4.7727,4.8818,4.7455,4.8727,42680863
1737003600,4.8636,4.8818,4.7727,4.8273,17787997
1737090000,4.8455,4.9091,4.8273,4.8364,22886485
1737435600,4.9091,4.9455,4.8909,4.9182,18663228
1737522000,4.9818,5.0182,4.9636,4.9727,17030655
1737608400,4.9818,5.0273,4.9364,4.9636,32929138
1737694800,4.9818,5.0182,4.9455,4.9727,14104621
1737954000,5,5.1364,4.9727,5.1091,39563157
1738040400,5.0818,5.1909,5.0818,5.1727,34265469
1738126800,5.1727,5.1909,5.1273,5.1455,20349759
1738213200,5.1818,5.3,5.1636,5.2727,45044763
1738299600,5.3182,5.3318,5.2545,5.2727,26197062
1738558800,5.1545,5.2727,5.1364,5.2364,22320161
1738645200,5.2545,5.3455,5.2097,5.3182,35268605
1738731600,5.2818,5.4182,5.2773,5.3909,43129246
1738818000,5.3364,5.4182,5.3092,5.4182,28930337
1738904400,5.3818,5.4364,5.2773,5.3182,57089909
1739163600,5.3636,5.4182,5.3545,5.3909,28028506
1739250000,5.4727,5.5,5.4182,5.4909,29898400
1739336400,5.4091,5.4182,5.2728,5.3273,37449826
1739422800,5.2545,5.3455,5.2545,5.3455,21019174
1739509200,5.4273,5.5591,5.4273,5.5364,25505394
1739854800,5.4818,5.5545,5.4818,5.4909,29146043
1739941200,5.2273,5.2727,5.2182,5.2364,25359881
1740027600,5.2364,5.2545,5.2091,5.2364,21235707
1740114000,5.2091,5.2273,5.1727,5.2091,27296406
1740373200,5.2091,5.2364,5.1091,5.1364,25577641
1740459600,5.1909,5.2455,5.1727,5.1909,31046679
1740546000,5.1636,5.1909,5.1182,5.1273,21973667
1740632400,5.1545,5.1727,5.1182,5.1273,13277409
1740718800,5.0545,5.0909,4.9455,4.9909,28648750
1740978000,5.0455,5.1455,4.9909,5.0091,13125038
1741064400,4.9727,5.0272,4.8727,4.9727,23732931
1741150800,5.0455,5.1455,5.0364,5.1273,27414182
1741237200,5.1273,5.1909,5.1,5.1545,24128767
1741323600,5.1364,5.1909,5.1182,5.1636,20131224
1741579200,5.0727,5.1545,5.0727,5.1182,37629348
1741665600,5.1,5.1364,5.0545,5.1364,34201634
1741752000,5.1,5.1455,5.0636,5.1364,27031639
1741838400,5.1182,5.2364,5.1182,5.2,36271194
1741924800,5.3273,5.4909,5.3045,5.4455,36486268
1742184000,5.5,5.7091,5.4955,5.6909,41674802
1742270400,5.6909,5.7727,5.6545,5.7091,39464649
1742356800,5.74,5.8,5.69,5.73,12422451
1742443200,5.75,5.75,5.61,5.66,23110932
1742529600,5.615,5.67,5.59,5.66,16979773
1742788800,5.58,5.65,5.56,5.59,14725149
1742875200,5.67,5.8,5.67,5.68,14550780
1742961600,5.67,5.69,5.59,5.62,16118216
1743048000,5.58,5.62,5.555,5.6,18498180
1743134400,5.55,5.6,5.46,5.52,13797663
1743393600,5.43,5.53,5.43,5.5,12492244
1743480000,5.49,5.57,5.48,5.52,14373627
1743566400,5.55,5.565,5.47,5.53,10629909
1743652800,5.63,5.77,5.63,5.69,38702033
1743739200,5.48,5.5,5.31,5.33,25110032
1743998400,5.22,5.43,5.175,5.3,40068646
1744084800,5.38,5.42,5.175,5.24,51166825
1744171200,5.12,5.52,5.12,5.51,49767493
1744257600,5.39,5.47,5.24,5.37,39967615
1744344000,5.36,5.51,5.345,5.47,32574729
1744603200,5.54,5.58,5.47,5.56,25206377
1744689600,5.57,5.61,5.53,5.59,23815168
1744776000,5.57,5.6399,5.54,5.59,21739184
1744862400,5.53,5.68,5.53,5.66,21231521
1745208000,5.68,5.71,5.62,5.69,13655295
