T,O,H,L,C,V
1713844800,8.47,8.63,8.45,8.63,52796
1713931200,8.5,8.66,8.49,8.66,44158
1714017600,8.48,8.56,8.464,8.53,46158
1714104000,8.81,8.98,8.81,8.93,226128
1714363200,8.98,9.12,8.98,9.09,27339
1714449600,9.01,9.07,8.95,8.97,103726
1714536000,9.57,9.57,8.93,9.1,20754
1714622400,9.35,9.56,9.32,9.35,379984
1714708800,9.42,9.55,9.38,9.45,50688
1714968000,9.45,9.48,9.24,9.46,102794
1715054400,9.445,9.6,9.445,9.58,122044
1715140800,9.6,9.66,9.51,9.56,183843
1715227200,9.38,9.55,9.34,9.55,159706
1715313600,9.49,9.55,9.42,9.55,188074
1715572800,9.58,9.75,9.57,9.75,156387
1715659200,9.8,9.86,9.72,9.74,72104
1715745600,10.47,10.65,10.34,10.59,251886
1715832000,10.65,11.06,10.65,11.06,141002
1715918400,11.15,11.4,10.98,11.39,153780
1716177600,11.4,11.535,11.34,11.49,57606
1716264000,11.34,11.5,11.22,11.5,520689
1716350400,11.29,11.59,11.22,11.32,285110
1716436800,11.305,11.37,11.19,11.36,58821
1716523200,11.34,11.38,11.2561,11.305,85005
1716868800,11.26,11.26,10.956,11.16,43056
1716955200,11.06,11.2,11.01,11.05,191100
1717041600,11.2535,11.35,10.982,11.13,38442
1717128000,11.11,11.11,10.86,11.06,98640
1717387200,10.84,11.14,10.68,11.14,242521
1717473600,10.69,11,10.64,11,330114
1717560000,10.79,10.88,10.62,10.74,224220
1717646400,10.96,11.117,10.8703,11.01,79952
1717732800,10.99,11.04,10.79,10.88,1002456
1717992000,10.88,10.99,10.8,10.99,145499
1718078400,10.89,11.07,10.8735,11.07,138204
1718164800,10.96,10.96,10.66,10.69,27965
1718251200,10.645,11.07,10.64,11,116553
1718337600,10.67,10.96,10.53,10.83,284132
1718596800,10.44,10.49,10.18,10.18,149145
1718683200,10.36,10.58,10.351,10.55,35098
1718856000,10.84,10.97,10.705,10.9,26667
1718942400,10.93,11.38,10.93,11.38,201099
1719201600,11.4,11.49,11.33,11.45,40135
1719288000,11.41,11.5,11.3103,11.5,51982
1719374400,11.52,11.57,11.435,11.465,38225
1719460800,11.68,11.85,11.65,11.82,265528
1719547200,11.65,11.65,11.4,11.5572,24974
1719806400,11.715,11.75,11.56,11.568,55302
1719892800,11.5,11.68,11.46,11.615,25233
1719979200,11.71,11.71,11.18,11.36,78217
1720152000,11.36,11.48,11.32,11.46,39472
1720411200,11.27,11.33,11.19,11.29,88809
1720497600,11.37,11.46,11.2,11.2,62586
1720584000,11.3501,11.45,11.22,11.325,55514
1720670400,11.41,11.64,11.36,11.64,194846
1720756800,11.7,11.83,11.65,11.65,75475
1721016000,11.72,11.81,11.58,11.65,17569
1721102400,11.79,11.79,11.555,11.61,73440
1721188800,11.59,11.754,11.59,11.73,35902
1721275200,11.2,11.32,11.12,11.18,66319
1721361600,11.3,11.3,11.04,11.21,31518
1721620800,11.14,11.182,11.09,11.182,9364
1721707200,11.07,11.12,10.85,11.03,17470
1721793600,10.745,11.04,10.745,10.9,33037
1721880000,10.74,10.84,10.695,10.8108,18333
1721966400,11.38,11.755,11.38,11.69,68288
1722225600,11.7,11.85,11.59,11.85,35239
1722312000,11.855,12.27,11.82,12.25,339393
1722398400,12.16,12.16,11.82,11.9,69531
1722484800,12.01,12.101,11.87,11.87,19983
1722571200,11.83,11.91,11.5,11.591,86386
1722916800,11.42,11.59,11.23,11.25,138617
1723003200,11.3,11.34,11.07,11.2,41574
1723089600,11.4,11.675,11.4,11.5,28314
1723176000,12.03,12.06,11.905,12.01,19587
1723435200,12.16,12.19,12.03,12.03,199092
1723521600,12.46,12.74,12.39,12.69,785063
1723608000,13.43,13.55,13.09,13.48,397035
1723694400,13.65,13.96,13.42,13.47,186480
1723780800,13.82,13.865,13.3,13.34,445823
1724040000,13.4,14.1,13.4,14.07,1095414
1724126400,13.56,14.215,13.56,13.76,237634
1724212800,13.955,14.035,13.83,13.985,50888
1724299200,13.46,13.84,13.46,13.72,24352
1724385600,13.6,13.6,13.22,13.58,61919
1724644800,12.64,12.84,12.54,12.72,32566
1724731200,12.28,13.45,12.28,12.67,618971
1724817600,12.51,12.64,12.51,12.78,60143
1724904000,12.35,12.4,12.22,12.317,61752
1724990400,12.28,12.3775,11.76,11.77,207278
1725336000,12.09,12.13,11.88,11.88,68710
1725422400,11.97,12.23,11.96,12.23,39041
1725508800,12.23,12.55,12.18,12.31,105763
1725595200,12.44,12.44,12.178,12.264,39676
1725854400,12.25,12.42,12.05,12.11,99909
1725940800,11.86,12.11,11.86,12.04,155462
1726027200,12.02,12.02,11.76,11.835,130437
1726113600,11.8,11.895,11.78,11.895,26857
1726200000,12.02,12.056,11.665,11.91,19616
1726459200,12.13,12.228,12.02,12.02,280790
1726545600,12.39,12.6,12.39,12.429,22847
1726632000,12.31,12.31,11.91,11.91,26522
1726718400,12.16,12.16,11.91,12.12,35016
1726804800,12.163,12.163,11.52,11.56,46332
1727064000,11.39,11.57,11.28,11.475,29394
1727150400,11.76,11.81,11.6,11.69,74645
1727236800,11.58,11.58,11.346,11.4,134121
1727323200,11.61,11.61,11.48,11.504,34877
1727409600,11.52,11.5855,11.43,11.55,70670
1727668800,11.42,11.62,11.39,11.62,16962
1727755200,11.91,12.07,11.9,11.932,21106
1727841600,12.12,12.19,12.05,12.14,25452
1727928000,12.01,12.045,11.69,11.69,16011
1728014400,11.76,11.8662,11.72,11.83,31626
1728273600,11.9595,11.9595,11.71,11.742,17599
1728446400,11.36,11.64,11.35,11.58,89952
1728532800,11.65,11.65,11.42,11.552,18968
1728619200,11.35,11.41,11.25,11.25,38578
1728878400,11.435,11.74,11.435,11.516,15242
1728964800,11.56,11.82,11.56,11.75,44448
1729051200,12.36,12.36,11.65,11.82,42938
1729137600,11.9505,12.15,11.86,12.005,24634
1729224000,12.25,12.27,11.96,12,173292
1729483200,12.085,12.2305,12.078,12.1,28563
1729569600,12.19,12.4775,12.04,12.4,27175
1729656000,12.15,12.35,12.08,12.13,216965
1729742400,12.22,12.295,12.03,12.03,142526
1729828800,12.02,12.21,11.92,12.21,26822
1730088000,12.4505,12.64,12.41,12.57,33007
1730174400,12.6001,12.71,12.545,12.57,15731
1730260800,12.43,12.69,12.39,12.63,8069
1730347200,12.566,12.6905,12.17,12.17,12625
1730433600,12.274,12.37,11.98,11.98,242697
1730696400,12.37,12.45,12.3,12.37,38418
1730782800,12.38,12.5,12.25,12.5,46085
1730869200,12.52,12.9925,12.52,12.99,53349
1730955600,12.83,12.83,12.3,12.65,62083
1731042000,12.232,12.26,12.012,12.1605,26596
1731301200,12.32,12.32,12.03,12.08,60795
1731387600,12.208,12.4,12.208,12.33,37505
1731474000,12.24,12.24,12.06,12.202,31291
1731560400,12.49,12.53,12.11,12.11,237530
1731646800,12.44,12.93,12.26,12.26,44432
1731906000,12.28,12.43,12.18,12.19,87255
1731992400,12.06,12.1406,12.023,12.1406,32129
1732078800,12.665,12.8,11.72,12.09,13874
1732165200,11.84,12.039,11.84,12,50795
1732251600,12.25,12.35,12.19,12.305,41424
1732510800,12.35,12.35,12.19,12.19,36381
1732597200,12.21,12.21,12,12.08,37638
1732683600,12.056,12.06,11.89,11.92,19288
1732856400,12.28,12.44,12.25,12.3,124801
1733115600,12.18,12.6,12.18,12.6,72335
1733202000,12.5999,12.75,12.52,12.738,51906
1733288400,12.7,12.92,12.69,12.92,69363
1733374800,12.972,13.16,12.94,12.98,165300
1733720400,12.92,13.09,12.84,12.97,37083
1733806800,13.14,13.276,12.5958,12.65,49753
1733893200,12.7,13.49,12.55,13.49,28000
1733979600,13.11,13.11,12.59,12.59,50086
1734066000,12.87,13.03,12.59,12.62,24535
1734325200,12.91,13.065,12.82,12.82,31677
1734411600,12.97,13.275,12.8,13.21,37579
1734498000,12.93,12.96,12.27,12.29,44681
1734584400,12.49,12.57,12.396,12.47,17543
1734670800,12.33,13.2,12.1,13.13,30976
1734930000,11.96,12.36,11.875,12.02,329141
1735016400,12.29,12.609,12.05,12.34,5921
1735189200,12.02,12.2,12.01,12.07,111272
1735275600,11.87,11.88,11.7,11.7962,18294
1735534800,11.93,12.03,11.77,11.81,22982
1735621200,12.5025,12.5025,11.78,11.88,9681
1735794000,11.55,12.16,11.55,12.08,27361
1735880400,11.88,12.631,11.78,11.85,29661
1736139600,11.83,12.09,11.83,11.88,24213
1736226000,12.0785,12.18,11.59,11.59,49630
1736312400,11.64,11.76,11.63,11.69,34836
1736485200,11.57,12,11.35,11.57,85559
1736744400,11.585,11.62,11.35,11.35,30786
1736917200,11.57,12.19,11.385,12.19,28166
1737003600,11.45,11.45,11,11,402355
1737090000,11.15,11.37,11.12,11.14,36542
1737435600,11.03,11.03,10.79,10.93,16812
1737522000,11.25,11.36,11.22,11.268,116668
1737608400,11.6,11.73,11.51,11.51,37191
1737694800,11.5,11.51,11.35,11.43,144284
1737954000,11.48,11.78,11.48,11.765,112798
1738040400,11.84,11.99,11.78,11.78,31511
1738126800,11.84,11.99,11.8,11.85,27481
1738213200,12.04,12.04,11.662,11.92,16996
1738299600,12.63,12.7499,11.82,12.16,168011
1738558800,12.21,12.3,11.65,12.21,59868
1738645200,11.985,12.17,11.75,11.75,74855
1738731600,11.85,12.05,11.835,11.87,128231
1738818000,12.21,12.382,12.2,12.2,61767
1738904400,12.3075,12.36,11.75,11.75,34406
1739163600,12.055,12.2,12.055,12.11,29776
1739250000,12.7899,12.7899,12.07,12.073,34163
1739336400,12,12,11.53,11.555,75650
1739422800,11.5,11.505,11.2,11.2,68849
1739509200,10.6001,11.93,10.6,11.855,51447
1739854800,11.984,12.09,11.45,11.985,111967
1739941200,11.715,11.715,11.13,11.13,176016
1740027600,11.13,11.13,10.87,10.93,140497
1740114000,11.01,11.08,10.84,11.08,71824
1740373200,11.3,11.3,10.71,10.71,107760
1740459600,10.62,10.88,10.62,10.78,119545
1740546000,10.7,10.765,10.65,10.65,52413
1740632400,10.685,10.81,10.62,10.75,52521
1740718800,11,11.75,10.1878,11.75,96192
1740978000,11.33,11.55,10.7,10.86,52192
1741064400,10.25,10.8925,10.2,10.29,94794
1741150800,10.22,11.3,10.22,11.09,35553
1741237200,10.83,10.9,10.62,10.64,116437
1741323600,10.68,11.02,10.68,11.02,32703
1741579200,10.923,11.25,10.89,10.95,208080
1741665600,11,11.06,10.8645,11,251154
1741752000,11.08,11.3735,11.08,11.34,88193
1741838400,11.15,11.58,11.12,11.3001,46408
1741924800,11.535,11.79,11.456,11.54,32787
1742184000,11.39,11.596,11.19,11.54,19014
1742270400,12.89,13.8,12.45,13.615,471758
1742356800,13.6,13.86,13.56,13.85,84462
1742443200,14.16,14.8,14.13,14.48,250364
1742529600,14.23,14.74,14.23,14.61,139663
1742788800,14.5375,14.5375,14.11,14.12,93016
1742875200,14.36,14.52,14.12,14.19,120510
1742961600,14.3,14.3,13.58,13.72,179962
1743048000,14.04,14.696,14.03,14.51,269790
1743134400,14.55,14.75,14.25,14.47,22173
1743393600,14.39,14.615,14.23,14.34,54653
1743480000,14.33,14.67,14.33,14.62,139237
1743566400,14.58,14.61,14.43,14.56,27001
1743652800,14.63,14.81,14.53,14.53,64733
1743739200,14.5,14.5,13.91,14.2,109428
1743998400,13.99,14.15,13.49,13.74,262040
1744084800,13.9028,13.93,13.09,13.51,237576
1744171200,13.1,14.4,13.1,14.14,299619
1744257600,14.25,14.29,13.8,14.05,151381
1744344000,14.35,14.35,13.87,14.29,55283
1744603200,14.125,14.66,14.125,14.52,182949
1744689600,14.72,15,14.485,15,241605
1744776000,15.65,15.65,14.51,15.1,211449
1744862400,15.76,15.76,14.69,15.02,45248
1745208000,15.25,15.31,14.7,15.1,93255
