T,O,H,L,C,V
1713844800,27.34,27.6375,27.13,27.55,11831161
1713931200,28.19,28.4,27.98,28.27,11230312
1714017600,28.14,28.71,28.11,28.59,11071007
1714104000,29.89,30.46,29.73,30.34,22195234
1714363200,29.99,30.35,29.6415,29.89,9079729
1714449600,29.27,29.55,28.86,28.89,9345057
1714536000,28.86,29.57,28.71,29.27,7695413
1714622400,30.78,32.8595,30.73,32.64,26785907
1714708800,32.8,32.935,32.33,32.87,11366600
1714968000,32.75,33.03,32.555,32.71,8004881
1715054400,31.98,32.345,31.88,32.13,6376724
1715140800,31.41,32.095,31.34,31.95,5592201
1715227200,32.64,32.925,31.95,32.37,6498632
1715313600,32.69,32.95,32.14,32.2,7127606
1715572800,33.41,34.6,33.3701,33.78,15268104
1715659200,32.96,33.45,32.69,33.35,9959199
1715745600,33.925,33.925,33.1802,33.62,10870480
1715832000,34.5,34.59,32.085,34.27,23780771
1715918400,34.545,35.685,34.31,35.27,19445980
1716177600,35.1,35.54,34.2814,34.75,9619110
1716264000,33.28,33.87,32.9358,33.29,47141377
1716350400,32.95,33.3,32.625,32.68,27805206
1716436800,31.9,32.33,31.15,31.2,20064905
1716523200,30.945,31.1,30.17,30.27,18961575
1716868800,30.29,30.47,29.32,29.89,18718364
1716955200,29.4,29.59,29.04,29.32,18956181
1717041600,29.48,30.345,29.39,30.21,10533788
1717128000,29.38,29.78,29.21,29.62,9842478
1717387200,30.28,30.61,29.55,29.9,9872256
1717473600,30.02,30.25,29.76,30.07,8939162
1717560000,30.55,30.92,30.43,30.59,8606862
1717646400,30.08,30.16,29.73,29.77,11657631
1717732800,29.385,29.945,29.24,29.33,9661046
1717992000,29.38,29.71,28.94,29.59,6556327
1718078400,29.63,29.86,29.135,29.41,6854424
1718164800,29.67,29.85,29.14,29.56,12297928
1718251200,29.79,29.99,29.4,29.4,9590383
1718337600,28.91,28.98,28.64,28.77,11933463
1718596800,28.98,29.38,28.685,29.24,11917300
1718683200,28.99,29.36,28.77,29.05,5621971
1718856000,28.69,28.995,28.43,28.68,11552879
1718942400,28.14,28.35,27.93,28.1,10699177
1719201600,28.35,28.94,28.31,28.36,8277605
1719288000,27.91,28.15,27.28,27.57,8614712
1719374400,27.53,27.67,27.2,27.51,4823279
1719460800,27.19,27.22,26.21,26.26,13983918
1719547200,26.33,26.375,25.755,25.84,11558148
1719806400,25.93,26.22,25.67,25.79,6998219
1719892800,25.92,26.1499,25.57,26.09,9111059
1719979200,26.42,26.8999,26.36,26.87,6717179
1720152000,26.12,26.86,26.12,26.76,9327274
1720411200,26.5,26.52,26.24,26.47,6177923
1720497600,26.29,27.1,26.16,26.82,9156707
1720584000,26.79,27.03,26.53,26.76,6913253
1720670400,27.5,28.81,27.5,28.63,22612200
1720756800,28.94,29.07,27.895,28.15,11884215
1721016000,27.24,27.24,26.6,26.65,11893267
1721102400,26.65,27.325,26.4803,27.2,7466266
1721188800,27.17,27.3,26.75,26.98,7396717
1721275200,27.04,27.17,26.17,26.28,9427493
1721361600,26.26,26.535,26.07,26.26,4797772
1721620800,26.89,27.14,26.735,26.85,6149565
1721707200,26.25,26.32,25.94,26.19,7296705
1721793600,25.88,26.22,25.63,25.76,5874885
1721880000,26.53,27.39,26.31,26.33,14040607
1721966400,26.35,26.67,26.0801,26.56,3608583
1722225600,26.54,26.69,26.235,26.61,4825087
1722312000,26.48,26.48,26.065,26.36,5116698
1722398400,26.89,26.94,26.24,26.39,5131777
1722484800,25.78,25.9,25.13,25.24,10127470
1722571200,25,25.28,24.77,25.16,7902652
1722830400,24.2,24.979,24.13,24.95,12298163
1722916800,24.95,25.65,24.925,25.45,8098029
1723003200,25.65,25.8,25.14,25.33,6102210
1723089600,25.48,26.08,25.465,25.98,5067016
1723176000,25.71,25.9,25.485,25.88,4326701
1723435200,25.83,26.32,25.83,26.07,5548748
1723521600,26.05,26.2,25.905,26.13,6868656
1723608000,26.17,26.2265,25.55,25.9,10591888
1723694400,27.07,27.78,26.63,27,20742028
1723780800,27.94,29.3,27.93,29.29,24919113
1724040000,29.08,29.71,29.03,29.54,12534556
1724126400,28.65,28.76,27.79,28.19,26334264
1724212800,26.04,27.04,25.85,27.02,86065286
1724299200,27.18,27.19,26.17,26.64,28986980
1724385600,27.01,27.04,26.64,26.83,17486224
1724644800,25.5,26.03,25.24,25.8,26881630
1724731200,26.8,26.88,26.325,26.38,22812925
1724817600,26.415,26.455,25.815,25.94,14987574
1724904000,26.485,26.68,26.275,26.37,11472281
1724990400,27.34,27.405,26.76,27,21636913
1725336000,26.52,26.87,26.45,26.7,9254224
1725422400,27.1,27.14,26.705,26.83,14148331
1725508800,26.8,26.915,26.27,26.38,12588964
1725595200,26.3,26.47,26.005,26.07,10172868
1725854400,25.73,25.96,25.61,25.89,9164775
1725940800,26.19,26.38,25.91,25.98,8578362
1726027200,26.06,26.58,26,26.56,8239779
1726113600,26.68,26.75,26.4,26.65,6952037
1726200000,26.59,26.65,26.12,26.24,9395751
1726459200,26.36,26.44,26.175,26.3,6960907
1726545600,26.66,27.3895,26.63,26.92,15021388
1726632000,27.02,27.135,26.67,26.92,10352792
1726718400,28.43,28.79,28.17,28.74,21141945
