T,O,H,L,C,V
1713844800,149.86,150.49,148.2,149.56,10110442
1713931200,148.14,148.99,146.86,148.53,9755314
1714017600,149.37,149.58,146.33,146.82,7642732
1714104000,146.7,147.175,145.95,146.14,6182982
1714363200,146.14,147.22,145.985,146.82,6461588
1714449600,146.88,146.88,144.53,144.59,8817719
1714536000,148.735,151.85,147.62,151.18,14473711
1714622400,152.04,152.33,149.14,149.92,8459796
1714708800,149.89,149.89,147.82,149.27,6503718
1714968000,149.87,150.05,147.91,148.58,5042757
1715054400,149.38,149.73,148.45,148.72,7333730
1715140800,149.12,149.73,148.7,148.95,7735148
1715227200,148.98,150.1,148.89,149.85,6546153
1715313600,150,150.09,149.19,149.91,5710566
1715572800,150.04,152,149.705,151.22,5628467
1715659200,151.85,152.21,150.7,151.38,8254171
1715745600,151.82,152.95,151.3,152.67,5547955
1715832000,153,154.38,152.33,154.28,7590959
1715918400,154.86,154.86,153.7129,154.64,6521794
1716177600,153.1,153.39,151.26,151.27,7742280
1716264000,151.78,152.585,150.785,151.24,5492354
1716350400,150.84,154.08,150.32,153.5,6609788
1716436800,152.75,152.84,149.375,149.7,8000422
1716523200,149.53,149.8139,146.76,146.97,9520576
1716868800,146.79,146.79,144.1502,144.38,10499829
1716955200,143.82,145.415,143.71,144.44,8263810
1717041600,144.62,145.61,144.02,145.28,8491111
1717128000,145.57,147.48,145.19,146.67,14621203
1717387200,147.25,148.9,146.77,147.74,7329241
1717473600,147.48,148.31,146.19,147.8,8876441
1717560000,147.97,147.99,145.855,145.97,5891299
1717646400,145.5,147,144.66,146.42,5016301
1717732800,146.68,148.3,146.34,147.08,5111626
1717992000,146.53,147.56,145.6,147.13,5751309
1718078400,146.81,147.16,145.44,146.76,5655636
1718164800,147.06,147.21,144.78,145.41,6180493
1718251200,145.07,146,143.88,145.45,6840374
1718337600,145.14,145.97,144.48,145.54,4075342
1718596800,145.02,146.43,144.74,145.95,6666583
1718683200,145.96,146.39,145.265,145.65,6156572
1718856000,145.27,148.08,145.01,147.78,8749717
1718942400,147.89,149.08,147.37,148.75,15176869
1719201600,149,149.7199,148.17,149.12,6914671
1719288000,149.18,149.2,146.94,147.19,6620303
1719374400,146.2,147.19,145.78,146.82,5267809
1719460800,146.8,147.36,144.84,145.8,5739246
1719547200,146.04,147.07,145.65,146.16,10495735
1719806400,146.07,148.7,145.6201,146.44,5144443
1719892800,146.43,147.15,145.74,146.03,5491962
1719979200,146.2,146.65,144.74,145.69,3246157
1720152000,145.77,146.55,144.5,146.48,4888535
1720411200,146.4,147.22,145.25,145.48,5260229
1720497600,145.67,147.13,145.18,147.05,5892187
1720584000,147.26,149.47,146.68,149.43,6093187
1720670400,149.58,150.58,148.64,149.7,6352109
1720756800,150,150.88,149.24,149.88,5336394
1721016000,150.08,150.25,148.87,149.24,6711354
1721102400,149.69,151.08,149.16,151.01,6469582
1721188800,151.55,157.49,151.415,156.58,13801429
1721275200,155.6,157.07,154.62,155.42,10166247
1721361600,156.51,156.51,154.12,154.69,7398036
1721620800,154.77,155.11,153.59,154.24,6840609
1721707200,153.31,153.5,151.57,152.35,6261870
1721793600,152.76,156.41,152.33,156.28,7168217
1721880000,156.48,160.58,156,159.64,10019578
1721966400,159.75,161.58,159.4724,160.64,8356878
1722225600,159.97,160,158.05,158.56,5625204
1722312000,158.54,161.55,158.36,161.33,6418677
1722398400,159.85,160.35,157.74,157.85,8293239
1722484800,158.48,160.81,157.71,160.76,7213419
1722571200,161.9,164.85,161,164.14,11280357
1722830400,163.795,165.78,160.58,161.25,12032209
1722916800,161.05,161.48,158.94,158.97,7607144
1723003200,158.87,160.615,158.19,158.9,5993028
