T,O,H,L,C,V
1713844800,4.71,5.025,4.69,4.87,4336749
1713931200,4.9,5,4.74,4.88,5178240
1714017600,4.84,5.11,4.79,5.1,6184042
1714104000,5.09,5.37,5.06,5.35,6288838
1714363200,5.35,5.43,5.13,5.19,4420627
1714449600,5.13,5.225,5.01,5.05,3664815
1714536000,5,5.465,4.99,5.22,4793482
1714622400,5.36,5.41,5.105,5.38,4661109
1714708800,5.5,5.57,5.3,5.38,4227209
1714968000,5.44,5.59,5.43,5.53,3949174
1715054400,5.48,5.52,5.35,5.37,3938362
1715140800,5.23,5.345,4.85,4.89,8500483
1715227200,4.92,5.21,4.915,5.19,4807436
1715313600,5.22,5.31,4.99,5.06,4078820
1715572800,5.115,5.26,5.03,5.05,4423116
1715659200,5.16,5.52,5.16,5.39,8119104
1715745600,5.47,5.47,5.13,5.14,4255373
1715832000,5.14,5.195,5.02,5.02,3305951
1715918400,5.03,5.06,4.99,5.04,2946091
1716177600,5.03,5.1154,4.91,4.95,5166964
1716264000,4.95,5.18,4.885,4.89,5787241
1716350400,4.91,4.94,4.81,4.87,3494916
1716436800,4.92,4.9305,4.76,4.81,3853438
1716523200,4.84,4.95,4.79,4.91,3236605
1716868800,4.96,5.015,4.85,4.86,3597329
1716955200,4.79,4.805,4.67,4.7,4868302
1717041600,4.75,4.865,4.71,4.81,3312977
1717128000,4.87,5,4.78,4.87,3834968
1717387200,4.96,5.025,4.83,4.87,3615720
1717473600,4.87,4.935,4.82,4.87,3299038
1717560000,4.92,5.245,4.89,5.16,5299869
1717646400,5.17,5.21,5.04,5.15,3399175
1717732800,5.05,5.13,4.95,4.99,3349050
1717992000,4.95,5.205,4.9324,5.09,3434530
1718078400,5.025,5.145,5.025,5.09,3213568
1718164800,5.25,5.43,5.135,5.14,5625020
1718251200,5.16,5.24,4.96,5,3758320
1718337600,4.955,5.02,4.84,4.88,4292261
1718596800,4.91,4.99,4.87,4.92,2872943
1718683200,4.92,5.02,4.89,5,3844495
1718856000,5,5.02,4.78,4.8,5556470
1718942400,4.85,5.2,4.77,5.19,11114617
1719201600,5.11,5.35,5.05,5.11,6136736
1719288000,5.08,5.11,4.82,4.84,5704664
1719374400,4.88,5,4.79,5,5059618
1719460800,5.01,5.105,4.955,5.1,10016769
1719547200,5.1,5.15,4.98,5.1,27584136
1719806400,5.1,5.1,4.78,4.87,8354801
1719892800,4.94,5.315,4.87,4.96,11028752
1719979200,5,5.24,4.98,5.15,5772590
1720152000,5.19,5.19,5.04,5.16,4445032
1720411200,5.12,5.25,5.09,5.21,3929781
1720497600,5.2,5.23,5.09,5.11,3686204
1720584000,5.13,5.22,5.0649,5.19,3551991
