T,O,H,L,C,V
1713844800,17.05,17.6475,16.88,17.56,886647
1713931200,17.45,17.68,17.425,17.5,797047
1714017600,17.36,17.465,17.23,17.38,621515
1714104000,17.52,17.6,17.4,17.42,452714
1714363200,17.47,17.65,17.41,17.41,626504
1714449600,17.26,17.515,17.1,17.18,1686182
1714536000,17.27,17.79,17.17,17.45,1185084
1714622400,17.12,17.63,16.74,17.58,1787527
1714708800,17.79,17.85,17.47,17.69,1010760
1714968000,17.87,18.36,17.8,18.35,914540
1715054400,18.41,18.41,17.87,17.88,765066
1715140800,17.79,17.92,17.64,17.68,540485
1715227200,17.71,17.7553,17.54,17.71,532163
1715313600,17.82,17.86,17.66,17.74,406308
1715572800,17.86,17.98,17.755,17.79,488193
1715659200,18.03,18.15,17.925,18.03,623545
1715745600,18.09,18.17,17.875,17.95,484186
1715832000,17.89,18.015,17.815,17.98,519878
1715918400,17.94,17.96,17.58,17.6,489280
1716177600,17.54,17.66,17.45,17.54,609130
1716264000,17.52,17.63,17.32,17.4,719755
1716350400,17.34,17.46,16.91,16.93,738353
1716436800,16.93,16.93,16.59,16.65,784777
1716523200,16.79,17.14,16.6,17.08,1583327
1716868800,17.25,17.25,16.9,16.99,726081
1716955200,16.78,16.87,16.45,16.71,852580
1717041600,16.85,17.195,16.78,17.17,605493
1717128000,17.19,17.28,17.03,17.25,501358
1717387200,17.27,17.31,17.14,17.19,551622
1717473600,17.06,17.175,16.89,17.11,800747
1717560000,17.19,17.285,16.94,17.18,1227301
1717646400,17.11,17.31,17.07,17.15,618917
1717732800,16.96,17.125,16.78,16.78,530855
1717992000,16.62,16.91,16.57,16.89,704408
1718078400,16.76,16.8,16.595,16.75,504066
1718164800,17.14,17.22,17.01,17.01,648260
1718251200,16.98,16.98,16.6,16.73,644943
1718337600,16.56,16.56,16.085,16.28,705107
1718596800,16.2,16.29,16.05,16.23,601175
1718683200,16.24,16.27,16.11,16.21,511460
1718856000,16.11,16.18,15.79,16,693998
1718942400,16,16.165,15.93,16,1643519
1719201600,16.09,16.26,16.065,16.12,463039
1719288000,16.07,16.41,15.98,16.4,414764
1719374400,16.27,16.39,16.16,16.36,585468
1719460800,16.41,16.53,16.24,16.51,347484
1719547200,16.63,16.68,16.4,16.59,1797583
1719806400,16.56,16.66,16.34,16.37,567387
1719892800,16.45,16.87,16.44,16.76,550702
1719979200,16.77,16.83,16.7,16.82,202503
1720152000,16.71,16.83,16.665,16.75,443153
1720411200,16.9,16.94,16.75,16.8,500291
1720497600,16.73,16.79,16.59,16.65,497720
1720584000,16.7,16.87,16.63,16.84,493716
1720670400,17.21,17.32,17.02,17.28,575363
1720756800,17.46,17.815,17.39,17.71,724542
1721016000,17.88,18.22,17.76,18.02,717659
1721102400,18.2,18.55,18.17,18.49,560128
1721188800,18.41,18.71,18.36,18.51,677927
1721275200,18.38,18.73,18.1,18.22,445834
1721361600,18.16,18.22,17.87,17.88,553976
1721620800,18.01,18.18,17.73,18.03,381475
