T,O,H,L,C,V
1713844800,6.38,6.59,6.34,6.56,17391910
1713931200,6.54,6.62,6.51,6.6,12271214
1714017600,6.58,6.79,6.44,6.73,23962953
1714104000,6.81,6.87,6.73,6.74,14737335
1714363200,6.77,6.85,6.65,6.84,13535138
1714449600,6.62,6.69,6.43,6.45,17335402
1714536000,6.57,6.705,6.42,6.5,19709709
1714622400,6.44,6.63,6.44,6.55,12149388
1714708800,6.61,6.635,6.48,6.59,11671585
1714968000,6.75,6.815,6.694,6.75,12141661
1715054400,6.71,6.78,6.67,6.77,11084694
1715140800,6.8,7.2,6.78,7.1,27152257
1715227200,7.18,7.56,7.165,7.53,18637336
1715313600,7.62,7.7,7.54,7.59,20354349
1715572800,7.56,7.685,7.52,7.59,13274657
1715659200,7.64,7.8,7.6,7.8,13092021
1715745600,7.87,7.92,7.7113,7.85,10566332
1715832000,7.84,7.92,7.75,7.84,11052410
1715918400,7.94,8.02,7.895,8,12041541
1716177600,8.02,8.17,7.92,8.16,12334928
1716264000,8.08,8.23,8.04,8.22,15763448
1716350400,8.07,8.09,7.86,7.93,26102402
1716436800,7.9,8.04,7.81,7.88,22279627
1716523200,7.95,8.1,7.95,8.07,11942832
1716868800,8.17,8.275,8.1113,8.18,15690056
1716955200,8.04,8.16,7.95,7.97,11148245
1717041600,7.99,8.15,7.97,8.12,12959889
1717128000,8.17,8.22,7.97,8.13,15250867
1717387200,8.18,8.18,8.0101,8.09,13208480
1717473600,7.94,7.985,7.61,7.67,21293375
1717560000,7.75,7.89,7.69,7.88,14291849
1717646400,7.83,8.02,7.785,7.99,14936386
1717732800,7.64,7.69,7.39,7.4,18006015
1717992000,7.42,7.54,7.3,7.53,15973492
1718078400,7.47,7.55,7.395,7.5,12046029
1718164800,7.69,7.75,7.45,7.48,16421697
1718251200,7.46,7.585,7.32,7.38,14480589
1718337600,7.5,7.51,7.31,7.41,13229510
1718596800,7.37,7.415,7.2,7.39,13759722
1718683200,7.38,7.57,7.3337,7.51,14884666
1718856000,7.57,7.775,7.53,7.69,20799277
1718942400,7.64,7.67,7.49,7.62,35649951
1719201600,7.7,7.73,7.59,7.64,11187617
1719288000,7.59,7.71,7.56,7.62,11970552
1719374400,7.54,7.88,7.52,7.87,15944767
1719460800,7.95,8.34,7.95,8.32,20617190
1719547200,8.36,8.4,8.2,8.32,22908694
1719806400,8.34,8.42,8.22,8.24,11928331
1719892800,8.26,8.39,7.89,8.02,20811538
1719979200,8.17,8.35,8.12,8.29,8111187
1720152000,8.39,8.55,8.37,8.47,15463112
1720411200,8.36,8.6,8.33,8.58,18831646
1720497600,8.61,8.65,8.5001,8.59,15065065
1720584000,8.66,8.97,8.64,8.95,18893755
1720670400,9.13,9.21,8.905,9.18,17688088
1720756800,9.03,9.29,9.01,9.21,14991357
1721016000,9.21,9.2769,9.1,9.12,16374705
1721102400,9.15,9.36,9.125,9.32,18561764
1721188800,9.3,9.41,9.05,9.05,20503094
1721275200,9.11,9.12,8.84,8.91,20109887
1721361600,8.65,8.8999,8.55,8.82,14197758
1721620800,8.79,8.95,8.74,8.91,13719871
1721707200,8.93,9.04,8.88,9.03,11232278
1721793600,9.09,9.2199,8.84,8.85,15280686
1721880000,8.57,8.66,8.36,8.54,28988993
1721966400,8.67,8.75,8.55,8.61,11375047
1722225600,8.69,8.76,8.575,8.76,12006932
1722312000,8.82,8.855,8.58,8.74,13976299
1722398400,8.9,9.15,8.8405,9.06,20083982
1722484800,8.98,9.27,8.85,9.15,20329064
1722571200,9.29,9.445,8.6,8.75,29601298
1722830400,8.05,8.47,7.84,8.4,16800548
1722916800,8.4,8.7,8.295,8.59,13993787
1723003200,8.69,8.71,8.08,8.12,18294140
1723089600,8.26,8.54,8.1301,8.43,13123957
1723176000,8.54,8.5999,8.385,8.48,12426949
1723435200,8.57,8.93,8.55,8.92,15606196
1723521600,8.87,9.06,8.85,8.99,10673667
1723608000,8.93,9.02,8.84,9,9981300
1723694400,9.03,9.045,8.75,8.91,11994119
1723780800,9.1,9.19,8.95,9.17,11881843
1724040000,9.14,9.39,9.125,9.36,13587167
1724126400,9.43,9.58,9.35,9.4,20505227
1724212800,9.38,9.41,9.12,9.31,18705939
1724299200,9.1,9.17,8.93,9.04,18307844
1724385600,9.16,9.265,9.05,9.15,13168160
1724644800,9.24,9.24,9.0412,9.06,10635277
1724731200,8.93,8.995,8.855,8.95,13529958
1724817600,8.78,8.84,8.7,8.79,12885918
1724904000,8.82,9.03,8.82,9.01,10939549
1724990400,8.97,9.06,8.94,9.04,10957483
1725336000,8.91,8.94,8.45,8.6,19849240
1725422400,8.57,8.7,8.49,8.57,11694958
1725508800,8.75,8.84,8.66,8.69,10844510
1725595200,8.66,8.735,8.31,8.33,10416233
1725854400,8.42,8.55,8.36,8.52,7486519
1725940800,8.56,9.04,8.55,9.02,18593600
1726027200,9.01,9.165,8.89,9.15,12104822
1726113600,9.31,9.835,9.3,9.78,17293493
1726200000,9.97,10.1,9.764,9.84,16708322
1726459200,9.67,9.68,9.26,9.48,24617054
1726545600,9.44,9.5,9.275,9.39,16672990
1726632000,9.43,9.65,9.14,9.21,21775422
1726718400,9.38,9.45,9.2042,9.34,17397131
1726804800,9.46,9.645,9.43,9.56,77555360
1727064000,9.58,9.885,9.55,9.61,14025667
1727150400,9.69,9.82,9.6,9.75,13876855
1727236800,9.75,9.9699,9.69,9.74,12856724
1727323200,9.71,9.89,9.68,9.8,13478259
1727409600,9.76,9.77,9.46,9.46,11865508
1727668800,9.34,9.5,9.27,9.36,11961550
1727755200,9.45,9.62,9.42,9.53,11893383
1727841600,9.52,9.79,9.48,9.77,11114149
1727928000,9.63,9.705,9.45,9.53,11900778
1728014400,9.47,9.625,9.37,9.42,13039027
1728273600,9.41,9.42,9.27,9.33,8686515
1728360000,9.23,9.44,9.215,9.43,9503534
1728446400,9.39,9.44,9.22,9.42,12029840
1728532800,9.49,9.87,9.455,9.85,13995270
1728619200,9.93,10.06,9.8,9.82,9423005
1728878400,9.81,9.9,9.714,9.86,6517047
1728964800,9.87,10.06,9.824,9.93,10676421
1729051200,10.09,10.22,9.9513,10.03,12015625
1729137600,10.13,10.29,10.06,10.15,13320233
1729224000,10.25,10.64,10.21,10.61,14953800
1729483200,10.77,10.82,10.5,10.54,14633190
1729569600,10.62,10.74,10.58,10.7,13544146
1729656000,10.51,10.73,10.475,10.71,16025760
1729742400,10.78,10.82,10.465,10.75,22957020
1729828800,10.68,10.7398,10.45,10.53,13695991
1730088000,10.48,10.56,10.435,10.44,10436342
1730174400,10.5,10.7,10.325,10.7,14659955
