T,O,H,L,C,V
1713844800,76.77,78.82,76.5404,78.47,212282
1713931200,78.05,79.35,76.62,77.06,233734
1714017600,76.01,77.905,74.64,77.62,224847
1714104000,77.89,78.61,77.5339,78.25,142331
1714363200,78.66,79.39,77.925,79.3,367832
1714449600,78.77,80.1999,77.8126,78.19,283741
1714536000,78.49,79.81,76.55,77.74,317270
1714622400,78.52,79.56,77.03,78.98,282722
1714708800,80,80.11,78.34,78.99,401312
1714968000,80.09,82,79.5134,80.77,333932
1715054400,74,80.745,73.41,78.88,712596
1715140800,77.52,78.1799,75.97,76.16,344311
1715227200,76.15,78.16,75.95,77.71,272529
1715313600,77.88,79.175,77.34,78.53,218815
1715572800,78.8,79.47,75.9675,77.21,292435
1715659200,77.6,77.95,76.67,77.19,278414
1715745600,77.66,78.885,77.66,78.74,281592
1715832000,78.46,78.615,74.83,74.85,602590
1715918400,75.41,75.9,73.9,74.07,288612
1716177600,73.85,74.9299,72.21,73.31,511611
1716264000,72.82,73.52,70.31,73.49,546620
1716350400,73.43,73.655,70.72,71.19,352444
1716436800,71.72,72.21,69.585,70.17,426617
1716523200,70.43,72.505,70.32,72.22,430519
1716868800,72.11,73.1476,71.49,71.71,257429
1716955200,71.21,71.26,70.24,70.41,265429
1717041600,70.84,71.86,70.41,70.63,211591
1717128000,70.63,70.81,68.07,70.71,515749
1717387200,71.17,71.245,68.32,69.03,398245
1717473600,68.43,68.86,66.76,67.06,482552
1717560000,67.74,68.78,66.13,67.93,382046
1717646400,67.59,68.38,67.075,67.81,241456
1717732800,67.68,68.97,67.2849,68.75,396203
1717992000,68.23,70.75,68.23,70.44,475725
1718078400,69.65,69.75,68.165,68.54,321969
1718164800,70.31,71.445,69.57,70.18,306495
1718251200,69.83,70.14,68.59,69.72,203401
1718337600,68.57,69.63,67.17,68.97,332119
1718596800,69.07,70.6,68.9,70.44,193652
1718683200,71.17,71.88,70.25,71.45,341783
1718856000,71.33,71.84,68.42,68.71,258824
1718942400,68.29,68.56,66.51,68.07,756321
1719201600,68.24,70.36,67.6055,70.3,425146
1719288000,70.13,72.51,69.8646,71.37,590153
1719374400,70.56,71.78,69.88,71.04,477914
1719460800,71.14,71.345,69.61,70.06,369208
1719547200,70.73,72.21,69.415,70.14,2720521
1719806400,70.57,70.94,68.48,68.61,307354
1719892800,68.64,69.51,68.14,69.37,274868
