T,O,H,L,C,V
1713844800,468.17,481.91,462.36,464.36,209126
1713931200,466.61,468.35,456.65,458.59,151935
1714017600,455.01,460.41,446.62,453.09,165363
1714104000,392,396.16,366.1,374.64,804325
1714363200,383.02,387.52,355.1249,358,824492
1714449600,358.5,371.15,356.99,363.25,463100
1714536000,364.46,382.07,364.46,378.61,440005
1714622400,379.8,382.49,371.67,373.11,240906
1714708800,374,382.845,368.04,382.37,208579
1714968000,384.1,394.89,383.8,393.98,235030
1715054400,396.2,402.38,393.59,396.29,285452
1715140800,397.27,399.05,383.6148,386.07,199909
1715227200,383.96,386,379.18,381.27,177781
1715313600,383.71,387,378.56,380.65,229169
1715572800,381,381.01,374.265,375.41,192062
1715659200,377,381.635,375.47,378.15,167983
1715745600,378.62,383.89,378.62,382.6,133802
1715832000,386.58,389.68,381.84,383.87,126984
1715918400,386.16,391.415,383.1,390.92,140623
1716177600,390.93,392.8112,381.435,385.36,148044
1716264000,386.48,387.49,383.195,385.44,105628
1716350400,385.06,398.49,385.06,393.41,129494
1716436800,393.24,394.16,386.13,387.24,132401
1716523200,390.05,392.17,383.62,391.99,143755
1716868800,390,390,378.16,378.95,178237
1716955200,376.75,379.02,372.505,377.31,143422
1717041600,378.9,394.57,377.32,385.96,214123
1717128000,387,389.82,381.11,383.62,172891
1717387200,388.46,388.46,379.34,384.4,110520
1717473600,384.64,384.64,378.93,380.61,101563
1717560000,381,386.835,376.87,382.99,129742
1717646400,383.56,389.76,382.5,388.39,160665
1717732800,390.46,396.14,387.21,387.36,150422
1717992000,388.1,388.1,380.05,382.55,126588
1718078400,382.55,386.04,382.55,384.77,114741
1718164800,386.71,391.04,382.65,386.62,109653
1718251200,388.25,389,384.02,387.35,92607
1718337600,388.51,388.51,378.4201,381.71,97387
1718596800,381.65,390.52,381.315,389.75,102133
1718683200,390,396.09,387.48,394.23,89846
1718856000,397.3,398.34,391.26,395.43,134808
1718942400,395.32,395.32,385.18,392.62,256030
1719201600,392.75,396.86,390.56,390.58,103650
1719288000,391.3,393.97,385.07,385.48,105312
1719374400,385,386.215,372.6348,378.98,179258
1719460800,378.96,387.929,375.16,386.53,138910
1719547200,386.9,388.84,383.14,385.28,268643
1719806400,388.46,395.325,385.87,391.71,188918
1719892800,387.86,390.99,381.08,381.44,131627
1719979200,381.08,385.34,380.08,382.62,97834
1720152000,381.48,382.14,376,382.07,151244
1720411200,385.46,386.97,379.11,379.62,116786
1720497600,383,383.62,375.91,376.04,96360
1720584000,377.83,378.511,375.04,375.87,138247
1720670400,376.79,382.4105,375.52,381.83,168001
1720756800,383.88,391.145,380.07,389.49,125664
1721016000,393.28,399.38,391.705,397.97,120830
1721102400,400,405.26,397,403.07,125321
1721188800,403.29,406.4248,393.24,393.39,201516
1721275200,395.11,398.59,386.1,388.72,147178
1721361600,390.19,390.19,369.0001,370.41,254565
1721620800,373.9,377.1,371.045,373.29,144348
1721707200,374.26,378.91,373.1,374.44,200943
1721793600,372.77,375.86,366.92,372.15,185446
1721880000,376,385.88,373.62,377.25,281928
1721966400,410.04,444.3,402.22,443.29,504998
1722225600,440,444.1199,428.46,440.41,361426
1722312000,441,463.11,440.99,461.9,339799
1722398400,461.78,465.85,455.45,457.07,182079
1722484800,459.89,459.89,441.82,447.33,109334
1722571200,440,448,429.505,447.65,125040
1722830400,425.04,451.71,417.7472,446.85,238080
1722916800,448.81,457.09,446.01,454.15,141088
1723003200,456.65,473.65,456,457.95,260069
1723089600,459.24,467.97,454.04,467.65,288346
1723176000,467.44,469.29,461.92,466.66,94413
1723435200,469.29,472.82,463.75,464.74,106864
1723521600,466.41,471.545,464.31,470.21,79949
1723608000,471.55,480,471.55,479.87,113674
1723694400,482.93,486.95,479.36,482.88,142355
1723780800,482.66,490.105,478.84,483.48,83067
1724040000,482.63,488.09,481.6649,486.41,99256
1724126400,487.38,488.72,474.5,474.89,137829
1724212800,477.42,480.145,470.737,479.22,132624
1724299200,478.74,485,478.595,483.24,114788
1724385600,484.81,488.72,482.58,486.46,105337
1724644800,488.72,494.27,483.465,483.63,74319
1724731200,483,489.88,479.95,487.7,95095
1724817600,488.48,488.965,481.55,482.37,96377
1724904000,483.3,491.185,480.43,486.08,70097
1724990400,487.8,493.635,487.22,491.09,110916
1725336000,491.34,491.34,471.69,474.19,107609
1725422400,474.19,478.4102,473,474.45,90271
1725508800,478.58,478.58,464.445,465.09,87623
1725595200,466.92,470.66,460,461.5,93268
1725854400,464.01,468.715,456.52,466.38,131415
1725940800,468.87,469.6299,458.16,462.83,148429
1726027200,459.97,459.97,450,454.84,106186
1726113600,455.72,458.41,451.6116,457.21,144611
1726200000,461.73,466.57,460.38,464.53,100903
1726459200,460,463.675,453.49,453.53,90819
1726545600,456.76,460.6375,453.2,455.37,100313
1726632000,457.26,459.3299,451.06,453.28,200570
1726718400,457.46,457.8958,448.355,453.81,251833
1726804800,453.91,458.7546,449.69,450.64,292493
1727064000,452.32,464.13,448.955,463.17,180039
1727150400,464.51,466.19,449.19,449.44,180105
1727236800,452.27,454.56,448.665,448.97,123802
1727323200,449,456.2099,445,449.84,121451
1727409600,454.36,463.12,452.19,461.38,127114
1727668800,459.91,467.04,457.4,465.57,228218
1727755200,465.8,480.34,459.9,476.24,171483
1727841600,473.7,477.78,468.3598,476.12,185176
1727928000,475,482.88,469.18,477.68,138718
1728014400,483.18,489.175,479.28,486.93,104349
1728273600,486.02,486.02,444.79,452.26,268964
1728360000,455.13,469.24,455.13,463.58,163238
1728446400,460.14,470.225,459.325,469.63,176851
1728532800,470.68,478.32,461.38,465.79,118604
1728619200,466.46,475.5,466.25,469.56,118475
1728878400,471.87,472.48,467.285,472.29,107667
1728964800,472.93,475.62,465.77,465.77,99488
1729051200,464.85,474.9,464.84,471.28,123312
1729137600,474.75,479.2,473.59,475.19,99094
1729224000,477.45,477.45,471.095,473.22,76644
1729483200,473,473,465.81,468.92,103251
1729569600,465.98,468.2197,457.66,458.81,104411
1729656000,460.39,461.7398,451.23,458.6,241062
1729742400,461.9,462.215,456.0603,458.42,213964
1729828800,444.66,445.04,416.87,434.15,606703
1730088000,446.11,451.94,435.0001,438.27,297346
1730174400,438.5,440.691,428.39,433.86,182541
1730260800,434.63,437.16,424.34,429.82,154172
1730347200,426.61,433.47,423.38,428.11,122495
1730433600,429.42,437.24,424.52,426.03,121429
1730696400,424.15,427.495,419.795,424.05,92298
1730782800,422.34,429.04,421.5031,428.88,66713
1730869200,453.51,455.73,442.525,451.61,159521
1730955600,451.61,454.16,444.51,448.26,97193
1731042000,452.9,457.505,450.57,456.36,160757
1731301200,462.22,481.55,462.22,476.2,159750
1731387600,477,480.89,468.95,471.96,119730
1731474000,472.58,478.16,467.98,477.5,103097
1731560400,479.66,484.5599,469.9601,473.78,94807
1731646800,474.92,477.85,463.635,465.24,88746
1731906000,464.51,468.74,460.06,462.75,148530
1731992400,459.55,472.85,455.395,469.45,114774
1732078800,470.38,479.47,468,478.29,103234
1732165200,482.56,492.285,476.87,489.92,148420
1732251600,490.41,504.05,490.41,498.69,176499
1732510800,504.62,509.635,499.1429,506.32,156573
1732597200,507,516.22,496.11,512.04,126643
1732683600,516.72,526.74,513.13,515.45,94664
1732856400,518.28,523.7807,508.31,508.44,60004
1733115600,512.71,513.3134,499.27,499.27,116249
1733202000,500,504.93,495.51,499.95,139443
1733288400,514.76,514.76,493.52,497.91,116135
1733374800,500,504.34,496.89,498.78,157528
1733461200,498.43,526,497.795,524.22,338210
1733720400,524.22,531.7899,515.65,521.97,347117
1733806800,518,518,501.99,503.08,242417
1733893200,504,513.24,503.56,511.87,140214
1733979600,514.35,521.13,504.495,506.88,194623
1734066000,510.48,512.28,498.89,506.73,122219
1734325200,506.73,508,498.3,502.07,124103
1734411600,497.14,499.66,487.8,491.06,164599
1734498000,492.5,492.5,465.37,466.62,149988
1734584400,472.63,480.9802,465.2,467.48,137019
1734670800,465.63,475.38,458.745,466.31,372993
1734930000,464.85,468.34,461.91,464.83,95173
1735016400,464,473.21,463.155,470.95,35624
1735189200,470,474.6999,468.28,471.39,51854
1735275600,470,473.785,466.805,470.68,61579
1735534800,465.03,470.3281,461.6,465.56,56464
1735621200,465.5,467.94,461,465.13,89790
1735794000,465.76,468,452.47,454.02,154381
1735880400,451.85,451.85,419,428.32,376178
1736139600,430,435.52,416.6,420.9,428233
1736226000,423.57,428.92,416.65,420.69,295029
1736312400,420,424.99,414.58,422.03,211681
1736485200,414.77,417.575,405,416.48,276911
1736744400,411.74,418.01,411.06,417.09,183331
1736830800,416.75,430.13,414.34,429.79,147132
1736917200,445,450.425,428.72,436,245627
1737003600,437.4,446.0225,436.43,438.13,142323
1737090000,442.7,445.54,436.22,436.34,165424
1737435600,437,444.24,435,439.15,181831
1737522000,439.93,443.21,434.12,439.24,165295
1737608400,434,438.9247,416.45,432.79,364201
1737694800,435.14,438.72,428.06,432.64,142928
1737954000,433.39,446.865,433.39,444.28,128649
1738040400,445.34,446.64,441.94,442.1,128049
1738126800,440.56,446.2,438,443.87,82748
1738213200,448.32,448.32,437.06,440.23,92726
1738299600,439.43,444.34,436.12,441.94,130242
1738558800,435.63,450.39,433.11,450.33,132014
1738645200,450.58,458.9981,445.33,457.29,278994
1738731600,460.84,486.16,460.5,485.01,261666
1738818000,485.01,494.94,479.62,494.72,224221
1738904400,496.42,500.5,486.39,489.53,158712
1739163600,491.25,492,476.84,484.25,257541
1739250000,482.37,482.37,470.6,479.15,173208
1739336400,477.99,479.45,471.0639,476.67,176363
1739422800,476.42,487.35,472.915,487.11,136378
1739509200,459.46,461.425,434,449.34,821718
1739854800,449.34,458.87,437.975,442.17,309553
1739941200,440.93,447,438.26,440.32,241348
1740027600,436.23,443,426,441.44,200586
1740114000,444.15,444.15,424.38,428.53,212437
1740373200,428.88,432.98,425.08,427.16,135691
1740459600,429.66,430.005,420.55,423.32,132454
1740546000,421.74,424.76,413.98,416.84,203791
1740632400,419.13,436.87,417.95,428.07,179080
1740718800,428.86,434.32,424.61,431.85,154893
1740978000,432,436.38,428.765,430.59,214703
1741064400,425,435.02,417,433.14,362202
1741150800,432.36,440.53,428.0101,437.71,193775
1741237200,433.86,438.4,426.74,435.43,139281
1741323600,435.44,447.185,429.89,446.27,114382
1741579200,443.74,465.555,442.975,449.04,204906
1741665600,450.9,461.09,445.01,454.45,167541
1741752000,461.78,464.77,443.6515,448.28,132090
1741838400,449.95,453.4546,436.44,439.28,119728
1741924800,442.17,455.42,441.62,455.42,103771
1742184000,454.33,460.52,452.43,456.7,156560
1742270400,456.7,461.14,450.86,450.86,92474
1742356800,451.9,454.26,447.19,451.4,131510
1742443200,449.89,462.115,449.5,459.02,161249
1742529600,455.03,472.895,453.97,470.04,351633
1742788800,472,482.74,472,482.7,164579
1742875200,483.16,486.12,476.1721,486.08,170765
1742961600,486,486.74,474.78,480.41,120890
1743048000,484.17,487.22,473.94,486.75,118298
1743134400,488,488.715,479.4146,482.14,106231
1743393600,478.28,490,474.9227,486.71,203862
1743480000,487.06,492.4,483.9,488.15,159220
1743566400,482.7,493.28,478.11,491.5,158645
1743652800,482.55,510.18,482.55,498.6,355850
1743739200,486.9,486.9,452.615,459.11,428837
1743998400,429.56,451.535,418.5,440.45,353707
1744084800,457.46,468.44,431,437.46,168941
1744171200,431.33,474.14,429.025,471.34,147839
1744257600,466.14,482.155,462.46,478.23,220161
1744344000,474.53,484.5669,468.98,482.34,107413
1744603200,487.37,490,482.7728,485.1,115090
1744689600,487.75,497.81,481.53,484.21,113146
1744776000,485.45,490.245,479.38,483.65,94197
1744862400,482.43,490.73,480.09,485.7,88133
1745208000,486.3,486.3,465.095,470.99,121052
