T,O,H,L,C,V
1713844800,57.08,57.23,55.52,55.63,5149087
1713931200,55.54,56.23,55.35,56.15,3619665
1714017600,56.15,56.45,55.59,55.91,3219121
1714104000,55.67,55.99,55.38,55.49,3472039
1714363200,55.48,55.68,54.92,55.57,3703149
1714449600,55.35,55.735,55.15,55.38,4811617
1714536000,55.08,55.37,54.51,54.77,4084804
1714622400,54.93,55.22,54.74,55.09,3539239
1714708800,54.75,54.88,54.23,54.78,4937997
1714968000,55.06,55.26,54.685,55.24,3724822
1715054400,55.41,55.55,55.02,55.31,4893263
1715140800,55.38,55.56,54.85,55.38,4672475
1715227200,55.4,55.42,54.76,55,3481432
1715313600,54.93,55.97,54.88,55.9,3450799
1715572800,55.94,56.24,55.145,55.2,3239647
1715659200,55.19,55.3925,54.8,55.28,4419586
1715745600,54.93,55.13,54.18,54.38,4889793
1715832000,54.72,55.16,54.35,54.44,9671773
1715918400,54.51,54.53,53.835,54.2,10570778
1716177600,54.34,54.45,53.7191,53.89,4140052
1716264000,54.02,54.35,53.62,53.66,5962315
1716350400,53.46,54.02,53.4,53.92,5124750
1716436800,53.74,53.74,52.69,53.31,7064762
1716523200,53.46,53.69,52.705,52.99,6276910
1716868800,52.66,52.8,52.085,52.31,5187180
1716955200,52.36,52.48,51.81,51.89,5298808
1717041600,52.09,52.22,51.84,51.98,4324345
1717128000,51.84,52.43,51.78,52.37,9756937
1717387200,52,52.21,51.65,51.86,5449718
1717473600,51.78,52.23,51.77,52.04,5680145
1717560000,51.8,51.95,51.31,51.68,3737293
1717646400,51.91,52.19,51.76,51.95,3887196
1717732800,51.89,52.08,51.67,51.98,3145569
1717992000,52.06,52.06,51.46,51.64,3136627
1718078400,51.55,51.72,51.16,51.37,3337593
1718164800,51.12,51.405,50.15,50.17,4614901
1718251200,50.51,50.7999,49.69,50.52,6520899
1718337600,50.27,50.49,50.01,50.38,4958753
1718596800,50.39,51.06,50.31,51.05,5695631
1718683200,52.3,52.7861,51.81,51.98,11160009
1718856000,53.07,53.32,49.72,50.28,16483587
1718942400,50.56,51.03,49.92,50.21,16746540
1719201600,50.15,50.4361,49.965,50.02,11728039
1719288000,49.72,50.04,49.46,49.82,4626373
1719374400,49.36,49.59,49.05,49.38,5280373
1719460800,49.3,49.39,49.04,49.37,5229371
1719547200,49.54,50.015,49.405,49.93,6628674
1719806400,49.96,50.58,49.74,50.56,7877443
1719892800,50.56,51.16,50.255,50.43,7073301
1719979200,50.55,51.08,50.37,50.75,3191500
1720152000,50.77,51.89,50.75,51.84,4668557
1720411200,51.84,52.05,51.55,51.94,5213943
1720497600,51.9,52.43,51.73,51.86,5515177
1720584000,52.33,53.2,52.1,52.99,5440229
1720670400,52.58,52.8,52.4,52.75,4435113
1720756800,52.83,53.02,52.44,52.49,3586450
1721016000,52.5,52.62,52.105,52.12,3734256
1721102400,52.19,53.655,52.12,53.6,4125890
1721188800,53.56,54.975,53.53,54.8,6248704
1721275200,54.5,54.965,54.22,54.81,3255245
1721361600,55,55,54.27,54.51,2775112
1721620800,54.65,54.97,54.595,54.86,4310584
1721707200,54.84,54.85,53.62,53.84,3028399
1721793600,53.94,54.285,53.28,54.18,3841739
1721880000,54.25,54.81,53.3,53.31,3207040
1721966400,53.32,54.43,53.28,54.27,2552485
1722225600,54.15,54.495,53.76,54.2,3526213
1722312000,54.29,55.2,54.19,54.7,3502524
1722398400,54.28,54.92,54.24,54.5,2906393
1722484800,54.87,55.32,54.375,55.09,3082025
1722571200,55.33,55.8,53.83,54.33,4284804
1722830400,54.32,55.14,53.67,53.9,4596364
1722916800,54.14,54.85,54,54.13,4505066
1723003200,54.52,55,53.89,53.9,3624979
1723089600,53.88,54.58,53.88,54.32,3142096
1723176000,54.14,54.225,53.6,53.92,2847448
1723435200,53.92,54.03,53.18,53.24,2698260
1723521600,53.2,53.275,51.67,52.61,4244901
1723608000,52.6,52.77,52.24,52.7,4912101
1723694400,53.14,53.36,52.55,52.89,4137504
1723780800,52.89,53.21,52.61,53.19,2874806
1724040000,53.06,53.16,52.7,52.76,4130258
1724126400,52.76,52.795,51.5,52.04,5357184
1724212800,52.64,52.99,52.29,52.71,6251523
1724299200,52.67,52.67,51.74,52.22,3756225
1724385600,52.34,52.44,51.65,51.95,2818462
1724644800,52.13,53.16,52.03,52.77,3822932
1724731200,52.87,52.9764,52.4,52.72,3780997
1724817600,52.75,53.485,52.61,53.26,4222526
1724904000,53.26,53.26,52.1114,52.5,3433393
1724990400,52.56,53.32,52.44,53.21,4417168
1725336000,53.28,53.82,53.08,53.7,5003038
1725422400,53.97,55.05,52.975,53.36,4593583
1725508800,53.45,53.6,52.405,53.37,4623688
1725595200,53.215,53.46,52.24,52.27,6632147
1725854400,52.12,52.575,51.895,51.97,6705255
1725940800,52.23,52.53,51.77,52.3,4034460
1726027200,51.48,51.77,50.69,51.5,5260791
1726113600,52.38,55.24,51.52,55.2,9956548
1726200000,55.26,55.93,54.51,55.91,5607388
1726459200,56,56.61,55.78,56.19,3860343
1726545600,56.04,56.23,54.98,55.04,2780304
1726632000,55.06,55.31,54.595,54.62,3249849
1726718400,54.65,55.37,54.56,54.83,5417370
1726804800,54.83,55.85,54.83,55.39,9187110
1727064000,55.18,56.25,55.015,56.14,2893130
