T,O,H,L,C,V
1713844800,157.92,164.73,157.92,162.04,223172
1713931200,163.18,165.785,157.86,159.05,237974
1714017600,155.61,157.705,153.44,155.68,242424
1714104000,156.28,158.93,153.79,156.88,165898
1714363200,159.07,161.31,157.15,157.99,196297
1714449600,156.76,158.6037,152.94,153.12,221401
1714536000,152.16,160.16,152.16,159.67,411585
1714622400,161.51,162.99,158.58,160.23,229129
1714708800,163.55,164.74,157.895,161.1,453090
1714968000,145.5,159.18,144.0001,156.94,800533
1715054400,156.62,162.34,154.49,161.76,359037
1715140800,160.07,162.9,155.02,157.68,244960
1715227200,158.03,160.41,155.95,158.735,197304
1715313600,160.25,160.58,154.49,154.76,193259
1715572800,156.39,159.1499,154.48,154.82,192160
1715659200,156.24,159.725,155.83,159.47,141454
1715745600,162,167.23,162,163.19,271077
1715832000,163.31,165.535,160.93,163.78,159468
1715918400,164.37,164.375,160.95,164.1,180034
1716177600,164.41,166.425,162.7,164.45,185232
1716264000,163.19,166.91,162.735,166.83,179150
1716350400,166.9,174.495,166.9,169.25,338846
1716436800,169.51,170.049,162.215,163.62,302773
1716523200,163.92,167.12,162.67,162.83,144963
1716868800,164.54,164.54,155.75,159,238150
1716955200,156.15,157.79,154.5,156.35,154069
1717041600,156.74,162.65,156.74,161.6,198886
1717128000,161.13,163.98,158.61,160.05,187581
1717387200,161.81,168.929,161.02,164.26,205660
1717473600,164.15,165.28,160.33,161.09,152107
1717560000,162.41,167.92,160.32,167.63,161946
1717646400,167.28,168.735,165.24,165.68,214817
1717732800,164.5,166.675,161.63,164.42,183468
1717992000,174.5,182.98,173.46,176.83,1549911
1718078400,175.1,178.495,170.78,177.48,689320
1718164800,181.88,187.71,179.75,181.96,638502
1718251200,181.34,191.78,181.34,182.72,484966
1718337600,180.21,181.25,174.29,177.78,492508
1718596800,175.75,180.04,174.07,177.71,398892
1718683200,177.83,180.72,172.45,173,477341
1718856000,172.43,174.31,170.03,171.21,494775
1718942400,172.56,176.96,168.41,174.82,4774884
1719201600,174.8,180.77,174.33,178.26,389257
1719288000,177.89,182.32,176.51,180.71,294944
1719374400,180.26,182.99,176.66,182.19,353177
1719460800,182.09,184.48,181.03,182.87,333992
1719547200,183.69,184.44,180.86,183.64,866162
1719806400,183.86,188.86,182.09,182.27,305139
1719892800,181.82,183.37,177.36,177.61,331340
1719979200,178.41,180.61,176.13,177.56,114432
1720152000,176,184.8,176,184.34,253063
1720411200,186.49,192.49,186.49,191.29,313284
1720497600,191.81,195.6,190.79,193.6,259510
1720584000,194.45,195.18,189.55,193.42,285395
1720670400,197.64,200.73,193.445,198.405,397781
1720756800,199.51,204.98,199.51,203.13,310874
1721016000,201.73,208.31,201.73,207.88,258607
1721102400,210,214.98,206.79,208.55,342837
1721188800,206.21,208.89,203.21,207.3,262908
1721275200,207.52,210.09,198,200.83,366357
1721361600,202.23,205.66,201.26,203.66,277234
1721620800,204.42,208.49,203.355,206.85,296194
1721707200,205.73,212.39,205.37,207.19,290519
1721793600,205.41,209.015,204.5,206.64,223489
1721880000,206.95,212.3,203.89,210.69,464304
1721966400,213.24,219.34,210.8,213.66,234535
1722225600,213.52,213.52,204,205.19,196382
1722312000,205.46,206.56,199.87,202.89,184530
1722398400,204.6,212.06,201.48,208.46,209802
1722484800,208.77,209.0705,196.59,198.78,435884
1722571200,190.51,195.08,186.805,191.94,480316
1722830400,165,184.39,164.81,180.71,1038540
1722916800,182.4,184.31,174.15,178.61,363347
1723003200,182.35,185.17,174.2,174.7,344965
1723089600,177.64,181.509,174.42,180.37,245305
1723176000,180.68,184.18,179.99,182.17,144558
1723435200,182.37,186.855,180.43,184.41,138973
1723521600,186.03,188.655,184.17,187.47,136733
1723608000,187.83,189.5,185.5,188.34,191150
1723694400,192.09,194.98,189.25,193.98,149598
1723780800,193.46,195.3,190.93,192.4,176928
1724040000,192.48,198.78,191.85,198.69,131246
1724126400,198.19,199.85,196.74,199.02,125604
1724212800,199.46,203.77,198.485,201.63,210157
1724299200,201.61,202.495,196.505,197.52,127276
1724385600,199.6,202.5,198.29,201.58,204533
1724644800,203.34,203.34,199.55,200.51,133224
1724731200,199.56,200.06,196.67,198.22,170945
1724817600,199,206.97,195.7538,203.91,247807
1724904000,205.57,205.57,194.33,195.22,162206
1724990400,197.34,199.23,191.355,195.12,202918
1725336000,193.14,195.18,185.37,186.78,223082
1725422400,185.9,187.295,182.33,185.95,142685
1725508800,187.16,188.2799,183.36,186.06,97072
1725595200,187.13,187.13,181.36,184.19,92811
1725854400,183.62,189.66,183.08,187.69,176517
1725940800,188.29,189.84,183.76,185,113778
1726027200,185.34,199.89,183.97,198.79,374756
1726113600,199.82,202.41,194.34,195.64,397577
1726200000,198.84,202.95,198.8,201.58,292358
1726459200,201.92,203.285,193.87,194.27,219225
1726545600,196.98,197.885,186.4,189.26,663229
1726632000,190.02,190.835,182.185,182.74,335082
1726718400,187.42,190.96,183.98,184.48,365603
1726804800,185.09,187.34,181.9,184.17,564358
1727064000,185.53,186.9224,179.91,180.18,188945
1727150400,181.03,181.03,176.225,179.47,306222
1727236800,179.99,182.14,178.385,179.53,130317
1727323200,182.48,182.48,178.08,178.41,121957
1727409600,180.25,181.14,176.92,177.14,182104
1727668800,176.4,183.92,176.25,182.03,214627
1727755200,181.28,185.21,179.965,181.47,184905
1727841600,180.4,180.4,176.25,177.38,148009
1727928000,176.56,179.1,175.5,175.93,153747
1728014400,178.48,179.45,175.81,177.11,120468
1728273600,176.35,176.95,173.44,175,234604
1728360000,176.13,177.525,174.5,174.84,116527
1728446400,175.24,175.24,171.035,171.98,155676
1728532800,171.45,173.24,169,173.15,217304
1728619200,173.33,180.495,173.035,178.71,209790
1728878400,177.6,180.265,177.02,179.58,80913
1728964800,180.12,180.675,177.43,178.46,161147
1729051200,180.02,180.02,177.02,177.78,107367
1729137600,178.76,178.76,176.5,176.82,111303
1729224000,177.01,179.63,175.74,179.19,189815
1729483200,178.13,179.805,176.25,178.98,152680
1729569600,177.64,177.64,174.24,175.2,142907
1729656000,173.9,174.1,171.685,172.75,118439
1729742400,173.1,175.12,172.69,174.975,115570
1729828800,176.62,181.31,175.4455,175.51,129171
1730088000,177.27,180.16,175.71,176.89,133129
1730174400,175.99,177.2299,174.97,176.215,85217
1730260800,174.81,175.76,172.71,175.53,111858
1730347200,174.99,175.92,170.09,172.53,190869
1730433600,173.03,176.49,170.82,176.39,296896
1730696400,164.85,173.81,163.6641,170.85,802865
1730782800,172.48,175.96,170.65,174.41,245167
1730869200,184.22,194.59,182.57,183.09,610115
1730955600,182.26,190.4,182.26,185.45,202507
1731042000,185.03,200.89,184.855,199.61,416323
1731301200,202.24,207.84,195.05,195.87,296436
1731387600,195.77,199.41,186.26,187.22,258476
