T,O,H,L,C,V
1719547200,19,23.51,18.75,23.15,3203390
1719806400,21.96,23.74,21.0001,22.96,865843
1719892800,22.95,25.9768,22.51,24.41,589135
1719979200,24.41,25.33,24,24,313462
1720152000,24.67,31.345,24.22,28.5,775131
1720411200,29.48,29.48,26.03,26.77,706400
1720497600,26.77,27.62,26.035,27.32,305856
1720584000,27.5,28.5,26.8,27.95,272987
1720670400,28.35,30.08,27.83,29.9,287995
1720756800,30.3,32.91,29.91,30.78,627558
1721016000,32.11,32.11,28.94,31.16,722604
1721102400,31.16,32.09,28.019,29.01,589818
1721188800,29.01,29.01,26.51,27.15,735512
1721275200,27.21,30.01,26.975,28.45,495130
1721361600,28.22,29.78,28.22,28.85,207490
1721620800,29.59,31,28.6501,29.55,374049
1721707200,28.26,29.57,28.1,28.22,307125
1721793600,28.22,29.9499,28.1,29.49,235190
1721880000,29.84,30.63,29,29.55,283150
1721966400,29.67,30.54,29.46,30.13,225472
1722225600,30.78,32.96,29.462,32,381062
1722312000,32.24,32.88,31,31.18,270803
1722398400,31.38,33.38,31.38,32.97,374302
1722484800,33.55,34.1299,31.26,32.09,391792
1722571200,31,32.47,30.03,31.86,207347
1722830400,30,31.19,28.0142,30.01,220527
1722916800,30.06,31.82,30.06,31.59,208083
1723003200,31.99,33.3146,31.48,32.27,248734
1723089600,32.8,33.3,31.6205,32.11,210383
1723176000,32.44,32.77,30.85,32.6,237912
1723435200,33,34.91,32.6,33.8,308085
1723521600,34,34.4,33.1501,33.31,224785
1723608000,33.4,34.37,32.5,33.72,222416
1723694400,33.86,34.49,33.5,33.85,219988
1723780800,33.85,36.37,33.6,35.83,300870
1724040000,36.17,36.615,35.39,36.06,277707
1724126400,36.1,38.1613,36.1,37.14,461335
1724212800,37.52,38.171,36.86,37.63,210520
1724299200,38.01,40.54,38.01,40.04,387977
1724385600,40.37,42.3048,40.25,42.04,679108
1724644800,42.2,43.08,38.47,38.52,393611
1724731200,39.8,39.9699,35.8187,36.82,393309
1724817600,36.42,38.3099,36.2001,37.41,294848
1724904000,36.9,38.6796,36.425,36.79,263704
1724990400,36.75,37.71,36.1701,37.04,188849
1725336000,36.66,38.21,34.29,34.29,315745
1725422400,34.1,35.43,33.08,34.66,203765
1725508800,35.52,35.55,34.39,35.03,236486
1725595200,35.33,36.3,34,34.74,247982
1725854400,35.1,36.28,34.73,35.26,191651
1725940800,35.6,36.09,33.01,33.08,335141
1726027200,32.65,34.68,32.28,34.57,273023
1726113600,34.83,36.61,34,36.56,258402
1726200000,36.66,38.6099,36.66,37.99,275634
1726459200,38,38.5511,37.34,37.48,212801
1726545600,37.49,39.03,36.8,38.3,239685
1726632000,38.1,38.7939,37.68,37.84,156601
1726718400,38.11,41.475,38,38.91,398044
1726804800,39.18,39.7999,37.91,38.67,142704
1727064000,39,41.74,38.472,41.12,364289
1727150400,41.74,45.9649,41.46,42.52,616817
1727236800,42.38,43.17,39.78,41.22,423750
1727323200,41.31,42.2179,39.32,39.86,366679
1727409600,39.84,40.5213,39.58,39.8,427082
1727668800,39.55,39.84,37.81,39.12,289979
1727755200,38.71,44.21,38.71,44.13,808178
1727841600,44.15,44.15,42.5,43.58,353346
1727928000,43.54,44.56,42.81,43.74,246735
1728014400,43.99,46.62,43.99,45.65,489587
1728273600,46.33,46.33,44.3,45.81,283655
1728360000,45.54,46.73,43.79,45.78,138264
1728446400,45.8,47.73,45,47.38,202676
1728532800,48,48.9,46.05,46.99,314677
1728619200,46.5,49.99,46.5,49.02,271032
