T,O,H,L,C,V
1713844800,47.54,47.85,45.7,47.45,1813170
1713931200,48.18,48.55,45.12,45.17,1089079
1714017600,44.94,45.19,44.06,44.42,1849777
1714104000,44.3,45.32,44.28,45.3,895893
1714363200,45.64,46.47,45.055,45.14,963252
1714449600,44.99,45.76,43.64,43.74,1309587
1714536000,43.69,44.76,42.075,43.98,1520307
1714622400,44.5,45.97,43.65,45.93,996334
1714708800,46.33,46.81,45.24,45.41,689465
1714968000,45.29,45.525,44.7201,45.26,570321
1715054400,45.22,46.4,44.73,45.99,689704
1715140800,45.71,45.7999,44.65,45.72,586301
1715227200,45.77,46.17,45.28,45.52,528848
1715313600,45.65,45.7,42.955,43.24,887591
1715572800,46.28,46.89,42.21,42.97,1328091
1715659200,43.27,44.49,42.11,44.38,1110387
1715745600,44.83,45.91,44.65,45.76,1052434
1715832000,45.2,46.43,45.2,46.37,1049636
1715918400,45.9,46.52,44.76,45.16,566508
1716177600,45.42,46.19,45.13,45.43,732550
1716264000,45.09,45.495,42.63,42.96,930117
1716350400,43.15,44.21,42.39,42.6,855054
1716436800,42.6,42.6,39.13,39.5,2437395
1716523200,39.55,42.12,39.55,41.41,1631479
1716868800,41.62,41.905,40.76,41.68,1120462
1716955200,41.4,42.29,41.03,42.08,848552
1717041600,42.21,43.83,42.17,43.33,867584
1717128000,43.54,45.03,39.88,40.01,3386853
1717387200,40,40.34,38.6,40.03,3010313
1717473600,40.68,41.67,39.74,41.34,2122113
1717560000,41.47,43.69,40.53,43.64,1564395
1717646400,43.83,46.6,43.19,46.56,2232906
1717732800,45.94,46.94,45.48,45.57,965307
1717992000,45.32,46.24,44.79,45.54,738333
1718078400,45.2,45.37,43.13,44.25,1383534
1718164800,44.88,46.5455,44.2501,45.75,1694780
1718251200,46.2,46.2,43.625,43.67,889687
1718337600,43.28,43.77,42.17,42.45,595993
1718596800,43.59,43.59,41.1,41.5,1098380
1718683200,41.58,41.58,40.29,40.48,670039
1718856000,40.31,41.5,40.24,40.8,1182462
1718942400,41.45,42.84,40.635,42.61,1104357
1719201600,42.85,43.9,42.39,43.09,885190
1719288000,42.63,43.64,41.89,43.52,1180911
1719374400,43.23,45.31,42.61,44.89,1164891
1719460800,44.22,44.98,43.74,44.66,652601
1719547200,44.76,44.7899,43.64,44.29,571398
1719806400,44.63,46.49,44.505,46.02,1556321
1719892800,46.14,47.3856,44.57,44.74,908357
1719979200,44.66,46.69,44.19,45.91,356980
1720152000,45.64,46.88,45.31,46.3,535970
1720411200,46.37,47.73,46.31,47.41,447905
1720497600,47.36,47.73,46.02,46.71,633758
1720584000,46.56,47.555,46.2,47.32,271579
1720670400,47.79,49.455,47.12,48.5,1047018
1720756800,49.39,57.5,48.215,54.37,4891167
1721016000,55.01,57.49,53.01,53.99,2370524
1721102400,54.47,57.82,54.27,55.9,1681963
1721188800,55,56.8598,54.28,55,2495251
1721275200,54.97,60,54.715,58.24,1440797
1721361600,58.05,58.89,56.63,58.74,961241
1721620800,59.28,60.19,58.5,58.93,837415
1721707200,58.98,60.35,58.12,59.88,1194035
1721793600,59.75,60.34,58.8,59.67,568568
1721880000,59.5,60.87,58.98,59.14,1404082
1721966400,58.57,59.42,55.925,56.61,979061
1722225600,56.25,56.825,55.73,56.38,593651
1722312000,56.4,57.52,55.5903,56.85,785727
1722398400,57.26,58,56.05,56.39,654325
1722484800,56.25,56.97,54.95,55,868524
1722571200,53.95,55.12,53.04,54.68,628430
1722830400,51.86,55.63,51.54,53.38,1145796
1722916800,54.39,56.17,53.95,55.24,948538
1723003200,55.58,56.28,55.02,55.06,1272537
1723089600,55.46,56.96,54.79,56.91,539157
1723176000,58.9,58.9,55,55.9,786690
1723435200,57.24,58.38,56.01,56.25,746897
1723521600,56.61,57.095,55.87,57.08,536525
1723608000,57.37,58,54.64,54.68,989815
1723694400,54.91,55.79,54.7,55.75,595825
1723780800,55.5,57.06,55.42,56.89,624071
1724040000,56.89,57.75,56.6301,56.95,393004
1724126400,56.52,57.32,56.175,57.06,276743
1724212800,57.52,57.7,56.25,56.46,613589
1724299200,56.57,57.47,56.18,57.38,407847
1724385600,57.4,58.48,57.18,57.5,569380
1724644800,57.51,57.8,56,56.63,313483
1724731200,56.57,57.09,56.09,57.02,285587
1724817600,57.4,57.72,56.56,56.66,426666
1724904000,57.24,57.49,56.46,56.71,485013
1724990400,56.81,57.72,56.81,57.55,561890
1725336000,56.85,59.62,56.72,57.33,1056287
1725422400,56.99,57.94,56.73,57.39,613955
1725508800,57.54,57.54,53.91,54.05,794197
1725595200,54.19,54.315,47.74,48.29,2804261
1725854400,48.87,50.6,48.23,50.36,1155591
1725940800,50.47,50.86,49.68,49.8,349823
1726027200,50.08,50.32,49.18,49.75,398553
1726113600,49.59,51.88,48.97,50.72,862858
1726200000,51.34,51.34,50.095,50.31,415056
1726459200,50.35,52.31,50.32,51.29,864463
1726545600,51.4,52.15,50.86,51.17,471432
1726632000,51.18,51.52,49.79,49.91,541165
1726718400,50.45,51.3,50.18,50.83,604830
1726804800,51.04,51.32,48.31,48.53,1130795
1727064000,48.77,48.79,45.82,45.92,1704349
