T,O,H,L,C,V
1713844800,147.5702,151.6457,145.9923,150.726,2155954
1713931200,150.2033,153.1849,147.909,149.1965,1510657
1714017600,145.5373,148.4027,144.0513,147.909,2229227
1714104000,148.9739,151.9071,148.6157,149.3611,1393028
1714363200,150.3388,151.4714,149.2352,150.5034,2014374
1714449600,148.4221,150,146.7183,146.7764,1321967
1714536000,146.6312,151.4424,145.6825,147.5992,1887652
1714622400,148.6544,150.4937,146.5344,150.2517,1056133
1714708800,155.0242,157.909,152.8074,153.0494,1733602
1714968000,154.8306,155.9535,154.1239,155.8858,1201639
1715054400,156.7377,157.5847,155.8567,155.9535,1358560
1715140800,154.2885,155.4792,153.0978,153.4076,1425732
1715227200,153.6302,155.8858,153.3059,155.7502,1158335
1715313600,155.7502,158.4898,155.4598,157.7251,1431704
1715572800,158.6544,159.0707,156.757,156.8345,1191433
1715659200,157.8896,158.0155,155.8567,157.1442,1250241
1715745600,160.484,165.7986,160.3775,165.3921,2524614
1715832000,164.4143,164.5692,159.7483,159.9226,2133778
1715918400,160.3679,161.0165,159.1191,160.5808,1160978
1716177600,160.7067,161.0939,158.2381,158.4414,974593
1716264000,158.3059,158.3543,156.5924,157.5121,1153070
1716350400,155.0823,156.6118,150.4163,150.9003,2664803
1716436800,152.1394,152.1394,148.5576,149.5837,1720929
1716523200,150.9971,151.7425,149.7967,151.3843,1237736
1716868800,151.7425,152.9235,149.2352,150,1434294
1716955200,148.0542,149.2449,147.0474,149.1384,1839587
1717041600,149.5595,152.2168,149.5595,152.0136,1706262
1717128000,152.8848,155.2856,151.8974,155.2275,5960272
1717387200,155.363,156.1471,153.9835,155.576,1661360
1717473600,154.5015,154.6467,152.062,152.6718,1908845
1717560000,153.4947,154.3078,150.8906,154.2788,1604646
1717646400,154.0852,154.211,150.91,151.1326,1439709
1717732800,147.88,151.3553,147.1442,149.0997,2267960
1717992000,147.9961,150.9051,147.3475,150.455,1611193
1718078400,149.4095,149.4095,146.9367,147.3669,2110955
1718164800,153.2139,156.186,149.4482,150.0484,3260608
1718251200,149.8161,151.4521,148.5189,150.0871,2151223
1718337600,148.3349,150.3485,145.8762,150.1452,3218315
1718596800,149.9806,152.3911,148.5963,151.5102,4841482
1718683200,145.8761,149.1191,143.393,143.969,6190180
1718856000,142.759,146.8151,142.3788,144.5402,2930960
1718942400,145.4114,147.0378,143.1946,146.7086,4011143
1719201600,146.1859,147.4637,144.5499,145.847,2312302
1719288000,145.1597,145.2856,142.2556,144.4143,2800099
1719374400,143.9303,145.1888,143.1849,144.182,2431335
1719460800,144.1433,144.7919,143.001,144.3562,1857606
1719547200,144.2401,146.0358,144.1336,145.0823,3406787
1719806400,145.7018,146.0213,141.2101,141.2682,2100494
1719892800,137.183,139.2449,136.6215,139.0223,2466728
1719979200,138.1897,141.2391,137.6573,138.7028,1153276
1720152000,138.2962,138.7318,136.1568,138.0736,1902905
1720411200,139.3998,140.3872,136.6409,138.0736,2541877
1720497600,138.7222,139.5547,137.3475,137.9477,2105713
1720584000,138.0736,141.7521,137.7638,141.0649,2196859
1720670400,145.4598,151.3359,144.7435,150.8519,4143639
1720756800,151.9845,156.3408,151.8199,154.7725,4369971
1721016000,154.9274,157.2217,153.364,154.0949,2227452
1721102400,156.7764,164.4627,156.3904,164.2014,3006132
1721188800,162.4105,163.9013,161.0649,161.1617,2235317
1721275200,164.6467,172.1104,164.3804,164.5983,4585750
1721361600,164.3078,166.8151,162.5944,165.4792,1883270
1721620800,164.5208,167.0862,161.6747,166.9894,2422272
1721707200,166.0213,168.9932,164.4337,167.1346,1924067
1721793600,166.5731,167.8703,163.3204,163.3979,3102678
1721880000,164.4724,169.7677,162.6428,165.8083,1905595
1721966400,169.6612,173.0397,168.6352,171.0649,2284519
1722225600,171.6554,173.4947,169.8548,172.4879,2039452
1722312000,172.8654,175.363,172.333,174.6854,1914394
1722398400,174.879,176.6989,171.1229,171.2778,3130383
1722484800,172.3911,173.4802,167.9187,170.6099,2594191
1722571200,166.9797,171.1617,164.5789,168.8867,2404139
1722830400,157.7928,166.728,157.4734,164.9468,2921005
1722916800,164.1723,169.7096,161.849,166.5053,1981829
1723003200,168.6447,170.2033,160.5808,161.423,2888721
1723089600,163.243,165.1879,161.3069,163.9593,1381257
1723176000,164.4724,165.576,162.8654,164.3369,1667303
1723435200,164.4724,164.7531,161.7522,162.575,1551820
1723521600,163.7367,166.2343,162.9138,164.9274,1290729
1723608000,166.0213,166.2149,162.8267,163.7173,1478631
1723694400,165.4598,165.8374,163.1171,165.1597,1304944
1723780800,164.879,167.8703,164.5692,166.273,1155537
1724040000,167.4734,170.3582,167.1926,169.8645,1247374
1724126400,170.0968,171.4908,168.2091,168.4414,1427357
1724212800,170.5615,174.7241,169.9806,173.3301,2837163
1724299200,173.3301,174.6273,172.0813,173.03,1160380
1724385600,175.1888,179.7483,174.2304,179.1094,2026838
1724644800,180.5421,180.6389,177.4831,177.7832,1208503
1724731200,176.3117,177.3475,174.8403,176.5344,975618
1724817600,175.8664,177.4637,174.3659,175.4695,705596
1724904000,176.1859,176.8054,172.8751,174.7435,923623
1724990400,176.1955,177.454,172.8364,176.2439,1506420
1725336000,176.486,178.0639,171.0842,172.6815,1760426
1725422400,171.9458,173.2914,169.8935,172.6137,1468571
1725508800,172.5944,173.9497,171.6215,172.1491,1665683
1725595200,172.6912,176.8345,172.4589,173.6883,2326657
1725854400,173.8819,176.6747,173.2333,174.4434,1827750
1725940800,175.4308,175.5179,171.9265,174.4724,1685165
1726027200,172.1297,172.8364,167.9279,172.4976,2178687
1726113600,173.0784,176.1646,172.4008,175.5857,1542213
1726200000,177.5895,180.4743,177.3959,179.971,1852787
1726459200,181.4521,182.178,178.5286,181.2294,1986261
1726545600,182.6718,183.3803,180.6244,183.3107,1606943
1726632000,183.9303,186.2536,180.484,182.4105,1618591
1726718400,185.8664,187.6089,182.0136,186.302,2509922
1726804800,179.5644,180.7798,175.4743,176.3698,7212551
1727064000,178.9448,180.0774,177.4153,179.8645,2777665
1727150400,179.0513,180.1549,176.6118,178.3446,1563388
1727236800,177.6186,177.6186,175.3384,176.0503,1778162
1727323200,177.3185,178.1559,176.1471,177.2023,1542836
1727409600,179.3804,183.1268,178.4124,181.0552,1816493
1727668800,180.1742,181.8006,179.0416,181.4908,1391677
