T,O,H,L,C,V
1713844800,21.39,22.19,21.35,22.06,2603508
1713931200,22.05,22.355,21.52,21.57,2916371
1714017600,21.03,21.26,20.9,21.09,1924951
1714104000,21.15,21.52,21.05,21.13,1714086
1714363200,21.3,21.805,20.95,21.73,2627815
1714449600,21.53,21.84,21.215,21.22,1415359
1714536000,21.2,21.57,20.895,21.16,1491045
1714622400,21.42,22.02,21.42,21.92,3012973
1714708800,22.03,22.17,21.76,22,1647103
1714968000,22.18,22.33,21.945,22.16,2057366
1715054400,22.27,22.395,21.995,22.25,2757550
1715140800,21.99,22.095,21.81,21.98,1569337
1715227200,22.08,22.74,21.955,22.68,1910729
1715313600,22.71,22.91,22.61,22.62,1963441
1715572800,22.77,22.965,22.515,22.68,1191595
1715659200,22.7,23,22.66,22.97,1299088
1715745600,22.98,23,22.08,22.12,1883986
1715832000,22.1,22.38,22.05,22.2,1322883
1715918400,22.09,22.14,21.86,22.08,1092724
1716177600,22.05,22.18,21.695,21.84,1543529
1716264000,21.81,22,21.6,21.95,1070712
1716350400,21.86,21.95,21.64,21.74,1119446
1716436800,21.86,21.93,21.58,21.69,944568
1716523200,21.92,22.22,21.815,22.14,1440719
1716868800,22.2,22.63,22.14,22.62,1301858
1716955200,22.5,22.92,22.47,22.78,2045312
1717041600,22.83,23.51,22.7127,23.49,1917054
1717128000,23.68,24.24,23.5701,24.01,2288630
1717387200,23.94,24.2,23.65,24.16,1448950
1717473600,23.92,24.17,23.66,23.75,1256753
1717560000,23.85,24.24,23.58,24.17,1250599
1717646400,24.31,24.34,23.801,23.84,1255307
1717732800,23.67,23.81,23.4401,23.53,1399048
1717992000,23.45,23.74,23.31,23.58,1423974
1718078400,23.43,23.72,23.3718,23.7,1294329
1718164800,24.08,24.135,23.65,23.71,1309617
1718251200,23.73,23.75,23.36,23.38,1128839
1718337600,23.05,23.26,22.74,22.85,1460438
1718596800,22.83,23.555,22.77,23.48,2163464
1718683200,23.59,23.915,23.5,23.54,1378610
1718856000,23.37,23.66,22.91,23.02,1438003
1718942400,23,23.235,22.79,23.01,2547277
1719201600,23.15,23.55,22.94,23.22,3762537
1719288000,23.16,23.37,22.89,23,2954328
1719374400,23.04,23.37,22.84,23.12,6749619
1719460800,18.99,20,18.925,19.56,15540142
1719547200,19.47,19.78,19,19.28,5595388
1719806400,19.34,19.42,19.015,19.22,3091402
1719892800,19.21,19.21,18.87,19.08,3105171
1719979200,19.14,19.365,18.88,19.04,1802867
1720152000,19.02,19.24,18.78,19.13,2262231
1720411200,19.27,19.31,18.84,18.96,2391595
1720497600,18.97,19.02,18.36,18.38,2414486
1720584000,18.42,18.6,18.2,18.56,2289533
1720670400,18.92,19.29,18.9,19.12,1969438
1720756800,19.26,19.29,19.005,19.11,1631529
1721016000,19.11,19.13,18.53,18.62,1908254
1721102400,18.71,18.986,18.43,18.95,3061450
1721188800,18.78,19.0666,18.49,18.5,1687915
1721275200,18.545,18.795,18.155,18.36,2039176
1721361600,18.23,18.395,18.19,18.33,1356250
1721620800,18.43,18.49,18.24,18.48,1553257
1721707200,18.4,18.445,18.04,18.09,2086903
1721793600,18.09,18.09,17.45,17.5,1494051
1721880000,17.55,17.55,17.11,17.37,2217753
1721966400,17.67,18.015,17.64,17.88,1697724
1722225600,17.86,18.36,17.82,18.31,1762829
1722312000,18.34,18.41,18.04,18.26,1389636
1722398400,18.44,18.66,18.23,18.33,1232755
1722484800,18.23,18.365,17.695,17.87,1188912
1722571200,17.17,17.36,17.05,17.15,1525548
1722830400,16.54,17.145,16.46,16.95,1371332
1722916800,17.04,17.68,17.02,17.51,1636662
1723003200,17.73,17.92,17.12,17.18,1204778
1723089600,17.37,17.735,17.2864,17.68,1512306
1723176000,17.64,17.68,17.461,17.52,824960
1723435200,17.59,17.905,17.55,17.79,1169912
1723521600,17.95,18.29,17.905,18.25,1618002
1723608000,18.24,18.3,17.84,18.06,1265818
1723694400,18.55,19.075,18.52,18.81,2068591
1723780800,18.7,19.17,18.7,18.99,1454280
1724040000,19.03,19.415,19.025,19.36,1091158
1724126400,19.36,19.45,18.895,18.98,1000207
1724212800,19.17,19.45,19.11,19.29,792227
1724299200,19.35,19.35,18.875,18.94,1172867
1724385600,19.14,19.6,19.01,19.5,1519586
1724644800,19.59,19.59,18.94,18.99,1280880
1724731200,19.03,19.36,18.92,19.3,1633857
1724817600,19.1,19.205,18.71,18.82,1541237
1724904000,18.88,19.265,18.7,19.04,1169388
1724990400,19.16,19.32,18.96,19.27,886477
1725336000,19.15,19.37,19.03,19.2,1584097
1725422400,19.04,19.27,18.755,19.08,1049316
1725508800,19.16,19.24,18.82,18.83,1120386
1725595200,18.8,18.925,18.43,18.61,1312195
1725854400,18.64,19.01,18.56,18.83,937192
1725940800,18.88,19.24,18.705,19.23,1241424
1726027200,19.11,19.34,18.84,19.29,1159320
1726113600,19.31,19.38,19.08,19.24,893377
1726200000,19.43,19.96,19.365,19.93,1214593
1726459200,19.88,20.03,19.455,19.48,1313095
1726545600,19.56,19.84,19.54,19.7,909757
1726632000,19.68,20.12,19.615,19.78,1538061
1726718400,20.2,20.31,19.85,19.92,990483
1726804800,19.97,20.225,19.68,20.16,2078418
1727064000,20.18,20.55,20.03,20.42,3020330
1727150400,20.35,20.87,20.11,20.68,2838870
1727236800,20.76,21.06,20.68,20.88,2254898
1727323200,21.27,21.63,20.92,21.46,2597978
1727409600,21.64,21.705,21.12,21.65,2003612
1727668800,21.67,21.95,21.57,21.8,2282259
1727755200,21.75,21.91,21.4197,21.68,2708749
1727841600,21.51,21.6299,20.965,21.06,6350612
1727928000,18.69,19.88,18.59,19.44,11266670
1728014400,19.55,20.13,19.42,19.82,3399190
1728273600,19.84,20.12,19.455,19.66,3265472
1728360000,19.58,19.6838,19.195,19.27,2281496
1728446400,19.3,19.3469,18.88,18.89,3332778
1728532800,18.82,18.96,18.72,18.72,1919720
1728619200,18.67,19.16,18.66,19.14,2337352
1728878400,19.1,19.3,18.97,19.04,1617194
1728964800,19.1,19.56,19.03,19.32,1761136
1729051200,19.25,19.4,18.7,18.74,2281650
1729137600,18.79,18.822,18.39,18.51,2156440
1729224000,18.64,18.93,18.5,18.66,1764167
1729483200,18.64,18.8799,18.53,18.65,1985335
1729569600,18.55,18.62,18.27,18.31,1426194
1729656000,18.29,18.29,17.755,17.78,2235022
1729742400,17.89,17.89,17.48,17.49,1638138
1729828800,17.54,17.69,17.36,17.48,2061308
1730088000,17.63,17.82,17.55,17.66,2800284
1730174400,17.5,17.685,17.295,17.39,2070674
1730260800,17.34,17.67,17.33,17.41,2100527
1730347200,17.55,17.67,17.08,17.09,2761040
1730433600,17.05,17.28,16.95,17.19,2008856
1730696400,17.08,17.235,16.88,17,1737671
1730782800,16.9,17.01,16.74,16.88,1798742
1730869200,17.01,17.15,16.625,17.03,2420239
1730955600,17.14,17.37,16.98,17.07,2351005
1731042000,17,17.065,16.87,16.93,1628244
1731301200,17.06,17.195,16.825,16.97,1438250
1731387600,16.86,17.08,16.76,16.86,1562844
1731474000,16.9,17.235,16.9,16.98,1566588
1731560400,17,17.05,16.73,16.76,1301401
1731646800,16.76,16.7799,16.46,16.57,1816994
1731906000,16.63,16.63,16.15,16.18,2501344
1731992400,16.02,16.105,15.745,15.99,1735500
1732078800,15.86,15.98,15.71,15.8,2050128
1732165200,15.8,15.99,15.62,15.97,2010801
1732251600,16.09,16.37,16.04,16.32,2315972
1732510800,16.545,17.5,16.545,17.11,3285839
1732597200,17.01,17.09,16.76,16.78,1893938
1732683600,16.93,17.29,16.88,16.91,1942258
1732856400,17.04,17.56,17.015,17.46,1313516
1733115600,17.59,18.38,17.53,18.18,2940962
1733202000,18.26,18.47,18.1,18.4,2497219
1733288400,18.41,18.535,18.15,18.49,1493286
1733374800,18.31,18.355,17.805,17.9,2293745
1733461200,18.12,18.2,17.51,17.77,1699618
1733720400,17.88,17.97,17.495,17.55,1825032
1733806800,17.4,17.56,17.23,17.43,1312409
1733893200,17.51,17.595,17.35,17.48,1514240
1733979600,17.41,17.45,17.04,17.37,1806337
1734066000,17.32,17.5,17.27,17.3,1312331
1734325200,17.26,17.42,17.08,17.11,1472275
1734411600,17.12,17.17,16.8,16.95,1599643
1734498000,16.95,17.14,16.77,16.79,1726382
1734584400,16.98,17.09,16.61,16.65,1416461
1734670800,16.54,17.46,16.5,17.39,2346778
1734930000,17.24,17.72,17.165,17.32,1415859
1735016400,17.33,17.44,17.1492,17.44,376546
1735189200,17.32,17.485,17.32,17.47,723422
1735275600,17.34,17.47,17.105,17.19,914360
1735534800,16.97,17.45,16.81,17.34,1445864
1735621200,17.42,17.6,17.26,17.3,997778
1735794000,17.48,17.64,17.27,17.42,1072914
1735880400,17.57,17.72,17.2629,17.61,1335029
1736139600,17.78,18.04,17.76,17.84,1525326
1736226000,17.94,18.08,17.63,17.67,1426635
1736312400,17.85,17.91,17.23,17.86,1614185
1736485200,17.7,17.85,17.4801,17.62,1624970
1736744400,17.55,17.55,16.9,17.42,1893890
1736830800,17.51,17.65,17.205,17.39,1026483
1736917200,17.74,17.895,17.6264,17.72,1357430
1737003600,17.84,17.84,17.5126,17.57,1908100
1737090000,17.53,17.75,17.3,17.37,1397893
1737435600,17.39,17.7,17.01,17.54,2577775
1737522000,17.6,17.66,17.44,17.62,1463412
1737608400,17.52,17.84,17.27,17.81,1696724
1737694800,17.76,17.76,17.27,17.54,1889343
1737954000,17.67,18.25,17.54,18.24,2459049
1738040400,18.13,18.5,18.015,18.36,2429983
1738126800,18.365,18.73,18.06,18.09,3465648
1738213200,17,19.01,16.77,18.85,6762055
1738299600,18.72,19.67,18.6919,19.03,5038181
1738558800,18.33,18.91,18.08,18.66,2906795
1738645200,18.81,19.275,18.69,19.22,1646911
1738731600,19.19,19.44,19.09,19.19,1964342
1738818000,19.51,19.6889,19.05,19.06,1988258
1738904400,19,19.05,18.16,18.44,2089930
1739163600,18.4,18.42,18.08,18.21,1979553
1739250000,18.05,18.15,17.74,17.79,3063726
1739336400,17.5,17.91,17.43,17.48,2219241
1739422800,17.63,18.235,17.63,18.22,1648996
1739509200,18.3,18.35,17.91,18.27,1382364
1739854800,18.28,18.49,17.96,18.09,1668679
1739941200,17.95,18.255,17.7,18.22,1243665
1740027600,18.23,18.83,18.11,18.67,1850626
1740114000,18.69,18.785,18.245,18.39,1586206
1740373200,18.39,19.09,18.24,18.91,2167830
1740459600,18.87,18.87,17.535,18.15,3566823
1740546000,18.1,18.2,17.6,17.77,1897164
1740632400,17.65,17.71,17.355,17.49,2076731
1740718800,17.49,17.985,17.32,17.97,1949968
1740978000,18.02,18.085,17.15,17.23,1453193
1741064400,17,17,16.31,16.55,1578114
1741150800,16.56,16.775,16.2225,16.66,1646089
1741237200,16.54,16.94,16.415,16.48,1083037
1741323600,16.49,16.66,16,16.48,1637674
1741579200,16.25,16.49,16.015,16.19,1839289
1741665600,16.16,16.435,15.81,16.23,2031434
1741752000,16.44,16.5654,16.18,16.36,1418891
1741838400,16.36,16.45,15.51,15.59,1665224
1741924800,15.82,16.12,15.655,16.11,1309426
1742184000,16.14,16.62,16.14,16.44,1313324
1742270400,16.37,16.4399,15.71,15.82,1846618
1742356800,15.84,16.185,15.82,16.08,1536473
1742443200,16.06,16.17,15.665,15.8,2353508
1742529600,15.59,16.135,15.45,16.05,3338633
1742788800,16.12,16.22,15.85,16.04,2177091
1742875200,16.17,16.48,15.985,16.09,1536787
1742961600,15.97,16.0999,15.865,16.04,1936553
1743048000,15.95,16.177,15.81,15.98,1680886
1743134400,15.915,15.915,15.44,15.69,2544120
1743393600,15.47,15.84,15.42,15.59,1972855
1743480000,15.65,16.44,15.65,16.38,2599903
1743566400,16.2,16.93,16.07,16.73,2470997
1743652800,15.77,15.94,14.23,14.44,4566801
1743739200,14,14.69,13.505,13.89,4279558
1743998400,13.25,14.1,12.82,13.5,6423793
1744084800,15.71,15.71,12.33,12.42,15071090
1744171200,12.48,15.11,12.17,14.93,7820527
1744257600,14.9,14.9195,14.02,14.52,5512661
1744344000,14.38,15.1,14.1,15.04,3760706
1744603200,15.35,15.48,14.64,14.96,3501925
1744689600,14.88,15.14,14.29,14.35,2146466
1744776000,14.25,14.53,13.83,14.11,2153074
1744862400,14.18,14.75,14.1655,14.65,3609203
1745208000,14.57,15.065,14.5209,15.02,2871751
