T,O,H,L,C,V
1713844800,68.5,71.155,68.5,69.89,140672
1713931200,69.46,71,69.165,71,152962
1714017600,70.24,71.165,69.63,70.37,106715
1714104000,70.59,72.085,70.43,70.57,88152
1714363200,70.99,71.96,69.63,70.46,197660
1714449600,70.4,70.8033,69.69,69.89,122052
1714536000,70.12,72.17,69.51,71.42,115870
1714622400,71.77,72.7,70.855,72.32,146548
1714708800,73.53,74.17,72.57,73.9,141782
1714968000,74.05,74.7,72.61,72.83,114789
1715054400,73.5,75.615,73.155,73.22,162711
1715140800,74.37,81.43,72.95,80.36,286959
1715227200,79.27,86.37,79.27,86.12,494231
1715313600,85.53,87.33,84.0503,87.28,131450
1715572800,87.34,87.53,83.93,84.07,105223
1715659200,84.56,85.76,84.54,85.29,160355
1715745600,86,86.68,84.8,85.77,164731
1715832000,85.4,86.77,84.14,85.02,95148
1715918400,85.53,86.9,85.17,86.06,100217
1716177600,85.87,87.29,85.87,86.63,105186
1716264000,86.5,88.52,86.415,87,171725
1716350400,87.01,88.215,86.935,87.28,111767
1716436800,87.22,87.475,83.17,84.91,125663
1716523200,85.6,86.65,84.68,86.4,160612
1716868800,86.4,86.86,84.13,85.98,108065
1716955200,84.27,85.185,83.68,84.95,107499
1717041600,85.61,85.61,83.085,83.96,152442
1717128000,84.53,86.82,84.32,85.05,122260
1717387200,85.44,88.73,85.285,87.91,128569
1717473600,86.82,87.0271,79.5,80.83,203347
1717560000,81.22,84.15,80.31,83.6,85814
1717646400,83.41,83.41,81.485,82.37,96534
1717732800,81.38,82.2,79.69,81.36,142479
1717992000,80.61,80.61,77.425,79.53,136834
1718078400,78.85,80.42,77.51,80.1,114170
1718164800,80.59,81.89,80.15,80.15,80608
1718251200,80.17,81.52,78.91,81.34,71823
1718337600,81.04,81.23,78.81,80.06,85117
1718596800,80,80.75,77.58,80.64,94894
1718683200,80.27,81.2916,79.5,80.54,92292
1718856000,79.9,81.0146,79.33,79.81,69605
1718942400,79.92,81.12,79.07,79.39,182564
1719201600,79.81,81.2,79.81,79.96,72484
1719288000,80,80.3,78.44,78.9,83612
1719374400,78.45,79.025,77.53,77.82,83716
1719460800,78.45,82.88,78.2,82.33,115275
1719547200,82.72,84.33,81.86,84.26,328417
1719806400,83.76,85.72,82.98,84.85,145692
1719892800,84.85,85.61,84.04,84.79,115722
1719979200,84.9,84.9,82.22,82.7,63143
1720152000,82.86,84.53,81.74,84.37,56881
1720411200,85.89,92.8975,85.175,86.88,215821
1720497600,87.78,91.91,87.28,91.71,217254
1720584000,92,97.8,91.61,96.3,322622
1720670400,97.3,99.1,95.54,98,160753
1720756800,99.21,100.69,96.9,99.41,157029
1721016000,100,100,95.89,96.67,142859
1721102400,97.94,99.98,95.61,98.95,124719
1721188800,97.66,101.92,97.66,101.07,174282
1721275200,100.5,101.51,98.75,98.96,88342
1721361600,99.19,101.7,98.33,99.76,82225
1721620800,100.33,102.5,98.0372,101.45,104800
1721707200,100.92,104,100.92,102.37,75936
1721793600,102,105.35,101.5,102.95,77725
1721880000,104.13,108.91,101.56,106.01,200616
1721966400,106.99,108.42,105.75,107.14,88715
1722225600,107.29,108.93,105.75,108.75,136946
1722312000,109.8,111.06,106.54,110.11,188885
1722398400,110.32,112.125,106.42,108.99,138116
1722484800,108.42,108.98,103.67,104.3,113089
1722571200,101.01,103.4799,98.94,100.19,115504
1722830400,90.29,98.435,90.29,98.13,193220
1722916800,97.94,100.37,97.5,99.04,126073
1723003200,100,102.035,93.02,93.32,159027
1723089600,93.59,97.76,92.04,96.92,106318
1723176000,97.33,100.76,95.265,100.155,132926
1723435200,103.28,103.28,98.71,99.6,113974
1723521600,100.1,103.04,99.15,103.02,203847
1723608000,102.62,103.88,101,101.02,95666
1723694400,102.93,106.75,102.69,103.13,148093
1723780800,103.27,104.2799,102.2,102.21,97136
1724040000,102,103.75,101.11,103.59,98789
1724126400,103,104.73,101.88,104.34,100433
1724212800,105,106.84,102.87,106.08,121871
1724299200,106.25,106.25,103.21,103.62,66898
1724385600,103.81,105.5,103.39,103.82,69762
1724644800,104.07,106.99,103.935,105.2,120466
1724731200,104.58,106.48,104.5,106.33,160345
1724817600,105.99,107.65,103.5,106.54,152522
1724904000,106.75,108.8299,105.55,105.86,82793
1724990400,106,106.16,102.6,105.8,113893
1725336000,105.08,106.42,100.18,100.95,105787
1725422400,100.44,103.04,98.89,102.56,119582
1725508800,101.98,103.93,101.8,103.15,82596
1725595200,103.58,104.89,99.08,101.14,64658
1725854400,101.54,103.81,101.415,102.78,76840
1725940800,103.1,104.28,101.73,102.23,64942
1726027200,101.84,103.54,101.005,103.09,71381
1726113600,103.16,104.11,101.98,102.1,54314
1726200000,102.62,105.4,102.62,104.77,89879
1726459200,104.77,106.65,104.41,105,93403
1726545600,105.5,106.3196,104.0127,104.26,91561
1726632000,104.02,105.91,103.1535,103.68,83820
1726718400,105.41,106.2,104.35,105.01,86224
1726804800,104.41,105.23,102.77,102.8,384773
1727064000,103.29,103.29,99.27,99.66,103585
1727150400,99.86,100.39,97.48,99.54,63579
1727236800,99.16,99.79,97.92,98.78,71082
1727323200,99.73,101.005,98.4,99.38,90517
1727409600,100.38,100.685,96.96,97.37,83292
1727668800,97.06,100.33,97.06,100.09,74765
1727755200,100.1,102.15,97.78,101.35,101833
1727841600,101.08,101.08,99.71,99.95,53793
1727928000,101.04,105.885,100,102.24,85458
1728014400,103.64,105.74,102.2,104.78,72546
1728273600,104.78,104.78,102.16,102.62,74947
1728360000,102.95,105.5,102.28,102.97,57545
1728446400,102.07,104.48,101.77,103.24,72133
1728532800,102.05,102.42,98.895,100.32,78634
1728619200,100.02,103.03,100.02,102.94,89014
1728878400,103.06,103.59,101.9883,103.46,60996
1728964800,102.99,105.67,102.89,104.39,67963
1729051200,105.26,107.76,104.35,107.16,109931
1729137600,107.5,108.19,105.165,105.89,72961
1729224000,106.08,106.57,104.25,106.39,53604
1729483200,106.83,109.41,106.5462,106.78,120614
1729569600,106.19,106.51,104.29,106.5,68775
1729656000,106.29,107.28,104.58,106.89,64218
1729742400,106.89,111.04,106.315,110.99,145077
1729828800,111.19,113.37,111.13,111.82,122752
1730088000,113.26,113.51,110,113.38,206902
1730174400,112.98,115.53,112.98,115.53,118744
1730260800,114.93,115.1,109.81,109.81,63907
1730347200,109.56,109.56,105.475,105.7,100359
1730433600,107.05,110.79,107.05,110.04,121354
1730696400,109.14,110.6324,108.11,110.22,99797
1730782800,109.57,111.585,108.31,111.13,86390
1730869200,114.09,116.95,111.72,116.9,214603
1730955600,118.33,129.9,115.16,129.9,271767
1731042000,126.27,127.26,116.96,121.25,260623
1731301200,122.24,124.19,120.83,123.47,209239
1731387600,123.08,124.4574,119.685,120.74,120763
