T,O,H,L,C,V
1713844800,16.77,17.22,16.72,16.92,9587025
1713931200,16.5,16.8299,15.78,16.34,17275450
1714017600,15.93,16.26,15.74,16.07,10612880
1714104000,16.06,16.45,15.91,16.37,8360518
1714363200,16.22,16.48,15.86,16.3,9286563
1714449600,16.13,16.4,15.6,15.64,8774426
1714536000,15.59,16.44,15.48,15.86,17958661
1714622400,16.25,16.875,16.01,16.84,13029054
1714708800,17.34,17.73,17.12,17.2,16009658
1714968000,17.55,17.65,17.14,17.52,13073294
1715054400,17.43,17.43,16.45,16.6,27084397
1715140800,17.42,18.4,17.16,17.78,38940100
1715227200,17.8,17.89,17.11,17.24,12963470
1715313600,17.33,17.37,16.96,17.18,10262260
1715572800,17.4,17.49,16.75,17.08,11074260
1715659200,17.26,17.35,16.75,17.04,8907968
1715745600,17.37,17.68,16.65,17.08,11143966
1715832000,17.08,17.32,16.895,16.95,7850868
1715918400,16.9,17.11,16.535,16.62,11939354
1716177600,16.63,16.7305,15.675,16.07,17418130
1716264000,15.99,16.185,15.8,16.01,9006437
1716350400,16.29,16.795,15.99,16.11,13378328
1716436800,16.2,16.21,15.32,15.43,12570545
1716523200,15.68,15.94,15.56,15.64,5559985
1716868800,15.81,15.873,15.485,15.68,6993502
1716955200,15.41,16.055,15.27,15.92,9986383
1717041600,15.76,16.0786,15.65,15.76,6546366
1717128000,15.93,16.09,15.39,15.61,8405481
1717387200,15.82,15.94,15.54,15.8,8784850
1717473600,15.79,15.94,15.04,15.27,11825694
1717560000,15.41,15.59,15.27,15.53,11451483
1717646400,16.85,17.29,15.64,15.69,40489685
1717732800,16.148,16.81,15.56,15.6,33487942
1717992000,15.48,15.63,14.34,15.08,23846560
1718078400,15.04,15.08,14.6,14.61,13986481
1718164800,15,15.96,14.99,15.54,20472433
1718251200,15.59,15.65,14.46,14.48,13430054
1718337600,14.36,14.51,14.025,14.17,16914195
1718596800,14.07,14.29,13.79,14.08,14618377
1718683200,14.08,14.21,13.715,13.78,9792512
1718856000,13.77,13.935,13.7,13.75,8830469
1718942400,13.79,13.79,13.19,13.45,17343648
1719201600,13.42,13.745,13.42,13.58,10369135
1719288000,13.55,13.9,13.27,13.47,12923844
1719374400,13.36,13.62,13.29,13.33,8370590
1719460800,13.34,13.49,13.28,13.39,7552860
1719547200,13.47,14.21,13.41,14.1,18124206
1719806400,14.11,14.16,13.54,13.97,8692440
1719892800,13.98,14.04,13.39,13.4,17359094
1719979200,13.41,13.625,13.31,13.39,8766675
1720152000,13.37,13.47,13.17,13.33,9552776
1720411200,13.43,13.56,13.23,13.48,10947468
1720497600,13.47,13.57,13.31,13.43,10003397
1720584000,13.52,13.61,12.74,12.93,17688605
1720670400,13.17,13.95,13.03,13.53,22282972
1720756800,13.45,13.6,13.075,13.11,12588797
1721016000,13.34,13.34,12.84,13.08,11629697
1721102400,13.14,13.535,13.085,13.38,10881552
1721188800,13.1,13.27,12.58,12.73,18538609
1721275200,12.68,12.9,12.37,12.43,13422423
1721361600,12.41,12.535,12.32,12.34,10325915
1721620800,12.43,12.56,12.23,12.48,12417072
1721707200,12.45,12.76,12.445,12.59,8029888
1721793600,12.35,12.47,11.92,12.38,22236174
1721880000,12.3,13.3,11.965,12.21,23999505
1721966400,12.43,12.57,12.16,12.23,10392405
1722225600,12.29,12.44,12.06,12.1,8934057
1722312000,12.13,12.24,11.79,11.94,10487573
1722398400,12.13,12.38,11.97,12.05,11953337
1722484800,12.05,12.16,11.33,11.42,13648427
1722571200,11.01,11.1,10.61,10.92,16353571
1722830400,9.935,10.72,9.81,10.57,18485909
1722916800,10.95,11.166,10.565,10.97,27961608
1723003200,9.25,9.7999,8.925,9.08,74249456
1723089600,9.21,10.075,9.12,10.07,27856292
1723176000,10.06,10.17,9.56,9.76,18735444
1723435200,9.72,9.83,9.53,9.71,13006339
1723521600,9.74,10.08,9.675,10.06,14601809
1723608000,10.24,10.29,9.88,10.08,10306797
1723694400,10.37,10.855,10.33,10.81,17785332
1723780800,10.71,11.55,10.68,11.2,18794981
1724040000,11.24,11.88,11.19,11.6,16150106
1724126400,11.54,11.75,11.2801,11.29,13298146
1724212800,11.45,11.765,11.22,11.69,13349341
1724299200,11.68,11.82,11.43,11.47,9458588
1724385600,11.54,11.76,11.235,11.68,13925562
1724644800,11.77,11.95,11.58,11.78,11430653
1724731200,11.76,11.76,11.48,11.62,9434205
1724817600,11.52,11.58,11.265,11.46,8257560
1724904000,11.55,11.685,11.34,11.55,7295434
