T,O,H,L,C,V
1713844800,15.7,16.39,15.67,16.14,1368970
1713931200,16.03,16.11,15.56,15.64,1505602
1714017600,15.28,15.515,15.164,15.38,1238936
1714104000,15.4,15.765,15.37,15.67,1111402
1714363200,15.87,16.06,15.7,16.01,1377142
1714449600,15.3,15.435,13.67,13.76,7388058
1714536000,13.26,13.78,12.99,13.46,4945874
1714622400,13.72,13.845,13.485,13.8,2382050
1714708800,14.2,14.31,13.86,14.29,2275431
1714968000,14.5,14.725,14.21,14.68,2402293
1715054400,14.79,15.41,14.7,15.25,3765939
1715140800,15.11,15.85,15.06,15.84,4300174
1715227200,15.97,16.14,15.38,15.49,3458155
1715313600,15.74,15.74,15.215,15.28,1509478
1715572800,15.45,15.69,15.28,15.51,1416461
1715659200,15.75,16.525,15.65,16.5,2781617
1715745600,16.85,16.89,15.78,15.93,3223128
1715832000,15.98,16.2171,15.98,16.07,2181243
1715918400,15.75,15.87,15.42,15.54,1792775
1716177600,15.5,15.63,15.2,15.22,1258739
1716264000,15.22,15.72,15.15,15.64,1436051
1716350400,15.58,15.66,15.12,15.18,1516288
1716436800,15.26,15.33,14.8,14.9,2297031
1716523200,15.09,15.105,14.81,14.96,1349254
1716868800,15.11,15.22,14.72,14.73,1508974
1716955200,14.55,14.64,14.35,14.48,1674192
1717041600,14.63,14.895,14.555,14.83,825523
1717128000,14.87,15.15,14.81,15.12,1821555
1717387200,15.31,15.5,15.14,15.26,1901503
1717473600,15.18,15.335,15.09,15.2,1238727
1717560000,15.32,15.52,15,15.49,2233703
1717646400,15.34,15.53,15.15,15.17,907237
1717732800,14.93,15.065,14.75,14.92,1178722
1717992000,14.66,14.88,14.66,14.74,993747
1718078400,14.62,14.79,14.52,14.62,1973227
1718164800,15.36,15.71,14.725,14.81,2060948
1718251200,14.79,14.985,14.65,14.83,947747
1718337600,14.6,14.75,14.44,14.48,1288708
1718596800,14.33,14.535,14.205,14.47,1256357
1718683200,14.49,14.915,14.42,14.81,1960451
1718856000,14.73,15.055,14.71,14.88,2207120
1718942400,14.87,15.01,14.52,14.67,3803764
1719201600,14.67,15.06,14.6,14.88,1282143
1719288000,14.84,14.88,14.445,14.6,870520
1719374400,14.49,14.83,14.49,14.8,1378760
1719460800,14.88,15.19,14.74,15.15,1105087
1719547200,15.29,15.495,15.13,15.44,3867154
1719806400,15.33,15.365,14.62,14.65,2192237
1719892800,14.69,14.965,14.44,14.61,2345712
1719979200,14.72,15.03,14.64,14.95,852354
1720152000,14.85,14.9,14.52,14.59,1230172
1720411200,14.71,14.86,14.6,14.85,971693
1720497600,14.74,15.025,14.67,14.87,596696
1720584000,14.99,15.32,14.8534,15.22,1487235
1720670400,15.5,15.85,15.415,15.5,1824988
1720756800,15.71,15.88,15.37,15.46,1913841
1721016000,15.66,15.73,15.38,15.67,1368148
1721102400,15.86,16.2,15.775,16.11,2050843
1721188800,15.91,16.45,15.91,16,2621089
1721275200,15.9,16.53,15.865,16.17,2027575
1721361600,16.21,16.26,15.87,16.1,1538286
1721620800,16.04,16.54,15.93,16.46,1164752
1721707200,16.35,16.7,16.2,16.66,1751087
1721793600,16.55,16.7,15.82,15.86,1435191
1721880000,15.86,16.14,15.6,15.64,1388594
1721966400,16.03,16.365,15.8267,16.23,1321622
1722225600,16.28,16.36,16.06,16.27,689538
1722312000,16.43,16.8,16.165,16.73,1640101
1722398400,16.71,16.79,15.83,16.01,2589681
1722484800,16.22,16.46,15.245,15.51,1774106
1722571200,15.11,15.42,14.88,14.91,1504920
1722830400,14.1,14.855,13.85,14.34,1754532
1722916800,14.32,14.95,14.22,14.81,1026888
1723003200,15.01,15.11,14.435,14.62,876126
1723089600,14.79,14.97,14.665,14.95,1036653
1723176000,14.93,15.14,14.615,15.01,1340653
1723435200,14.93,14.97,14.44,14.54,1253548
1723521600,14.75,14.795,14.5,14.65,910829
1723608000,14.73,14.89,14.53,14.65,1041286
1723694400,15.01,15.21,14.94,15.02,1952090
1723780800,15,15.1294,14.73,14.86,1382007
1724040000,14.65,14.98,14.57,14.86,1320101
1724126400,14.81,15.03,14.6701,14.86,1200180
1724212800,14.92,14.99,14.68,14.91,1187326
1724299200,14.95,15.23,14.89,15,1110986
1724385600,15.09,15.77,15.0301,15.56,2099472
1724644800,15.71,15.875,15.55,15.67,1091422
