T,O,H,L,C,V
1713844800,15.4,15.72,15.23,15.55,446991
1713931200,15.55,15.87,15.5201,15.79,473944
1714017600,15.69,16.14,15.48,16.06,433440
1714104000,16.14,16.2453,16,16.07,466004
1714363200,16.11,16.46,16.06,16.44,568745
1714449600,16.33,16.4,16.19,16.2,475059
1714536000,16.17,16.25,16,16.02,476089
1714622400,16.13,16.21,15.8,15.81,548882
1714708800,15.88,15.905,15.48,15.49,828409
1714968000,15.63,15.79,15.49,15.54,489647
1715054400,15.56,15.89,15.3375,15.87,370309
1715140800,15.81,15.83,15.47,15.48,424831
1715227200,15.5,15.76,15.48,15.75,240950
1715313600,15.75,15.82,15.37,15.77,397362
1715572800,15.87,16.52,15.865,16.03,889422
1715659200,16.07,16.28,16.01,16.13,343391
1715745600,16.21,16.88,16.15,16.85,728425
1715832000,16.79,16.96,16.64,16.76,873468
1715918400,16.81,17.2,16.77,16.84,584332
1716177600,16.89,16.94,16.71,16.89,207153
1716264000,16.87,17.13,16.83,16.92,517237
1716350400,16.91,16.99,16.65,16.66,295866
1716436800,16.75,16.815,16.55,16.55,313949
1716523200,16.75,16.9,16.69,16.8,334985
1716868800,16.9,16.94,16.14,16.25,348805
1716955200,16.34,16.71,16.27,16.67,434841
1717041600,16.74,16.79,16.37,16.68,304537
1717128000,16.7,17,16.6,16.88,551757
1717387200,16.91,17.31,16.89,17.27,513069
1717473600,17.3,17.4,17.13,17.2,927253
1717560000,17.29,17.3,16.85,17.2,598026
1717646400,17.11,17.15,16.235,16.25,489303
1717732800,16.25,16.82,16.11,16.6,675373
1717992000,16.65,16.96,16.53,16.63,432510
1718078400,16.6,17.12,16.6,17.03,344625
1718164800,17.23,17.28,16.96,17.17,371310
1718251200,17.14,17.17,16.36,16.55,371569
1718337600,16.53,16.61,16.2,16.33,455403
1718596800,16.35,16.41,16.1,16.35,271276
1718683200,16.29,16.3199,16.06,16.16,211729
1718856000,16.09,16.25,16,16.11,235606
1718942400,16.11,16.25,16.06,16.16,243422
1719201600,16.16,16.285,16.08,16.25,175632
1719288000,16.25,16.27,15.94,16.12,247797
1719374400,16.1,16.22,15.99,16.17,180236
1719460800,16.18,16.18,15.83,15.84,198941
1719547200,15.8,16.29,15.8,16.14,253180
1719806400,16.37,16.69,16.07,16.32,341182
1719892800,16.33,16.55,16.18,16.25,205954
1719979200,16.25,16.29,16.11,16.12,100791
1720152000,16.15,16.33,16.05,16.23,188789
1720411200,16.23,16.25,15.805,15.83,261381
1720497600,15.89,15.97,15.72,15.94,593461
1720584000,15.88,16.86,15.8771,16.83,571926
1720670400,16.9,17.2,16.7,16.86,537818
1720756800,16.93,17.1,16.85,16.85,443449
1721016000,16.89,16.89,16.51,16.6,236892
1721102400,16.6,17.2,16.5,17.17,234558
1721188800,17.07,17.25,16.74,16.75,324659
1721275200,16.82,17.1,16.62,16.68,559703
1721361600,16.71,16.78,16.43,16.69,178145
1721620800,16.72,17.035,16.5,17.02,245812
1721707200,17.05,17.19,16.78,16.84,240469
1721793600,16.79,17.2,16.585,17.2,435559
1721880000,17.23,17.3,16.94,17.09,322783
1721966400,17.24,17.345,17,17.03,289434
1722225600,17.01,17.24,16.79,17.06,323578
1722312000,17.09,17.115,16.7,16.88,227730
1722398400,16.9,17.24,16.862,17.16,168759
1722484800,17.16,17.16,16.46,16.79,270323
1722571200,16.61,16.69,16.37,16.58,257706
1722830400,15.66,16.48,15.66,16.39,394953
1722916800,16.41,16.78,16.19,16.74,186982
1723003200,16.8,17.06,16.6794,16.96,182257
1723089600,16.95,17.1,16.87,16.99,153696
1723176000,17.02,17.03,16.64,16.81,131534
1723435200,16.81,16.92,16.53,16.77,161305
1723521600,16.76,16.845,16.4,16.47,263249
1723608000,16.44,16.965,16.44,16.92,161702
1723694400,16.97,17.3225,16.95,17.28,254541
1723780800,17.25,17.34,17.1,17.3,187264
1724040000,17.28,17.795,17.0809,17.74,387932
1724126400,17.77,17.77,17.415,17.65,192087
1724212800,17.68,17.76,17.47,17.69,278727
1724299200,17.72,17.86,17.53,17.63,145745
1724385600,17.68,17.75,17.31,17.34,145345
1724644800,17.49,17.61,17.07,17.11,188625
1724731200,17.01,17.775,16.91,17.63,413657
1724817600,17.41,17.7,17.19,17.46,357927
1724904000,17.52,17.73,17.39,17.46,229995
1724990400,17.5,17.5,17.03,17.23,239593
1725336000,17.07,17.43,16.9,17.06,274477
1725422400,17.03,17.21,16.8,17.14,757842
1725508800,17.22,17.325,17,17.08,200949
1725595200,16.99,17.08,16.44,16.46,303678
1725854400,16.42,16.5,16.2,16.37,244726
1725940800,16.35,16.46,16.01,16.4,268369
1726027200,15.7,16,14.75,15.65,801175
1726113600,15.7,15.82,15.46,15.78,230951
1726200000,15.91,16.34,15.77,16.25,172889
1726459200,16.27,16.52,16.2,16.5,151869
1726545600,16.6,16.7588,16.38,16.4,327725
1726632000,16.43,16.53,16.12,16.15,268767
1726718400,16.33,16.41,16.16,16.29,143362
1726804800,16.29,16.3598,15.94,15.97,260335
1727064000,16.02,16.07,15.89,16.05,117583
1727150400,16.11,16.1468,15.93,16,259937
1727236800,16.01,16.34,15.95,16.2,195857
1727323200,16.34,16.58,16.18,16.49,200065
1727409600,16.51,16.62,16.48,16.48,219027
1727668800,16.51,16.6,16.07,16.18,276031
1727755200,16.27,16.27,15.91,15.99,206837
1727841600,15.88,16.32,15.88,16.28,364647
1727928000,16.24,16.43,16.225,16.31,178339
1728014400,16.34,16.55,16.07,16.48,186644
1728273600,16.51,16.51,16.035,16.04,173356
1728360000,15.99,16.25,15.88,16.16,185084
1728446400,16.15,16.22,16.025,16.12,149616
1728532800,16.06,16.23,16.02,16.1,128010
1728619200,16.15,16.35,16.12,16.26,115461
1728878400,16.15,16.335,16.1,16.3,132111
1728964800,16.25,16.625,16.2325,16.52,187333
