T,O,H,L,C,V
1713844800,528.69,532.86,527.89,532,490789
1713931200,531.64,537.145,529.28,535.42,583497
1714017600,538.19,542.3,534.72,539.94,635557
1714104000,537.99,544.81,534.68,543.3,654669
1714363200,542.62,543.25,535.52,536.09,1209237
1714449600,536.18,539.19,533.75,537.21,795069
1714536000,532.3,535.095,518.27,531.1,1170824
1714622400,529.65,533.8,524.89,530.27,823335
1714708800,530,530,520.49,528.86,866981
1714968000,531.24,534.63,530.8,533.41,642678
1715054400,533.55,546.63,533.515,545.75,984411
1715140800,552.31,566.005,538.615,543.61,1378615
1715227200,543.89,556.46,543.89,555.12,977354
1715313600,556.27,560.49,556.13,559.91,636900
1715572800,558.7,563.36,553.58,554.61,683349
1715659200,554.6,556.74,549.83,551.58,625980
1715745600,548.73,555.63,548.73,551.56,539621
1715832000,553.17,558.42,552.58,555.76,758618
1715918400,559.45,564.87,557.93,564.52,575688
1716177600,565,566.155,558.195,564,576473
1716264000,564.26,565,552.18,552.39,876849
1716350400,551.45,560.68,548.81,557.38,743931
1716436800,558.09,564.215,557.78,558.03,695190
1716523200,559.34,563.86,558.09,560.73,512352
1716868800,557.4,557.68,547.005,549.26,1144951
1716955200,550,560.09,547.79,558.89,1037458
1717041600,559.23,564.93,558.4,560.96,599204
1717128000,560.99,570.59,558.94,569.59,1165435
1717387200,565.78,574.51,565.78,573.16,1055931
1717473600,571.5,574.7,569.27,573.73,488706
1717560000,574.41,579.83,573.05,579.6,480980
1717646400,580,587.23,578.3,586.11,495518
1717732800,590.54,591.8,584.23,586.9,532403
1717992000,586.54,592.12,583.405,591.28,524120
1718078400,591.28,591.31,584.41,591.29,445878
1718164800,590,590,575.02,584.79,603428
1718251200,584.18,592.405,579,591.07,529085
1718337600,591.59,592.33,585.96,589.95,728169
1718596800,590.83,598.75,589,597.45,529870
1718683200,598.07,604.145,595.47,602.93,462424
1718856000,603.01,605.33,600.25,603.24,531596
1718942400,604.85,606.3199,600.89,603.08,1166719
1719201600,605.82,609.5737,604.56,607.81,566989
1719288000,612.17,612.17,604.37,604.42,584493
1719374400,602.96,606.96,596.2,599.56,814058
1719460800,599.58,600.21,583.68,593.2,812207
1719547200,592.82,592.82,582.33,584.04,1240773
1719806400,586.42,594.0399,582.94,586.34,768425
1719892800,585.74,586.13,575.55,584.83,554380
1719979200,580.92,584.89,578.715,583.35,313911
1720152000,582.51,587.9,579.225,587.76,457302
1720411200,587.54,591.81,587.54,589.53,420912
1720497600,591.45,592.79,585.935,586.81,530603
1720584000,586.81,588.38,584.83,586.82,398607
1720670400,581.48,586.41,571.01,575.23,1192326
1720756800,576.05,582.27,573.69,576.66,594437
1721016000,580.27,587.075,577.65,578.26,860189
1721102400,578.84,584.15,578.84,583.95,703008
1721188800,585.97,587.085,579.83,582.06,741928
1721275200,581,585.36,577.525,578.43,788181
1721361600,586.56,587.96,578.1,580.13,562156
1721620800,580.23,584.93,579.95,583,461627
1721707200,586.39,592.5,583.91,585.74,568363
1721793600,588.53,591.4,583.62,589.99,691585
1721880000,593.11,600.47,592.37,595.73,733149
1721966400,597.23,603.17,594.035,600.16,634064
1722225600,601.4,607.34,598.15,606.71,686558
1722312000,606.13,616.15,605.675,609.72,750201
1722398400,613.24,621.07,607.74,617.02,664675
1722484800,621,631.37,620.625,629.09,880919
1722571200,630.84,637.51,621.29,630.38,881722
1722830400,626.03,627.95,606.43,612.95,1153136
1722916800,612.95,625.75,610.65,614.32,714568
1723003200,616.56,625.17,610.563,617.51,873542
1723089600,573.58,577.5,535.7,547.51,4082438
1723176000,548.5,549.9899,532.425,541.15,1742142
1723435200,540,554.31,537.995,551,1128201
1723521600,550,556.72,549.8,551.75,983464
1723608000,553.03,558,551,552.83,774045
1723694400,552.46,555.15,540.06,545.41,1386829
1723780800,545.9,549.6,540.49,547.71,877174
1724040000,549.6,550.84,547.44,548.4,691069
1724126400,549.29,550.655,545.95,548.52,558435
1724212800,549.17,559,547.6852,558.24,601114
1724299200,563,564.98,555.97,560.9,989362
1724385600,560,562.5,551.02,552.15,710191
1724644800,552,555,545,547.47,559453
1724731200,550.33,554.5799,549.08,550.72,463803
1724817600,552.39,558.0975,552.07,556.7,507938
1724904000,556.7,561.16,555.51,556.15,498798
1724990400,556,562.41,555.17,561.08,954189
1725336000,566.93,576.85,562.51,573.95,1004387
1725422400,574.36,577.93,565.38,571.28,644777
1725508800,560,562,506.45,514.75,3003583
1725595200,515.26,519.21,503.34,504.17,1924323
1725854400,508.55,515.945,503.4301,509.42,1913083
1725940800,505,515.07,505,505.73,1114441
1726027200,505.01,510.99,504.49,510.45,1315832
1726113600,509.88,513.39,507.36,511.17,978298
1726200000,509.13,522.5399,507.06,518.81,951249
1726459200,522.5,526.54,517.5,519.82,645272
1726545600,519.08,521,510.185,513.91,978465
1726632000,510.69,516.33,509.96,511.62,796865
1726718400,512.57,515.43,505.18,508.16,862813
1726804800,507.54,509.8,504.88,508,1457307
1727064000,509.48,512.56,504.3,505,1296249
1727150400,487.485,488.46,464.415,480.49,3120136
1727236800,483.26,483.26,472.29,479.14,1365148
1727323200,473.81,483.08,472.5,479.06,1161831
1727409600,480.78,489.02,479.15,488.25,1001623
1727668800,490,494.42,486.82,494.42,1645330
1727755200,491.65,498.77,491.595,498.48,1089925
1727841600,496.07,497.71,487.055,488.78,1048107
1727928000,490.37,493.73,481.6,482.27,956341
1728014400,482.7,485.5,480.395,485.42,905019
1728273600,483.84,488.56,482.44,483.67,792630
1728360000,490.64,495.99,486.77,495.09,771637
1728446400,495.07,502.68,494.385,502.12,734449
1728532800,504,508.42,501.8968,506.25,832407
1728619200,508.13,510.73,505.47,505.59,645552
1728878400,507.57,511,503.92,509.28,503774
1728964800,508.3,522.63,508.3,513.67,908430
1729051200,507.29,513.47,507.29,510.93,876713
1729137600,507.98,512.06,506,508.72,751962
1729224000,508.1,511.74,502.5,509.2,976374
1729483200,512,512,506.76,508.32,678661
1729569600,506.85,509.65,503.96,505.38,576453
1729656000,506.39,508.77,500.01,501.76,498477
1729742400,501.45,509.53,499.04,504.96,671793
1729828800,504.76,508.59,501.52,507.41,563369
1730088000,508.91,511.32,505.22,508.95,634632
1730174400,510.43,510.55,499.04,499.18,749090
1730260800,497.08,501.93,492.39,499.34,720582
1730347200,500.3,509.785,498.32,500.59,1012255
1730433600,507.47,526.91,507.47,526.34,1507968
1730696400,525.85,528.22,522.45,525.94,1276149
1730782800,529.33,529.5,520.2,525.28,842220
1730869200,533,549.78,530.39,549.31,1696701
1730955600,606.285,616.505,573.735,607.51,2465259
1731042000,598.86,618.58,593.27,613,1270690
1731301200,619.16,627.425,612.09,615.59,1237154
1731387600,615.73,624.265,613.31,617.66,1012807
1731474000,618.71,628.26,616.625,624.6,636018
1731560400,619.76,623.03,609.51,610.16,749438
1731646800,610,614.115,604.29,606.29,1008159
1731906000,606.47,617.51,606.29,615.6,628252
1731992400,613.88,617.95,608.23,615.65,593006
1732078800,617.76,622.7,614.0705,621.14,484842
1732165200,622.11,629.73,616.9801,628.27,499090
1732251600,630.24,632.59,622.07,623.19,512790
1732510800,624.08,628.99,615.48,616.73,1841562
1732597200,619.82,625.53,614.28,625,551024
1732683600,626.56,631.4,624.8,626.38,543196
1732856400,626.36,630.71,624.25,628.5,397630
1733115600,625.48,625.67,618.42,621.29,560152
1733202000,625.91,627.83,617.89,617.95,619698
1733288400,617.46,620.18,609.63,611.99,925461
1733374800,608.58,609.86,599.29,607.52,846380
1733461200,607.52,608.01,602.155,603.53,730596
1733720400,602.81,603.95,584.52,591.9,970517
1733806800,590.66,591.8211,582.16,583.96,703932
1733893200,583.32,583.49,571.3,576.69,1094025
1733979600,579.82,584.65,575.86,579.29,763449
1734066000,580.32,582.095,575.355,576.24,509590
1734325200,576.37,585.5,566.241,570.07,1029395
1734411600,567.07,568.18,558.13,562.78,1050255
1734498000,564.14,575.23,558.36,570.98,1130676
1734584400,568.68,580.13,565.97,579.22,1244744
1734670800,580.01,583.93,570.37,579.74,2058308
1734930000,579.96,579.96,569.63,576.76,517221
1735016400,575.53,580.79,573.105,579.13,241662
1735189200,579,580.595,576.4504,578.43,355254
1735275600,575.57,582.7372,574.655,576.64,361793
1735534800,573.03,576.02,569.09,570.75,416702
1735621200,572.77,576.6199,567.17,569.91,440926
1735794000,572.79,574.975,565.75,566.21,373168
1735880400,569.98,579.96,568.2296,577.44,708138
1736139600,577,588.55,574.2796,580.43,836012
1736226000,582.85,588.51,582.305,585.24,652660
1736312400,587.49,590.86,584.29,590.26,526104
1736485200,588.97,592.32,581.01,581.74,597055
1736744400,581.42,589.08,572.4,585.08,590187
1736830800,586.47,594.59,580.76,593.73,857295
1736917200,592.28,595.32,577.92,583.45,722453
1737003600,582.12,595.79,581.48,595.19,582465
1737090000,594.46,598.01,586.54,592.57,686368
1737435600,595.22,598,581.9,586.08,986532
1737522000,588,588,577.91,584.38,785908
1737608400,592.5,598.13,585.575,597.17,673445
