T,O,H,L,C,V
1713844800,212.82,225.66,210.1,218.38,409554
1713931200,218.08,220,204.16,204.65,575504
1714017600,200.63,200.97,190.22,194.38,707188
1714104000,192.49,195.58,189,193.33,453346
1714363200,194.39,202.02,191.1818,201.07,357134
1714449600,199.4,209.4316,199.4,204.02,435491
1714536000,203.36,217.82,202.2,210.59,427526
1714622400,213.01,218.1894,208.77,216.05,451720
1714708800,223.35,234.47,221.25,229.84,441775
1714968000,231.95,236.65,228.475,235.57,423461
1715054400,222,230.49,214.955,217.96,780739
1715140800,211.52,215,201.5001,208.04,690496
1715227200,208.33,209.99,200.08,206.92,359475
1715313600,206.4,208.74,203.86,205.25,234068
1715572800,208.78,217.035,205.99,211.32,269895
1715659200,214.52,219.7602,209.835,210.98,262278
1715745600,217.46,219.615,210.05,211.73,392484
1715832000,211.89,217.6799,210.75,217.17,235183
1715918400,217.53,221.5199,215.02,220.06,236438
1716177600,221.69,232.39,218.9,232.1,313559
1716264000,229.67,243.5,226.36,242.49,402472
1716350400,241,250.34,232.4,235.06,819937
1716436800,235.19,239.03,226.78,234.85,447005
1716523200,234.81,235.28,228.63,229.58,374487
1716868800,233.55,233.55,222.72,223.29,808191
1716955200,220.5,224.5523,219.39,222.51,263607
1717041600,225.89,228.875,223.715,225.49,234490
1717128000,226.29,236.72,221.875,236.16,348452
1717387200,237.73,245.55,235.775,245.49,329377
1717473600,240,251.5899,238.14,244.35,899419
1717560000,213,236.84,208.6,235.97,2053956
1717646400,236.84,241.5,219.65,241.35,636455
1717732800,235.02,245.105,227.78,244.34,467573
1717992000,243.18,255.44,238.78,254.88,483991
1718078400,254.43,295.5,252.665,291.99,1570747
1718164800,291.49,295,280.33,285.83,840192
1718251200,285.83,288.755,276.12,277.02,415205
1718337600,275,280,268.07,277.59,418093
1718596800,275.82,285.61,275.01,276.72,315350
1718683200,276.88,279.26,273.28,276.01,308468
1718856000,273.38,273.38,260,267.79,407025
1718942400,267.09,280.59,266.97,278.42,586651
1719201600,278.42,287,275.1949,283.99,372179
1719288000,283.56,285.7256,278.72,280.04,314071
1719374400,279,279,267.51,275.36,293946
1719460800,275.37,288.25,270.5,285.66,252964
1719547200,285.07,286.467,277.72,280.16,861402
1719806400,277.02,282.37,276.87,279.31,290253
1719892800,279.41,282.54,271.44,271.67,179633
1719979200,273.81,273.81,268.6,271.67,77460
1720152000,271.75,278.435,269.01,276.55,147307
1720411200,278.88,292.07,277.48,290.74,356142
1720497600,289.75,295.48,288.21,292.96,215974
1720584000,294.62,294.62,283.02,284.37,169469
1720670400,290.99,293.27,280.02,290.32,341573
1720756800,292.37,298,280.6,285.86,419353
1721016000,286.56,287.5,275.94,279.95,370030
1721102400,281.77,286.005,273.42,273.72,307171
1721188800,270,283.98,265.36,269.4,356999
1721275200,271.57,284.24,268.83,279.13,373915
1721361600,281.33,297.25,280.035,287.24,484944
1721620800,288.08,293,281.855,287.07,192490
1721707200,286.24,287.03,277.52,279.53,211717
1721793600,277,288.2,277,282.05,207353
1721880000,282.09,288.8,277.24,283.46,260854
1721966400,287.67,289.9115,276.63,284.49,167769
1722225600,284.29,285.94,274.17,274.69,180372
1722312000,275.25,281.5,270.77,279.99,184370
1722398400,284.42,287.98,277.305,284.66,259167
1722484800,283.89,290.93,275.45,278.48,259123
1722571200,272.02,277.48,267.19,275.36,207213
1722830400,254.39,267.51,252.56,259.45,359077
1722916800,260.97,274.04,254.53,266.56,277394
1723003200,249,249,225.51,234.08,1369725
1723089600,241.18,244.05,231.67,243.64,554300
1723176000,243.87,245.91,234.02,237,483500
1723435200,238.03,246.675,234.02,242.09,245382
1723521600,243.56,245.61,241.5,243.64,184214
1723608000,244.86,245.47,241.755,243.28,208959
1723694400,248.26,248.26,243.12,244.5,162223
1723780800,245.97,251.47,243.0301,250.81,202855
1724040000,250.18,257.31,249.21,256.73,269201
1724126400,256.45,259.17,251.435,259.17,177057
1724212800,260,262.25,252.27,256.17,292365
1724299200,256.85,256.85,247.391,248.68,167961
1724385600,247.5,254,247.38,252.74,160168
1724644800,255.88,256,252.75,255.8,123968
1724731200,255.51,256,249.94,254.81,142210
1724817600,254.87,254.87,249.645,250.79,148078
1724904000,251.08,252,247,248.72,211209
1724990400,250.19,250.19,243.5,247.13,203778
1725336000,246.32,250,232.769,236.4,348495
1725422400,236.4,245.585,233.23,245.34,160987
1725508800,246.24,248.55,241.97,246,210786
1725595200,249.62,249.62,241.64,243.89,222463
1725854400,244.78,247.6,233.81,238.69,257445
1725940800,239.03,239.03,232,235.69,201232
1726027200,235.36,236.11,230.56,233,195649
1726113600,230.2,238.41,230.0183,234.76,112238
1726200000,235.32,245.75,235.32,241.8,195775
1726459200,241.56,241.625,232.405,233.39,195897
1726545600,235.35,240.04,232.4,233.36,179933
1726632000,233.76,239.53,230.72,233.16,203673
1726718400,238.11,248.19,233.5,242.25,288405
1726804800,243.47,244.225,233,233.49,530021
1727064000,234.5,240.37,224.37,225.72,200139
1727150400,225.8,227.2123,221.81,223.07,201881
1727236800,223.54,223.54,215.94,216.21,314748
1727323200,219.08,219.08,210.655,213.9,278081
1727409600,216.1,216.31,211,212.43,253578
1727668800,211.6,218.74,208.94,212.22,473298
1727755200,212.22,212.9,205.28,209.33,236183
1727841600,208.19,213.09,206.79,209.15,242814
1727928000,207.17,209.68,204.58,206.58,179618
1728014400,207.69,210.03,205.87,208.41,256650
1728273600,209.3,217.695,206.73,214.83,470589
1728360000,214.8,221.3,214.675,216.77,472090
1728446400,215.01,216.62,204.665,210.88,355287
1728532800,209.13,215.62,207.26,210.58,191147
1728619200,210.58,215.98,208.58,214.15,274798
1728878400,213.07,216.25,211.3021,215.43,163182
1728964800,216,218.55,214,216.17,329918
1729051200,217.38,217.5,214.58,215.6,240615
1729137600,214.9,216.765,208.53,210.47,219747
1729224000,212.2,217.29,211.19,214.44,226635
1729483200,213.01,213.02,208.15,208.89,165177
1729569600,208.2,209.4,202.42,203.59,332917
1729656000,204.44,204.44,200.63,202.48,329038
1729742400,201.93,205.5915,201.22,202.99,265073
1729828800,203.18,213,203.18,210.67,565768
1730088000,210.32,217.19,210.32,217,209211
1730174400,215.04,218.425,214.2,217.79,215544
1730260800,214.85,218.4,213.71,215.93,311898
1730347200,245.66,263.54,238.0427,259.34,1353567
1730433600,274.98,321.19,262.85,319.58,3056529
1730696400,320,337.4365,310.02,331.32,1041444
1730782800,331,337.63,316.665,337.61,773478
1730869200,341.59,345.04,327.69,338.22,592443
1730955600,339.38,368.29,337.495,354.85,675804
1731042000,356.71,357.045,343,350.7,454434
1731301200,357.42,357.81,338.03,339.66,331689
1731387600,335.57,341.19,327.4059,339.04,374182
1731474000,342.58,342.58,314.02,315.15,505186
1731560400,310.94,315.56,302.54,302.67,405256
1731646800,303.29,303.29,272.7201,288.58,945981
1731906000,290.25,308.43,288.8,303.49,467873
1731992400,305,320.885,304.35,314.17,380892
1732078800,315.75,323.99,310.835,317.09,326802
1732165200,318.42,329.93,315.15,329.24,423638
1732251600,323.72,351.065,322.73,347.45,538342
1732510800,347.34,351.805,340.43,345.18,431978
1732597200,347.04,347.06,329.67,336.74,383169
1732683600,336.45,336.45,327.5,331.45,302691
1732856400,331.02,331.145,323.5,328.19,189365
1733115600,325.36,329.175,317.64,318.55,295772
1733202000,318,323.07,314.36,321.36,424926
1733288400,320.79,328.165,316.18,318.48,271395
1733374800,320.06,321.14,309,313.05,287507
1733461200,310.96,321.99,310.96,320.84,315808
1733720400,319.19,324.24,308.55,318.44,295358
1733806800,321.31,323.75,311.57,312.77,207523
1733893200,315.87,315.87,306,306.55,237248
1733979600,306.21,311.77,302.47,302.47,321221
1734066000,301.12,308.65,295.02,304.5,322691
1734325200,305.94,312.275,301.93,310.99,271204
1734411600,306.38,315.09,305,306.08,466030
