T,O,H,L,C,V
1713844800,47.54,48.18,47.18,47.95,164207
1713931200,47.86,48.3,47.515,47.71,217326
1714017600,48.57,50.905,46.46,47.77,948746
1714104000,47.66,48.8,47.22,48.27,490873
1714363200,48.91,50.68,48.715,50.4,621282
1714449600,50.12,50.12,47.86,47.91,293728
1714536000,47.71,48.8,47.19,48.23,286936
1714622400,48.58,48.79,47.6,48.12,176369
1714708800,48.1,48.77,48,48.23,175175
1714968000,48.8,49.405,48.8,49.12,155508
1715054400,49.2,50.15,49.12,49.97,114773
1715140800,49,49.57,48.37,48.4,337266
1715227200,48.76,50.41,48.56,50.26,295530
1715313600,50.75,51.23,50.12,50.48,222715
1715572800,50.92,53.55,50.67,52.83,641542
1715659200,53,53.52,52.48,53.27,281268
1715745600,53.3,53.345,52.07,52.7,321839
1715832000,52.38,53.85,52.38,53.58,347641
1715918400,53.68,54.28,53.46,53.65,334899
1716177600,53.66,56.43,53.66,55.04,316316
1716264000,54.37,54.5,52.805,53.46,237489
1716350400,52.65,53.17,52.07,52.23,201517
1716436800,52.68,52.68,51.851,52.28,213827
1716523200,52.64,52.945,52.0501,52.86,184293
1716868800,52.86,53.73,52.86,53.12,271101
1716955200,52.76,52.76,52,52.35,125221
1717041600,52.14,53.58,52.14,53,177087
1717128000,53.27,53.795,52.59,53.68,208600
1717387200,53.68,53.7,51.45,51.61,236481
1717473600,51.09,51.105,50.15,50.52,213209
1717560000,50.3,50.56,49.77,50.5,239308
1717646400,50.64,51.52,50.48,50.88,194025
1717732800,50.35,51.22,50.06,50.89,159192
1717992000,51.24,51.41,50.54,51.11,175786
1718078400,50.63,50.92,50,50.87,285113
1718164800,51.83,52.29,50.72,50.93,196362
1718251200,50.59,50.67,49.39,49.59,167441
1718337600,49.05,49.19,47.655,48.13,199655
1718596800,47.91,48.46,47.85,48.33,125574
1718683200,48.33,48.57,48,48.31,111710
1718856000,48.01,48.77,47.98,48.56,195197
1718942400,48.8,49.015,48.35,48.64,228181
1719201600,48.37,49.29,48.37,48.97,147390
1719288000,48.78,48.78,47.84,48.07,152452
1719374400,48,48.41,47.46,48.36,162462
1719460800,48.5,48.5,47.86,48.22,111075
1719547200,48.53,48.8175,48.05,48.26,248546
1719806400,48.5,48.565,47.16,47.61,154718
1719892800,47.5,48.2,47.5,48.16,150781
1719979200,48.19,49.09,48.19,49.05,97427
1720152000,48.82,49.23,46.91,47.33,211902
1720411200,47.14,48.405,46.83,47.66,300145
1720497600,47.93,48.44,47.29,47.31,172601
1720584000,47.56,49.86,47.56,49.86,263326
1720670400,49.72,50.895,49.72,50.43,200828
1720756800,50.94,51.54,50.81,51.08,181807
1721016000,50.96,52.1,50.58,51.82,225796
