T,O,H,L,C,V
1713844800,42.69,43.13,42.47,42.85,1791256
1713931200,43.07,43.28,42.13,42.71,2617104
1714017600,42.37,42.56,42.06,42.18,3036144
1714104000,41.69,42.38,41.06,41.09,4682708
1714363200,41.67,42,41.41,41.61,4243064
1714449600,41.27,41.3,39.35,39.44,5807991
1714536000,38.92,40.41,38.64,39.75,7360269
1714622400,43.5,43.5,40.62,40.87,7464042
1714708800,41.4,41.64,40.74,41.04,4379185
1714968000,41.4,41.74,40.515,41.01,4505803
1715054400,40.99,41.09,40.501,40.64,3297125
1715140800,40.25,40.645,39.97,40.04,4430146
1715227200,40.08,40.9676,40.03,40.85,2715419
1715313600,40.84,40.95,40.471,40.57,2036768
1715572800,41.09,41.33,40.665,40.93,2697692
1715659200,41.29,41.77,40.93,41.29,3422919
1715745600,41.52,41.86,41.15,41.55,3007524
1715832000,41.5,42.14,41.36,41.65,3568308
1715918400,41.56,41.91,40.96,41.03,2705622
1716177600,41,41.44,40.793,41.36,3512695
1716264000,41.22,41.4299,40.79,40.81,2484453
1716350400,40.58,40.73,39.92,40.2,3323777
1716436800,40.28,40.4247,38.74,38.93,4460742
1716523200,39.17,39.82,39.08,39.72,2937018
1716868800,39.72,40.07,38.62,38.98,3672641
1716955200,38.24,38.73,38.03,38.7,3842183
1717041600,38.82,38.965,38.205,38.53,3323288
1717128000,38.71,40.19,38.535,40.17,7458204
1717387200,40.17,40.47,39.38,40.21,3357105
1717473600,40.05,40.28,39.405,39.44,2684795
1717560000,39.59,40.46,39.495,40.38,3051510
1717646400,40.43,40.7,40.03,40.09,3506843
1717732800,39.77,40.72,39.66,40.69,3041450
1717992000,40.47,40.955,40.25,40.77,3149254
1718078400,40.65,40.84,39.86,40.77,2953846
1718164800,41.46,41.7,40.14,40.47,4028824
1718251200,40.35,40.62,40.105,40.53,3098635
1718337600,40,40.27,39.53,39.85,2680903
1718596800,39.61,40.43,38.96,40.39,2964330
1718683200,40.2,40.73,40,40.53,2741169
1718856000,40.5,42.245,40.41,41.7,3715733
1718942400,41.7,42.205,41.59,42,8870948
1719201600,42,42.585,41.84,42.45,3857205
1719288000,42.39,42.49,41.64,41.96,2690909
1719374400,41.73,42.54,41.73,42.43,2222609
1719460800,42.48,43.4,42.3725,43.37,3071631
1719547200,43.6,44.55,43.53,44.44,5978451
1719806400,44.55,44.67,42.585,42.86,3263518
1719892800,42.98,43.0547,42.25,42.33,3597654
1719979200,42.98,43.98,42.69,43.28,2401064
1720152000,42.84,43.3,42.6,43.04,4584846
1720411200,43.26,43.74,43.01,43.69,2629026
1720497600,43.79,44.3,43.41,43.74,2699510
1720584000,43.99,44.0099,43.46,43.91,2352425
1720670400,44.26,46.08,44.2,45.84,4737851
1720756800,46.01,46.56,45.91,46.11,2597763
1721016000,46.04,46.43,45.83,46.15,2288665
1721102400,46.29,46.975,46.06,46.78,2716227
1721188800,46.45,47.26,46.08,46.19,2795955
1721275200,45.98,46.88,45.24,45.3,2583206
1721361600,45.3,45.56,44.71,45.37,2144825
1721620800,45.4,45.54,43.6,43.77,4020076
1721707200,43.66,43.8,43.3,43.78,3543296
1721793600,43.32,43.78,42.39,42.44,3309551
