T,O,H,L,C,V
1713844800,110.31,114.33,109.1,112.56,617677
1713931200,114.21,114.7915,111.21,113.78,612362
1714017600,112.87,117.68,112.125,116.27,501314
1714104000,117.03,121.88,116.3,120.75,480722
1714363200,120.37,123.19,119.7939,123.12,356324
1714449600,122.06,124.36,118.77,118.98,422281
1714536000,117.6,121.24,114.53,115.14,615375
1714622400,117.64,119.19,115.125,117.98,666832
1714708800,121.86,123.74,121.11,122.02,612390
1714968000,123.63,125.06,122.53,124.93,528119
1715054400,125.88,126.57,123.14,123.32,624648
1715140800,121.18,123.91,120.83,123.38,634532
1715227200,129.75,130,123.62,127.62,875894
1715313600,130,130.7,128.4201,130.5,640679
1715572800,124,124.43,118.45,118.71,2696938
1715659200,118.99,124.73,118.71,124.55,3865330
1715745600,126.41,129.095,125.705,128.75,2147703
1715832000,128.14,129.875,127.33,128.14,1065330
1715918400,128.88,129.095,126.41,128.25,460106
1716177600,128.99,134.8,128.99,132.61,770930
1716264000,130.31,132.86,130.04,131.83,603335
1716350400,133.41,134.55,130.65,131.91,593171
1716436800,135,135,126.9,128.53,1004638
1716523200,129.26,132.54,127.475,131.01,888485
1716868800,132.65,132.65,129.45,130.78,595375
1716955200,128,128.66,125.8,126.72,918902
1717041600,127.11,130.12,125.85,129.37,1085749
1717128000,129.78,130.68,121.8,126.59,1514867
1717387200,129.41,130,125.59,126.18,931548
1717473600,125.37,126,122.65,123.65,736285
1717560000,125.89,132.22,125.48,132.09,1227015
1717646400,131.27,132,129.147,129.44,725128
1717732800,128.67,129.915,125.77,128.2,600715
1717992000,126.38,132.04,126.08,131.02,581828
1718078400,130.01,130.75,127.97,130,607529
1718164800,134.18,138.6899,133.91,136.12,2046202
1718251200,134.71,136.53,133.65,135.78,792226
1718337600,132.84,134.46,131.45,133.77,748526
1718596800,133.7,136.89,132.57,136.19,912745
1718683200,135.88,139.2,134.92,137.16,1052709
1718856000,134.99,136.22,130.82,131.97,1299256
1718942400,131.34,132.4,128.22,131.4,1419047
1719201600,130.44,132.47,128.69,128.82,902649
1719288000,129.56,133,127.67,129.64,995104
1719374400,128.87,131.08,128.1,129.96,971186
1719460800,130.59,131.65,128.19,130.08,823992
1719547200,131.31,134.91,128.83,130.58,1192066
1719806400,130.39,130.97,126.27,129.49,769159
1719892800,129.11,132.82,129.11,132.69,775775
1719979200,132.88,136.43,132.28,134.95,763828
1720152000,135.36,136.43,132.96,134.07,579036
1720411200,135.2,137.15,135.1662,136.06,648391
1720497600,136.01,136.1,133.99,135.06,451232
1720584000,137.42,142.65,136.96,142.35,1668559
1720670400,144.78,145.31,140.03,141.11,1218121
1720756800,142.2,147.4,140.72,143.52,859423
1721016000,143.1,145.48,141.66,142.66,544028
1721102400,144.4,145.59,142.57,144.6,679890
1721188800,140.19,141.445,132.22,132.58,1668569
1721275200,134.87,135.39,127.22,128.82,1418726
1721361600,128.79,129.015,125.07,125.3,696339
1721620800,129.04,132.805,128.015,132.44,1118208
1721707200,131.16,133.05,130.64,131.48,446328
1721793600,128.57,129.77,123.105,123.4,959657
1721880000,122.13,124.785,118.51,119.73,1277253
1721966400,124.22,126.55,122.895,124.57,838596
1722225600,126.32,128.195,123.26,123.5,639397
1722312000,124.16,125.88,117.65,119.26,1069047
1722398400,124.35,127.65,122,125.9,1898574
1722484800,123.46,124.99,112.84,114.75,1654563
1722571200,110,111.1,104.86,106.56,2051380
1722830400,100.65,108.86,100.31,104.94,1455755
1722916800,105.59,110.4,104.47,106.42,1152327
1723003200,110,110.49,103.29,103.52,1511478
1723089600,108.13,110.28,103.68,109.97,1561705
1723176000,107,109.08,105.5,108.13,830675
1723435200,109.17,111.342,107.83,109.58,566965
1723521600,110.61,116.1,110.035,115.4,1117023
1723608000,116.83,116.83,113.42,113.91,621839
1723694400,117.53,121.8,116.84,120.23,1085500
1723780800,118.51,120.585,118.105,119.09,870269
1724040000,118.86,120.57,116.75,120.38,484425
1724126400,119.08,120.81,115.89,117.07,473481
1724212800,118.52,121.65,117.26,121.02,450689
1724299200,121.41,121.455,116.15,116.87,734056
1724385600,118.54,121.9,118.43,121.68,571771
1724644800,120.78,121.2,117.58,117.97,961721
1724731200,117,119.44,115.715,118.75,432982
1724817600,117.83,118.93,114.4,116.25,590365
1724904000,117.36,121.21,116.81,117.19,525826
1724990400,120.05,120.49,117.49,119.23,768283
1725336000,115.97,115.97,107.01,107.44,1398144
1725422400,106.4,110.5,105.29,108.74,749458
1725508800,107.36,110.61,106.53,108.5,574146
1725595200,108,108.2,104,104.43,1228070
1725854400,106.59,107.41,104.9,105.58,705648
1725940800,107.15,107.15,104.67,105.82,1156596
1726027200,106.94,112.4,105.73,112.14,1387699
1726113600,111.34,111.51,107.37,107.85,712703
1726200000,109.63,112.95,109.325,111.85,636820
1726459200,108.24,109.4,105.86,108.3,772608
1726545600,110.25,110.99,107.95,109.1,630821
1726632000,109.82,112.15,107.4,107.84,591228
1726718400,113,115.58,110.65,114.1,1160769
1726804800,111.83,113.12,109.23,109.88,1660186
1727064000,110.83,111.86,109.17,109.45,446375
1727150400,111,111.49,108.69,109.23,704737
1727236800,108.86,110.13,107.56,108.46,764454
1727323200,113.73,115.61,109.7,113.28,1691966
1727409600,114.12,114.12,109.89,110.31,772394
1727668800,108.91,110.03,106.935,108.71,923091
1727755200,108.9,109.185,104.04,104.52,1087872
1727841600,105.44,107.56,104.255,105.85,707977
1727928000,103.99,106.36,103.92,104.89,686445
1728014400,108.15,108.15,104.82,105.86,517137
1728273600,105.61,107.55,105.26,106.78,844628
1728360000,106.38,107.95,105.3425,107.07,479491
1728446400,107.73,110.01,106.92,108.95,654558
1728532800,106.42,107.829,105.5,107.03,597818
1728619200,106.22,109.8,106.22,109.4,599746
1728878400,109.76,113.35,109.53,112.63,737978
1728964800,112.12,113.24,103.06,103.97,1664278
1729051200,106.2,106.2,103.31,103.48,935664
1729137600,105.52,105.91,102.3,102.54,1021538
1729224000,103.25,104.31,102.21,102.7,683070
1729483200,102.12,102.6,100.37,101.09,586734
1729569600,100.74,100.79,99.35,99.88,897994
1729656000,99.66,100.5099,97.54,98.6,684624
1729742400,99.25,99.84,98,99.38,958545
1729828800,100.91,101.8987,100.14,100.95,908788
1730088000,101.56,103.88,100.945,102.46,1046365
1730174400,102.29,105.63,101.2501,105.35,812503
1730260800,102.4,104.41,102.19,102.32,983076
1730347200,102.48,102.585,98.04,99.33,1228201
1730433600,100.55,102.12,100.1,100.6,739677
1730696400,99.77,101.33,99.45,99.57,561142
1730782800,99.57,101.01,99.16,100.94,820687
1730869200,102.27,104.11,101.87,103.29,930938
1730955600,117.75,117.85,113.06,115.64,1519758
1731042000,115.75,116.82,114.13,116.29,796253
1731301200,115.8,115.93,111.99,114.17,786106
1731387600,113.88,114.9,110.92,112.91,678213
1731474000,112.55,113.18,111.22,111.94,682561
1731560400,113.28,113.845,111.47,112.92,797485
1731646800,110.07,112.13,105.18,105.48,1156980
1731906000,105.23,108.27,104.84,108.1,1160678
1731992400,107.17,108.48,105.92,108.38,821787
1732078800,106.79,108.39,106.205,108.35,833399
1732165200,109.64,114.42,109.14,113.71,834343
1732251600,113.61,114.98,112.61,114.92,652430
1732510800,117.61,118.9248,115.68,116.49,870624
1732597200,116.99,116.99,112.16,113.15,641945
1732683600,113.08,113.43,109.69,112.355,555735
1732856400,113.96,116.46,113.35,113.64,757513
1733115600,113.41,119.37,113.41,117.93,883543
1733202000,115.91,118.36,115.785,116.87,513285
1733288400,118.16,118.425,116.455,116.83,577587
1733374800,116.82,117.45,112.7,113.37,991696
1733461200,113.71,115.58,113.295,114.6,509162
1733720400,113.98,117.4592,113.48,114.35,822867
1733806800,114.8,114.8,109.87,110.91,1093037
1733893200,113.23,114.84,111.87,113.56,601932
1733979600,112.38,114.41,111.63,112.9,420463
1734066000,114.5,115.18,111.945,112.55,578315
1734325200,111.52,113.38,109.52,110.86,987513
1734411600,109.91,112.51,109,109.9,533390
1734498000,111.11,112.71,103.62,104.16,993746
1734584400,104.32,105.85,102.18,102.52,754338
1734670800,101.91,105.62,101.25,103.53,1666971
1734930000,103.9,106.58,103.7,106.24,669499
1735016400,106.63,107.65,105.8104,107.53,249674
1735189200,105.91,108.1,105.91,106.9,375370
1735275600,106.9,107.41,104.64,106.18,820674
1735534800,104.55,104.91,102.28,104.07,694975
1735621200,104.67,106.005,103.64,104.39,325246
1735794000,105.42,107.68,105.2575,106.02,577201
1735880400,106.61,108.795,105.2205,108.295,874418
1736139600,112.02,116.46,111.685,114.59,1202724
1736226000,115.5,116.63,111.96,112.86,809359
1736312400,111.95,112.625,109.14,111.16,568260
1736485200,109.78,110.16,107.195,109.07,682590
1736744400,107.11,109.97,105.335,109.73,590721
1736830800,110.3,111.905,109.13,111.11,617711
1736917200,113.92,115.7,113.01,114.05,734552
1737003600,116.26,120.03,115.61,117.23,626308
1737090000,119.73,120.93,117.38,120.11,1154060
1737435600,120.76,123.65,119.5501,122.24,1067925
1737522000,122.85,125.33,122.55,122.69,996901
1737608400,119.785,121.215,118.255,119.68,869788
1737694800,119.6,119.855,116.82,117.5,637620
1737954000,113.71,118.36,105.03,108.53,1701613
1738040400,108.5,108.79,106.195,107.34,848930
1738126800,108.9,110.23,106.6016,108.45,871751
1738213200,110.09,113.63,109.255,112.98,1162905
1738299600,113.17,117.1,112.77,113.28,1071543
1738558800,109.32,112.8,108.305,111.13,726974
1738645200,111.02,113.82,111.02,111.86,553201
1738731600,111.16,112.71,110.11,111.53,952899
