T,O,H,L,C,V
1713844800,47,48.006,45.6,46.4,7968
1713931200,46.6,55.198,46.4,51.8,33147
1714017600,51.8,51.8,46.6,49.4,17620
1714104000,50,51.622,48.2,48.4,10432
1714363200,48,53.4,47.2,49.2,43289
1714449600,49.6,52,47.108,49.6,9248
1714536000,48.6,54.2,48.276,50,11739
1714622400,50,50.8,48.6,49.2,5123
1714708800,50,50,47.8,48.4,6522
1714968000,48.8,56,48,51.4,37829
1715054400,50.2,50.8,47.6,48.8,10439
1715140800,48.2,49.4,46.8,49,4967
1715227200,48.2,51,47.6,49.6,4449
1715313600,50,50,44.2,45.2,12968
1715572800,46.2,47.3,45,45.4,9489
1715659200,49.2,53,48,49.2,25206
1715745600,48.6,50.4,47.2,49,9246
1715832000,49.4,49.998,47.4,47.4,7672
1715918400,47.6,51,46,48,12392
1716177600,47.6,47.88,46,46,9584
1716264000,46.2,46.4,40,40.8,16321
1716350400,41.8,44.798,38.8,40.2,15855
1716436800,40.6,40.6,36,38,16994
1716523200,38,38.6,36.6,37,5556
1716868800,37,38.8,36.6,38.8,6914
1716955200,38.2,39,37,37.2,4770
1717041600,36.6,37.08,33.4,34.8,11204
1717128000,34.2,36.2,33.8,33.8,5754
1717387200,34.4,34.4,31.2,31.2,7713
1717473600,102,300,92.802,240.2,9290191
1717560000,156.2,190,128.9,139.4,865385
1717646400,109.8,139.8,109,111.8,300897
1717732800,105.2,105.6,80,88.6,131383
1717992000,91,128.998,87.7,88.6,808286
1718078400,87,94.6,77,78.4,85080
1718164800,79,91.2,77.6,87.6,72160
1718251200,86.2,93.8,82.802,89.8,39271
1718337600,89.6,91.8,80.2,80.4,26018
1718596800,82,84.798,69.6,71,45399
1718683200,101,104.2,55.6,81.6,1395842
1718856000,80.4,84.2,72.4,81.4,70069
1718942400,83,83.8,74.8,77.2,34057
1719201600,108,300,103,300,6751760
1719288000,244.8,430.4,221.6,293.8,1826665
1719374400,322.4,351.6,229.4,331.6,709758
1719460800,361.8,509.6,316.6,343.2,1161144
1719547200,350.4,399.8,301.47,326.2,308591
