T,O,H,L,C,V
1713844800,41.48,43.26,41.45,43.25,579345
1713931200,43.6,43.6,41.8,42.43,273377
1714017600,41.68,42.655,41.2,42.25,264856
1714104000,42.37,43.05,42.16,42.49,223585
1714363200,42.82,43.17,40.97,41.77,253278
1714449600,41.25,41.76,40.45,40.91,242628
1714536000,41.11,43.65,41.11,42.84,363653
1714622400,43.19,43.7,42.4,42.57,354695
1714708800,43.51,45.465,43.405,45.26,376063
1714968000,45.31,45.56,44.29,44.52,135711
1715054400,43.81,44.3743,41.67,43.66,302513
1715140800,43.95,43.9999,41.885,42.63,125721
1715227200,42.59,42.95,41.92,41.97,151048
1715313600,42,42,37.83,40.92,548715
1715572800,41.41,42.71,40.675,41.71,356971
1715659200,42,42.7,40.65,40.77,180452
1715745600,41.46,42.31,40.64,40.69,210842
1715832000,40.84,41.33,39.41,40.86,236125
1715918400,40.84,40.84,39.44,39.75,404249
1716177600,39.61,40.09,38.38,38.66,442924
1716264000,38.54,39.73,38.54,39.03,357750
1716350400,39.03,42,39.03,39.91,379059
1716436800,40.22,40.2714,38.77,39.96,297658
1716523200,39.86,40.96,38.57,40.85,424603
1716868800,41.14,41.75,40.0525,41.7,246703
1716955200,41.09,41.27,40.13,41.08,374937
1717041600,41.42,42.26,40.73,41.04,360524
1717128000,41.3,42.41,40.36,40.66,335281
1717387200,41.09,42.69,40.9,41.99,323863
1717473600,42.06,42.32,40.01,40.81,319721
1717560000,40.54,42.92,40.215,42.91,312096
1717646400,43.21,45,42,42.44,545392
1717732800,42.16,42.8,41.62,41.67,181154
1717992000,41.37,42.27,40.71,41.96,185271
1718078400,41.36,44,41.35,43.42,237390
1718164800,44,44.98,42.65,43.3,262919
1718251200,43.62,44.29,42.58,42.71,241997
1718337600,42.3,42.79,41.145,41.41,535496
1718596800,41.12,41.435,39.96,40.17,202025
1718683200,40.21,40.77,39.15,39.49,218753
1718856000,39.3,40.11,39.06,39.49,277967
1718942400,39.82,40.35,38.06,38.43,751116
1719201600,38.5,38.835,37.55,38.71,540687
1719288000,39.43,40.405,38.65,39.7,234119
