T,O,H,L,C,V
1713844800,15.28,16.105,15.12,15.86,2732858
1713931200,15.93,15.93,15.345,15.74,2334055
1714017600,15.62,16.06,15.41,16.03,1869631
1714104000,16.15,16.35,15.88,16,2223403
1714363200,16.27,16.63,16.15,16.42,2475865
1714449600,16,16.085,15.761,16,3064122
1714536000,16.06,16.46,15.705,15.91,2523707
1714622400,16.23,16.29,15.665,15.96,3263258
1714708800,15.96,16.98,15.39,15.41,4722005
1714968000,15.64,16.37,15.55,16.1,3470574
1715054400,16.1,16.45,15.99,16.2,2691205
1715140800,15.9,15.9,15.59,15.64,2178700
1715227200,15.72,16.38,15.59,16.32,2303643
1715313600,16.46,16.53,16,16.13,3927987
1715572800,16.23,17.23,16.23,16.35,3544240
1715659200,17.01,18.48,16.76,18.42,7338383
1715745600,18.85,19.23,17.7803,17.93,5285242
1715832000,17.99,18.2667,17.74,18.08,3176976
1715918400,18.25,18.725,18.08,18.25,3116945
1716177600,18.2,18.49,17.8,18.02,3982283
1716264000,17.82,17.96,17.462,17.67,2204835
1716350400,17.67,18.15,17.44,17.54,2594894
1716436800,17.46,17.54,16.7101,16.88,2974567
1716523200,16.98,17.2005,16.87,17.14,1340085
1716868800,17.41,17.44,16.52,16.7,2559208
1716955200,16.26,16.38,15.6625,15.77,3277015
1717041600,15.82,16.235,15.75,15.97,2039444
1717128000,16.1,16.26,15.865,16.22,2404753
1717387200,16.48,16.56,15.92,16.13,2112139
1717473600,15.85,15.945,15.32,15.41,3034952
1717560000,15.42,15.57,15.2,15.43,1997908
1717646400,15.32,15.52,15.05,15.25,1853679
1717732800,15,15.0281,14.66,14.84,2631657
1717992000,14.73,15.125,14.55,14.99,2136180
1718078400,14.73,14.82,14.37,14.49,3053825
1718164800,15.08,15.43,14.58,14.64,2140495
1718251200,14.59,14.68,13.955,14.07,3156863
1718337600,14,14.16,13.62,13.64,3291412
1718596800,13.42,13.54,12.9425,13.33,4035653
1718683200,13.28,13.48,13.17,13.4,3356871
1718856000,13.47,13.69,13.34,13.67,3307448
1718942400,13.54,13.755,13.2201,13.68,7092780
1719201600,13.71,13.81,13.26,13.39,3039540
1719288000,13.29,13.345,12.27,12.28,6088412
1719374400,12.17,12.67,12.09,12.59,3858700
1719460800,12.54,12.94,12.35,12.85,2781960
1719547200,13.03,13.18,12.69,12.73,4165392
1719806400,13.25,13.337,12.68,12.8,4093815
1719892800,12.8,13.8,12.79,13.74,4159198
1719979200,13.99,14.3,13.77,14.16,2538599
1720152000,14.24,14.29,13.85,14.07,1971715
1720411200,14.15,14.37,13.9,14.22,2018808
1720497600,14.18,14.3251,13.95,14.24,1676012
1720584000,14.31,14.44,14.13,14.33,1763853
1720670400,14.71,14.935,14.6,14.88,2510469
1720756800,15.05,15.63,15.01,15.62,2828844
1721016000,15.32,15.53,14.98,15.3,3286588
1721102400,15.31,15.35,14.94,15.28,1431128
1721188800,15.16,15.44,14.73,15.11,2189730
1721275200,15.04,15.1492,14.35,14.47,2042820
1721361600,14.26,14.33,14.02,14.29,1932340
1721620800,14.37,14.49,13.82,14.24,2694140
1721707200,14.04,14.19,13.92,14.1,1509510
1721793600,14.14,14.41,13.7,13.73,1986873
1721880000,13.48,14.02,13.405,13.8,2021779
1721966400,14.09,14.145,13.755,13.9,1403117
1722225600,13.78,13.865,13.26,13.43,1579428
1722312000,13.35,13.495,13.125,13.18,1422449
1722398400,13.43,14.02,13.22,13.52,2251369
1722484800,13.43,13.48,12.44,12.68,3655441
1722571200,12.32,12.33,10.94,11.17,8501127
1722830400,10.185,10.76,10.02,10.52,6829938
1722916800,10.53,11.18,10.37,10.98,4717970
1723003200,11.24,11.24,10.361,10.49,4200889
1723089600,10.69,11.145,10.68,10.97,2782537
1723176000,11.41,11.45,11.07,11.14,2872071
1723435200,11.24,11.31,11.09,11.14,2707505
1723521600,11.22,11.53,11.08,11.44,1912427
1723608000,11.61,11.685,11.27,11.6,2504822
1723694400,11.97,12.36,11.87,12.35,2663030
1723780800,12.29,12.42,11.89,11.89,1700235
1724040000,12,12.515,11.95,12.47,1960404
1724126400,12.45,12.6605,12.21,12.31,1653406
1724212800,12.59,13.21,12.56,13.18,2654176
1724299200,13.05,13.12,12.455,12.48,1955190
1724385600,12.58,13.025,12.5401,12.95,2032340
1724644800,13.12,13.15,12.72,12.9,1996042
1724731200,12.78,12.91,12.62,12.8,1565629
1724817600,12.58,12.67,12.315,12.5,2005358
1724904000,12.76,13.06,12.4898,12.9,1821596
1724990400,13.02,13.14,12.67,12.9,2924962
1725336000,12.79,13,12.39,12.96,3586404
1725422400,13.01,14.2075,12.95,13.97,4766088
1725508800,14.03,14.33,13.65,13.69,2679213
1725595200,13.88,14.5,13.65,13.91,3326153
1725854400,14.12,14.2688,13.405,13.59,3627203
1725940800,13.53,13.98,13.205,13.86,2549403
1726027200,13.9,14.11,13.5605,13.84,2989973
1726113600,13.94,14.04,13.4,13.79,2690236
1726200000,13.88,14.1282,13.67,13.8,2457159
1726459200,13.7,14.17,13.59,14.01,1940437
1726545600,14.13,14.4263,13.925,14.21,2563098
1726632000,14.31,14.725,14.085,14.12,2927214
1726718400,14.78,14.78,14.2,14.2,2754026
1726804800,14.15,14.18,13.45,13.89,26011214
1727064000,13.94,14.345,13.81,14.23,3417600
1727150400,14.99,16.215,14.82,16,8498396
1727236800,15.96,16.505,15.88,16.16,5652521
1727323200,16.8,17.08,16.28,16.9,3962800
1727409600,17.29,18.42,17.21,18.39,5510380
1727668800,18.12,18.4901,17.59,17.65,5313781
1727755200,17.71,17.98,17.17,17.54,2826569
1727841600,17.56,17.7,16.675,16.96,3455529
1727928000,16.59,17.34,16.49,16.96,3000774
1728014400,17.32,17.845,17.08,17.38,2314307
1728273600,17.3,17.95,17.228,17.84,2687638
1728360000,17.1,17.45,16.84,17,3182874
1728446400,16.98,17.21,16.62,17.15,2572633
1728532800,17.05,17.5,16.92,17.37,1390719
1728619200,17.24,18.03,17.24,17.81,1942186
1728878400,17.52,17.85,17.39,17.76,1426572
1728964800,17.53,17.845,17.4,17.7,1440241
1729051200,18.19,19.075,18.17,19,3484240
1729137600,18.79,18.995,18.24,18.29,2875092
1729224000,18.49,18.78,18.385,18.58,2168072
1729483200,18.46,18.53,17.735,18.08,1788119
1729569600,18.24,18.435,17.9,18.3,1581931
1729656000,18.04,18.08,17.65,17.87,1992427
1729742400,17.95,18.7,17.75,18.55,2104476
1729828800,18.67,18.7746,18.47,18.64,1541894
1730088000,18.69,19.43,18.55,18.88,2689536
1730174400,18.96,19.2,18.88,18.99,1349947
1730260800,18.85,19.29,18.74,18.74,2177471
1730347200,18.55,18.56,17.79,17.99,2150255
1730433600,18.2,18.42,18.015,18.23,1817985
1730696400,18.34,18.65,17.995,18.25,2070658
1730782800,18.25,18.94,18.05,18.61,2379425
1730869200,19.54,19.87,19,19.68,4788578
1730955600,19.7,20.045,19.38,19.98,3189354
1731042000,19.8,19.82,18.87,19.5,3124994
1731301200,19.6,20.58,19.38,20.41,2529058
1731387600,20.09,20.3825,19.57,19.85,2040240
1731474000,20,20.1,18.75,19.12,3518606
1731560400,19.09,19.28,18.425,18.57,2678496
1731646800,18.73,18.73,18.02,18.28,2118953
1731906000,18.15,18.68,18,18.35,1828315
1731992400,18.31,18.325,17.65,18.02,1730509
1732078800,17.89,18.3178,17.68,18.23,1225378
1732165200,18.18,19.12,18.01,18.73,1592199
1732251600,18.72,19.87,18.53,19.64,2339902
1732510800,19.88,21.04,19.88,20.84,2727294
1732597200,20.5,20.66,19.97,20.25,3269699
1732683600,20.7,21.26,20.56,20.84,2007349
1732856400,20.98,21.7,20.945,21.07,1079768
1733115600,21.11,21.11,20.285,20.81,2891346
1733202000,23.07,24.01,22.5028,23.11,12832531
1733288400,23.21,23.6,20.61,21.13,6454371
1733374800,20.88,21.055,20,20.01,3536420
1733461200,20.34,20.47,19.54,19.72,2118943
1733720400,20.37,21.13,20.15,20.52,3029965
1733806800,20.25,20.25,19.38,19.54,4162840
1733893200,19.69,19.798,19.01,19.45,1981053
1733979600,19.25,19.73,18.9,19.6,2127127
1734066000,19.28,19.4,18.85,19.37,2252623
1734325200,19.08,19.21,18.58,18.79,2407706
1734411600,18.58,18.8,18.18,18.37,2567267
1734498000,18.2,18.36,16.54,16.73,3143050
1734584400,16.95,17.2,15.97,16.18,4543664
1734670800,16.03,16.26,15.71,15.84,4509656
1734930000,15.82,16.38,15.68,16.29,2650489
1735016400,16.42,16.56,16.25,16.54,857892
1735189200,16.5,16.95,16.3,16.84,2046757
1735275600,16.71,16.9899,16.335,16.46,1529411
1735534800,16.27,16.27,15.78,15.98,2327772
1735621200,16.01,16.18,15.5602,15.6,2305386
1735794000,15.85,16.525,15.77,16.39,3008880
1735880400,16.55,18.37,16.51,18.2,4892111
1736139600,19.25,21.14,18.8,20.46,10553784
1736226000,20.72,21.13,20.3,20.58,2844202
1736312400,20.27,20.27,18.89,19.38,2665313
1736485200,19.5,20.06,19.2,19.75,2089649
1736744400,19.43,19.7,19.2,19.53,2174093
1736830800,19.84,20.1,19.23,19.39,1283427
1736917200,20.25,21.28,19.95,20.61,3114555
1737003600,20.23,21.385,19.9319,21.17,2535231
1737090000,21.44,21.52,20.898,20.94,1978438
1737435600,21.2,21.35,19.72,20.87,2999915
1737522000,21.5,21.8995,21.03,21.08,2351459
1737608400,21.01,21.55,20.7501,21.41,1461512
1737694800,21.81,22.12,21.45,21.57,3716812
1737954000,20.84,21.7095,20.79,21.52,2316958
1738040400,21.58,21.705,20.61,20.82,1541397
1738126800,20.87,21.1423,20.53,20.68,1501695
1738213200,21.13,21.9337,20.93,21.74,2102223
1738299600,21.76,22.28,21.6,21.96,2844863
1738558800,22.35,23.67,21.81,22.23,5228158
1738645200,22.63,24.78,22.63,24.47,8831326
1738731600,24.47,24.535,23.1217,23.56,4570260
1738818000,24.2,24.8,23.675,24.11,4407643
1738904400,24,24.13,23.37,23.94,3882372
1739163600,24.125,26,23.91,25.52,6625344
1739250000,25,25.1377,24.42,24.69,3215579
1739336400,24.335,24.7,23.88,24.15,2408480
1739422800,24.37,24.5899,23.66,24.38,2374666
1739509200,24.68,24.6899,23.5146,23.72,1741897
1739854800,23.82,24.2583,23.44,23.45,2241466
1739941200,23.25,23.51,22.595,22.99,2746899
1740027600,22.98,23.38,22.6,23.18,1919333
1740114000,24.57,24.7,23.48,24.3,4661664
1740373200,24.44,24.84,23.5404,24.27,3105937
1740459600,24.19,24.23,22.82,23.56,3075875
1740546000,24.11,25.35,23.77,23.77,3117675
1740632400,23.87,24.5,23.3,23.46,2036675
1740718800,23.11,24.1,22.82,24.01,2579125
