T,O,H,L,C,V
1713844800,104.46,108.21,103.48,107.89,2435253
1713931200,111.05,111.29,106.64,108.85,3410216
1714017600,107.43,108.23,103.52,106.18,2798459
1714104000,106.18,108.19,105.25,107.97,2247093
1714363200,108.78,112.33,108.72,111.62,2610736
1714449600,110.5,113.21,109.55,110.31,3211988
1714536000,111.11,113.73,109,111.46,3842952
1714622400,114.86,128.81,114.06,125.59,11973082
1714708800,125,126.4,122.01,125,4513133
1714968000,125,125.15,118.75,122.13,3953207
1715054400,122.86,123.5,118.68,121.07,2894011
1715140800,120,122.825,119.5,121.89,2507503
1715227200,123.15,125.5,121.68,122.69,3367379
1715313600,120.75,124.9,116.7317,117.31,4238508
1715572800,119.47,126.88,119.03,125.67,4095239
1715659200,127,129.9399,126.3385,128.32,3625381
1715745600,127.49,129.2,124.98,129.06,2964702
1715832000,129.76,133.04,127.8302,132.68,3008046
1715918400,132.52,134.6,129.67,132.9,2718168
1716177600,132.98,142.79,131.72,141.01,4710331
1716264000,139.47,143.87,138.1037,143.69,3375932
1716350400,142.9,164.88,142.81,163.33,13592711
1716436800,160,165.14,157.46,164.01,7120701
1716523200,163.675,170.47,162,166.61,5052591
1716868800,161.64,164.725,148.5001,153.2,6636483
1716955200,150,150,140.23,147.92,5505891
1717041600,150.35,152.79,143.5201,151.49,4667767
1717128000,152.1,158.129,140.7401,142.55,7180988
1717387200,139.75,150.8,137.52,147.82,4941455
1717473600,147.66,147.66,141.3,145.34,3043610
1717560000,146.75,155.39,145.035,154.84,4046256
1717646400,157.95,158.82,152.39,154.69,3373486
1717732800,152.79,153.56,149.13,151.01,2521599
1717992000,151.5,152.28,143.77,148.59,5969563
1718078400,148.3,150.65,146.95,148.39,1924981
1718164800,150,150.74,142.27,147.72,3486003
1718251200,147,148.8401,144.87,145.23,1815199
1718337600,142.67,145.735,138.17,140.03,3601293
1718596800,138.16,139.92,135.27,137.9,3384208
1718683200,136.58,137.27,131.52,133.27,3970223
1718856000,132.54,136.7,130.5,134.4,3547077
1718942400,136,136.36,132.1554,133.4,5225264
1719201600,134.57,137.57,133.17,137,3443046
1719288000,136,138.07,134.73,137.6,3387262
1719374400,135.17,135.37,122.12,122.45,7721615
1719460800,121.9,122.2799,118.52,121.18,4804225
1719547200,122.59,123.2499,118.03,118.75,3976313
1719806400,117.05,123.74,115.1401,115.95,3724162
1719892800,117.34,119.14,114.02,117.07,3425779
1719979200,118.74,119.39,115.3,115.95,1853449
1720152000,117.3,118.88,115.7,118.32,3037733
1720411200,118.41,119.3,115.56,116.45,2195485
1720497600,116.71,118.84,115.4,116.07,2512265
1720584000,116.1,120.378,115.29,117.44,2820093
1720670400,120.03,124.19,119.39,122.82,4164814
1720756800,123.68,129.39,121.01,121.46,4526238
1721016000,121.1,121.94,116,121.48,2682201
1721102400,122.76,127.2,120.79,125.14,3008616
1721188800,123.12,125.32,120.11,124.055,2851241
1721275200,124.1,126.4199,121,121.32,2018271
1721361600,121.01,121.9799,118.8,121.14,2206322
1721620800,122.52,124.055,120.44,122.5,1810914
1721707200,121.84,123.5,120.22,121.25,1752981
1721793600,119.81,120.04,115.47,118.19,3304062
1721880000,117.78,122.3999,116.58,120.4,2638674
1721966400,121.83,122.34,119.43,122.11,1887492
1722225600,122.55,122.85,119.76,122.17,2092361
1722312000,123.57,125.68,118.5,118.84,2673653
1722398400,120.53,122.45,118.1,119.22,3118385
1722484800,99.58,102.9,93.6,94.17,18591903
1722571200,91.17,91.68,84.43,86.58,10332912
1722830400,80.37,85.86,78.07,83.75,8063284
1722916800,84.92,85.57,80.17,82.3,5194413
1723003200,84.08,85.75,80.34,81.55,4319759
1723089600,82.5,85.4,82.07,84.32,3539750
1723176000,84.39,85.2,82.59,84.93,2388129
1723435200,85,85,80.7806,81.29,3065286
1723521600,81.43,83.04,80.58,82.9,2932534
1723608000,82.75,83.52,81.35,82.25,2638057
1723694400,83.65,87.88,83.56,86.62,3971523
1723780800,88,88.78,86.24,86.84,3399329
1724040000,87.02,91.99,86.62,89.96,4136182
1724126400,89.24,89.8,86.91,86.94,2706106
1724212800,87.73,88.59,85.88,86.65,3150518
1724299200,86.16,86.8,80.76,81.04,5345361
1724385600,82.35,84.28,81.25,82.44,4225200
1724644800,82.63,83.6738,81.25,81.66,2303483
1724731200,81.59,81.61,78.4,78.98,3640200
1724817600,79.95,80.56,78.2,78.36,3023969
1724904000,78.78,79.6,77.46,77.59,3307807
1724990400,78.48,78.52,76.06,77.4,3591705
1725336000,77.55,77.75,72.54,72.94,5184974
1725422400,72.4,74.43,71.62,72.49,4233103
1725508800,72.78,73.6,71.51,73.44,2541798
1725595200,73.44,73.6,71.65,72.89,3425366
1725854400,73.48,78.8,73.26,76.61,5321193
1725940800,76.12,79.9587,75.95,79.28,3661685
1726027200,79.05,79.88,77.4401,79.51,3336687
1726113600,67.89,70.85,64.1101,69.68,23990268
1726200000,66.17,68.58,65.5501,68.28,11969001
1726459200,68.12,70.6,67.81,69.17,4875018
1726545600,70.11,75.3714,69.79,71.99,7183216
1726632000,72.19,73.35,69.82,69.86,4278359
1726718400,71.85,71.97,67.91,68.02,5065447
1726804800,67.6,67.9099,64.7,65.69,12421450
1727064000,66.05,66.05,64.1,64.14,5917943
1727150400,64.8,65.25,63.88,63.94,5167005
1727236800,63.95,64.86,63.51,63.64,4524356
1727323200,64.8,65.0699,63.37,63.93,4467691
1727409600,64.85,66.88,64.2504,65.75,4738605
1727668800,65.69,67.9598,65.31,66.83,4811083
1727755200,67.13,67.5499,63.41,63.93,4643634
1727841600,63.52,63.69,62.58,63.16,4107363
1727928000,62.53,62.97,61.03,61.07,4711853
1728014400,61.51,62.11,59.62,60.2,6218154
1728273600,60.2,60.65,58.33,58.72,5021356
1728360000,58.53,58.67,57.75,58.39,3827988
1728446400,58.33,59.52,57.901,58.86,2974681
1728532800,58.41,58.7,56.64,56.83,4414955
1728619200,56.71,59.7342,55.7,58.29,6252592
1728878400,57.9,58.96,57.05,57.73,3361308
1728964800,57.64,58.62,57.1201,57.31,4087301
1729051200,57.82,58.45,57.12,57.46,3258207
1729137600,57.08,57.145,54.82,54.82,5423743
1729224000,54.535,55.1,53.55,54.1,6754694
1729483200,53.82,54.76,53.05,53.8,4092122
1729569600,53.67,54.7893,52.81,53.4,3559675
1729656000,53.22,54.74,52.77,53.39,4288942
1729742400,53.39,53.836,52.26,52.8,3767076
