T,O,H,L,C,V
1714017600,19.5,19.75,18.8,18.99,7269152
1714104000,19.05,19.29,18.75,19,1387005
1714363200,19.27,19.4,18.91,19.34,580026
1714449600,19.07,19.48,19.07,19.26,198238
1714536000,19.36,19.36,18.67,19,537009
1714622400,18.91,19.03,18.71,18.85,487315
1714708800,18.85,19.295,18.5,18.93,525208
1714968000,19.23,19.33,18.96,19.15,375606
1715054400,19.24,19.29,19.01,19.17,362950
1715140800,19.01,19.28,19,19,426780
1715227200,19,19.2,19,19,208315
1715313600,19,19.07,19,19.04,201525
1715572800,19,19.2,19,19.14,134559
1715659200,19,19.54,19,19.51,129761
1715745600,19.6,20.15,19.29,19.35,402705
1715832000,19.43,20.5377,19,19,215341
1715918400,19.1,19.57,19,19.08,127777
1716177600,19.5,20.08,19.16,19.83,556673
1716264000,20.48,21.07,19.87,20.82,547882
1716350400,20.82,21.8,20.82,21.66,961256
1716436800,22.38,22.38,20.26,20.55,428966
1716523200,20.41,21.34,20.41,20.5,158076
1716868800,21.18,23.065,20.95,23,609318
1716955200,23.29,23.45,21.76,21.99,337780
1717041600,22.27,22.27,21.5,21.5,165820
1717128000,21.79,22.13,20.16,20.22,309811
1717387200,20.63,20.6663,19.495,19.62,472673
1717473600,19.61,20.9,18.62,18.71,465551
1717560000,18.73,20.25,18.13,20.09,607313
1717646400,20.09,20.66,19.71,20.01,169005
1717732800,20.01,20.13,19.46,20.01,134231
1717992000,19.89,20.15,19.1,19.36,336181
1718078400,19.32,19.5,18.8,19.4,324821
1718164800,19.4,19.64,18.8,19.25,440332
1718251200,19.25,19.505,18.99,19.41,249772
1718337600,19.1,19.2204,18.6001,19.09,105640
1718596800,18.85,19.24,18.7101,19.19,57081
1718683200,19.03,19.6,18.98,19.4,95005
1718856000,19.5,19.54,19.13,19.5,117658
1718942400,19.5,19.525,19.12,19.47,107581
1719201600,19.09,19.74,19.09,19.37,100740
1719288000,19.46,19.5,18.75,19.05,336737
1719374400,19,19.33,18.85,19.25,148090
1719460800,19.28,19.58,19.06,19.5,186409
1719547200,19.52,20.54,19.5,20,462903
1719806400,19.89,19.89,18.65,19.43,375424
1719892800,19.51,19.51,19.14,19.21,45967
1719979200,19.22,19.34,18.985,19.22,39044
1720152000,19.32,19.58,19.05,19.33,126264
1720411200,19.62,19.62,18.985,19.02,163802
1720497600,19.02,19.33,18.92,19.25,228754
1720584000,19.34,19.88,19.11,19.79,139883
1720670400,19.5,20.1,19.3,19.49,165824
1720756800,19.64,19.94,19.25,19.76,72500
1721016000,19.51,20.35,19.37,20.26,106723
1721102400,20.39,21,20.015,21,192910
1721188800,20.91,21.5,20.765,20.99,206942
1721275200,21,21.16,20.63,20.83,72259
1721361600,20.92,20.99,20.65,20.67,44433
1721620800,20.54,21.47,20.54,21.27,64311
1721707200,21.34,21.5,20.72,21.15,110020
1721793600,21.16,21.5,20.72,21.07,84133
1721880000,21.18,21.46,20.87,21.1,66470
1721966400,21.22,21.99,20.675,21.8,182887
1722225600,21.9,21.92,21.12,21.65,48713
1722312000,21.19,22.24,21.08,21.71,186290
