T,O,H,L,C,V
1713844800,131.1,139.4451,129.889,133.864,10478460
1713931200,132.701,134.5,126,126.567,9511860
1714017600,122.6,126.772,120.114,124.041,7734030
1714104000,122.5,128.597,120.401,128.238,8814620
1714363200,125,130.8416,122.842,129.297,10130730
1714449600,119.901,121.542,106.317,106.503,24936030
1714536000,101.553,110.9325,101,102.827,19248840
1714622400,105.5,114.2302,104.1762,112.942,15402250
1714708800,120.101,124.2,117.282,122.301,15609620
1714968000,127.385,133.9,126.01,126.881,13870320
1715054400,127.82,131.9,125.13,125.745,9967680
1715140800,119.839,125.9898,119,123.312,8590160
1715227200,123,130.3,120.099,126.364,10533700
1715313600,128.999,130.199,117.853,118.048,14038440
1715572800,121.794,126.4151,120.3,124.596,8757250
1715659200,122.648,129.869,122.648,129.763,9267860
1715745600,137.96,152.034,135.109,150.347,20586430
1715832000,149.41,151.89,143.545,143.998,13655550
1715918400,150.098,158.5,146.9,158.45,16529320
1716177600,159.7,172.896,155.142,172.724,16716970
1716264000,173,174,164.5,165.542,12977510
1716350400,166.3,171.8,162.015,164.7,10339300
1716436800,166.921,167,153.0326,154.407,11588110
1716523200,154,168.4995,152.8,168.484,12068560
1716868800,165,169.155,161.002,167.535,10799360
1716955200,165,165.907,161.118,161.87,7344250
1717041600,165.3,171.499,153.1955,154.1,14776450
1717128000,159.7,161.482,144.2,152.449,22153560
1717387200,160.1,165.6,156.0417,162.741,11222360
1717473600,161.742,169.7,161.5,163.877,13229510
1717560000,167.5,171.784,163.624,169.469,10955850
1717646400,169.859,173.4698,164.705,165.663,11622910
1717732800,167.102,171.77,158.5,159.62,12626880
1717992000,157.501,164.776,156.029,159.992,7264600
1718078400,154.2,156.415,148.66,155.549,11411820
1718164800,162,169.271,159.1765,160.367,13636250
1718251200,156.33,157.376,144.101,148.388,20202800
1718337600,150.5,153.8,146.151,149.554,13790090
1718596800,149.98,156.901,142.1169,150.726,12076360
1718683200,145.793,151.095,144.6,146.943,8933680
1718856000,148.211,150.559,142.206,146.54,9097600
1718942400,142,149.105,140.902,148.376,11494630
1719201600,139.8,144.89,132.5541,137.215,16080740
1719288000,141.377,149.9,139.3391,149.574,13627970
1719374400,147.229,150.5015,144.5,145.773,7501750
1719460800,148.5,153.9,146.35,152.54,9307670
1719547200,151.642,151.9,136.702,137.748,34113490
1719806400,141,143.595,136.308,136.597,14129320
1719892800,136.551,138.4405,130.657,132.019,9229110
1719979200,129.8,132.8,127.3471,130.209,6659400
1720152000,121.55,129.917,120.232,128.172,15029080
1720411200,131.453,132.5,125.8782,129.058,8736390
1720497600,131.388,132,127.8085,130.177,8968510
1720584000,131.97,134.5,129.6,130.572,6387290
1720670400,139.6,143.2,132.9235,135.856,13548930
1720756800,133.92,143.5404,132.419,139.676,10640830
1721016000,152.4,163.9,149.2425,161.128,24645830
1721102400,161.5,167.5784,157.6395,166.43,15809620
1721188800,161.1,167.408,153,159,17211670
1721275200,163.39,163.7,151.625,155.516,10236330
1721361600,157.34,178.5,156.5,177.85,20458260
1721620800,178.402,181.0662,173.613,180.009,15391120
1721707200,176.399,179.8,171.502,172.177,10246610
1721793600,175,176.952,166.702,167.269,13744270
1721880000,161.65,167.7855,150.766,160.647,14772330
1721966400,170,177.697,168.601,175.271,14137670
1722225600,181.999,183.7,167.1275,168.485,12801620
1722312000,168.799,169.5,159.249,160.407,9154800
1722398400,164.603,168.5,160.8552,161.444,7533810
1722484800,161.5,163.436,148.202,151.181,11930000
1722571200,148.581,159.14,141.71,144.799,14126190
1722830400,105.165,135.427,102.402,130.9,22677550
1722916800,132.6,139.494,126.218,136.921,12260230
1723003200,140.878,142.158,124.013,124.685,10933850
1723089600,130.23,136.76,128.06,135.99,10378305
1723176000,135.89,136.685,129.55,135.37,7330433
1723435200,133.49,139.2129,129.22,131.46,6932336
1723521600,132.28,140,130.26,135.38,8123111
1723608000,136.37,137.4,129.33,130.37,8535928
1723694400,132.7,139,130.73,131.93,10856852
1723780800,133.25,136.32,126.59,133.04,11360411
1724040000,133.7,137.44,131.16,135.35,6595737
1724126400,139.735,141.36,130.63,133.69,11274578
1724212800,134.34,142.58,132.87,141.42,11774541
1724299200,141.39,141.78,133.69,133.81,7963436
1724385600,137.4,151.81,135.51,150.01,17791304
1724644800,148.12,152.35,146.6,146.9,10418753
1724731200,144.48,145.238,138.19,140.01,10943128
1724817600,138.16,138.4,130.73,132.09,8860102
1724904000,137,139.43,131,132.56,8431380
1724990400,134,135.2499,128.3,132.42,7802999
1725336000,132,132.73,122.19,122.32,8058810
1725422400,120.25,125.98,117.9401,124.85,8191094
1725508800,122.35,126.83,119.43,119.57,6066645
