T,O,H,L,C,V
1713844800,4.41,4.48,4.36,4.48,35084
1713931200,4.47,4.47,4.33,4.4,21956
1714017600,4.45,4.45,4.37,4.44,275330
1714104000,4.605,4.65,4.59,4.59,26728
1714363200,4.8,4.84,4.8,4.83,54190
1714449600,5.04,5.04,4.7408,4.84,43445
1714536000,4.85,4.95,4.77,4.77,13023
1714622400,4.94,4.99,4.86,4.95,15101
1714708800,5.06,5.2,5,5.09,22024
1714968000,5.11,5.11,5.02,5.09,22111
1715054400,5.082,5.11,5.025,5.07,30146
1715140800,5.05,5.05,5.023,5.035,12447
1715227200,5.01,5.13,5.01,5.13,6768
1715313600,5.06,5.2,5.06,5.17,178178
1715572800,5.15,5.15,5.02,5.064,10510
1715659200,4.76,4.76,4.665,4.69,8155
1715745600,4.75,4.794,4.72,4.775,14034
1715832000,4.75,4.75,4.58,4.62,18812
1715918400,4.7104,4.76,4.6808,4.69,16706
1716177600,4.66,4.7,4.6307,4.6307,5525
1716264000,4.8,4.88,4.77,4.88,67817
1716350400,4.79,4.9,4.79,4.8285,12577
1716436800,4.66,4.71,4.62,4.71,9467
1716523200,4.77,4.795,4.764,4.764,5341
1716868800,4.73,4.74,4.63,4.64,16992
1716955200,4.66,4.66,4.56,4.63,21612
1717041600,4.65,4.73,4.5,4.51,61232
1717128000,4.5,4.5,4.34,4.39,65143
1717387200,4.535,4.6,4.49,4.6,10846
1717473600,4.51,4.51,4.36,4.43,51228
1717560000,4.5,4.5,4.3317,4.36,47538
1717646400,4.335,4.45,4.335,4.44,32359
1717732800,4.32,4.3725,4.3,4.34,11541
1717992000,4.34,4.38,4.29,4.3,24866
1718078400,4.33,4.39,4.28,4.33,32944
1718164800,4.445,4.5355,4.4,4.432,21310
1718251200,4.3,4.326,4.28,4.28,30556
1718337600,4.38,4.5396,4.38,4.5,9016
1718596800,4.48,4.652,4.48,4.55,34314
1718683200,4.7,4.8,4.67,4.77,33931
1718856000,4.62,4.7965,4.62,4.75,25615
1718942400,4.82,4.8455,4.71,4.71,10857
1719201600,4.58,4.73,4.58,4.67,11217
1719288000,4.66,4.74,4.61,4.61,194708
1719374400,4.515,4.5775,4.51,4.51,2841
1719460800,4.445,4.52,4.43,4.48,15136
1719547200,4.705,4.78,4.7,4.72,170893
1719806400,4.835,4.835,4.7,4.7,5653
1719892800,4.505,4.5375,4.42,4.44,8290
1719979200,4.599,4.6,4.561,4.564,5373
1720152000,4.51,4.68,4.51,4.5408,26367
1720411200,4.54,4.584,4.5,4.57,7254
1720497600,4.64,4.64,4.51,4.51,18609
1720584000,4.68,4.68,4.54,4.54,15623
1720670400,4.55,4.67,4.55,4.56,16384
1720756800,4.64,4.65,4.56,4.61,36292
1721016000,4.48,4.48,4.25,4.46,29730
1721102400,4.37,4.4155,4.36,4.41,20278
1721188800,4.29,4.29,4.2,4.215,14662
1721275200,4.12,4.15,4.0598,4.102,27998
1721361600,4.1104,4.15,4.1104,4.12,10951
1721620800,4.12,4.14,4.1,4.11,19726
1721707200,4.08,4.22,4.08,4.22,40590
1721793600,4.245,4.245,4.1584,4.1584,34556
1721880000,4.1108,4.28,4.1108,4.28,183019
1721966400,4.26,4.2993,4.22,4.2245,26081
1722225600,4.136,4.19,4.11,4.155,18141
1722312000,4.18,4.2592,4.18,4.2205,22883
1722398400,4.32,4.38,4.2611,4.35,61757
1722484800,4.26,4.292,4.17,4.17,8680
1722571200,4.27,4.27,4.1,4.115,35791
1722916800,4.0486,4.1,3.93,3.95,57680
1723003200,4.1,4.181,3.99,4.026,25650
1723089600,4.39,4.57,4.35,4.48,59325
1723176000,4.59,4.68,4.51,4.52,30847
1723435200,4.38,4.61,4.38,4.61,9595
1723521600,4.6255,4.647,4.58,4.647,5389
1723608000,4.7,4.73,4.6905,4.716,3316
1723694400,4.7701,4.82,4.77,4.805,14662
1723780800,4.86,5,4.86,4.99,16655
1724040000,4.99,5.1,4.99,5.08,14702
1724126400,5.1,5.1,4.99,5.06,16192
1724212800,5.035,5.08,5.005,5.01,3612
1724385600,5.27,5.44,5.24,5.4,9404
1724644800,5.49,5.49,5.4113,5.44,9342
1724731200,5.31,5.44,5.31,5.41,5222
1724817600,5.22,5.271,5.19,5.24,2557
1724904000,5.29,5.29,5.16,5.2,4325
1724990400,4.964,5.01,4.93,4.98,9631
1725336000,4.835,4.835,4.773,4.8,22505
1725422400,4.97,5.03,4.88,4.96,40655
1725508800,5.13,5.228,5.126,5.1555,11013
1725595200,5.27,5.27,5.15,5.27,12011
1725854400,5.1425,5.21,5.11,5.11,10017
1725940800,5.164,5.1895,5.11,5.1895,5717
1726027200,5.165,5.25,5.14,5.23,6854
1726113600,5.25,5.25,5.19,5.2495,5713
1726200000,5.25,5.285,5.25,5.285,1212
1726459200,5.27,5.3155,5.23,5.2409,3277
1726545600,5.4,5.4,5.348,5.348,3522
1726632000,5.37,5.452,5.35,5.452,2673
1726718400,5.465,5.486,5.45,5.462,2897
1726804800,5.475,5.495,5.446,5.4805,3106
1727064000,5.5,5.55,5.46,5.46,6141
1727150400,5.564,5.804,5.5,5.804,4995
1727236800,5.63,5.63,5.4725,5.515,19707
1727323200,5.51,5.61,5.5,5.61,2190
1727409600,5.65,5.65,5.4911,5.57,1888
1727668800,5.29,5.38,5.29,5.328,10707
1727755200,5.31,5.31,5.14,5.14,4500
1727841600,5.06,5.1475,5.06,5.105,34339
1727928000,5.06,5.11,5.056,5.11,4221
1728014400,4.925,4.94,4.8945,4.905,8830
1728273600,4.83,4.9275,4.83,4.908,3411
1728446400,4.9,4.9,4.8335,4.8825,19759
1728532800,4.925,4.99,4.894,4.91,7594
1728619200,4.91,5.09,4.91,5.0036,14430
1728878400,5,5,5,5,10406
1728964800,4.93,4.955,4.91,4.91,17919
