T,O,H,L,C,V
1713844800,109.71,112.89,108.91,112.46,17817455
1713931200,112.72,113.95,109.23,111.78,20505925
1714017600,109.3728,113.0595,108.07,111.58,18342804
1714104000,112,115.06,111.6,114.84,20630671
1714363200,113.81,114.75,112.11,114.36,14419102
1714449600,114.18,116.28,112.93,112.96,14845577
1714536000,110.52,113.73,108.75,109.7,16686150
1714622400,111.74,112.41,109.43,112.33,15430851
1714708800,115.03,115.48,113.45,114.7,15564363
1714968000,119.78,121.3699,118.02,120.13,22538716
1715054400,120.15,121.41,119.18,119.21,12508334
1715140800,118.302,120.47,118.22,119.32,10867910
1715227200,119.315,119.63,117.44,117.81,11524824
1715313600,120.04,121.85,119.18,121.24,13922427
1715572800,122.93,124.11,121.65,123,16643246
1715659200,122.99,125.04,121.673,124.81,13879047
1715745600,126.23,127.95,125.442,127.81,14265109
1715832000,127.93,130.13,127.05,127.89,15874694
1715918400,128.36,129.03,124.86,125.29,13774737
1716177600,127.125,131.02,126.64,129,19123181
1716264000,124.2,128.82,123.28,127.5,15717818
1716350400,127.79,127.87,125.24,126.28,11190126
1716436800,131.77,131.95,124.66,126.27,20747381
1716523200,127.82,130.4,126.6,129.49,14048894
1716868800,131.755,133.3,129.27,132.67,14142956
1716955200,130,133.1,129.9,131.58,11242475
1717041600,130.3,131.67,125.7,126.29,12666205
1717128000,126.35,127.32,121.01,125,24145782
1717387200,128.13,128.84,125.145,128.17,16134335
1717473600,127.35,127.86,125.42,126.64,12955515
1717560000,128.8,133.87,127.65,133.71,22278829
1717646400,133.84,134.13,129.18,130.07,15505001
1717732800,130.21,132.54,129.62,130.94,12138376
1717992000,129.71,135.665,129.71,134.82,14518151
1718078400,135.325,135.85,131.78,135.07,14049155
1718164800,138.51,141.71,136.83,140.75,16917557
1718251200,142.79,144.22,140.2601,143.14,16312938
1718337600,141.8,142.4889,139.6501,141.36,14028467
1718596800,145.58,148.75,142.14,147.83,23908993
1718683200,151.74,157.535,151.51,153.45,42192569
1718856000,157.01,157.41,142.91,144.19,41284979
1718942400,137.65,142.6,135.7,139.54,51170520
1719201600,142.44,142.83,137.89,139.01,32410026
1719288000,140.07,141.13,137.75,141.12,32360046
1719374400,143.04,144.07,139.54,142.36,55486593
1719460800,135.79,137.39,131.08,132.23,68172714
1719547200,132.82,135.42,130.75,131.53,38140587
1719806400,130.5,132.0834,127.2689,131.52,24738994
1719892800,129.91,132.71,129.42,132.59,20776035
1719979200,132.66,136.82,132.43,136.82,14507146
1720152000,136.82,137.13,130.91,131.6,30104619
1720411200,131.295,133.27,130.09,130.69,20500745
1720497600,131.75,135.21,130.88,131.14,21891775
1720584000,133.105,136.5,132.7,136.39,22460199
1720670400,136.36,136.43,130.07,130.23,25401541
1720756800,131.75,134.43,130.72,133.55,20723699
1721016000,133.91,135.35,130.03,130.87,20412256
1721102400,130.42,130.97,127.24,127.49,21312635
1721188800,122.58,123.03,119.23,119.5,31414074
1721275200,120.5,121.64,114.09,117.45,29404911
1721361600,116.69,117.2124,113.85,114.26,18028424
1721620800,115.36,115.58,113.64,115.28,23830761
1721707200,115.13,116.335,113.83,114.25,14707710
1721793600,111.47,114.04,110,110.28,25261038
1721880000,106.8,110.7,105.04,107.45,29068384
1721966400,110,110.63,107.78,109.41,18547885
1722225600,110.54,111.0299,107.14,107.85,13517675
1722312000,109,109.25,102.17,102.56,23915140
1722398400,109.85,111.3399,107.75,109.82,26503554
1722484800,107.18,107.86,99.95,101.51,31643707
1722571200,97.16,97.69,91.07,92.7,36009440
1722830400,87.63,92.25,84.91,90.42,36977615
1722916800,89.2,90.86,87.15,89,26412039
