T,O,H,L,C,V
1713844800,21.24,22.15,21.09,22.13,784100
1713931200,22.15,22.25,21.7104,21.89,462344
1714017600,21.6,21.63,21.18,21.53,351833
1714104000,21.64,21.73,21.04,21.06,388564
1714363200,21.09,21.21,20.58,20.64,578947
1714449600,20.51,20.63,19.92,19.93,485566
1714536000,19.91,20.98,19.91,20.57,620409
1714622400,20.81,21.29,20.41,21.2,1043845
1714708800,21.61,22.1,21.16,21.48,579471
1714968000,21.48,22.05,21.4,21.76,443441
1715054400,21.93,22.57,21.77,22.38,985084
1715140800,22.3,23.05,22.29,22.73,705786
1715227200,22.84,23.09,22.32,22.41,472244
1715313600,22.39,22.73,22.22,22.71,403692
1715572800,22.84,23.2,22.55,22.55,859254
1715659200,23.24,25.74,22.8789,25.57,1667265
1715745600,25.8,26.5,25.73,26.44,1071409
1715832000,26.5,28.7,26.02,28.35,1783024
1715918400,28.15,28.54,27.83,28.5,948967
1716177600,28.45,28.82,28.355,28.56,501482
1716264000,28.44,28.6,27.9,28.14,485822
1716350400,28.14,28.4,27.4,27.7,398037
1716436800,27.83,28.02,27.6,27.8,376014
1716523200,27.61,28.47,27.53,28.33,422610
1716868800,28.35,28.515,27.25,27.48,446962
1716955200,27.2,27.66,26.8,27.27,624411
1717041600,27.37,27.77,27.24,27.75,342288
1717128000,27.82,27.94,27.26,27.83,532685
1717387200,28.08,28.31,27.34,27.75,353524
1717473600,27.68,27.715,26.71,26.78,454592
1717560000,27.06,27.36,26.78,27.33,457181
1717646400,27.24,27.55,26.78,26.82,309317
1717732800,26.68,27.42,26.68,27.11,582003
1717992000,27,27.17,26.55,26.97,522469
1718078400,26.96,27.23,26.67,26.86,366277
1718164800,27.27,27.834,27.05,27.69,550799
1718251200,27.64,28.52,27.37,28.32,737929
1718337600,28.03,29.1799,28,28.38,1168582
1718596800,28.17,29.044,27.78,28.84,692935
1718683200,28.66,29.2,27.88,28.02,438297
1718856000,27.95,28.425,27.17,27.34,407000
1718942400,27.44,28.19,26.93,27.65,1462918
1719201600,27.63,28.71,27.54,28.61,564759
1719288000,28.67,28.67,28.15,28.33,802954
1719374400,28.22,28.84,27.82,28.32,1305511
1719460800,28.26,28.41,26.51,26.92,851485
1719547200,26.77,27.53,26.69,27.02,11074370
1719806400,27.31,29.1,27.121,28.9,1086700
1719892800,28.87,29.575,28.31,28.68,2049608
1719979200,28.58,29.5,28.25,29.24,401783
1720152000,29.06,29.24,28.35,28.5,435174
1720411200,28.67,29.15,28.46,28.75,380607
1720497600,28.6,29.1099,28.23,28.25,480844
1720584000,28.41,28.52,27.31,27.45,344505
1720670400,28.06,28.29,27.67,27.89,489092
1720756800,28.07,30.485,27.93,30.05,2122182
1721016000,30.46,31.02,29.91,30.73,925539
1721102400,31.28,32.02,31.04,31.99,1130024
1721188800,31.68,33.075,31.68,32.5,893752
1721275200,32.29,33.87,32.29,33.79,1135562
1721361600,34,34.75,33.68,33.93,2606231
1721620800,33.76,35.29,33.15,33.56,1513112
1721707200,33.56,33.82,32.1919,32.31,680673
1721793600,32.13,32.84,31.9434,32.09,452214
1721880000,32.17,32.96,31.575,31.65,568310
1721966400,32.29,32.99,31.89,32.85,552342
1722225600,32.85,33.25,31.94,32.06,487826
1722312000,32.25,32.85,30.965,31.37,560174
1722398400,31.72,32.8,31.64,32.15,433975
1722484800,32.57,32.84,30.225,30.66,626528
1722571200,29.47,29.94,28.9,29.04,425495
1722830400,27.39,28.45,26.66,27.55,485278
1722916800,27.35,28.2199,26.87,27.47,750874
1723003200,28.14,29.3,27.72,27.79,549837
1723089600,28.1,29.95,28.1,28.66,1093705
1723176000,28.38,28.81,27.77,28.56,372399
1723435200,28.64,29.105,28.24,28.31,360142
1723521600,28.52,29.43,28.3575,29.4,611967
1723608000,30.31,31.45,27.32,27.49,1009505
1723694400,28.29,28.52,27.65,27.99,650959
1723780800,27.93,28.59,27.84,28.28,373078
1724040000,28.27,28.47,27.74,28.07,326828
1724126400,27.83,27.87,27.31,27.34,342253
1724212800,27.36,27.59,26.9075,27.36,347732
1724299200,27.36,27.58,27.04,27.15,255331
1724385600,27.31,28.34,27.13,28.08,288882
1724644800,28.36,28.5,27.73,27.88,216929
1724731200,27.73,28.28,27.5,27.87,250822
1724817600,27.82,28.93,27.79,28.51,438375
1724904000,28.68,30.09,28.605,28.97,931533
1724990400,28.87,29.11,28.24,28.61,469455
1725336000,28.26,28.75,28.05,28.33,771349
1725422400,28.37,29.105,28.18,28.32,1093359
1725508800,28.49,28.85,28.25,28.5,476077
1725595200,28.42,28.475,27.58,27.87,746971
1725854400,27.59,27.88,27.34,27.43,700525
1725940800,27.25,27.6,26.55,26.67,644678
1726027200,26.5,26.96,25.9,26.89,283678
1726113600,26.9,27.3,26.604,26.85,223739
1726200000,27.09,27.95,27.075,27.86,227580
1726459200,28,28.34,27.531,27.71,223446
1726545600,28.04,28.975,27.87,28.67,250324
1726632000,28.76,29.465,28.37,28.47,272490
1726718400,29.42,29.5,28.5,28.8,280892
1726804800,28.95,29.37,28.62,28.66,1017769
1727064000,28.94,29.21,27.865,28.27,248075
1727150400,28.32,28.79,28.14,28.67,208785
1727236800,28.57,28.79,28.13,28.31,378176
1727323200,28.77,28.995,28.25,28.54,381321
1727409600,28.84,29.4,28.56,28.74,235512
1727668800,28.46,28.93,27.99,28.53,377078
1727755200,28.48,28.58,27.97,28.12,334549
1727841600,27.81,27.92,26.685,27.17,527227
1727928000,26.89,27.965,26.87,27.94,411049
1728014400,28.34,28.73,27.855,28.71,275724
1728273600,28.55,29.07,28.3,28.77,294253
1728360000,28.89,29.0759,28.38,28.7,256593
1728446400,28.55,29,28.45,28.83,267769
1728532800,28.63,28.93,27.65,28.31,537788
1728619200,28.26,29.005,28.09,28.89,313427
1728878400,28.77,29.61,28.77,28.87,492536
1728964800,28.63,29.01,28.5137,28.58,231430
1729051200,28.86,29.18,28.59,28.62,274974
1729137600,28.71,28.77,28.4073,28.72,224506
1729224000,28.74,28.74,27.36,27.55,369688
1729483200,27.52,27.55,27.09,27.22,312753
1729569600,27.22,27.364,26.88,27.06,287240
1729656000,26.99,27.195,26.73,27,262017
1729742400,27.08,27.21,26.705,27.1,296745
1729828800,27.21,27.35,26.27,26.33,446886
1730088000,26.72,27.2,26.665,27.06,248932
1730174400,26.93,26.94,26.4667,26.65,231745
1730260800,26.52,27.69,26.52,27.42,304741
1730347200,27.44,27.67,26.18,26.18,427496
1730433600,26.33,26.63,25.7,26.22,328797
1730696400,26.02,26.72,25.98,26.71,304932
1730782800,26.73,27.78,26.56,27.66,497906
1730869200,29,29.92,28.24,29.34,837992
1730955600,29.3,29.38,28.24,28.25,324861
1731042000,28.42,28.79,28.12,28.46,291172
1731301200,28.85,30.24,28.85,29.65,326905
1731387600,29.69,29.95,28.9,29.04,444156
1731474000,30.29,32.87,29.35,30.42,768864
1731560400,31.11,31.11,29.07,29.39,398287
1731646800,29.57,29.8,29.04,29.44,354424
1731906000,29.5,29.74,28.67,28.88,318870
1731992400,28.82,29.9463,28.82,29.65,320228
1732078800,29.37,30.3,29.28,30.27,388805
1732165200,30.54,31.42,30.54,31.24,532933
1732251600,31.57,32.1,31.28,31.51,660723
1732510800,31.8,32.5,31.06,31.16,559728
1732597200,30.68,32.38,30.39,32.17,726944
1732683600,32.26,33.6,32.21,32.68,738954
1732856400,32.91,33.1503,32.52,32.81,210343
1733115600,33.21,34.04,32.665,33.77,506218
1733202000,33.94,34.21,32.69,32.95,387002
1733288400,33.23,34.79,33.1,34.49,661255
1733374800,34.43,34.6,33.8,34.04,227979
1733461200,34.01,34.22,33.18,33.39,539377
1733720400,33.84,34.5,33.23,33.24,626970
1733806800,33.51,34.85,33.13,34.32,790376
1733893200,34.5,34.62,33.71,34.07,624220
1733979600,34.13,34.46,33.67,33.89,699810
1734066000,33.86,34.24,33.23,33.24,660436
1734325200,33,33.93,33,33.55,394178
1734411600,33.25,33.68,32.64,33,491629
1734498000,33.18,33.36,31.6,31.78,666354
1734584400,32.11,32.74,31.23,31.83,441760
1734670800,31.55,32.49,31.14,32.23,1679141
1734930000,33.06,34.35,32.5,33.96,472361
1735016400,34.03,34.21,33.5261,34.18,142730
1735189200,34.23,35.5,33.89,35.38,328973
1735275600,34.99,35.27,33.77,34.27,302694
1735534800,33.9,34.25,33.3125,33.42,270625
1735621200,33.71,34.22,33.52,33.92,264313
1735794000,34.25,35.02,33.84,34.07,374678
1735880400,34.37,35.06,33.8201,34.92,486596
1736139600,34.7,35.21,33.97,34.03,483607
1736226000,34.16,34.5,33.13,33.56,407169
1736312400,33.2,33.5,32.55,33.01,581159
1736485200,32.21,32.29,30.74,31.99,500380
1736744400,31.26,31.88,30.77,31.86,389440
1736830800,31.99,32.18,30.9,31.24,359275
1736917200,32,33,31.975,32.76,334374
1737003600,32.7,33.8,32.565,32.67,288242
1737090000,33.16,33.365,32.7316,32.97,204525
