T,O,H,L,C,V
1729483200,14.29,20.36,14.09,20,13616749
1729569600,19.79,20,17.7601,18.73,6443964
1729656000,18,18.43,17.1,17.16,9849849
1729742400,16.8,17.75,16.71,17.63,7851777
1729828800,17.27,19.58,17.27,19.57,6748210
1730088000,20,24.27,20,23.75,13233147
1730174400,22.9,24.5,22.5,23.65,7398169
1730260800,23,23.19,20.75,22.06,22991974
1730347200,22.6,22.6,20,21.38,4580792
1730433600,21.7,21.7,19.57,20.14,3981548
1730696400,19.62,21.72,19.21,20.75,4185001
1730782800,20.74,21.2,18.51,19,12434671
1730869200,19.93,19.93,17.5,19.3,4144060
1730955600,19.08,20.9,19.08,20.68,2570089
1731042000,20.98,21,19.5,19.92,2356030
1731301200,19.8,21.3,19.18,20.94,2907456
1731387600,20.5,20.93,19.5,19.6,2125500
1731474000,19.43,20,18.42,18.57,2088897
1731560400,19,19,17.51,18.09,2164529
1731646800,18,18.41,17.385,17.6,2010824
1731906000,17.73,18.74,17.66,18.52,1782325
1731992400,19.1,20.82,18.645,20.65,4774009
1732078800,20.53,20.75,19.46,20.58,3861686
1732165200,20.65,22,19.64,22,3639761
1732251600,21.56,23.8208,21.56,23.49,4336851
1732510800,24,26,23.25,23.49,6115766
1732597200,23.16,23.6,22,22.12,2444576
1732683600,22.01,22.8,21,21.43,2595079
1732856400,22,22.92,21.25,21.99,2856209
1733115600,26.12,27.9,24.76,25.75,17142170
1733202000,25.8,30,25.43,29.33,22322055
1733288400,30.5,33.15,30.075,32.31,23832678
1733374800,33.94,34.6,30.54,31.16,10374685
1733461200,31.98,36.84,31.75,36.77,14708327
1733720400,38.57,38.69,31.53,31.96,16659004
1733806800,32.71,35.25,31.53,33.7,9979131
1733893200,34.4,34.95,31.95,32.78,6029906
1733979600,32.36,33,31.12,31.33,5684664
1734066000,31.63,31.7,29.95,30.75,7228792
1734325200,30.78,34.43,30.49,33.4,7562032
1734411600,33,33,29.14,29.34,7593474
1734498000,28.94,30,26.99,27.09,8765094
1734584400,27.74,28.16,25.98,27.05,6797748
1734670800,26.49,28.76,26.0003,26.71,5560013
1734930000,27.04,28.735,25.77,28.64,5598973
1735016400,28.77,28.96,27.37,28.245,2971650
1735189200,28.3,29.39,27.32,28.06,3024481
1735275600,27.94,28,25.53,27.31,5407527
1735534800,26.95,27.2,25.9,26.92,3108440
1735621200,27.39,28.68,26.79,27.7,3810398
1735794000,28.13,30.58,28.13,30.51,6758876
1735880400,30.52,31.54,29.103,31.18,4399814
1736139600,31.9639,33.18,30.7,31.22,5761491
1736226000,32.37,34.1,30.58,31.54,8432299
1736312400,31.35,31.7399,29.58,30.74,4187126
1736485200,29.9,33.98,29.01,33.18,7197793
1736744400,32.26,36,31.1,35.72,11185495
1736830800,35.27,37.33,34.7293,36.89,10025461
1736917200,37.53,39.38,35.58,37.02,10053286
1737003600,37.1,38.47,35.8,37.59,5614892
1737090000,38.35,38.39,35.61,36.04,4959412
1737435600,36.14,37.8,34.6,37.6,6532179
1737522000,38.4,40.96,37.9,39.52,10290132
1737608400,38.37,40.04,37.62,38.64,7608877
1737694800,39.37,43.66,39.25,41.69,14055909
1737954000,33.5,33.59,24.41,26.08,44540490
1738040400,28.2,30.24,26.7,30.09,22143820
1738126800,29.55,31.3399,28.96,29.73,12971489
1738213200,31.2,33.4,30.6602,31.8,11796622
1738299600,32.41,34.59,31.92,32.66,11648141
1738558800,29.972,34.13,29.6,33.31,11380034
1738645200,34.1,34.97,33.01,34.5,7675034
1738731600,34.8,35.51,33.57,33.93,6648700
1738818000,34,34.86,32.63,34.55,8747396
1738904400,35.34,39.5,34.91,38.13,17526616
1739163600,38.815,41.3,38.7,40.97,12583276
1739250000,40.11,42.44,39.96,41.42,9458545
1739336400,39.66,40.63,38.92,39.3,9121613
1739422800,40.19,41.83,38.68,41.7,8181320
1739509200,45,47.68,41.6524,44.49,35111374
1739854800,47.27,50.87,46.74,48.07,28138365
1739941200,47.2,47.93,44.5,44.83,18331342
1740027600,40.04,48.63,38.5,46.25,36538275
1740114000,45.48,45.8,39.5,39.835,22146998
1740373200,37.9,38.18,34.0305,36.22,21806763
1740459600,35.2,36.4775,32.73,34.21,14778951
1740546000,35.98,37.92,35.13,35.98,12421155
1740632400,37.695,38.05,31.71,32.05,16716347
1740718800,30.87,33.57,30.25,32.49,11659643
1740978000,32.805,33.18,27.585,28.1,18060713
1741064400,27.505,30.92,26.21,29.61,18510264
1741150800,30.96,31.18,29.32,30.17,12909233
1741237200,27.77,28.47,26.25,26.8,17638076
1741323600,26.93,28.35,26.2,27.99,11067866
1741579200,27.35,27.58,24.86,26.21,15940164
1741665600,26.505,26.73,24.36,25.45,12588729
1741752000,26.56,28.5,25.7,28.4,19285884
1741838400,27.98,28.5,26.03,26.17,9164506
1741924800,26.91,28.81,26.85,28.75,10634579
1742184000,28.99,29.13,27.1,28.29,8252840
1742270400,27.77,28.01,25.62,25.67,9837818
1742356800,26.1,28.2,25.97,27.58,10194352
1742443200,27,28.38,25.95,26.175,9921196
1742529600,25.81,27,25.54,26.98,6922708
1742788800,27.77,29.54,27.65,29.19,10013760
