T,O,H,L,C,V
1713844800,18.67,19.61,18.65,19.54,10318276
1713931200,19.51,19.71,19.235,19.39,12820924
1714017600,19.26,19.65,18.945,19.35,9419848
1714104000,19.37,19.55,18.9,19.04,10044558
1714363200,19.05,19.26,18.88,19.18,10885301
1714449600,18.99,19.15,18.785,18.92,15452624
1714536000,18,18.09,15.99,16.08,52060288
1714622400,16.28,16.28,15.68,15.95,25680256
1714708800,16.15,16.36,15.905,15.99,17016675
1714968000,16.17,16.42,16.105,16.2,19251067
1715054400,16.18,16.22,15.565,15.6,17954616
1715140800,15.53,16.1,15.47,16.09,18748145
1715227200,16.09,16.35,15.97,16.2,10311325
1715313600,16.21,16.28,15.84,16.1,10004439
1715572800,16.17,16.31,15.805,15.84,10848183
1715659200,15.85,16.03,15.61,15.62,28772484
1715745600,15.67,15.91,15.63,15.72,14422050
1715832000,15.72,16.24,15.675,15.89,18018660
1715918400,15.93,16.115,15.68,15.75,12987085
1716177600,16.48,17.18,16.36,16.94,33477337
1716264000,17.08,17.38,16.83,16.93,15836650
1716350400,16.93,16.93,16.11,16.26,14208196
1716436800,16.3,16.36,15.53,15.57,15614208
1716523200,15.79,16.16,15.73,16,11523354
1716868800,16.66,16.905,16.43,16.56,20058051
1716955200,16.33,16.558,15.91,16.49,12332864
1717041600,16.49,16.605,16.27,16.45,7858059
1717128000,16.51,16.65,16.15,16.6,10657097
1717387200,16.7,17.23,16.645,17.19,12801008
1717473600,17.21,17.9,17.21,17.87,15190965
1717560000,17.95,18.48,17.7208,18.44,16142835
1717646400,18.36,18.56,17.92,18.17,12044547
1717732800,17.94,18.1,17.64,17.79,8598132
1717992000,17.67,17.86,17.435,17.58,7965874
1718078400,17.47,17.69,17.345,17.5,7303737
1718164800,17.97,18.215,17.87,18,12059193
1718251200,18.04,18.07,17.545,17.9,9585255
1718337600,17.66,17.69,16.36,16.56,21408529
1718596800,16.44,17,16.18,16.91,17460949
1718683200,17.35,17.4494,16.89,16.97,10560376
1718856000,16.89,17.24,16.85,17.18,9354874
1718942400,17.11,17.3,16.9402,17.29,11550514
1719201600,17.35,17.6,17.18,17.4,9480109
1719288000,17.89,18.51,17.6409,18.29,19534217
1719374400,18.09,18.68,17.97,18.6,10056815
1719460800,18.68,18.75,18.295,18.64,8503369
1719547200,18.67,18.88,18.565,18.79,21044286
1719806400,18.8,18.86,17.47,17.68,14203069
1719892800,17.65,17.885,17.46,17.61,8152364
1719979200,17.69,17.74,17.3501,17.54,6121573
1720152000,17.47,17.56,17.16,17.48,10882360
1720411200,17.56,18.38,17.55,18.12,13671499
1720497600,18.24,18.72,18.2,18.66,11594158
1720584000,18.8,19.04,18.59,18.75,9221833
1720670400,18.5,19.135,18.1,19.09,12351022
1720756800,19.15,19.66,19.13,19.53,11756242
1721016000,19.57,19.6288,19.17,19.57,8567571
1721102400,19.67,20.38,19.64,20.37,11223075
1721188800,20.11,20.37,19.67,19.86,10958930
1721275200,19.8,20.1398,19.49,19.64,7912895
1721361600,19.71,20.16,19.65,19.66,8629048
1721620800,19.62,20.04,19.31,19.73,8493607
1721707200,19.75,20.65,19.75,20.32,11523134
1721793600,20.17,20.33,19.195,19.22,12865087
1721880000,19.22,19.28,18.265,18.36,14665703
1721966400,18.73,18.89,18.32,18.47,7832410
1722225600,18.72,18.9,18.36,18.54,8196249
1722312000,18.54,18.75,18.44,18.56,14128139
1722398400,19.29,19.45,18.215,18.43,23167450
1722484800,18.99,19,17.16,17.35,21374998
1722571200,16.7,16.75,15.59,15.93,24646054
1722830400,15.04,15.71,14.69,15.33,19928101
1722916800,15.6,15.975,15.41,15.5,18639959
1723003200,15.81,16.06,14.84,14.84,15626354
1723089600,15.05,15.5971,14.99,15.52,10816283
1723176000,15.5,15.85,15.49,15.74,10863420
1723435200,15.75,15.8,15.15,15.34,15565941
1723521600,15.53,15.71,15.35,15.57,9426697
1723608000,15.64,15.9,15.175,15.43,11318780
1723694400,15.75,16.36,15.73,16.3,13294896
1723780800,16.22,16.22,15.87,16.09,10304653
1724040000,16.06,16.24,15.9,16.14,10840265
1724126400,16.05,16.06,15.85,15.92,7650624
1724212800,15.97,16.46,15.96,16.44,11636111
1724299200,16.46,16.47,16.0421,16.24,10419409
1724385600,16.39,17.53,16.335,17.5,15376014
1724644800,17.48,17.625,17.3,17.45,7939959
1724731200,17.48,18.38,17.4,18.08,12056292
1724817600,17.96,18.125,17.585,18,9553448
