T,O,H,L,C,V
1713844800,37,37.81,36.6,37.71,12186931
1713931200,37.42,38.745,37.26,38.6,11977243
1714017600,40.33,43.91,39.98,43.41,36611648
1714104000,43.24,43.39,42.5,42.73,14689213
1714363200,42.57,42.92,41.51,42.26,13020157
1714449600,41.15,41.63,40.485,40.64,13547667
1714536000,40.6,41.78,40.485,40.58,12108963
1714622400,40.42,41.37,40.32,41.05,8164523
1714708800,41.25,41.46,40.6,40.66,7306324
1714968000,41.38,41.84,41.08,41.39,7717671
1715054400,41.4,41.72,41.16,41.44,7500640
1715140800,41.11,41.83,41.05,41.54,7845352
1715227200,41.64,42.97,41.64,42.84,9893970
1715313600,43.41,43.75,42.47,42.49,7961219
1715572800,42.35,42.86,41.93,42.46,6133224
1715659200,42.9,43.19,42.53,42.57,7143521
1715745600,43.15,43.415,42.18,43.19,7710101
1715832000,43,43.31,42.35,42.84,7712623
1715918400,43.5,43.96,43.11,43.74,10168802
1716177600,44,44.59,43.466,44.44,8365519
1716264000,43.91,44.3301,43.6,44.04,6702574
1716350400,43.5,43.75,41.96,42.39,9619620
1716436800,41.88,41.98,41,41.23,9367021
1716523200,41.6,42.08,41.42,41.98,6232428
1716868800,42.49,42.88,42.02,42.4,7505177
1716955200,41.89,42,41.52,41.64,8477714
1717041600,41.54,42.2076,41.51,41.89,5868965
1717128000,41.93,42.24,41.395,41.94,14031083
1717387200,42.01,42.12,41.6657,41.89,7828866
1717473600,41,41.0102,40.0627,40.53,9173514
1717560000,40.66,41.12,40.36,41.1,6110847
1717646400,41,42.55,40.64,42.5,9956279
1717732800,40.78,41.2391,40.18,40.36,9087891
1717992000,40.38,41.32,40.11,41.3,6294975
1718078400,40.75,40.85,40.115,40.65,7277223
1718164800,41.42,41.81,40.78,40.99,5347649
1718251200,40.79,41.17,40.12,40.56,5239621
1718337600,40.89,41.08,40.53,40.82,5505282
1718596800,41.02,41.17,40.69,40.91,6201491
1718683200,40.97,41.95,40.93,41.79,7164327
1718856000,41.85,43.1,41.75,42.81,8881116
1718942400,42.68,42.95,42.2,42.26,16655639
1719201600,42.33,43.105,42.28,42.6,7214778
1719288000,42.41,42.56,41.85,41.9,6297312
1719374400,41.36,41.72,41.158,41.45,6484796
1719460800,41.97,42.17,41.785,41.84,5648706
1719547200,42.21,42.36,41.63,41.87,10265608
1719806400,42.1,42.54,41.65,41.65,4457254
1719892800,41.66,42.2927,41.31,41.71,6301110
1719979200,42.33,43.67,42.295,43.45,5732472
1720152000,44.03,44.67,43.93,44.51,10350231
1720411200,44.17,44.345,43.54,44.13,6158412
1720497600,44.13,44.33,43.78,43.89,4860417
1720584000,44.88,45.82,44.77,45.46,8403040
1720670400,46.3,47.21,45.3,47.17,11447098
1720756800,46.97,48.02,46.76,47.51,7345114
1721016000,47.13,48.155,47.06,47.35,5720812
1721102400,47.56,48.61,47.3861,48.32,8036159
1721188800,48.5,48.97,48.2,48.27,8195941
1721275200,48.34,48.56,47.38,47.51,7263517
1721361600,46.57,47.36,45.72,47,6268666
1721620800,46.8,47.34,46.6101,47.29,5091640
1721707200,47.27,47.43,46.725,47.07,5870007
1721793600,47.47,48.32,47.18,47.7,11668311
1721880000,45.79,46.43,44.77,45.7,12536308
1721966400,46.86,47.17,46.13,46.73,8371515
1722225600,47.19,47.29,46.6,47.28,8177070
1722312000,47.52,47.645,46.77,47.41,5645674
1722398400,48.23,49.355,48.14,49.07,10653973
1722484800,49.25,50.135,48.69,49.55,9913156
1722571200,50,50.7196,47.5,48.51,11810484
1722830400,45.85,47.51,45.03,47.03,11508606
1722916800,46.81,48.19,46.53,47.6,8758702
1723003200,48.2,48.28,46.22,46.4,5663584
1723089600,46.72,48.005,46.33,47.71,5991804
1723176000,48.03,48.095,46.88,47.71,3631996
1723435200,48,49.14,47.98,48.79,6069171
1723521600,48.58,49.32,48.4,49.02,5218784
1723608000,48.87,49.38,48.335,49.14,6167947
1723694400,49.255,49.48,48.24,49.31,5118915
1723780800,49.42,50.34,49.11,50.21,8496903
1724040000,50.21,51.39,49.97,51.19,6409984
1724126400,51.55,52.07,51.15,51.45,6338615
1724212800,51.62,52.03,51.04,51.87,5117283
1724299200,51.24,51.65,50.79,51.41,5349251
1724385600,51.85,52.395,51.58,52.04,4569348
1724644800,52.62,52.71,52.085,52.26,5278027
1724731200,51.8,52.77,51.64,52.7,5115252
1724817600,52.05,52.24,51.47,51.83,5077618
1724904000,52.44,53.47,52.44,53.18,6720463
1724990400,53.025,53.88,52.93,53.39,8672495
1725336000,52.47,52.63,51.37,52.27,8025976
1725422400,51.97,52.2,51.11,51.61,7461911
1725508800,52.27,52.65,51.765,51.93,5913416
1725595200,51.83,52.36,50.23,50.34,6476450
1725854400,50.54,51.38,50.38,50.72,4563612
1725940800,50.74,51.34,50.38,51.3,5547609
1726027200,51,51.06,50.015,50.74,5944022
1726113600,51.7,53.26,51.5,52.88,10200819
1726200000,53.41,54.25,53.36,53.71,7330139
1726459200,53.54,53.77,53.0305,53.13,6264329
1726545600,52.79,53.42,52.27,53.11,6182811
1726632000,53.72,54.93,52.87,53.06,9043022
1726718400,54.26,54.35,52.62,53.52,10415819
1726804800,54.29,54.69,53.92,54.47,18948117
1727064000,54.45,55.675,54.43,54.48,8437352
1727150400,54.68,56.09,54.29,55.85,9532582
1727236800,55.78,56.3,55.175,55.26,8820675
1727323200,55.28,55.99,54.9,55.53,9821678
1727409600,55.11,55.38,53.82,53.9,9715149
1727668800,53.44,53.79,52.982,53.45,12504002
1727755200,53.81,54.99,53.6,54.14,9621870
1727841600,54.01,54.71,53.83,54,6743952
1727928000,53.57,53.63,52.8,53.2,5513772
1728014400,53,53.835,52.7,53.34,6114716
1728273600,52.93,53.0875,52.4,52.98,4863578
1728360000,52.48,52.95,52.16,52.74,7166786
1728446400,52.45,52.79,51.8215,52.73,5869423
1728532800,52.99,53.55,52.58,53.4,6426850
1728619200,53.71,54.6,53.71,54.3,7419329
1728878400,54.01,54.87,53.83,54.82,4992285
1728964800,54.8,55.785,54.67,55.68,6538323
1729051200,56.6,57.319,56.16,56.27,7339054
1729137600,56.8,57.03,56.34,56.5,5024157
1729224000,56.91,57.9639,56.42,57.62,7849299
1729483200,58.46,58.71,57.37,57.57,8259843
1729569600,57.93,58.72,57.59,58.68,7384592
1729656000,57.6,58.625,57.52,57.74,10778233
1729742400,55.735,56.4,48.93,49.25,37243855
1729828800,47.77,48.92,46.76,48.42,28269559
1730088000,48.1,48.87,48.06,48.36,14753771
1730174400,48.84,49.11,47.75,47.8,12908979
1730260800,47.44,47.58,46.51,46.94,11956491
1730347200,46.35,46.45,45.18,45.44,13809392
1730433600,45.39,46.01,45.085,45.26,11048999
1730696400,45.39,45.89,45.13,45.76,8656193
1730782800,45.8,46.13,45.67,46,6799493
1730869200,44.25,44.65,43.6,44.48,18603921
1730955600,44.98,45.37,44.2,45.16,11728405
1731042000,44.96,45.27,44.55,45.04,10453600
1731301200,43.32,43.49,41.96,42.33,16841597
