T,O,H,L,C,V
1713844800,70.85,72.18,70.61,71.49,2800264
1713931200,71.82,73.38,71.355,72.61,3193347
1714017600,71.57,72.99,71.21,72.86,1809408
1714104000,73,73.2,71.775,72.81,1681813
1714363200,73,74.11,72.67,73.95,2158609
1714449600,73.29,74,72.54,72.67,2963449
1714536000,72.94,74.71,71.5,73.66,2253303
1714622400,74.3,75.75,73.22,75.13,2097949
1714708800,75.5,77.68,74.95,76.65,4253129
1714968000,77.77,78.39,76.36,77.89,4249096
1715054400,77.85,83.025,72.98,73.4,8170327
1715140800,74.08,78.15,73.87,75.82,5877362
1715227200,75.97,82.45,75.95,81.76,5856789
1715313600,82.82,84.4627,82.6,83.65,5319880
1715572800,84.09,84.44,81.44,82.46,3775635
1715659200,81.9,83.24,81.44,82.08,4112961
1715745600,83.01,86,83.01,84.49,3448124
1715832000,85,85.57,82.78,82.93,3194103
1715918400,82.95,84.3,82.01,82.3,2913502
1716177600,82.74,83.3,80.66,81.48,3215781
1716264000,81.29,83.05,81.29,83.03,2508645
1716350400,82.27,82.5,80.15,81.07,3748029
1716436800,82.38,82.82,80.2201,81.09,3333817
1716523200,81.46,86.46,79.44,86,3639863
1716868800,86.46,87.58,83.405,83.85,3167112
1716955200,83.47,84.29,82.23,83.53,2596696
1717041600,83.52,84.75,82.56,84.64,2085247
1717128000,84.68,84.825,77.67,81,7793445
1717387200,80.63,80.8,75.88,78.34,4984951
1717473600,77.99,79.775,75.91,77.83,4322749
1717560000,78.28,81.99,78.28,81.55,4141544
1717646400,81.37,82.65,77.185,77.83,4747599
1717732800,77.51,79.25,77.33,77.89,2966422
1717992000,77.7,80.21,77.5,79.97,3880034
1718078400,79.17,81.07,78.805,81.05,2851776
1718164800,81.7,82.41,78.93,80.3,2910395
1718251200,81,81.03,77.77,79.38,2802493
1718337600,78.83,78.97,78.02,78.64,2393084
1718596800,78.2,78.87,77.07,78.55,3680366
1718683200,78.13,80.26,77.7746,79.92,3623423
1718856000,80.13,81.7,79.37,80.72,2806342
1718942400,80.11,80.61,78.88,80.02,9244910
1719201600,79.77,82.66,79.44,81.56,4374907
1719288000,81.93,83.7413,81.2,82.27,2999497
1719374400,81.98,82.31,79.35,79.52,3751322
1719460800,79.52,80.04,78.33,78.66,2733290
1719547200,78.62,79.37,77.62,77.86,6940870
1719806400,78.83,79.27,77.27,77.85,2607813
1719892800,77.48,78.68,77.32,77.89,2016344
1719979200,77.91,79.65,77.44,79.42,1289838
1720152000,79.87,79.99,76.9,77.16,2091753
1720411200,77.66,78.78,77.18,78.57,1884879
1720497600,78.63,80.88,78.22,79.26,2542089
1720584000,79.75,79.98,77.7739,79.16,1726316
1720670400,79.16,79.87,78.75,79.63,2276810
1720756800,79.67,80.505,78.625,79.93,1870681
1721016000,79.64,79.64,74.65,75.39,3501915
1721102400,75.85,77.395,75.6,76.43,2484134
1721188800,75.28,75.34,72.33,72.54,4824953
1721275200,73.33,74.4,71.83,73.63,2779326
1721361600,74.01,75.37,73.61,74.91,3455927
1721620800,75.36,77.12,75.2277,76.85,1704347
1721707200,76.54,77.46,76.06,76.61,3089288
1721793600,76.12,76.76,74.04,74.19,2496018
1721880000,74.48,75,72.54,73.09,2921372
1721966400,74.45,75.13,73.09,73.71,2006142
1722225600,74.34,74.96,73.69,74.33,1418278
1722312000,74.74,75.25,72.96,73.33,1632426
1722398400,77.11,78.47,74.63,75.17,4500190
1722484800,75,76.6,73.09,73.5,2337766
1722571200,72.63,73.33,69.18,70,4472316
1722830400,66.44,69.94,65.111,68.89,3751730
1722916800,69.45,72.5,69.38,71.19,3804907
1723003200,72.57,73.43,71.905,72.07,4235423
1723089600,73.81,78.65,72.95,77.97,4501735
1723176000,77.69,80.46,76.32,80.29,3767165
1723435200,80.37,80.63,77.98,79.87,3414238
1723521600,80.61,82.88,80,81.86,3057450
1723608000,82.19,82.73,80.765,82.38,2534504
1723694400,82.21,83.34,81.6,82.75,2973168
1723780800,82.69,83.85,81.77,82.78,2529103
1724040000,82.78,82.88,80.65,82.34,1564205
1724126400,82.27,82.76,81.53,81.92,1344773
1724212800,81.92,83.557,81.5285,82.75,3486061
1724299200,82.85,83.2114,81.68,81.85,2093251
1724385600,82.36,83.67,82.005,83.5,3005542
1724644800,83.54,85.38,83.28,83.75,3480602
1724731200,83.2,84.09,82.76,83.6,1812199
1724817600,83.59,84,79.94,80.27,2885489
1724904000,80.52,82.98,80.04,82.62,1883860
1724990400,83,85.17,82.96,85.01,2503766
1725336000,84.8,84.8,79.5,79.75,2872998
1725422400,79.66,81.35,78.965,79.13,1993893
1725508800,79.25,79.57,78.06,78.53,1526768
1725595200,78.54,79.6,76.36,76.51,3207661
1725854400,77.38,78.07,76.13,77.92,2483605
1725940800,78.3,78.45,77.38,77.94,1239438
1726027200,78.19,80.12,77.305,80.07,2340757
1726113600,80.07,81.085,79.56,79.8,1794571
1726200000,78.75,81.39,77.49,81.04,2250662
1726459200,80.89,82.02,80.27,80.78,2381691
1726545600,81.34,82.83,80.77,81.32,2140313
1726632000,81.3,84.07,81.235,81.95,2735251
1726718400,83,83.46,81.25,81.83,1968386
