T,O,H,L,C,V
1713844800,103.32,103.92,102.78,103.01,647996
1713931200,103.67,103.7,102.31,103.03,604203
1714017600,99.08,101.65,99.04,101.43,2827781
1714104000,101.6401,101.89,101.09,101.34,724022
1714363200,101.54,101.61,101.01,101.61,645767
1714449600,101.09,101.42,100.15,100.6,500026
1714536000,100.29,100.6399,99.42,99.65,385096
1714622400,100.09,101.26,100.09,101.14,581189
1714708800,102.12,102.17,101.12,101.2,594553
1714968000,101.9,101.93,100.47,100.6,569106
1715054400,101.13,101.55,100.97,101.2,491203
1715140800,102.81,103.75,102.7001,103.54,468372
1715227200,101.28,104.465,101.28,104.44,360593
1715313600,104.5,105.14,104.3225,105.05,279256
1715572800,104.86,105.02,104.3,104.39,439804
1715659200,104.69,104.78,103.96,104.28,510791
1715745600,104.98,105.74,104.8201,105.49,401646
1715832000,105.55,105.629,105.2,105.47,318563
1715918400,105.52,106.39,105.311,105.8,552461
1716177600,105.93,106.31,105.86,105.87,384412
1716264000,105.25,105.32,104.57,104.67,830303
1716350400,103.51,104.07,103.37,103.94,703785
1716436800,102.61,102.64,101.39,101.49,1085917
1716523200,101.53,101.93,101.01,101.15,387296
1716868800,100.85,100.93,100.32,100.51,527956
1716955200,99.9,100,99.5,99.69,502378
1717041600,103.02,104.53,102.6,103.84,484142
1717128000,105.41,106.37,105.38,106.3,1769201
1717387200,106.89,107.72,106.68,107.5,442883
1717473600,109.34,109.99,109.22,109.9,1105827
1717560000,109.98,109.99,108.9,109.41,353881
1717646400,109.81,110.46,109.68,110.31,678087
1717732800,109.48,109.68,108.94,109.01,360613
1717992000,107.21,107.21,105.88,106.8,292116
1718078400,105.47,105.58,105.09,105.22,368214
1718164800,106.92,106.96,105.62,105.83,399475
1718251200,106.02,106.68,105.6,106.63,352856
1718337600,107.44,107.56,106.58,106.75,364374
1718596800,106.27,107.09,106.14,106.96,314385
1718683200,107.08,107.37,106.808,107.22,513529
1718856000,105.26,106.54,105.18,106.2,446293
1718942400,105.11,105.58,104.52,104.92,544351
1719201600,106.17,106.38,105.45,105.88,340572
1719288000,105.2,105.47,104.91,105.26,1641611
1719374400,103.59,103.82,103.47,103.56,787082
1719460800,102.95,103.2075,102.36,102.48,563868
1719547200,102.04,102.45,101.9,102.45,490910
1719806400,102.04,102.72,101.4,101.46,654750
1719892800,101.79,102.61,101.71,102.39,367183
1719979200,102.6,103.17,102.57,102.74,136942
1720152000,103.49,103.57,102.78,103.57,217984
1720411200,104.16,104.28,103.12,103.19,330934
1720497600,103.71,103.88,102.84,102.94,344960
1720584000,103.18,103.8,103.02,103.54,278883
1720670400,104.53,104.92,104.19,104.17,283968
1720756800,105.27,105.98,105.2201,105.61,268761
1721016000,104.86,104.95,103.75,103.75,482195
1721102400,103.32,103.73,103.22,103.655,497465
1721188800,104.36,106.04,104.33,105.92,414083
1721275200,106.5,106.9,105.73,105.83,393365
1721361600,105.95,106,104.9,104.97,976718
1721620800,106.79,106.86,105.96,106.6,771861
1721707200,105.65,105.84,105.1,105.1,514771
1721793600,106.04,106.51,104.64,104.76,490928
1721880000,100.71,101.58,99.85,100.01,1301852
1721966400,99.28,99.74,99.02,99.635,1881095
1722225600,100.12,100.15,99.1,99.21,848851
1722312000,100.13,100.24,99.6201,100.13,653563
1722398400,101.77,102.03,100.85,100.99,517467
1722484800,100.8,102.9,100.61,100.88,1105391
1722571200,104.32,105.1625,103.61,104.35,368032
1722916800,102.59,103.22,102.29,102.65,561551
1723003200,102.92,103.35,102.69,102.88,432889
1723089600,102.6,103.102,102.51,102.89,448517
1723176000,103.34,103.38,102.74,102.81,507772
1723435200,102.16,102.3337,101.71,102.01,526687
1723521600,102.52,102.85,102.258,102.55,407413
1723608000,102.45,103.47,102.38,103.2,329295
1723694400,102.99,103.042,102.14,102.34,279038
1723780800,103.12,103.46,102.8,103.24,283283
1724040000,103.76,104.6,103.73,103.97,891325
1724126400,104.01,104.45,103.86,104.35,509670
1724212800,104.81,105.105,104.45,104.79,373097
1724299200,105.51,105.52,105.31,105.335,27444
1724385600,103.51,105.89,103.37,105.17,4028486
1724644800,105.69,105.895,105.36,105.52,1859493
1724731200,106.59,106.77,106.1,106.6,1354679
1724817600,107,107.43,106.48,106.7,1503556
1724904000,107.47,107.69,107.09,107.44,1258075
1724990400,107.24,107.705,106.73,106.92,559116
1725336000,107.28,107.93,107.09,107.25,1184602
1725422400,105.51,105.93,105.14,105.28,956950
1725508800,105.06,105.11,104.07,104.6,1866795
