T,O,H,L,C,V
1713844800,93,93.58,92.21,93.07,1738930
1713931200,94.56,94.82,93.4117,94.02,905895
1714017600,93.14,94.55,92.72,94.12,547182
1714104000,95.58,97.12,95.43,95.99,1192329
1714363200,96.43,96.75,95.31,96.63,1174591
1714449600,95.05,95.73,93.42,93.47,1148015
1714536000,93.76,95.54,93.61,94.02,677595
1714622400,96.48,99.23,95.91,98.95,2103992
1714708800,100.25,103.88,99.91,103.02,2724344
1714968000,103,103.2199,100.13,101.86,2655797
1715054400,97.53,97.725,96.36,96.93,2192780
1715140800,96.08,96.725,95.46,96.63,1233953
1715227200,99.67,100.71,97.45,98.49,1015787
1715313600,98.61,99.69,97.455,98.53,772647
1715572800,99.16,101.22,98.62,99.49,2467342
1715659200,99.67,99.68,97.88,98.64,1407889
1715745600,99.9,99.9,97.76,98.76,1301949
1715832000,101.5,104.755,100.87,104.21,1691426
1715918400,104,107.34,104,104.97,1697251
1716177600,104,104.96,103.43,104.73,1475880
1716264000,101.72,101.9,98.5,98.9,2263427
1716350400,98,100.5,98,98.36,1624322
1716436800,95,98.04,94.39,94.74,2944692
1716523200,91.965,92.19,90,90.48,3286979
1716868800,89.69,91.31,89.65,91.19,3510574
1716955200,89.5,90.11,89.11,89.56,1696519
1717041600,89.57,91.06,89.57,90.66,1724600
1717128000,89,89.78,88.51,89.03,1962309
1717387200,90,90.19,87.565,88.31,2041398
1717473600,88.9,89.98,88.15,88.68,2323219
1717560000,90.58,94.26,90.115,94.15,2889753
1717646400,94.15,94.35,93.225,93.9,1414564
1717732800,93.84,94.605,93.52,93.9,1568134
1717992000,93.32,94.73,93.05,94.16,977178
1718078400,93.5,93.725,92.28,92.69,812628
1718164800,93.2,93.5,92.4001,92.92,1286074
1718251200,92.4,93.5,91.89,92.23,943680
1718337600,91.03,92.78,91.03,92.54,1351626
1718596800,92.7,92.89,91.88,92.47,1286278
1718683200,90,91.26,89.41,90.63,1248550
1718856000,91.13,91.5879,90.41,91.53,1254967
1718942400,90,90.08,89.03,89.73,1764198
1719201600,89.5,92.07,89.21,91.17,1759694
1719288000,90.05,93.57,90,93.04,2147103
1719374400,96,96.78,94.95,96.74,2495645
1719460800,96.06,96.925,95.51,96.06,1787983
1719547200,95.3,96.315,95,95.58,1955067
1719806400,96.43,96.76,95.94,96.46,1624691
1719892800,96.15,96.15,93.36,93.96,1305195
