T,O,H,L,C,V
1713844800,177.7,183.95,174.4,174.64,4855746
1713931200,175,178.32,171.958,172.76,2587067
1714017600,171.39,176.18,170.82,175.88,1623620
1714104000,176.59,176.834,174.34,175.42,1253895
1714363200,175.98,176.6,174.27,175.24,1217361
1714449600,174.29,174.38,168.21,168.53,2179111
1714536000,169.59,172.05,167.725,168.67,1255367
1714622400,169.61,170.84,168.46,170.52,1303098
1714708800,171.67,174.625,171.1,173.92,1054672
1714968000,175.52,175.71,169.83,171.02,1588442
1715054400,171,172.1425,170.08,171.79,1400721
1715140800,170.44,171.83,169.57,169.8,1247807
1715227200,170.03,174.76,170.03,174.37,1230770
1715313600,174.9,175.625,173.71,174.47,1149412
1715572800,173.89,175.39,173,173.74,812386
1715659200,174.46,175.39,171.975,172.62,1021771
1715745600,173.21,176.48,173.11,176.21,1467542
1715832000,176.3,176.59,173.32,173.43,1215848
1715918400,174.8,174.99,171.515,172.12,1245035
1716177600,172.19,172.83,170.2,170.93,1475000
1716264000,171.07,172.54,170.22,172.12,901544
1716350400,171.02,172.89,170.23,171.1,884364
1716436800,171.5,172.12,170.46,171.53,950055
1716523200,172.86,173,169.47,171.27,1056141
1716868800,171.15,171.26,167.92,168.39,1571351
1716955200,167.26,170.7199,165.93,166.6,1337647
1717041600,166.2,168.04,165.91,166.67,1380197
1717128000,166.65,168.965,165.17,168.85,2484615
1717387200,167.88,168.77,164.9,166.81,1442052
1717473600,164.99,165.23,160.99,161.18,1643709
1717560000,161.18,163.11,161.13,161.69,1251491
1717646400,161.23,163.57,161.005,163.34,1081233
1717732800,162.12,163.88,160,161,1674766
1717992000,160.26,161.39,157.082,157.31,1707113
1718078400,156.25,156.62,153.35,155.43,1784724
1718164800,155.91,157.15,153.81,154.44,1282576
1718251200,153.93,154.53,151.6,154.12,1226908
1718337600,150,156.11,149.12,154.69,2206597
1718596800,153.93,158.18,152.15,157.38,2168630
1718683200,157.91,159.49,154.555,155.63,1726239
1718856000,155.98,158.72,155.39,156.81,1262162
1718942400,156.42,157.96,155.9,157.58,4066001
1719201600,157.97,158.9,155.52,155.56,1634103
1719288000,154.94,155.22,150.205,151.48,2106848
1719374400,150.9,154.72,150.74,154.56,1616435
1719460800,154.16,155.92,153.5,154.71,1209094
1719547200,156.88,160.44,155.32,158.08,3517842
1719806400,158.61,159.48,155.11,157,1475136
1719892800,156.71,157.87,155.67,156.46,1143020
1719979200,157.27,159.1,156.01,156.42,737493
1720152000,155.55,156,153.29,153.84,1348210
1720411200,153.75,154.455,151.88,152.47,1084086
1720497600,151.71,153.2299,150.24,150.25,1500139
1720584000,151.11,153.78,150.9443,153.36,1422870
1720670400,154.84,160.15,154.62,158.96,1927885
1720756800,160.42,162.43,158.7303,161.1,1414643
1721016000,163.01,167,163,164.87,1653542
1721102400,163.85,166.81,163.16,166.14,1457786
1721188800,166.08,166.87,163.72,164,1323377
1721275200,163.25,167.5,163.115,165.67,1490514
1721361600,165.9,166.05,162.29,162.5,1564536
1721620800,162.3,163.5,160.68,163.34,1434745
1721707200,160.5,164.8983,158.92,161.55,2212898
1721793600,160.99,161.38,154.7,154.79,2553736
1721880000,156.32,158.97,154.91,157.02,1390675
1721966400,156.89,162.42,156.33,160.89,1252823
1722225600,160.26,160.88,158.0701,159.41,1134321
1722312000,159.21,160.76,158.78,159.43,835407
1722398400,160,165.76,159.655,162.94,2438808
1722484800,162.57,163.75,154.73,155.78,2517611
1722571200,153.68,155.57,149.36,151.05,2176026
1722830400,146.5,152.05,145.39,150.52,2011448
1722916800,150.3,153.35,149.58,149.96,1180545
1723003200,151.9,152.5,144.807,145.19,1725050
1723089600,146.355,147.03,145.18,145.65,1204925
1723176000,145.42,146.1999,143.525,145.14,954510
1723435200,145.32,145.34,140.37,141.35,1651666
1723521600,141.67,143.28,140.88,142.88,1141087
1723608000,142.81,142.865,139.41,141.26,1218182
1723694400,146.75,147.495,143.6,145.22,1478869
1723780800,144.69,146.59,144.35,145.23,881563
1724040000,145.21,146.75,143.3077,144.07,1268398
1724126400,144.07,144.6,142.86,143.4,752450
1724212800,144.9,147.26,144.53,146.46,1019076
1724299200,146.18,146.92,144.67,146.22,709552
1724385600,147.05,148.06,146.02,147.73,947509
1724644800,150.07,152.5479,149.12,150.44,1226205
1724731200,150.13,151.65,148.59,150.37,1388024
1724817600,149.03,149.82,147.3,148.04,1126926
1724904000,148.95,151.3399,148.11,150.02,997653
1724990400,150.15,152.29,150.06,151.91,1441398
1725336000,149.77,150,143.93,144.43,1544842
1725422400,143.9,145.39,141.25,141.71,1544678
1725508800,142.39,142.81,138.64,139.6,1662678
1725595200,139.44,141.61,137.91,138.79,1310681
1725854400,141.6,143.51,140.74,140.92,1350716
1725940800,141.25,141.27,138.03,139.61,1094952
1726027200,138.51,139.175,133.42,137.77,1889814
1726113600,138.88,140.735,137.72,140.6,1358126
1726200000,141.35,145.14,141.35,143.59,1144812
1726459200,144.27,144.75,142.3,142.96,1390290
1726545600,139.45,144.45,138.4,142.18,2296618
1726632000,143,145.59,141.49,142.98,1426871
1726718400,146.7,149.4,145.595,149,1939933
1726804800,148.05,148.56,145.27,146.31,3915329
1727064000,146.62,147.39,144.95,147,1486632
1727150400,150.06,152.14,149.44,150.61,1465106
1727236800,150.2,150.37,148.36,148.88,986079
1727323200,152.18,152.54,149.89,150.59,1382298
1727409600,151.06,152.42,149.77,150.13,894970
1727668800,150.13,150.93,148.91,150.34,1415759
1727755200,149.9,153.52,149.9,152.71,1262613
1727841600,153.17,155.15,150.67,151.45,1547760
1727928000,150.09,151.65,149.525,151.29,1715338
1728014400,153.29,154.38,150.925,151.44,1036214
1728273600,150,153.4,150,152.75,1199258
1728360000,150.43,151.24,146.62,148.11,1702700
1728446400,147.75,152.415,147.3474,151.82,1291063
1728532800,150.85,152.745,150.39,150.9,1053203
1728619200,150.98,153.83,150.98,151.91,1594673
1728878400,151.02,153.03,149.95,152.84,1076004
1728964800,151.5,154.87,151.31,151.64,1843043
1729051200,152.33,154.39,152.33,154.27,1231984
1729137600,154.8,158.29,154.49,158.09,2044611
1729224000,159.17,159.49,157.12,158.24,1954002
1729483200,158.54,159.205,155.41,156.11,2062422
1729569600,153.43,153.85,142.8,146.02,5247041
1729656000,145.99,147.495,141.53,141.66,2785512
1729742400,141.87,144.01,140.415,141.34,1984608
1729828800,142.33,144.43,141.44,141.47,1741408
1730088000,143.23,148.24,142.62,147.73,1864810
1730174400,147.38,149.3516,146.11,147.2,1707269
1730260800,146.11,148.02,142.555,142.7,2093963
1730347200,143,144.09,140.76,141.84,2299750
1730433600,141.81,144.095,141.81,143.56,1106005
1730696400,143.17,145.195,142.09,142.6,1345754
1730782800,142.56,145.19,141.33,144.61,1227844
1730869200,164.69,170.52,160.16,167.74,7506311
1730955600,168.08,168.42,160.89,161.17,2608890
1731042000,159.89,160.92,157.5,158.84,1704765
1731301200,160,161.17,158.66,159.06,2142208
1731387600,157.5,158.06,151.77,153.89,2170602
1731474000,153.51,154.6899,151.43,152.2,2465526
1731560400,151.73,152.2,145.74,146.38,1792868
1731646800,147.38,149.49,146.4,147.08,1519866
1731906000,147,148.5,145.93,147.25,1569144
1731992400,145.09,146.17,143.705,144.68,1809986
1732078800,145.91,149.9381,145.485,148.17,2260857
1732165200,148,150.845,146.61,149.99,1738927
1732251600,149.59,153.25,149.59,151.92,1276373
1732510800,152.86,156.4799,152.545,153.44,2694037
1732597200,155.15,156.95,152.3401,154,1728594
1732683600,153.15,156.79,152.8,154.77,1098864
1732856400,155.41,156.1788,153.99,154.69,920696
1733115600,156.81,157.61,155.46,156.37,1837432
1733202000,158.29,158.48,154.64,154.98,2043660
1733288400,154.49,154.88,148.21,149.31,2160850
1733374800,149,149.01,143.36,145.57,2115947
1733461200,146.38,146.387,142.31,142.57,1838759
1733720400,144.86,147.115,143.335,144.58,1551572
1733806800,143.98,144.49,139.61,140.56,1676179
1733893200,141.03,141.03,137.7,138.44,2082722
1733979600,135.66,136.77,130.65,131.41,2699282
1734066000,130.76,130.76,125,125.25,2790702
1734325200,124,126.1,123.01,124.16,3090879
1734411600,121.91,124.74,119.44,120.98,3290373
1734498000,121.49,123.16,117.57,117.96,2606065
1734584400,118.4,120.12,115.29,115.78,2870451
1734670800,114.67,117.92,113.9375,116.58,10452916
1734930000,116.5,116.84,114.88,116.61,1668721
1735016400,116.58,117.87,115.71,117.43,886469
1735189200,116.72,119.06,115.7401,118.64,1565549
1735275600,118.09,120.3066,116.73,117.28,1330862
1735534800,116.73,116.73,115.18,115.86,1443677
1735621200,115.97,117.68,115.697,116.71,1240039
1735794000,117.8,118.6828,114.38,114.48,1384662
1735880400,114.86,116.07,112.25,115.45,2080388
1736139600,118.25,121.82,118.025,120.62,3499962
1736226000,120.76,123.45,120.24,121.28,2223460
1736312400,120.53,121,116.925,118.18,2359985
1736485200,116.72,118.84,116.24,118.16,2647752
1736744400,118.36,123.55,117.6,122.88,3023302
1736830800,123.25,123.58,120.044,121.75,2501812
1736917200,124.27,124.3,121.93,123.08,2054609
1737003600,123.9,124.2,122.73,123.36,1189261
1737090000,124.27,126.1399,123.81,124.53,1858456
1737435600,126.5,127.735,124.11,125.07,2220378
1737522000,124.74,125.8299,121.66,122.09,2739964
1737608400,122.08,124.39,121.82,122.06,3000293
1737694800,124,124.54,121.36,122.17,2400302
1737954000,122.69,123.27,121.16,121.97,3103897
1738040400,121.97,127.79,119.3,126.55,4913277
1738126800,126.75,128.78,125.76,126.87,2739129
1738213200,128,128.85,126.7,128.68,3125329
1738299600,128.32,131.46,126.66,128.43,4012638
1738558800,130.19,133.43,126.23,131.3,5054081
1738645200,129,131.225,128.071,130.82,3320667
1738731600,131.19,133.42,130.75,133.22,2669195
1738818000,134.96,136.08,132.33,133.2,2891477
1738904400,133.9,135.73,130.065,130.26,3571393
1739163600,136.8,140.82,136.37,137.53,5613109
1739250000,139.36,141.5,137.26,138.11,4278795
1739336400,136.39,137.48,133.46,133.55,2827202
1739422800,133.52,135.93,132.41,135.55,2423364
1739509200,136.22,137.93,135.2829,137.77,2108906
1739854800,140,143.06,138.22,142.52,3061009
1739941200,139.13,142.07,138.39,139.77,2372039
1740027600,140.25,142.605,139.18,139.95,1895809
1740114000,140.71,141.39,134.92,135.23,2277617
1740373200,135.31,137.17,133.81,136.18,1742241
1740459600,136.18,136.79,133.42,136.08,2067076
1740546000,137.56,139.41,133.6,134.57,1773339
1740632400,135.04,137.09,134.24,134.81,1439079
1740718800,135.2,137.57,134.05,137.47,3848225
1740978000,139.66,140.12,131.99,134.07,3209151
1741064400,132.02,132.64,126.43,129.51,4662277
1741150800,131.08,133.38,130.03,132.49,2787368
1741237200,131.48,133.44,129.49,131.99,2668082
1741323600,132.79,135.38,131.5322,133.72,3383948
1741579200,130.58,132.1,125.72,126.7,3432903
1741665600,126.7,131.96,126.13,129.9,3149291
1741752000,129.52,132.88,128.61,130.86,2154747
1741838400,130.64,133.8199,129.137,129.56,1969695
1741924800,131.88,133.0875,130.49,132.09,2111446
1742184000,130.48,130.96,127.6,129.5,3702726
1742270400,130,130.49,128.45,129.81,2168099
1742356800,130.34,131.5199,129.11,131.05,1861121
1742443200,129.5,130.67,128.375,129.5,2799389
1742529600,125.24,126.58,119.57,122.01,10007352
1742788800,127,129.43,125.5,127.4,4234146
1742875200,127.28,128.7699,126.6153,127.56,2662039
1742961600,126.89,129.1091,126.58,127.3,2340205
1743048000,126,128.86,124.8949,127.47,2156273
1743134400,127.49,127.925,121.86,121.95,2737242
1743393600,120,120.74,117.115,120.34,2700285
1743480000,119.92,120.67,118.3,119.66,1914531
1743566400,118.06,123.445,118.06,123.03,2123571
1743652800,118.37,118.6268,109.54,109.79,4247548
1743739200,106.21,106.605,99.767,103.22,3819982
1743998400,99.22,108.0799,97.59,104.97,4103273
1744084800,109.5,110.77,101.55,103.68,3178204
1744171200,103.64,116.77,102.46,115.5,4111087
1744257600,112.36,112.555,106.05,109.44,2850975
1744344000,109.71,112,107.38,111.24,1779617
1744603200,113.08,113.85,110.6,110.82,2010608
1744689600,110.34,112.77,110.14,110.48,1366607
1744776000,109.3,111.605,107.8,108.95,1757729
1744862400,109.02,112.16,108.9,110.5,2125775
1745208000,109.33,109.93,105.9201,106.67,1823498
