T,O,H,L,C,V
1713844800,11.7,12.46,11.7,12.055,839660
1713931200,12.09,12.39,12.02,12.34,1317018
1714017600,12.36,12.37,11.88,12.23,1152169
1714104000,12.15,12.65,12.01,12.635,762109
1714363200,12.81,13.02,12.69,12.8,1074027
1714449600,12.52,12.66,12.21,12.24,1080688
1714536000,12.24,13.26,12.24,12.74,1289533
1714622400,13.39,14.21,12.17,14.19,1575580
1714708800,14.65,15.42,14.31,14.78,1145704
1714968000,14.94,15.75,14.85,15.55,1285557
1715054400,15.64,16.245,15.31,15.53,904588
1715140800,15.21,16.09,15.12,16.03,1002438
1715227200,16.21,16.39,15.72,16.13,1139699
1715313600,16.22,16.6,16.02,16.47,821779
1715572800,16.7,18.0099,16.5,17.98,1514092
1715659200,18.19,20.53,18.19,20.32,2752228
1715745600,20.4,21.65,19.865,21.05,2170581
1715832000,21.08,22.29,20.69,22.17,1633139
1715918400,22.17,22.31,21.4635,21.99,1150859
1716177600,22.02,24.735,21.98,24.05,2358508
1716264000,23.41,24.03,22.29,22.75,2028086
1716350400,22.6,23.87,22.6,23.7,1426107
1716436800,23.49,23.49,22.08,22.31,1385287
1716523200,22.56,23.67,22.56,23.15,816024
1716868800,23.24,23.52,21.6403,22.32,1537470
1716955200,21.61,22.28,21.45,22.01,1590411
1717041600,22.45,22.665,22.02,22.27,1206916
1717128000,22.64,23.19,21.9,22.01,1483720
1717387200,22.77,24.04,22.42,23.89,1507683
1717473600,24.29,24.4,22.49,22.82,1150047
1717560000,22.97,23.51,22.6101,23.13,762100
1717646400,22.82,22.991,21.96,22.15,1045657
1717732800,21.56,21.8022,21.2,21.5,1193416
1717992000,21.28,21.915,21.2601,21.46,699525
1718078400,21.2,21.61,20.9,21.41,948895
1718164800,22.25,22.44,20.97,21.25,945440
1718251200,21.28,21.865,21.02,21.52,1098841
1718337600,21.28,21.42,20.9705,21.34,885646
1718596800,21.24,21.34,18.92,19.4,1971735
1718683200,19.27,19.99,19.175,19.44,876270
1718856000,19.2,19.85,19.12,19.175,865667
1718942400,19.31,19.545,18.9,19.07,1299498
1719201600,19.07,19.23,18.595,18.72,849418
1719288000,18.63,18.63,18,18.04,1215696
1719374400,17.94,18.265,17.79,18.16,981696
1719460800,18.04,18.205,17.46,17.63,1690724
1719547200,17.67,17.93,16.72,17.13,15835092
1719806400,17.27,17.68,16.77,17.35,2149198
1719892800,17.44,17.49,16.62,16.8,1283534
1719979200,16.84,17.19,16.625,16.87,981659
1720152000,16.91,16.91,16.56,16.78,1149236
1720411200,16.99,17.04,15.85,16,1339315
1720497600,16.01,17.035,15.87,16.81,1448034
1720584000,16.99,17.12,16.41,16.85,1046269
1720670400,17.36,17.95,17.01,17.72,1633503
1720756800,17.98,19.055,17.76,17.98,1169889
1721016000,17.68,18.2,17.34,17.99,962604
1721102400,18.4,19.37,18.15,19.28,1081517
1721188800,18.77,19.19,18.51,19.11,914056
1721275200,19,19.29,18.25,18.48,794051
1721361600,18.57,18.69,17.88,18.4,685583
1721620800,18.39,18.98,18.031,18.88,1107318
1721707200,18.63,19.38,18.58,18.77,825588
1721793600,18.54,19.23,18.54,18.79,1182821
1721880000,18.79,19.27,17.14,18.65,2048105
1721966400,19.36,19.36,17.85,19.02,1236980
