T,O,H,L,C,V
1713844800,163.57,169,162.18,168.18,171447
1713931200,170,173.14,164.77,166.57,936428
1714017600,166.75,171.03,164.12,170.92,83794
1714104000,170.92,177.15,170.92,174.34,158748
1714363200,173.47,174.48,171.5,174.09,101173
1714449600,172.99,174.225,169.47,169.9,97716
1714536000,169.39,171.275,165.15,167.34,209993
1714622400,170.68,175.1149,167.91,174.22,188278
1714708800,177.53,181.63,175.23,178.29,209990
1714968000,178.85,182.78,177.795,182.1,128995
1715054400,182.72,185.77,181.54,183.53,168143
1715140800,182.33,183.9525,178.285,181.12,218163
1715227200,186.65,198.705,183.64,193.14,491917
1715313600,194.09,196.84,189.5,193.5,165058
1715572800,193,195.6,190.82,193.5,118217
1715659200,195.16,200.09,193.19,200,131977
1715745600,200,203.018,198.28,202.15,116245
1715832000,197.98,198.235,193.26,194.52,213909
1715918400,195.53,197.21,193.19,196.23,171579
1716177600,196.35,205.16,196.35,203.41,116198
1716264000,203.17,206.79,201.67,204.09,125490
1716350400,204.76,209.65,204.76,207.88,165786
1716436800,211.71,217.3,209.095,210.77,291394
1716523200,211.99,217.57,210.35,213.61,181677
1716868800,216.15,219.7387,213.7,219.11,118349
1716955200,216.54,217.88,215,215.99,131643
1717041600,216.35,216.94,211.07,211.64,118714
1717128000,212.15,212.495,203,208.65,235311
1717387200,209.99,213.49,204.73,213.11,171551
1717473600,214.37,214.715,203.75,207.59,126957
1717560000,210.67,218.69,208.37,218.52,291097
1717646400,219.85,223.44,218.08,219.8,192836
1717732800,220.4,223.27,216.68,219.5,125337
1717992000,219,226.375,218.24,225.225,202375
1718078400,224.77,225.43,219.2295,224.83,82484
1718164800,227.87,235,226.45,234.88,127143
1718251200,233.27,239.305,232.35,237.31,216878
1718337600,236.58,239.84,235.21,237.98,112119
1718596800,235.98,242.02,234.26,239.09,312174
1718683200,239.45,242.925,237.36,241.11,197219
1718856000,237.59,237.97,230.06,232.77,360680
1718942400,231.78,231.78,225,228.9,175953
1719201600,227.46,227.965,221.635,224.14,294905
1719288000,224.48,235.93,224.15,234.15,215717
1719374400,233.03,237.15,230.16,230.52,134055
1719460800,230.94,239.17,230.94,235.17,155396
1719547200,237.74,242.76,233.24,234.53,93487
1719806400,234.92,235.855,227.05,232.85,188834
1719892800,234.1,238.7,229.41,235.54,186479
1719979200,236.2,240.33,236.01,238.59,66628
1720152000,238.09,240.99,237.61,238.53,52620
1720411200,241.19,244.9687,237.89,239.89,229350
1720497600,242.97,246.34,241.39,244.49,118967
1720584000,246.87,247.21,241.07,242.44,305434
1720670400,241.95,241.95,229.45,231.74,199829
1720756800,231.47,239.98,231.47,235.92,133740
1721016000,239.67,242.1825,238.94,240.25,124476
1721102400,239.64,242.15,237.125,241.71,108014
1721188800,232.39,233.295,209.215,209.825,478250
1721275200,214.02,214.02,198.14,206.46,312210
1721361600,208.5,209.4,202.77,203.58,167868
1721620800,206.87,218.02,206.87,215.32,211984
1721707200,212.85,220.63,212.85,216.98,230834
1721793600,214.13,214.13,205.1,205.67,132765
1721880000,206.13,206.66,197.04,197.18,231202
1721966400,200.88,202.54,195.66,198.6,184735
1722225600,199.87,206.765,198.575,201.38,237230
1722312000,202.89,202.89,194.66,197.62,175434
1722398400,202.51,207.13,202,206.47,172088
1722484800,201.7,201.7,186.11,189.23,286257
1722571200,182.83,182.83,171.01,172.87,328011
1722830400,161.01,177,158,176.21,406348
1722916800,178.94,186.16,174.52,182.49,232315
1723003200,188.78,191.95,180.08,180.96,478868
1723089600,201.88,216.785,201.88,216.22,433870
1723176000,216.03,226.635,213.92,225.44,297355
1723435200,221.81,225.09,217.72,223.64,270139
1723521600,229.33,229.74,223.01,229.03,226223
1723608000,226.04,228.56,224.62,226.72,354182
1723694400,229.8,236.64,227.67,236.41,214356
1723780800,233.6,236.1,229.78,232.93,127758
1724040000,231.46,234.39,226.05,234.04,208874
1724126400,233.64,234.965,228.15,230.68,123111
1724212800,228.46,232.52,227.72,230.13,273338
1724299200,229.95,230.17,221.5,223.35,104307
1724385600,225.67,228,220.595,223.01,97213
1724644800,221.68,221.68,215.36,218.61,125571
1724731200,218.73,226.3744,217.3,224.95,239560
1724817600,225.04,227.625,219.74,219.89,135645
1724904000,224.14,230.49,220.23,220.35,189272
1724990400,224.66,225.2616,217.96,223.55,77258
1725336000,216.37,216.85,198.6201,201.66,371552
1725422400,197.66,210.35,197.02,207.37,243931
1725508800,205.31,206.175,199.46,199.83,146261
1725595200,199.5,200.6679,194.3301,197.2,296381
1725854400,198.56,199.48,193.92,196.01,151746
1725940800,198.5,199.46,195.8664,198.02,125634
1726027200,198.16,201.69,195.7,201.68,254389
1726113600,200.59,206.98,197.095,204.84,90708
1726200000,207.18,209.23,203.0801,206.71,53960
1726459200,197.04,198.6,186.79,189.27,310223
1726545600,189.45,197.33,188.26,194.71,264510
1726632000,195.83,197.8,191.97,192.34,124986
1726718400,196.64,206.92,196.61,205.3,172997
1726804800,203.23,203.4,200.11,200.39,218451
1727064000,204.23,206.6442,200.61,201.17,161837
1727150400,203.01,204.38,201,203.15,77969
1727236800,202.97,206.45,200.345,200.62,94424
1727323200,215.98,218.93,208.11,211.79,283756
1727409600,211.25,213.27,206.82,209.61,127459
1727668800,210.89,211.83,207.08,208.34,274450
1727755200,208.66,209.91,197.08,197.88,153133
1727841600,196.66,203.75,196.66,200.11,84483
1727928000,197.74,202.63,197.74,199.69,72347
1728014400,205.33,206.105,199.67,202.6,144074
1728273600,201.6,203.13,199.5,200.57,64230
1728360000,203.89,211.27,203.45,208.76,257074
1728446400,208.89,210.95,205.36,210.72,74002
1728532800,207.75,210.72,203.29,210.08,76656
1728619200,209,218.05,209,216.49,130784
1728878400,219.79,223.18,219.79,221.56,74619
