T,O,H,L,C,V
1713844800,7833,7870.27,7603.01,7835.11,21336
1713931200,7818,7937.505,7747.46,7798.28,12631
1714017600,7726.12,7804.31,7594,7725,24303
1714104000,7730,7778.75,7613.05,7647.04,24587
1714363200,7676.82,7705.005,7500,7540,26115
1714449600,7489,7543.11,7438.85,7438.85,22692
1714536000,7451.79,7625.0775,7398.01,7457,16735
1714622400,7485.02,7528.89,7407.59,7479.01,13313
1714708800,7595.53,7684.97,7495.24,7586.55,15561
1714968000,7663.35,7663.35,7600.02,7624.83,11799
1715054400,7620,7786.46,7562.935,7754.42,19649
1715140800,7752,7800,7561.09,7575,17356
1715227200,7568.99,7708.04,7500.5,7670.9,16588
1715313600,7672.88,7692.0699,7596,7655.39,19817
1715572800,7695,7749.3833,7545.87,7557.24,19259
1715659200,7590.66,7649.47,7522.59,7551.47,18272
1715745600,7679.07,7867.31,7679.07,7818.73,17781
1715832000,7798.03,7798.03,7635.81,7702.96,23143
1715918400,7757.08,7757.08,7620,7669,14362
1716177600,7685.57,7754.09,7665.39,7677.76,12938
1716264000,7678.91,7678.91,7620,7620.22,12026
1716350400,7580.14,7632.04,7432.68,7457.73,19171
1716436800,7458.02,7498.86,7360.82,7392.14,16823
1716523200,7447.78,7475.615,7350,7416.32,13848
1716868800,7434,7485.28,7330.39,7356.13,20515
1716955200,7304.92,7354.29,7227.09,7335.26,16257
1717041600,7356.41,7477.33,7356.41,7455.31,18883
1717128000,7460.44,7712.3,7454.11,7680.73,43402
1717387200,7677.18,7754.88,7596.7528,7627.32,17033
1717473600,7588.86,7650.26,7508.4,7543.18,21747
1717560000,7550,7651.58,7460.35,7644,17087
1717646400,7651.71,7666.61,7494.7801,7590.42,15509
1717732800,7498.2,7573,7480.35,7497.67,19321
1717992000,7468.12,7568.53,7430.05,7544.2,18387
1718078400,7535,7535,7437.283,7494.77,12358
1718164800,7663.2,7929.49,7581.61,7655.06,21763
1718251200,7590.57,7694.65,7557.32,7657.85,14924
1718337600,7616.91,7616.91,7505.04,7602.33,16562
1718596800,7560.66,7704.89,7555.005,7687.98,19358
1718683200,7634.68,7676.13,7505.71,7539.76,20414
1718856000,7507.57,7562.2999,7422.33,7514.88,22542
1718942400,7570,7693.91,7497.5,7626.42,84303
1719201600,7650,7785.01,7629.99,7740.78,22632
1719288000,7737.96,7737.96,7526.25,7571.67,20164
1719374400,7556.52,7668.95,7540,7656.13,15762
1719460800,7674.9,7716.3856,7637.015,7656.92,13389
1719547200,7664.71,7756,7550,7588.56,31392
1719806400,7636.99,7695.13,7476.06,7482.16,14633
1719892800,7444.32,7512,7424,7460.7,14289
1719979200,7447.32,7528,7412.99,7456.99,12760
1720152000,7436.89,7475.02,7390,7421.51,15895
1720411200,7465.56,7508.5,7400,7454.06,16894
1720497600,7444.06,7570,7426.82,7484.08,15999
1720584000,7530,7634.71,7510,7623.76,16233
1720670400,7783.66,8119.9799,7783.66,8069.89,25411
1720756800,8062,8243.13,8041.97,8062.27,23979
1721016000,8080,8200,8000.05,8068.96,17573
1721102400,8140,8539.9999,8140,8500,25616
1721188800,8457.64,8468.865,8301.885,8312.35,19769
1721275200,8350,8662.86,8350,8407.66,27710
1721361600,8495,8507.74,8350.08,8428.58,13871
1721620800,8477.99,8641.12,8367.04,8641.12,24103
1721707200,8512,8687.055,8358.93,8599.92,30576
1721793600,8571.98,8695,8367.415,8404.49,18917
1721880000,8420,8650,8352.09,8471.88,21305
1721966400,8553.03,8683.95,8480.27,8600.6,22269
1722225600,8617.37,8630,8530.6901,8600.84,16884
1722312000,8617.14,8700,8566.875,8661.98,15586
1722398400,8700,8700,8570.51,8607.48,19125
1722484800,8614.03,8636,8432.265,8554.51,23381
1722571200,8477,8546.26,8394.545,8546.26,20502
1722830400,8271.53,8417.035,8100,8275.84,18220
